Geneid	HISAT2 on data 124: aligned reads (BAM)
100287102	0
653635	48
102466751	8
100302278	0
645520	0
79501	0
729737	4
102725121	0
102723897	36
102465909	0
729759	0
100132287	7
105378947	2
101928626	6
102465432	12
81399	1
100133331	98
100288069	21
400728	15
79854	74
643837	591
284593	0
100130417	25
148398	83
26155	2262
339451	103
84069	125
84808	31
57801	335
9636	9572
375790	4400
105369174	92
105378948	122
401934	1
54991	184
254099	0
406984	0
406983	0
554210	1
254173	7
8784	20
7293	8
51150	4941
126792	267
388581	20
118424	1266
6339	54
116983	614
102465434	0
126789	218
54973	1167
102465435	0
80772	266
83756	20
1855	762
102466740	0
54587	61
54998	1653
81669	3372
148413	201
55052	687
441869	1
643965	0
102724312	0
64856	11
219293	4
83858	364
55210	568
339453	0
29101	3767
643988	62
142678	1201
8510	3
984	2054
728661	631
8511	2
728642	3302
9906	174
65220	5501
2782	10508
105378949	14
163688	8
339456	2
85452	1
2563	0
5590	185
100506504	21
199990	206
105378592	2
6497	4752
105378594	16
79906	86
100129534	50
11079	1409
5192	123
9651	0
55229	6
388585	0
115110	1
8764	11
100996583	1
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	158
1953	596
693135	0
127262	719
49856	289
7161	334
57212	303
148870	133
388588	16
57470	1671
9731	2289
1677	371
339448	615
100133612	18
728716	1
284661	0
55966	7
100616489	0
100616421	0
261734	334
8514	6033
26038	268
6146	5041
102724450	0
388591	36
23463	1486
148645	23
390992	2
387509	136
11332	336
54626	2
83715	41
100422975	0
8718	12
57449	70
79707	676
80835	19
3104	857
9903	1963
148479	459
90326	739
55735	1133
100505887	0
23261	427
9341	1353
8863	272
10911	452
3604	890
11315	1677
54206	554
102724539	0
50651	8
473	3418
102724552	5
2023	27880
102465436	0
100505975	1
765	0
155184	0
6518	2790
80045	100
407040	1
9563	1660
80176	1276
100506022	6
84275	457
199953	350
5293	3235
644997	22
101929074	3
22883	9397
56998	327
84328	1104
64802	702
100847055	0
105376719	4
116362	17
10277	1835
23095	3095
100422970	0
5226	8438
100526739	0
378708	15
1325	13
1676	985
5195	1080
54897	956
148345	18
23435	3469
10747	82
6723	281
5394	2171
2475	1534
100873935	0
10218	0
29914	96
57540	15
101929181	0
26232	27
93611	188
26270	744
10459	796
374946	137
57085	165
284498	4
102724659	0
4524	2284
1185	978
100379251	42
4878	26
4879	1
26829	2
90231	1054
5351	3953
9927	3763
60672	355
102466982	0
943	11
102465836	0
7133	9309
100616438	0
55187	2762
677885	0
9249	3295
102466722	1
343066	0
126767	1
93190	0
390999	0
65121	0
440560	0
343069	13
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	3
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	2
391004	0
645425	0
126755	0
10630	119
7799	3729
23254	164
200197	383
55092	2634
727684	7
114827	109
101927417	2
79180	3715
11330	38
63036	5
51032	11
842	505
23341	1028
79814	196
84301	1870
6248	713
23207	5151
284723	59
388595	0
54751	18
440567	341
729614	87
23013	17615
7709	1299
101928566	0
149563	0
27129	80
1187	11
1188	0
348487	1
1969	31
128272	245
101927546	20
79363	153
54455	1042
26099	2976
374955	19
55707	2121
114819	124
26871	0
100126512	2
100126517	0
102724970	0
100133301	0
7195	0
55672	916
84809	1002
11209	44
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	22
100500876	0
100189298	0
7193	0
791226	0
9696	654
26870	0
4237	2
23400	296
6390	1260
11240	178
29943	5
51702	0
100616188	0
23569	0
353238	2
55920	1606
55160	507
81569	2
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	73
100616120	0
100302276	0
126917	938
23352	10053
23065	1665
51154	1463
246181	14
22977	14
100506730	94
8574	349
54896	701
832	8047
100532736	0
440574	313
644068	65
4681	25
3362	15
255104	505
54546	0
23252	2192
30814	0
5320	2
5322	0
26279	0
64600	2
391013	0
127733	7
101928017	3
127731	2
339505	0
55450	38
79594	966
163933	0
978	5
65018	327
102464833	0
100861548	81
1650	2172
57576	1764
400745	3
50809	3807
8672	10048
100302155	2
1889	2351
100506801	3
84224	500
249	2
5909	262
84196	3580
401944	0
3339	1271
23436	0
10136	0
101928043	13
29092	69
998	5850
54361	17
100616433	0
9923	3034
2046	32
102466615	0
712	0
714	0
713	4
2048	1286
100616391	0
100422914	0
646262	0
729059	1
23028	2387
100422866	1
100616177	0
7798	5222
3352	3
100996511	58
10236	6848
80818	1019
148898	32
6920	8
55616	15
1870	7
101928163	0
3399	94
259283	0
6135	11474
6924	6503
100506963	5
57095	1993
11313	430
2582	309
3155	603
2517	1109
1269	0
100616492	0
55629	6939
10772	4544
127294	3
58985	1
163702	0
284632	0
57822	25
90529	229
57185	1265
100750325	2
11123	1413
100506985	29
400746	0
10250	7418
25932	7223
864	5389
102465437	2
100616365	0
25949	6943
57035	3204
6007	52
23585	862
6006	11
55219	3372
26119	1225
57134	610
57190	2124
56181	669
646471	143
79000	17
164091	102
3925	1502
100500808	0
5051	300
2134	1
7780	2
105376910	1
84676	114
149420	272
79927	0
105376887	0
51042	282
10256	0
378807	0
101928303	0
64793	2015
83442	5312
91544	112
1043	526
55057	9
257101	6
79727	2
79947	1363
101928324	19
3151	3144
6195	2510
100302190	0
101928728	21
8289	3303
55650	179
84243	547
2810	5
54707	309
63906	1298
10726	6462
8431	2
126695	0
388610	11
115572	10
6548	2416
23038	1610
84065	558
644961	106
100887744	0
84958	49
9064	828
8547	1
388611	3
2827	23
10163	4593
27245	809
2268	254
2537	31458
199870	522
23673	2868
5511	1440
677774	1
9473	2717
6118	1329
27293	0
55113	202
2140	1991
5724	256
22826	6103
93974	3364
83667	2011
54797	376
65979	7650
1104	1839
8420	93
6080	8
26768	0
54952	584
85028	414
692212	33
677838	60
677825	33
692073	8
115273	1
6883	1259
26824	14
10691	1024
105376911	5
51441	2749
4985	4
2035	2247
399474	1
6429	8895
51102	188
10076	91
101928460	0
101929406	0
4146	19
100129196	36
7805	31358
100616164	4
400748	0
9672	810
9698	6137
692234	2
692235	0
692200	3
79570	490
9410	775
51538	2891
2170	5
347735	243
149086	0
284551	2
64129	0
3061	0
553115	235
1307	6
576	48
100423028	0
90853	942
8073	6735
10657	5513
55116	296
100847018	0
23633	1749
200081	4499
79140	154
56063	62
55721	110
149069	14
8668	2212
339483	25
84734	1
3932	0
3065	1649
65108	571
100128071	15
81629	200
55108	1725
728116	4
653121	82
339487	712
5928	2459
81493	10
57648	258
8565	7042
64766	571
252995	47
3208	9
113452	87
127544	7138
204	6030
113451	201
55223	185
149076	1092
127550	4
1912	2676
100500853	3
101929464	2
7579	929
114784	0
127540	0
402779	0
84970	0
693137	0
2709	33
127534	13
2707	10
2701	3
113444	346
58512	14
653160	56
100506144	198
9204	866
79830	553
6421	19238
9202	5546
79932	2729
23154	392
339488	108
5690	811
127703	678
63967	234
192670	1509
26523	1722
192669	1531
27285	43
54936	934
1296	79
27095	702
55700	5722
9967	12448
79729	62
55194	50
83931	2165
84967	152
127700	29
64960	1232
1441	534
2899	0
100422898	0
728431	241
80149	4786
102465438	0
64769	1646
100847010	4
79753	2766
7802	7
29889	4546
284654	21
54955	909
55143	201
284656	61
149175	226
79693	576
127687	197
4520	3075
3633	1188
10946	3852
2275	486
51118	2013
5453	20
100500801	0
339442	0
64121	3416
100527950	2
26292	0
81025	0
54933	11
79647	2588
4725	3645
23499	35688
643314	193
105378950	0
353500	267
728448	84
8761	26622
101929516	32
677834	66
26508	155
84618	2
51440	51
