Geneid	HISAT2 on data 123: aligned reads (BAM)
100287102	0
653635	44
102466751	3
100302278	0
645520	0
79501	0
729737	0
102725121	2
102723897	72
102465909	0
729759	0
100132287	0
105378947	0
101928626	1
102465432	0
81399	0
100133331	8
100288069	13
400728	4
79854	14
643837	167
284593	0
100130417	0
148398	6
26155	2080
339451	19
84069	23
84808	1
57801	11
9636	1767
375790	1160
105369174	59
105378948	8
401934	0
54991	67
254099	0
406984	0
406983	0
554210	0
254173	2
8784	2
7293	1
51150	1712
126792	545
388581	1
118424	521
6339	0
116983	121
102465434	0
126789	147
54973	466
102465435	0
80772	56
83756	10
1855	251
102466740	0
54587	2
54998	881
81669	827
148413	141
55052	443
441869	0
643965	0
102724312	0
64856	1
219293	1
83858	215
55210	685
339453	4
29101	1147
643988	62
142678	176
8510	0
984	676
728661	240
8511	1
728642	362
9906	105
65220	709
2782	2653
105378949	12
163688	4
339456	0
85452	0
2563	0
5590	45
100506504	8
199990	75
105378592	0
6497	362
105378594	15
79906	83
100129534	2
11079	831
5192	61
9651	0
55229	13
388585	0
115110	0
8764	2
100996583	0
127281	1
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	65
1953	22
693135	0
127262	169
49856	104
7161	50
57212	108
148870	10
388588	8
57470	706
9731	606
1677	112
339448	135
100133612	10
728716	0
284661	0
55966	1
100616489	0
100616421	0
261734	70
8514	1552
26038	6
6146	8033
102724450	0
388591	1
23463	935
148645	0
390992	0
387509	38
11332	42
54626	0
83715	11
100422975	0
8718	0
57449	61
79707	494
80835	1
3104	384
9903	121
148479	49
90326	165
55735	738
100505887	0
23261	112
9341	494
8863	58
10911	162
3604	72
11315	1552
54206	46
102724539	0
50651	0
473	144
102724552	0
2023	20355
102465436	0
100505975	3
765	0
155184	0
6518	305
80045	2
407040	0
9563	349
80176	153
100506022	17
84275	167
199953	53
5293	831
644997	17
101929074	1
22883	1612
56998	154
84328	340
64802	224
100847055	0
105376719	0
116362	1
10277	760
23095	879
100422970	0
5226	8551
100526739	0
378708	5
1325	2
1676	297
5195	132
54897	29
148345	21
23435	943
10747	24
6723	147
5394	1256
2475	1299
100873935	7
10218	2
29914	86
57540	0
101929181	0
26232	0
93611	32
26270	133
10459	427
374946	2
57085	69
284498	0
102724659	0
4524	573
1185	106
100379251	0
4878	0
4879	0
26829	211
90231	619
5351	923
9927	1824
60672	270
102466982	0
943	1
102465836	0
7133	664
100616438	0
55187	2037
677885	0
9249	466
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	46
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	28
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	2
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	36
7799	348
23254	9
200197	2
55092	237
727684	11
114827	4
101927417	0
79180	2537
11330	0
63036	0
51032	1
842	49
23341	349
79814	104
