Geneid	HISAT2 on data 122: aligned reads (BAM)
100287102	0
653635	9
102466751	0
100302278	0
645520	0
79501	0
729737	0
102725121	0
102723897	24
102465909	0
729759	0
100132287	0
105378947	0
101928626	3
102465432	1
81399	0
100133331	1
100288069	22
400728	14
79854	24
643837	151
284593	0
100130417	4
148398	9
26155	1840
339451	20
84069	7
84808	0
57801	3
9636	650
375790	1013
105369174	40
105378948	6
401934	0
54991	97
254099	0
406984	0
406983	0
554210	0
254173	5
8784	4
7293	2
51150	1737
126792	501
388581	0
118424	551
6339	1
116983	122
102465434	0
126789	119
54973	455
102465435	0
80772	69
83756	14
1855	321
102466740	0
54587	4
54998	820
81669	652
148413	105
55052	423
441869	0
643965	0
102724312	0
64856	0
219293	2
83858	153
55210	722
339453	0
29101	931
643988	36
142678	134
8510	0
984	520
728661	213
8511	1
728642	200
9906	58
65220	549
2782	2996
105378949	15
163688	1
339456	0
85452	0
2563	0
5590	23
100506504	4
199990	74
105378592	1
6497	361
105378594	7
79906	41
100129534	0
11079	897
5192	102
9651	0
55229	3
388585	0
115110	0
8764	2
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	41
1953	36
693135	0
127262	95
49856	88
7161	50
57212	100
148870	18
388588	0
57470	708
9731	647
1677	126
339448	171
100133612	7
728716	0
284661	0
55966	3
100616489	0
100616421	1
261734	105
8514	1408
26038	4
6146	5844
102724450	0
388591	15
23463	1085
148645	4
390992	0
387509	20
11332	83
54626	0
83715	8
100422975	0
8718	2
57449	41
79707	528
80835	0
3104	335
9903	70
148479	57
90326	111
55735	569
100505887	0
23261	96
9341	562
8863	115
10911	248
3604	288
11315	1905
54206	32
102724539	0
50651	0
473	124
102724552	2
2023	17847
102465436	0
100505975	0
765	0
155184	0
6518	232
80045	14
407040	0
9563	375
80176	120
100506022	15
84275	227
199953	95
5293	607
644997	19
101929074	2
22883	1524
56998	198
84328	493
64802	231
100847055	0
105376719	0
116362	0
10277	900
23095	827
100422970	0
5226	7023
100526739	0
378708	12
1325	0
1676	242
5195	158
54897	74
148345	7
23435	830
10747	7
6723	124
5394	1321
2475	1310
100873935	0
10218	4
29914	101
57540	0
101929181	0
26232	0
93611	54
26270	129
10459	360
374946	6
57085	125
284498	0
102724659	0
4524	516
1185	78
100379251	0
4878	0
4879	1
26829	405
90231	686
5351	1239
9927	1766
60672	215
102466982	0
943	0
102465836	0
7133	768
100616438	0
55187	1631
677885	0
9249	369
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	23
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	17
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	1
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	66
7799	314
23254	14
200197	1
55092	223
727684	8
114827	7
101927417	0
79180	2185
11330	0
63036	0
51032	0
842	85
23341	308
79814	65
84301	146
6248	79
23207	533
284723	2
388595	0
54751	3
440567	87
729614	54
23013	1411
7709	314
101928566	0
149563	0
27129	66
1187	0
1188	1
348487	0
1969	8
128272	53
101927546	0
79363	49
54455	380
26099	879
374955	11
55707	1068
114819	54
26871	76
100126512	74
100126517	0
102724970	0
100133301	0
7195	1
55672	137
84809	131
11209	5
26869	90
729574	0
100126533	8
284729	0
100189045	0
102723383	0
6060	88
11223	5
100500876	0
100189298	0
7193	0
791226	6
9696	78
26870	469
4237	0
23400	59
6390	873
11240	3
29943	0
51702	0
100616188	0
23569	0
353238	2
55920	1795
55160	191
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	63
100616120	0
100302276	0
126917	313
23352	2064
23065	1434
51154	945
246181	3
22977	9
100506730	22
8574	208
54896	127
832	1491
100532736	0
440574	128
644068	17
4681	4
3362	0
255104	104
54546	0
23252	257
30814	0
5320	0
5322	2
26279	0
64600	0
391013	4
127733	1
101928017	0
127731	0
339505	0
55450	9
79594	240
163933	0
978	2
65018	190
102464833	0
100861548	48
1650	2303
57576	688
400745	0
50809	1772
8672	2067
100302155	0
1889	151
100506801	0
84224	117
249	0
5909	5
84196	1095
401944	1
3339	93
23436	0
10136	0
101928043	9
29092	28
998	7073
54361	14
100616433	0
9923	818
2046	0
102466615	0
712	9
714	11
713	6
2048	19
100616391	0
100422914	0
646262	0
729059	0
23028	1445
100422866	1
100616177	4
7798	1474
3352	0
100996511	24
10236	3237
80818	267
148898	12
6920	4
55616	0
1870	87
101928163	2
3399	3
259283	0
6135	4287
6924	1526
100506963	0
57095	770
11313	226
2582	118
3155	129
2517	311
1269	0
100616492	0
55629	2606
10772	3157
127294	0
58985	0
163702	0
284632	0
57822	2
90529	30
57185	617
100750325	0
11123	237
100506985	16
400746	0
10250	1118
25932	3654
864	192
102465437	0
100616365	0
25949	1016
57035	872
6007	3
23585	194
6006	0
55219	563
26119	400
57134	143
57190	550
56181	213
646471	11
79000	122
164091	6
3925	4173
100500808	0
5051	233
2134	0
7780	0
105376910	0
84676	15
149420	159
79927	0
105376887	0
51042	133
10256	0
378807	0
101928303	0
64793	1023
83442	1868
91544	109
1043	452
55057	3
257101	0
79727	12
79947	431
101928324	11
3151	1924
6195	3152
100302190	0
101928728	33
8289	493
55650	73
84243	81
2810	1
54707	85
63906	173
10726	1637
8431	0
126695	3
388610	31
115572	4
6548	92
23038	250
84065	144
644961	129
100887744	0
84958	27
9064	123
8547	0
388611	0
2827	13
10163	772
27245	32
2268	175
2537	5608
199870	287
23673	1126
5511	503
677774	57
9473	374
6118	728
27293	0
55113	44
2140	602
5724	14
22826	2591
93974	746
83667	54
54797	148
65979	212
1104	694
8420	116
6080	7806
26768	12269
54952	216
85028	70
692212	20
677838	144
677825	345
692073	106
115273	0
6883	490
26824	359
10691	449
105376911	6
51441	1012
4985	0
2035	361
399474	0
6429	1517
51102	118
10076	0
101928460	0
101929406	0
4146	0
100129196	5
7805	8304
100616164	1
400748	0
9672	145
9698	1589
692234	0
692235	5
692200	3
79570	2
9410	1029
51538	1065
2170	3
347735	11
149086	0
284551	0
64129	0
3061	4
553115	118
1307	0
576	16
100423028	0
90853	280
8073	4112
10657	2240
55116	85
100847018	0
23633	1075
200081	1541
79140	26
56063	33
55721	59
149069	6
8668	2038
339483	9
84734	0
3932	0
3065	1769
65108	411
100128071	0
81629	3
55108	426
728116	0
653121	45
339487	290
5928	1399
81493	2
57648	30
8565	1699
64766	136
252995	1
3208	0
113452	30
127544	216
204	2404
113451	2
55223	7
149076	130
127550	0
1912	567
100500853	1
101929464	2
7579	218
114784	0
127540	0
402779	0
84970	0
693137	0
2709	0
127534	0
2707	7
2701	4
113444	289
58512	0
653160	7
100506144	180
9204	280
79830	326
6421	11217
9202	1450
79932	732
23154	174
339488	18
5690	607
127703	434
63967	1235
192670	666
26523	432
192669	480
27285	6
54936	252
1296	39
27095	375
55700	1013
9967	4293
79729	9
55194	21
83931	438
84967	79
127700	12
64960	620
1441	56
2899	0
100422898	0
728431	44
80149	328
102465438	0
64769	703
100847010	8
79753	422
7802	10
29889	1704
284654	17
54955	334
55143	338
284656	2
149175	102
79693	336
127687	120
4520	566
3633	560
10946	2769
2275	24
51118	1740
5453	0
100500801	0
339442	0
64121	249
100527950	0
26292	0
81025	0
54933	2
79647	1097
4725	2580
23499	8778
643314	286
105378950	6
353500	118
728448	17
8761	9049
101929516	31
677834	139
26508	2
84618	11
51440	62
10450	1873
656	5437
64064	222
105378951	76
101929536	25
54802	1503
4610	427
84879	3082
10487	232891
5538	20520
6018	10255
127391	0
10269	19198
1298	3306
64744	9568
65243	980
339559	2635
64789	3551
127396	1559
9783	1163
100130557	861
4802	12458
407034	26
407031	45
9132	67
163732	519
1503	3304
100507178	54
200172	42
22955	431
100132074	2
1907	0
59269	570
2981	0
2980	0
22887	2349
284716	2
84217	5
79717	6072
728621	203
10465	2078
4904	89343
149461	2
64175	3141
79078	277
100129924	6
374969	145
114625	747
51058	463
339539	0
6513	1580
440584	7
105378684	2
440585	0
10969	2056
102465439	0
149465	0
128218	0
149466	0
7075	73
4352	13
991	1278
64834	780
102466723	0
112950	1209
23334	976
102465440	0
81888	11
5792	448
9682	2759
100132774	69
6487	441
101929592	36
102464830	2
9048	8
9670	344
1802	349
533	1315
8704	187
149473	38
6536	2
128209	0
105378952	0
55929	359
79033	208
100874278	10
55182	657
100847089	0
79639	23
339541	302
26828	73
26830	54
11004	2199
6202	7553
26811	101
94161	26
94162	14
94163	15
266675	2
1263	124
343521	9
149478	10
8643	129
8891	467
79654	319
7389	627
57643	15
400752	4
84842	9
4595	114
114034	145
10420	52
126661	12
25974	77
5052	2818
10327	446
4678	3305
149483	15
60313	3512
728963	9
51249	185
3652	168
23139	400
8503	241
101929626	7
10103	4
55624	414
541468	0
8438	123
10489	391
7388	1997
387338	289
2166	3
729041	2
101929651	0
127343	0
100507423	44
148930	0
8569	553
148932	205
64756	565
374973	0
100130197	6
9813	1911
1580	0
163720	0
1579	0
260293	5
199974	2
284541	17
100874253	14
10158	0
6886	8
6491	671
51727	3699
102724077	2
2301	2
84793	39
2306	46
388630	0
391037	0
200010	8
54558	69
84871	5
79656	19
101929721	0
100874313	0
1996	12
63950	363
11124	2207
1031	1111
100616189	0
102466656	0
284546	0
26994	3480
22996	27
102724097	0
2060	1833
114883	2262
4898	3355
100313892	0
5865	4
51060	1305
112970	0
104355143	1
91408	1033
9372	271
200014	981
4998	551
84950	2676
23318	469
105378722	0
2882	80
348378	10
65260	179
79699	1212
440590	59
55268	265
6342	1263
100616156	2
