Geneid	HISAT2 on data 118: aligned reads (BAM)
100287102	0
653635	0
102466751	0
100302278	0
645520	0
79501	0
729737	10
102725121	1
102723897	22
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	18
81399	0
100133331	1
100288069	0
400728	7
79854	13
643837	339
284593	0
100130417	0
148398	0
26155	235
339451	15
84069	5
84808	4
57801	2
9636	466
375790	30
105369174	13
105378948	7
401934	0
54991	51
254099	0
406984	0
406983	0
554210	0
254173	0
8784	58
7293	298
51150	146
126792	86
388581	0
118424	169
6339	0
116983	9
102465434	0
126789	60
54973	942
102465435	0
80772	17
83756	0
1855	37
102466740	0
54587	0
54998	640
81669	530
148413	332
55052	1103
441869	0
643965	0
102724312	0
64856	7
219293	1
83858	31
55210	22
339453	0
29101	676
643988	10
142678	5
8510	0
984	117
728661	70
8511	0
728642	127
9906	24
65220	388
2782	2117
105378949	4
163688	0
339456	0
85452	0
2563	0
5590	5
100506504	1
199990	51
105378592	1
6497	39
105378594	0
79906	6
100129534	1
11079	1188
5192	11
9651	0
55229	0
388585	0
115110	0
8764	0
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	0
1953	9
693135	0
127262	319
49856	135
7161	2
57212	47
148870	0
388588	2
57470	147
9731	158
1677	74
339448	943
100133612	12
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	80
8514	522
26038	0
6146	765
102724450	0
388591	1
23463	180
148645	0
390992	0
387509	15
11332	386
54626	1
83715	0
100422975	0
8718	106
57449	0
79707	697
80835	0
3104	323
9903	224
148479	100
90326	232
55735	350
100505887	0
23261	766
9341	2693
8863	98
10911	120
3604	7582
11315	5146
54206	28
102724539	0
50651	1
473	115
102724552	1
2023	92008
102465436	0
100505975	2
765	1
155184	0
6518	40
80045	8
407040	0
9563	576
80176	76
100506022	1
84275	39
199953	16
5293	284
644997	1
101929074	8
22883	104
56998	54
84328	579
64802	382
100847055	0
105376719	0
116362	103
10277	305
23095	906
100422970	1
5226	29291
100526739	0
378708	20
1325	0
1676	834
5195	107
54897	30
148345	2
23435	1610
10747	41
6723	209
5394	1082
2475	339
100873935	0
10218	1
29914	338
57540	0
101929181	0
26232	0
93611	134
26270	908
10459	439
374946	1
57085	2439
284498	0
102724659	0
4524	368
1185	237
100379251	11
4878	15
4879	0
26829	3
90231	156
5351	1344
9927	1079
60672	189
102466982	0
943	29
102465836	0
7133	6017
100616438	0
55187	328
677885	0
9249	177
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	2
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	20
10630	2285
7799	972
23254	1
200197	3
55092	633
727684	20
114827	9
101927417	0
79180	922
11330	0
63036	0
51032	0
842	151
23341	544
79814	10
84301	12
6248	26
23207	483
284723	42
388595	0
54751	2
440567	85
729614	49
23013	1294
7709	266
101928566	0
149563	0
27129	2
1187	0
1188	0
348487	0
1969	1
128272	39
101927546	0
79363	11
54455	394
26099	2048
374955	11
55707	3466
114819	30
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	20
84809	51
11209	0
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	0
100500876	0
100189298	0
7193	0
791226	0
9696	3
26870	4
4237	0
23400	31
6390	2567
11240	97
29943	0
51702	0
100616188	0
23569	2
353238	0
55920	849
55160	1053
81569	0
101927876	0
84966	1
127707	0
5081	0
80834	0
8659	204
100616120	0
100302276	0
126917	34
23352	2218
23065	1322
51154	1183
246181	6
22977	2
100506730	10
8574	103
54896	156
832	9162
100532736	0
440574	2869
644068	45
4681	0
3362	0
255104	107
54546	0
23252	84
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
101928017	0
127731	0
339505	0
55450	2
79594	881
163933	0
978	568
65018	10
102464833	0
100861548	70
1650	8734
57576	4
400745	0
50809	1014
8672	578
100302155	0
1889	216
100506801	21
84224	5
249	4
5909	0
84196	145
401944	0
3339	1
23436	0
10136	0
101928043	1
29092	86
998	19066
54361	0
100616433	0
9923	311
2046	0
102466615	0
712	3136
714	5861
713	293
2048	252
100616391	0
100422914	0
646262	0
729059	0
23028	312
100422866	0
100616177	0
7798	476
3352	0
100996511	20
10236	2730
80818	79
148898	7
6920	0
55616	7
1870	10
101928163	0
3399	486
259283	4
