Geneid	HISAT2 on data 83: aligned reads (BAM)
100287102	0
653635	0
102466751	0
100302278	0
645520	0
79501	0
729737	10
102725121	1
102723897	20
102465909	0
729759	0
100132287	0
105378947	0
101928626	1
102465432	7
81399	0
100133331	0
100288069	2
400728	8
79854	13
643837	298
284593	0
100130417	0
148398	0
26155	468
339451	14
84069	12
84808	2
57801	1
9636	13575
375790	66
105369174	5
105378948	5
401934	0
54991	59
254099	1
406984	0
406983	0
554210	0
254173	0
8784	65
7293	253
51150	204
126792	71
388581	3
118424	207
6339	4
116983	37
102465434	0
126789	71
54973	1911
102465435	1
80772	50
83756	1
1855	44
102466740	0
54587	5
54998	1034
81669	1366
148413	631
55052	1959
441869	0
643965	0
102724312	0
64856	6
219293	9
83858	35
55210	19
339453	0
29101	1399
643988	33
142678	24
8510	0
984	252
728661	188
8511	0
728642	306
9906	121
65220	2912
2782	2722
105378949	3
163688	0
339456	1
85452	0
2563	0
5590	10
100506504	5
199990	70
105378592	0
6497	44
105378594	0
79906	12
100129534	1
11079	1857
5192	23
9651	0
55229	0
388585	0
115110	0
8764	1
100996583	0
127281	0
79258	0
100287898	1
140625	0
440556	0
63976	2
100422968	0
27237	0
1953	64
693135	0
127262	353
49856	281
7161	9
57212	111
148870	0
388588	1
57470	272
9731	337
1677	118
339448	2118
100133612	9
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	82
8514	1146
26038	0
6146	1621
102724450	0
388591	9
23463	239
148645	0
390992	0
387509	42
11332	1253
54626	0
83715	1
100422975	0
8718	2103
57449	0
79707	1090
80835	0
3104	598
9903	386
148479	173
90326	461
55735	493
100505887	0
23261	1158
9341	2944
8863	97
10911	43
3604	4662
11315	7359
54206	21
102724539	0
50651	13
473	668
102724552	13
2023	145472
102465436	2
100505975	2
765	73
155184	24
6518	997
80045	16
407040	0
9563	582
80176	97
100506022	2
84275	37
199953	27
5293	1693
644997	42
101929074	12
22883	418
56998	93
84328	897
64802	568
100847055	2
105376719	3
116362	24
10277	523
23095	1390
100422970	0
5226	36055
100526739	0
378708	19
1325	0
1676	1558
5195	201
54897	56
148345	1
23435	2683
10747	121
6723	257
5394	2254
2475	481
100873935	1
10218	0
29914	629
57540	2
101929181	0
26232	16
93611	834
26270	3191
10459	468
374946	4
57085	4905
284498	3
102724659	0
4524	798
1185	436
100379251	11
4878	11
4879	0
26829	1
90231	245
5351	2319
9927	1476
60672	515
102466982	1
943	24
102465836	0
7133	2332
100616438	0
55187	659
677885	1
9249	2680
102466722	1
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	501
7799	1548
23254	1
200197	2
55092	939
727684	10
114827	14
101927417	7
79180	814
11330	2
63036	2
51032	4
842	312
23341	709
79814	88
84301	16
6248	57
23207	554
284723	45
388595	0
54751	1
440567	181
729614	96
23013	1775
7709	233
101928566	0
149563	0
27129	116
1187	0
1188	0
348487	0
1969	0
128272	146
101927546	0
79363	12
54455	831
26099	3332
374955	61
55707	7879
114819	67
26871	1
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	51
84809	101
11209	0
26869	0
729574	0
100126533	1
284729	0
100189045	0
102723383	0
6060	0
11223	2
100500876	0
100189298	0
7193	0
791226	0
9696	5
26870	2
4237	0
23400	159
6390	5176
11240	80
29943	0
51702	0
100616188	0
23569	23
353238	0
55920	1062
55160	981
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	205
100616120	0
100302276	0
126917	77
23352	2967
23065	1662
51154	1057
246181	1
22977	3
100506730	14
8574	164
54896	174
832	12195
100532736	0
440574	3446
644068	159
4681	0
3362	0
255104	326
54546	0
23252	170
30814	0
5320	0
5322	0
26279	3
64600	0
391013	0
127733	6
101928017	12
127731	3
339505	0
55450	51
79594	1118
163933	0
978	1798
65018	25
102464833	0
100861548	115
1650	13235
57576	30
400745	4
50809	1971
8672	736
100302155	0
1889	402
100506801	105
84224	20
249	4
5909	5
84196	548
401944	0
3339	1
23436	0
10136	0
101928043	5
29092	385
998	24267
54361	6
100616433	0
9923	628
2046	0
102466615	0
712	6837
714	14442
713	5320
2048	1232
100616391	0
100422914	0
646262	0
729059	2
23028	412
100422866	1
100616177	0
7798	862
3352	0
100996511	55
10236	4353
80818	210
148898	13
6920	34
55616	0
