Geneid	HISAT2 on data 42: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	7
27395	759
18777	1832
100503730	0
21399	1310
58175	0
108664	2044
18387	0
226304	0
12421	1995
240690	6
100504079	14
319263	1743
71096	0
59014	313
76187	135
72481	487
76982	5
17864	49
70675	2291
170755	4679
620986	19
240697	0
73824	190
266793	2
100038398	18
69312	0
26754	983
211660	301
211673	3214
329093	0
109294	19
320492	0
240725	25
240726	7
383491	0
17978	3998
72265	6240
212442	770
381246	2
433273	4
14048	4
17681	10
277328	0
98741	0
21749	390
226866	0
665434	0
75799	0
19989	23243
98711	499
100503633	21
29819	357
66799	1091
67923	863
329101	0
70397	878
17087	623
57339	0
14545	0
94227	2
83691	6
100503673	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
100503916	0
100503972	0
241035	0
387202	0
723817	0
16171	0
257630	0
17215	2221
74229	43
71877	15
170829	87
75712	30
14859	2
241041	3
368204	0
433278	0
98582	0
226922	0
116837	0
665725	0
66755	0
387225	0
723964	0
70155	3007
100503399	0
280645	10
98366	953
68002	309
68187	285
12839	0
12823	0
100503984	0
100503946	981
68421	5182
210933	0
100504323	0
210940	1
100503081	0
433281	0
210962	0
623924	0
100502623	1
791350	0
213109	2676
19243	370
70988	0
266744	0
74708	0
226957	0
624262	1
100503415	82
170771	0
408192	0
408191	0
19076	434
67503	0
19335	134
213539	34
98403	430
433287	0
320705	583
13518	2410
69668	895
27993	1246
52318	337
19253	3268
21755	0
12627	0
21756	0
211383	0
241051	0
241052	8
226970	88
214469	10824
226971	7925
50785	3520
320011	6664
214854	11571
214855	562
226976	1570
214895	1684
94220	653
94218	2063
78321	37
109346	76
20353	926
381337	4
623414	0
12859	746
226977	1264
71166	0
22637	2
56030	4839
70853	6
12790	0
269180	856
76178	5046
67387	1283
269181	3824
77633	44
72097	2
100503734	0
211484	352
623661	38
69028	339
107734	1123
332427	0
69541	0
98258	1403
226982	4593
56210	168
16764	56
381338	0
98388	2
100503760	0
433292	0
68833	1649
18143	2
114641	6300
54610	1649
100503777	11
52846	956
100217461	2
67702	5571
263764	226
619289	0
100042065	0
26921	4014
100047133	17
16178	191
16177	51
107527	555
17082	3123
16182	93
16174	248
110895	80
226999	4
211798	342
381339	12
791306	0
66297	0
18993	0
73100	0
69527	723
93690	0
73122	2334
98404	544
14200	99
666642	2
17974	38
100503894	0
78896	0
67883	441
22019	4074
433294	0
75623	207
72050	468
246229	537
22592	568
403183	0
70676	14
12825	135
12832	46
73674	337
433297	75
53945	6175
100042453	0
212225	0
227058	0
100101919	0
227059	2225
100503087	0
19842	0
442837	0
56363	0
20324	161
109019	697
100045066	0
17912	172
20849	75
100042634	0
20846	11032
14660	3182
17936	2214
227094	332
98682	1787
16329	271
227095	265
67080	4
17700	0
69397	0
227099	179
227102	1013
72085	129
70396	2476
100503234	0
627872	0
98267	8073
329152	13
78016	0
98488	591
100504348	752
241062	634
329154	6277
81898	7073
67876	228
15510	2534
15528	910
19070	1000
74013	127
212679	67
75388	0
227120	326
100504386	0
626009	0
329159	0
71066	0
212712	85
329160	11
407809	0
75323	4
73467	242
68736	136
68115	392
67198	320
51960	439
68549	200
11761	4
71724	0
71872	0
213043	0
66882	7424
12747	1327
70225	358
65102	498
18393	571
100504455	0
213056	528
66495	666
100504483	2
100504501	17
108812	0
12633	4310
12370	3704
70827	1858
227154	676
73463	0
381259	258
227157	6
74018	1130
271697	11
14369	1332
381260	0
22218	1320
55989	742
100217459	0
100217421	0
12168	1488
100504533	162
72750	3745
70375	29
57750	327
241066	58
269198	590
77951	1024
329165	843
77300	468
100504603	177
100043027	1
100042533	1
12487	113
100504618	0
12477	6
54167	2
72823	107
18187	3827
227195	1358
100380944	2
100504668	0
227197	1703
55949	11191
100217464	0
241070	0
73884	0
23792	56
100504706	0
241073	0
76668	0
75619	320
74426	2
433315	0
93691	193
12912	3629
67099	740
69941	17
227210	119
14367	387
241075	3276
70861	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	21
15926	4325
18711	1225
213527	0
12969	0
17756	19
100038569	0
329178	0
66646	940
68691	897
11363	2302
17901	6
14768	717
227231	0
13869	0
100502712	0
22779	162
66722	0
320460	0
12021	96
74591	0
108147	1876
14268	7245
667931	0
433319	3
381269	39
111175	117
271711	0
22596	153
381270	0
54380	1186
319695	0
19981	5048
16008	0
16011	100
21958	0
69449	0
723792	0
109198	0
21961	4656
435626	0
12765	2
227288	0
76709	22615
227289	0
227290	3842
56695	430
69660	4513
241112	59
18173	16140
227292	7786
387219	0
22349	2
319651	723
58184	1198
18802	5
77264	491
66821	333
57751	377
269209	40
67534	182
104086	3773
241113	7
22420	95
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	6
75570	93
22626	0
69171	3545
227298	4999
