Geneid	HISAT2 on data 2: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	18
27395	801
18777	1859
100503730	0
21399	1847
58175	2
108664	2975
18387	0
226304	0
12421	2183
240690	0
100504079	5
319263	1932
71096	0
59014	624
76187	206
72481	1059
76982	41
17864	78
70675	3485
170755	5778
620986	35
240697	4
73824	94
266793	0
100038398	2
69312	0
26754	1221
211660	390
211673	3665
329093	0
109294	18
320492	0
240725	9
240726	0
383491	0
17978	4660
72265	8049
212442	1098
381246	0
433273	14
14048	0
17681	0
277328	0
98741	0
21749	520
226866	0
665434	0
75799	0
19989	19012
98711	955
100503633	115
29819	447
66799	1449
67923	1025
329101	0
70397	1164
17087	992
57339	0
14545	0
94227	0
83691	0
100503673	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
100503916	0
100503972	0
241035	1
387202	0
723817	0
16171	0
257630	0
17215	2804
74229	38
71877	30
170829	180
75712	81
14859	0
241041	6
368204	0
433278	0
98582	0
226922	0
116837	0
665725	0
66755	0
387225	0
723964	0
70155	4678
100503399	0
280645	4
98366	1183
68002	425
68187	618
12839	0
12823	1
100503984	0
100503946	768
68421	7403
210933	0
100504323	0
210940	0
100503081	0
433281	0
210962	0
623924	0
100502623	0
791350	0
213109	3082
19243	456
70988	0
266744	0
74708	0
226957	0
624262	2
100503415	115
170771	0
408192	0
408191	0
19076	454
67503	0
19335	300
213539	22
98403	612
433287	3
320705	607
13518	2202
69668	1251
27993	1804
52318	415
19253	4237
21755	0
12627	0
21756	0
211383	0
241051	0
241052	20
226970	84
214469	14183
226971	8210
50785	4518
320011	9301
214854	8737
214855	1163
226976	1813
214895	1756
94220	666
94218	2347
78321	12
109346	102
20353	1122
381337	15
623414	2
12859	750
226977	1910
71166	0
22637	17
56030	7144
70853	14
12790	0
269180	1352
76178	5124
67387	1881
269181	3765
77633	70
72097	0
100503734	0
211484	258
623661	55
69028	444
107734	798
332427	0
69541	0
98258	1551
226982	5494
56210	295
16764	30
381338	0
98388	6
100503760	0
433292	0
68833	2075
18143	0
114641	5230
54610	1481
100503777	6
52846	1034
100217461	0
67702	4480
263764	94
619289	0
100042065	0
26921	5046
100047133	24
16178	18
16177	2
107527	335
17082	4576
16182	84
16174	71
110895	14
226999	0
211798	442
381339	4
791306	0
66297	0
18993	0
73100	0
69527	675
93690	0
73122	4779
98404	705
14200	89
666642	1
17974	47
100503894	0
78896	0
67883	1046
22019	4739
433294	5
75623	241
72050	507
246229	554
22592	517
403183	0
70676	16
12825	281
12832	40
73674	517
433297	82
53945	21326
100042453	0
212225	0
227058	0
100101919	7
227059	2745
100503087	0
19842	0
442837	0
56363	0
20324	25
109019	1227
100045066	2
17912	116
20849	87
100042634	0
20846	9375
14660	4723
17936	2455
227094	397
98682	5450
16329	392
227095	304
67080	5
17700	0
69397	0
227099	161
227102	1066
72085	117
70396	1955
100503234	1
627872	0
98267	18118
329152	42
78016	0
98488	695
100504348	709
241062	500
329154	7194
81898	11512
67876	336
15510	3606
15528	914
19070	1689
74013	185
212679	186
75388	0
227120	219
100504386	0
626009	0
329159	0
71066	0
212712	84
329160	8
407809	0
75323	2
73467	270
68736	155
68115	415
67198	818
51960	456
68549	164
11761	2
71724	8
71872	0
213043	0
66882	10348
12747	2319
70225	531
65102	721
18393	975
100504455	0
213056	932
66495	993
100504483	1
100504501	46
108812	0
12633	5593
12370	5072
70827	2365
227154	638
73463	0
381259	279
227157	6
74018	1829
271697	9
14369	1561
381260	1
22218	1408
55989	1523
100217459	0
100217421	0
12168	2157
100504533	196
72750	5893
70375	30
57750	400
241066	54
269198	881
77951	1724
329165	1770
77300	901
100504603	417
100043027	0
100042533	0
12487	494
100504618	4
12477	6
54167	21
72823	157
18187	5166
227195	1967
100380944	16
100504668	4
227197	2039
55949	7866
100217464	0
241070	0
73884	0
23792	0
100504706	0
241073	0
76668	0
75619	374
74426	0
433315	0
93691	376
12912	5426
67099	736
69941	10
227210	179
14367	534
241075	3439
70861	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	17
15926	5984
18711	1936
213527	0
12969	0
17756	0
100038569	0
329178	0
66646	1194
68691	1270
11363	2678
17901	6
14768	1173
227231	0
13869	0
100502712	0
22779	127
66722	0
320460	0
12021	90
74591	0
108147	2382
14268	4161
667931	0
433319	3
381269	4
111175	225
271711	0
22596	159
381270	0
54380	1520
319695	0
19981	3491
16008	0
16011	42
21958	0
69449	6
723792	0
109198	0
21961	8975
435626	10
12765	12
227288	0
76709	27688
227289	0
227290	4872
56695	400
69660	4250
241112	62
18173	13846
227292	9560
387219	0
22349	0
319651	891
58184	1650
18802	0
77264	560
66821	287
57751	291
269209	95
67534	304
104086	3804
241113	0
22420	22
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	0
75570	173
