Geneid	HISAT2 on data 51: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	22
27395	886
18777	1836
100503730	0
21399	1617
58175	0
108664	2453
18387	0
226304	0
12421	1582
240690	0
100504079	18
319263	1218
71096	0
59014	581
76187	114
72481	509
76982	6
17864	49
70675	2175
170755	5081
620986	12
240697	0
73824	121
266793	0
100038398	1
69312	0
26754	1342
211660	165
211673	3013
329093	0
109294	87
320492	0
240725	79
240726	0
383491	0
17978	2952
72265	7778
212442	762
381246	0
433273	5
14048	4
17681	13
277328	0
98741	0
21749	418
226866	0
665434	2
75799	0
19989	28713
98711	465
100503633	44
29819	272
66799	1228
67923	711
329101	0
70397	1019
17087	511
57339	7
14545	0
94227	41
83691	35
100503673	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
100503916	0
100503972	0
241035	0
387202	0
723817	0
16171	0
257630	0
17215	2346
74229	86
71877	10
170829	110
75712	58
14859	12
241041	0
368204	0
433278	0
98582	0
226922	0
116837	5
665725	0
66755	0
387225	0
723964	0
70155	4012
100503399	0
280645	7
98366	825
68002	371
68187	242
12839	0
12823	0
100503984	0
100503946	909
68421	4576
210933	0
100504323	0
210940	0
100503081	0
433281	0
210962	0
623924	0
100502623	0
791350	0
213109	2391
19243	502
70988	0
266744	0
74708	0
226957	0
624262	1
100503415	50
170771	0
408192	0
408191	0
19076	527
67503	7
19335	178
213539	64
98403	363
433287	4
320705	710
13518	1105
69668	1333
27993	1732
52318	448
19253	3585
21755	0
12627	7
21756	0
211383	0
241051	0
241052	0
226970	121
214469	11567
226971	6730
50785	3521
320011	7548
214854	11599
214855	792
226976	1559
214895	1693
94220	1231
94218	2042
78321	54
109346	110
20353	1136
381337	11
623414	1
12859	776
226977	1548
71166	0
22637	0
56030	4666
70853	0
12790	0
269180	684
76178	4619
67387	1783
269181	2768
77633	61
72097	0
100503734	0
211484	235
623661	36
69028	393
107734	1197
332427	0
69541	0
98258	1599
226982	4775
56210	259
16764	162
381338	0
98388	14
100503760	0
433292	0
68833	1893
18143	20
114641	7343
54610	1685
100503777	16
52846	1192
100217461	3
67702	3715
263764	118
619289	0
100042065	0
26921	3717
100047133	0
16178	178
16177	121
107527	397
17082	4567
16182	306
16174	242
110895	349
226999	0
211798	186
381339	2
791306	0
66297	0
18993	1
73100	0
69527	842
93690	0
73122	1920
98404	538
14200	118
666642	1
17974	43
100503894	0
78896	42
67883	612
22019	3481
433294	0
75623	199
72050	794
246229	472
22592	465
403183	0
70676	13
12825	749
12832	370
73674	527
433297	126
53945	1899
100042453	0
212225	0
227058	0
100101919	9
227059	2205
100503087	0
19842	0
442837	0
56363	0
20324	156
109019	1362
100045066	12
17912	294
20849	254
100042634	4
20846	7613
14660	4717
17936	2312
227094	324
98682	1173
16329	169
227095	351
67080	0
17700	0
69397	0
227099	261
227102	1277
72085	166
70396	2074
100503234	0
627872	0
98267	10401
329152	4
78016	0
98488	428
100504348	380
241062	225
329154	5845
81898	9746
67876	271
15510	3650
15528	1124
19070	1218
74013	115
212679	138
75388	0
227120	265
100504386	0
626009	0
329159	0
71066	0
212712	50
329160	0
407809	0
75323	2
73467	223
68736	82
68115	455
67198	121
51960	342
68549	108
11761	32
71724	0
71872	0
213043	0
66882	9072
12747	1269
70225	606
65102	575
18393	716
100504455	0
213056	539
66495	639
100504483	0
100504501	4
108812	0
12633	2733
12370	4229
70827	1881
227154	616
73463	0
381259	267
227157	0
74018	861
271697	3
14369	1321
381260	0
22218	1379
55989	1591
100217459	0
100217421	0
12168	1027
100504533	205
72750	4730
70375	60
57750	431
241066	44
269198	430
77951	1314
329165	1270
77300	339
100504603	199
100043027	0
100042533	0
12487	25
100504618	0
12477	19
54167	18
72823	160
18187	1172
227195	1100
100380944	3
100504668	0
227197	1603
55949	13635
100217464	1
241070	0
73884	0
23792	32
100504706	0
241073	0
76668	0
75619	407
74426	8
433315	0
93691	220
12912	3575
67099	648
69941	0
227210	187
14367	264
241075	2955
70861	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	5
15926	3701
18711	876
213527	0
12969	0
17756	2
100038569	0
329178	0
66646	1167
68691	546
11363	2221
17901	24
14768	899
227231	0
13869	0
100502712	0
22779	97
66722	0
320460	0
12021	45
74591	0
108147	2915
14268	12913
667931	0
433319	4
381269	47
111175	200
271711	0
22596	167
381270	1
54380	1209
319695	0
19981	5629
16008	0
16011	259
21958	0
69449	0
723792	0
109198	0
21961	2826
435626	0
12765	0
227288	0
76709	30788
227289	0
227290	4950
56695	485
69660	4653
241112	42
18173	15947
227292	7735
387219	5
22349	0
319651	809
58184	1256
18802	3
77264	252
66821	303
57751	502
269209	20
67534	208
104086	3449
241113	0
22420	75
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	0
75570	73
22626	0
