Geneid	HISAT2 on data 225: aligned reads (BAM)
100287102	0
653635	205
102466751	33
100302278	0
645520	0
79501	0
729737	1263
102725121	3
102723897	227
102465909	0
729759	0
100132287	10
105378947	0
101928626	2
102465432	5
81399	0
100133331	87
100288069	30
400728	7
79854	69
643837	597
284593	5
100130417	1
148398	4
26155	2709
339451	454
84069	35
84808	16
57801	65
9636	792
375790	4589
105369174	71
105378948	63
401934	6
54991	591
254099	0
406984	0
406983	0
554210	0
254173	1
8784	26
7293	93
51150	15481
126792	2214
388581	15
118424	2857
6339	68
116983	2220
102465434	0
126789	483
54973	2323
102465435	0
80772	1413
83756	53
1855	2623
102466740	0
54587	190
54998	2872
81669	5539
148413	640
55052	1653
441869	15
643965	0
102724312	0
64856	4
219293	29
83858	1706
55210	1056
339453	8
29101	4728
643988	911
142678	1928
8510	2
984	1842
728661	2784
8511	31
728642	1622
9906	1658
65220	10618
2782	16975
105378949	42
163688	26
339456	45
85452	0
2563	0
5590	20
100506504	17
199990	1419
105378592	4
6497	3867
105378594	33
79906	105
100129534	16
11079	5172
5192	908
9651	12
55229	10
388585	0
115110	2
8764	15
100996583	0
127281	18
79258	0
100287898	3
140625	0
440556	0
63976	6
100422968	0
27237	3
1953	1021
693135	0
127262	3300
49856	636
7161	10
57212	1213
148870	1
388588	41
57470	2362
9731	1872
1677	444
339448	1194
100133612	90
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	452
8514	29789
26038	0
6146	8857
102724450	1
388591	70
23463	3479
148645	14
390992	0
387509	370
11332	1685
54626	115
83715	76
100422975	0
8718	749
57449	41
79707	986
80835	0
3104	1700
9903	5117
148479	1263
90326	533
55735	1398
100505887	0
23261	842
9341	8415
8863	1382
10911	22
3604	405
11315	5520
54206	190
102724539	0
50651	22
473	3843
102724552	1
2023	58417
102465436	0
100505975	0
765	3
155184	16
6518	2614
80045	520
407040	12
9563	10925
80176	5571
100506022	13
84275	549
199953	572
5293	7420
644997	21
101929074	16
22883	6140
56998	1020
84328	1007
64802	856
100847055	0
105376719	0
116362	151
10277	3518
23095	6500
100422970	0
5226	31088
100526739	0
378708	20
1325	2
1676	1232
5195	1484
54897	198
148345	324
23435	5618
10747	156
6723	2277
5394	2541
2475	2736
100873935	1
10218	2
29914	1042
57540	14
101929181	0
26232	32
93611	495
26270	773
10459	926
374946	25
57085	2573
284498	0
102724659	0
4524	4402
1185	1573
100379251	17
4878	40
4879	0
26829	0
90231	6619
5351	6782
9927	7636
60672	1651
102466982	0
943	624
102465836	0
7133	41280
100616438	12
55187	3736
677885	3
9249	6439
102466722	3
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	11
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	140
7799	2930
23254	158
200197	76
55092	3338
727684	12
114827	75
101927417	14
79180	20090
11330	4
63036	0
51032	8
842	1118
23341	1297
79814	79
84301	872
6248	379
23207	12601
284723	201
388595	0
54751	110
440567	87
729614	239
23013	6935
7709	1337
101928566	0
149563	0
27129	89
1187	4
1188	0
348487	0
1969	4
128272	77
101927546	4
79363	132
54455	1585
26099	9305
374955	4
55707	6288
114819	247
26871	0
100126512	0
100126517	0
102724970	1
100133301	0
7195	0
55672	1103
84809	1081
11209	34
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	7
100500876	0
100189298	0
7193	0
791226	0
9696	1114
26870	0
4237	2
23400	4276
6390	3961
11240	7992
29943	0
51702	0
100616188	0
23569	23
353238	0
55920	9421
55160	3692
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	912
100616120	0
100302276	0
126917	840
23352	10654
23065	3919
51154	4771
246181	23
22977	50
100506730	194
8574	5059
54896	4794
832	18819
100532736	0
440574	1778
644068	44
4681	9
3362	0
255104	887
54546	0
23252	538
30814	0
5320	0
5322	0
26279	12
64600	4
391013	11
127733	50
101928017	2
127731	0
339505	0
55450	24
79594	2000
163933	0
978	555
65018	2616
102464833	0
100861548	162
1650	11226
57576	39
400745	0
50809	6916
8672	4057
100302155	0
1889	1917
100506801	5
84224	20
249	10
5909	634
84196	2542
401944	5
3339	397
23436	0
10136	0
101928043	12
29092	421
998	16614
54361	10
100616433	0
9923	2739
2046	0
102466615	0
712	33640
714	58398
713	35225
2048	6158
100616391	0
100422914	0
646262	0
729059	0
23028	2212
100422866	0
100616177	0
7798	2792
3352	0
100996511	67
10236	6031
80818	502
148898	85
6920	18
55616	10
1870	72
101928163	0
3399	1461
259283	5
6135	17826
6924	3230
100506963	17
57095	2528
11313	3160
2582	1739
3155	2457
2517	68468
1269	67
100616492	0
55629	4931
10772	3191
127294	0
58985	2
163702	2617
284632	13
57822	1
90529	160
57185	1257
100750325	0
11123	1372
100506985	181
400746	0
10250	4106
25932	8089
864	6990
102465437	0
100616365	0
25949	2717
57035	4944
6007	22
23585	3919
6006	10
55219	1481
26119	2618
57134	672
57190	17991
56181	1377
646471	232
79000	39
164091	551
3925	1811
100500808	0
5051	2028
2134	4
7780	0
105376910	0
84676	0
149420	712
79927	0
105376887	0
51042	497
10256	2
378807	0
101928303	18
64793	1073
83442	42249
91544	4347
1043	32282
55057	16
257101	2
79727	4
79947	1667
101928324	17
3151	5746
6195	20397
100302190	1
101928728	117
8289	6579
55650	753
84243	4383
2810	0
54707	933
63906	1068
10726	2857
8431	0
126695	0
388610	979
115572	3
6548	2639
23038	5140
84065	1202
644961	57
100887744	0
84958	404
9064	998
8547	0
388611	0
2827	23
10163	17614
27245	1245
2268	30811
2537	15244
199870	621
23673	4298
5511	1810
677774	0
9473	8431
6118	1754
27293	2
55113	765
2140	1701
5724	8675
22826	3802
93974	2999
83667	1117
54797	1282
65979	1597
1104	954
8420	824
6080	15
26768	10
54952	701
85028	1288
692212	30
677838	180
677825	90
692073	101
115273	2481
6883	1003
26824	6
10691	612
105376911	0
51441	3220
4985	0
2035	3398
399474	2
6429	3926
51102	373
10076	20
101928460	0
101929406	0
4146	17
100129196	36
7805	152651
100616164	7
400748	0
9672	2613
9698	5338
692234	3
692235	2
692200	0
79570	0
9410	918
51538	1342
2170	2607
347735	2181
149086	0
284551	0
64129	58
3061	5
553115	1915
1307	2
576	6
100423028	0
90853	9429
8073	12921
10657	6292
55116	719
100847018	0
23633	4310
200081	4739
79140	151
56063	247
55721	67
149069	15
8668	4903
339483	84
84734	0
3932	660
3065	3255
65108	1164
100128071	115
81629	161
55108	3200
728116	0
653121	132
339487	860
5928	3249
81493	26
57648	1231
8565	3807
64766	750
252995	3
3208	0
113452	6
127544	2986
204	2830
113451	40
55223	478
149076	1699
127550	12
1912	5571
100500853	4
101929464	4
7579	377
114784	0
127540	0
402779	0
84970	0
693137	0
2709	2
127534	0
2707	0
2701	4
113444	2114
58512	31
653160	135
100506144	964
9204	2070
79830	542
6421	9120
9202	2305
79932	2771
23154	1462
339488	138
5690	4735
127703	1249
63967	145
192670	4205
26523	4843
192669	2060
27285	0
54936	1741
1296	14486
27095	2726
55700	18224
9967	7991
79729	1066
55194	3124
83931	6512
84967	1636
127700	60
64960	1446
1441	9304
2899	0
100422898	0
728431	250
80149	1665
102465438	10
64769	2206
100847010	21
79753	1059
7802	15
29889	2354
284654	0
54955	622
55143	83
284656	1
149175	433
79693	845
127687	2379
4520	2646
3633	1637
10946	2057
2275	836
51118	1027
5453	117
100500801	0
339442	0
64121	3186
100527950	0
26292	4
81025	0
54933	12
79647	5797
4725	4918
23499	12144
643314	315
105378950	0
353500	153
728448	102
8761	12983
101929516	8
677834	13
26508	56
84618	0
51440	92
10450	1099
656	146
64064	3
105378951	19
101929536	3
54802	681
4610	1763
84879	2019
10487	33625
5538	27717
6018	1459
127391	0
10269	4069
1298	1077
64744	8257
65243	125
339559	266
64789	351
127396	186
9783	266
100130557	73
4802	1636
407034	0
407031	0
9132	11
163732	167
1503	435
100507178	14
200172	28
22955	324
100132074	5
1907	0
59269	2785
2981	0
2980	0
22887	2159
284716	10
84217	45
79717	3136
728621	23
10465	527
4904	51792
149461	0
64175	1790
79078	441
100129924	0
374969	267
114625	991
51058	327
339539	0
6513	392
440584	0
105378684	2
440585	0
10969	1539
102465439	1
149465	0
128218	4
149466	0
7075	10231
4352	53
991	259
64834	10029
102466723	1
112950	1194
23334	2948
102465440	0
81888	4
5792	91
9682	2061
100132774	24
6487	106
101929592	0
102464830	0
9048	0
9670	2349
1802	905
533	17690
8704	345
149473	127
6536	6
128209	0
105378952	0
55929	979
79033	741
100874278	18
55182	4400
100847089	0
79639	709
339541	133
26828	0
26830	0
11004	75
6202	17770
26811	22
94161	0
94162	10
94163	8
266675	14
1263	3198
343521	127
149478	737
8643	79
8891	560
79654	4820
7389	3007
57643	6
400752	14
84842	12
4595	323
114034	309
10420	730
126661	15
25974	70
5052	17768
10327	8114
4678	1589
149483	97
60313	5405
728963	6
51249	905
3652	258
23139	2238
8503	92
101929626	0
10103	10
55624	1739
541468	1
8438	37
10489	3053
7388	3553
387338	765
2166	243
729041	4
101929651	0
127343	18
100507423	84
148930	0
8569	4032
148932	2139
64756	1430
374973	1
100130197	6
9813	8036
1580	0
163720	0
1579	0
260293	76
199974	0
284541	0
100874253	5
10158	0
6886	7
6491	145
51727	6769
102724077	2
2301	0
84793	72
2306	115
388630	2
391037	0
200010	5
54558	65
84871	0
79656	36
101929721	0
100874313	0
1996	6
63950	0
11124	791
1031	180
100616189	0
102466656	0
284546	0
26994	3299
22996	6
102724097	0
2060	3962
114883	3859
4898	6950
100313892	0
5865	0
51060	3055
112970	0
104355143	0
91408	1738
9372	172
200014	3243
4998	114
84950	1158
23318	1135
105378722	12
2882	133
348378	67
65260	695
79699	2883
440590	0
55268	902
6342	6233
100616156	0
100616458	0
100616145	0
127435	0
6512	22
1376	2930
54987	1032
4116	812
100507564	5
7804	833
163742	0
63948	1
148979	1
105369175	0
55706	1155
54432	1309
1733	35
51668	695
115353	704
388633	0
9528	9316
127428	714
100616315	0
200008	6
606495	221
51253	4434
23648	3858
