Geneid	HISAT2 on data 216: aligned reads (BAM)
100287102	0
653635	71
102466751	14
100302278	0
645520	0
79501	0
729737	309
102725121	1
102723897	236
102465909	0
729759	0
100132287	0
105378947	0
101928626	1
102465432	6
81399	0
100133331	18
100288069	11
400728	7
79854	32
643837	552
284593	2
100130417	0
148398	2
26155	1855
339451	159
84069	110
84808	24
57801	162
9636	509
375790	5454
105369174	294
105378948	67
401934	3
54991	726
254099	0
406984	0
406983	0
554210	0
254173	6
8784	890
7293	2445
51150	14382
126792	1658
388581	3
118424	2094
6339	25
116983	1200
102465434	0
126789	233
54973	1695
102465435	0
80772	886
83756	16
1855	2201
102466740	0
54587	144
54998	1669
81669	3459
148413	360
55052	829
441869	6
643965	0
102724312	2
64856	2
219293	3
83858	1688
55210	1183
339453	0
29101	2750
643988	256
142678	648
8510	0
984	1150
728661	788
8511	0
728642	665
9906	366
65220	3995
2782	14821
105378949	18
163688	0
339456	29
85452	0
2563	0
5590	12
100506504	6
199990	453
105378592	3
6497	1110
105378594	8
79906	23
100129534	6
11079	3363
5192	429
9651	5
55229	11
388585	0
115110	2
8764	7
100996583	0
127281	2
79258	0
100287898	0
140625	0
440556	0
63976	2
100422968	0
27237	0
1953	373
693135	0
127262	1406
49856	300
7161	2
57212	428
148870	0
388588	11
57470	1307
9731	1025
1677	169
339448	869
100133612	48
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	192
8514	9579
26038	0
6146	5324
102724450	5
388591	120
23463	1221
148645	6
390992	0
387509	748
11332	839
54626	34
83715	18
100422975	0
8718	263
57449	8
79707	759
80835	0
3104	950
9903	3315
148479	616
90326	338
55735	991
100505887	0
23261	690
9341	5847
8863	565
10911	73
3604	6075
11315	3962
54206	558
102724539	0
50651	5
473	498
102724552	1
2023	43297
102465436	0
100505975	1
765	5
155184	2
6518	759
80045	350
407040	3
9563	10375
80176	5430
100506022	2
84275	1254
199953	293
5293	4916
644997	10
101929074	2
22883	2149
56998	268
84328	574
64802	235
100847055	0
105376719	2
116362	94
10277	1141
23095	9676
100422970	0
5226	27394
100526739	0
378708	11
1325	0
1676	529
5195	530
54897	1449
148345	18
23435	4595
10747	63
6723	1622
5394	2305
2475	1951
100873935	0
10218	8
29914	893
57540	0
101929181	0
26232	10
93611	125
26270	553
10459	496
374946	6
57085	1201
284498	0
102724659	0
4524	1654
1185	898
100379251	20
4878	18
4879	0
26829	0
90231	1408
5351	3504
9927	5106
60672	1046
102466982	0
943	154
102465836	0
7133	30685
100616438	3
55187	2638
677885	1
9249	980
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	7
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	78
7799	2248
23254	51
200197	13
55092	1522
727684	3
114827	85
101927417	0
79180	19122
11330	14
63036	0
51032	1
842	374
23341	673
79814	7
84301	234
6248	168
23207	9689
284723	240
388595	2
54751	32
440567	81
729614	120
23013	5059
7709	1799
101928566	0
149563	0
27129	8
1187	4
1188	0
348487	0
1969	6
128272	83
101927546	0
79363	22
54455	2478
26099	9670
374955	1
55707	5403
114819	51
26871	0
100126512	1
100126517	0
102724970	0
100133301	0
7195	0
55672	118
84809	269
11209	16
26869	0
729574	0
100126533	0
284729	1
100189045	0
102723383	0
6060	0
11223	2
100500876	0
100189298	0
7193	0
791226	0
9696	240
26870	0
4237	0
23400	2132
6390	2080
11240	2971
29943	6
51702	0
100616188	0
23569	4
353238	6
55920	7778
55160	2496
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	774
100616120	0
100302276	0
126917	398
23352	16181
23065	2254
51154	2534
246181	1
22977	23
100506730	57
8574	2877
54896	1424
832	11182
100532736	0
440574	1280
644068	26
4681	7
3362	0
255104	242
54546	0
23252	276
30814	0
5320	0
5322	0
26279	10
64600	0
391013	0
127733	2
101928017	0
127731	0
339505	0
55450	6
79594	1433
163933	0
978	391
65018	724
102464833	0
100861548	77
1650	7676
57576	10
400745	0
50809	3898
8672	1993
100302155	0
1889	5064
100506801	20
84224	11
249	8
5909	111
84196	783
401944	2
3339	127
23436	0
10136	0
101928043	3
29092	121
998	16211
54361	8
100616433	0
9923	1569
2046	0
102466615	0
712	17516
714	21416
713	23922
2048	1002
100616391	0
100422914	0
646262	0
729059	0
23028	2087
100422866	0
100616177	0
7798	2535
3352	0
100996511	42
10236	5812
80818	315
148898	22
6920	12
55616	2
1870	6
101928163	0
3399	578
259283	5
6135	10796
6924	6004
100506963	1
57095	1093
11313	1663
2582	735
3155	871
2517	16111
1269	0
100616492	0
55629	6195
10772	3927
127294	1
58985	8
163702	2421
284632	4
57822	0
90529	56
57185	431
100750325	0
11123	449
100506985	36
400746	0
10250	2297
25932	29151
864	1656
102465437	0
100616365	0
25949	1132
57035	1706
6007	8
23585	2074
6006	3
55219	1298
26119	324
57134	238
57190	8200
56181	415
646471	70
79000	21
164091	71
3925	528
100500808	0
5051	492
2134	5
7780	0
105376910	0
84676	0
149420	207
79927	0
105376887	0
51042	393
10256	7
378807	0
101928303	6
64793	508
83442	27922
91544	1501
1043	32122
55057	0
257101	0
79727	0
79947	1009
101928324	9
3151	1732
6195	15196
100302190	0
101928728	35
8289	3052
55650	736
84243	2201
2810	0
54707	778
63906	577
10726	1500
8431	6
126695	2
388610	194
115572	8
6548	1056
23038	1718
84065	544
644961	62
100887744	0
84958	109
9064	386
8547	0
388611	0
2827	67
10163	10301
27245	488
2268	29490
2537	8747
199870	210
23673	6078
5511	1386
677774	0
