Geneid	HISAT2 on data 214: aligned reads (BAM)
100287102	0
653635	118
102466751	24
100302278	0
645520	0
79501	0
729737	646
102725121	3
102723897	173
102465909	0
729759	0
100132287	2
105378947	0
101928626	4
102465432	6
81399	0
100133331	41
100288069	11
400728	20
79854	33
643837	543
284593	0
100130417	0
148398	0
26155	1768
339451	153
84069	38
84808	26
57801	97
9636	588
375790	6862
105369174	510
105378948	92
401934	12
54991	599
254099	0
406984	0
406983	0
554210	0
254173	2
8784	820
7293	2142
51150	15726
126792	1497
388581	6
118424	1808
6339	58
116983	1495
102465434	0
126789	293
54973	1654
102465435	0
80772	870
83756	8
1855	2171
102466740	0
54587	214
54998	1623
81669	3950
148413	414
55052	903
441869	12
643965	0
102724312	0
64856	8
219293	0
83858	1657
55210	1002
339453	0
29101	3051
643988	391
142678	592
8510	0
984	1065
728661	1008
8511	0
728642	651
9906	429
65220	4705
2782	15699
105378949	10
163688	3
339456	25
85452	0
2563	0
5590	6
100506504	2
199990	412
105378592	2
6497	890
105378594	7
79906	65
100129534	14
11079	4154
5192	538
9651	1
55229	6
388585	0
115110	12
8764	18
100996583	0
127281	6
79258	2
100287898	1
140625	0
440556	2
63976	2
100422968	0
27237	4
1953	591
693135	0
127262	1623
49856	280
7161	9
57212	460
148870	0
388588	0
57470	1400
9731	1118
1677	179
339448	913
100133612	67
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	252
8514	14583
26038	0
6146	5719
102724450	2
388591	75
23463	1930
148645	2
390992	0
387509	953
11332	1195
54626	44
83715	25
100422975	0
8718	115
57449	3
79707	771
80835	0
3104	1047
9903	2272
148479	510
90326	330
55735	1011
100505887	0
23261	551
9341	7051
8863	781
10911	73
3604	4599
11315	4351
54206	256
102724539	0
50651	0
473	681
102724552	2
2023	49421
102465436	0
100505975	2
765	6
155184	0
6518	1102
80045	833
407040	3
9563	6200
80176	5294
100506022	1
84275	1065
199953	328
5293	4622
644997	8
101929074	0
22883	2550
56998	376
84328	665
64802	358
100847055	0
105376719	0
116362	109
10277	1588
23095	9198
100422970	0
5226	31333
100526739	0
378708	14
1325	2
1676	540
5195	652
54897	761
148345	16
23435	4762
10747	76
6723	1737
5394	2689
2475	2438
100873935	0
10218	3
29914	689
57540	2
101929181	0
26232	3
93611	151
26270	489
10459	421
374946	11
57085	1605
284498	2
102724659	0
4524	2560
1185	1323
100379251	47
4878	39
4879	0
26829	0
90231	2140
5351	6273
9927	5731
60672	1380
102466982	0
943	187
102465836	0
7133	39415
100616438	9
55187	3301
677885	4
9249	1244
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	5
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	2
10630	90
7799	2027
23254	33
200197	14
55092	1959
727684	5
114827	51
101927417	0
79180	19761
11330	3
63036	0
51032	2
842	478
23341	827
79814	9
84301	527
6248	236
23207	10009
284723	226
388595	1
54751	201
440567	85
729614	131
23013	5369
7709	1996
101928566	1
149563	0
27129	26
1187	2
1188	0
348487	0
1969	5
128272	46
101927546	0
79363	32
54455	2006
26099	8147
374955	2
55707	5465
114819	58
26871	0
100126512	6
100126517	0
102724970	0
100133301	0
7195	0
55672	207
84809	385
11209	13
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	4
100500876	0
100189298	0
7193	0
791226	0
9696	228
26870	1
4237	0
23400	3513
6390	2943
11240	2364
29943	8
51702	0
100616188	0
23569	3
353238	2
55920	6869
55160	3374
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	1410
100616120	0
100302276	0
126917	383
23352	16176
23065	3383
51154	2920
246181	6
22977	31
100506730	52
8574	3038
54896	1780
832	12280
100532736	0
440574	1422
644068	7
4681	10
3362	4
255104	335
54546	0
23252	334
30814	0
5320	0
5322	0
26279	14
64600	0
391013	4
127733	0
101928017	0
127731	0
339505	0
55450	2
79594	1745
163933	0
978	501
65018	892
102464833	0
100861548	98
1650	10741
57576	26
400745	4
50809	3949
8672	2454
100302155	0
1889	4332
100506801	1
84224	10
249	12
5909	175
84196	1183
401944	4
3339	245
23436	0
10136	0
101928043	0
29092	147
998	15913
54361	5
100616433	0
9923	1385
2046	0
102466615	0
712	22259
714	24598
713	34205
2048	1036
100616391	0
100422914	0
646262	0
729059	0
23028	1489
100422866	0
100616177	0
7798	2585
3352	0
100996511	19
10236	4530
80818	268
148898	17
6920	4
55616	6
1870	28
101928163	0
3399	328
259283	0
6135	10765
6924	4553
100506963	2
57095	1111
11313	1452
2582	1081
3155	1166
2517	27778
