Geneid	HISAT2 on data 219: aligned reads (BAM)
100287102	0
653635	181
102466751	7
100302278	0
645520	0
79501	0
729737	1031
102725121	0
102723897	43
102465909	0
729759	0
100132287	4
105378947	1
101928626	5
102465432	3
81399	0
100133331	40
100288069	19
400728	2
79854	19
643837	237
284593	0
100130417	0
148398	1
26155	1772
339451	175
84069	11
84808	2
57801	22
9636	328
375790	3944
105369174	108
105378948	51
401934	1
54991	373
254099	0
406984	0
406983	0
554210	0
254173	0
8784	30
7293	74
51150	12246
126792	1080
388581	8
118424	1537
6339	43
116983	1435
102465434	0
126789	214
54973	1343
102465435	0
80772	956
83756	16
1855	1392
102466740	0
54587	157
54998	1977
81669	2658
148413	365
55052	1114
441869	2
643965	0
102724312	0
64856	4
219293	13
83858	627
55210	853
339453	2
29101	3372
643988	896
142678	906
8510	4
984	1140
728661	1354
8511	3
728642	961
9906	881
65220	6779
2782	11510
105378949	18
163688	0
339456	10
85452	0
2563	0
5590	6
100506504	0
199990	787
105378592	0
6497	1896
105378594	8
79906	110
100129534	15
11079	3434
5192	459
9651	2
55229	3
388585	0
115110	3
8764	23
100996583	0
127281	155
79258	1
100287898	0
140625	0
440556	1
63976	0
100422968	0
27237	4
1953	798
693135	0
127262	2002
49856	334
7161	46
57212	498
148870	0
388588	5
57470	1215
9731	1002
1677	153
339448	600
100133612	70
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	229
8514	23680
26038	0
6146	6883
102724450	0
388591	33
23463	2515
148645	2
390992	0
387509	287
11332	1410
54626	147
83715	21
100422975	0
8718	66
57449	0
79707	560
80835	0
3104	891
9903	3074
148479	739
90326	249
55735	1002
100505887	0
23261	565
9341	4344
8863	1243
10911	9
3604	267
11315	4736
54206	119
102724539	0
50651	16
473	2454
102724552	10
2023	46017
102465436	0
100505975	1
765	2
155184	2
6518	3851
80045	329
407040	7
9563	4316
80176	3293
100506022	13
84275	345
199953	330
5293	3624
644997	16
101929074	4
22883	3533
56998	702
84328	662
64802	586
100847055	3
105376719	0
116362	189
10277	2493
23095	4121
100422970	0
5226	24047
100526739	0
378708	10
1325	0
1676	636
5195	1305
54897	86
148345	102
23435	3481
10747	76
6723	1625
5394	1524
2475	2066
100873935	0
10218	7
29914	514
57540	0
101929181	0
26232	10
93611	259
26270	470
10459	678
374946	39
57085	1980
284498	0
102724659	0
4524	3030
1185	1150
100379251	9
4878	18
4879	0
26829	0
90231	3755
5351	3910
9927	4335
60672	1225
102466982	0
943	251
102465836	0
7133	21473
100616438	1
55187	2344
677885	2
9249	4284
102466722	3
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	3
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
