Geneid	HISAT2 on data 152: aligned reads (BAM)
100287102	0
653635	1
102466751	0
100302278	0
645520	0
79501	0
729737	2
102725121	0
102723897	1
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	1
81399	0
100133331	0
100288069	0
400728	2
79854	9
643837	24
284593	0
100130417	6
148398	0
26155	1
339451	4
84069	5
84808	0
57801	236
9636	13368
375790	8
105369174	0
105378948	0
401934	0
54991	21
254099	0
406984	0
406983	0
554210	0
254173	18
8784	500
7293	471
51150	392
126792	13
388581	7
118424	293
6339	1
116983	25
102465434	0
126789	38
54973	173
102465435	0
80772	48
83756	0
1855	22
102466740	0
54587	1
54998	1373
81669	159
148413	27
55052	437
441869	0
643965	0
102724312	0
64856	3
219293	1
83858	55
55210	98
339453	0
29101	703
643988	8
142678	146
8510	1
984	151
728661	7
8511	0
728642	131
9906	19
65220	98
2782	412
105378949	1
163688	0
339456	0
85452	0
2563	0
5590	0
100506504	2
199990	447
105378592	0
6497	26
105378594	0
79906	3
100129534	0
11079	604
5192	7
9651	0
55229	0
388585	0
115110	0
8764	0
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	3
63976	15
100422968	0
27237	0
1953	2
693135	0
127262	22
49856	92
7161	3
57212	15
148870	0
388588	220
57470	111
9731	52
1677	15
339448	161
100133612	0
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	5
8514	106
26038	4
6146	2472
102724450	0
388591	0
23463	54
148645	0
390992	0
387509	1
11332	172
54626	0
83715	9
100422975	0
8718	86
57449	2
79707	35
80835	0
3104	47
9903	18
148479	5
90326	74
55735	5
100505887	0
23261	468
9341	63
8863	22
10911	4
3604	15
11315	2966
54206	1
102724539	0
50651	1
473	66
102724552	9
2023	3641
102465436	0
100505975	4
765	0
155184	0
6518	19
80045	1
407040	0
9563	18
80176	19
100506022	0
84275	116
199953	19
5293	133
644997	10
101929074	11
22883	64
56998	308
84328	149
64802	29
100847055	0
105376719	0
116362	0
10277	40
23095	27
100422970	0
5226	261
100526739	0
378708	72
1325	0
1676	130
5195	46
54897	13
148345	1
23435	304
10747	0
6723	369
5394	88
2475	23
100873935	0
10218	0
29914	57
57540	0
101929181	0
26232	3
93611	18
26270	283
10459	277
374946	0
57085	72
284498	0
102724659	2
4524	25
1185	16
100379251	0
4878	0
4879	0
26829	0
90231	84
5351	22
9927	37
60672	107
102466982	0
943	1
102465836	0
7133	137
100616438	0
55187	29
677885	0
9249	29
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	119
23254	0
200197	0
55092	36
727684	0
114827	1
101927417	0
79180	593
11330	0
63036	0
51032	0
842	49
23341	11
79814	6
84301	4
6248	1
23207	32
284723	3
388595	0
54751	1
440567	28
729614	122
23013	65
7709	45
101928566	0
149563	0
27129	0
1187	0
1188	0
348487	0
1969	15
128272	25
101927546	0
79363	1
54455	24
26099	280
374955	0
55707	397
114819	1
26871	5
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	0
84809	53
11209	0
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	0
100500876	0
100189298	0
7193	0
791226	0
9696	11
26870	0
4237	0
23400	48
6390	705
11240	2
29943	0
51702	0
100616188	0
23569	42
353238	2
55920	170
55160	12
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	12
100616120	0
100302276	0
126917	10
23352	64
23065	53
51154	218
246181	2
22977	0
100506730	0
8574	407
54896	29
832	1300
100532736	0
440574	1567
644068	95
4681	0
3362	0
255104	32
54546	0
23252	7
30814	0
5320	0
5322	0
26279	6
64600	0
391013	0
127733	1
101928017	5
127731	0
339505	0
55450	0
79594	76
163933	1
978	7
65018	0
102464833	0
100861548	2
1650	502
57576	18
400745	0
50809	294
