Geneid	HISAT2 on data 215: aligned reads (BAM)
100287102	0
653635	2
102466751	0
100302278	0
645520	0
79501	0
729737	12
102725121	0
102723897	11
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	0
81399	0
100133331	0
100288069	1
400728	0
79854	38
643837	39
284593	0
100130417	5
148398	0
26155	0
339451	13
84069	25
84808	1
57801	109
9636	4870
375790	1
105369174	1
105378948	13
401934	0
54991	36
254099	0
406984	0
406983	0
554210	0
254173	54
8784	1616
7293	1165
51150	705
126792	34
388581	2
118424	497
6339	5
116983	32
102465434	0
126789	46
54973	219
102465435	0
80772	137
83756	0
1855	8
102466740	0
54587	1
54998	2049
81669	276
148413	33
55052	438
441869	9
643965	0
102724312	0
64856	0
219293	4
83858	82
55210	86
339453	0
29101	1246
643988	7
142678	378
8510	1
984	210
728661	30
8511	0
728642	337
9906	79
65220	154
2782	597
105378949	6
163688	0
339456	4
85452	0
2563	0
5590	3
100506504	0
199990	899
105378592	8
6497	64
105378594	0
79906	2
100129534	1
11079	1250
5192	7
9651	0
55229	0
388585	0
115110	0
8764	1
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	5
63976	25
100422968	0
27237	0
1953	10
693135	0
127262	48
49856	156
7161	2
57212	29
148870	0
388588	89
57470	164
9731	144
1677	28
339448	179
100133612	0
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	16
8514	261
26038	0
6146	4250
102724450	0
388591	4
23463	74
148645	1
390992	0
387509	2
11332	304
54626	0
83715	1
100422975	0
8718	229
57449	1
79707	70
80835	0
3104	67
9903	32
148479	36
90326	136
55735	2
100505887	0
23261	751
9341	143
8863	17
10911	85
3604	72
11315	5551
54206	1
102724539	0
50651	0
473	144
102724552	3
2023	6355
102465436	0
100505975	15
765	0
155184	0
6518	23
80045	0
407040	0
9563	26
80176	23
100506022	2
84275	213
199953	17
5293	350
644997	12
101929074	24
22883	104
56998	510
84328	274
64802	54
100847055	0
105376719	1
116362	18
10277	60
23095	43
100422970	0
5226	379
100526739	0
378708	110
1325	0
1676	238
5195	55
54897	21
148345	2
23435	356
10747	4
6723	360
5394	119
2475	58
100873935	0
10218	0
29914	124
57540	0
101929181	0
26232	7
93611	59
26270	356
10459	478
374946	0
57085	163
284498	0
102724659	0
4524	54
1185	57
100379251	0
4878	0
4879	0
26829	1
90231	107
5351	37
9927	51
60672	276
102466982	0
943	17
102465836	0
7133	218
100616438	0
55187	68
677885	0
9249	98
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
