Geneid	HISAT2 on data 174: aligned reads (BAM)
100287102	0
653635	19
102466751	0
100302278	0
645520	0
79501	0
729737	310
102725121	5
102723897	56
102465909	0
729759	0
100132287	0
105378947	1
101928626	5
102465432	142
81399	0
100133331	109
100288069	17
400728	36
79854	38
643837	374
284593	0
100130417	0
148398	0
26155	756
339451	147
84069	3
84808	0
57801	0
9636	62
375790	1253
105369174	22
105378948	9
401934	2
54991	240
254099	0
406984	0
406983	0
554210	0
254173	4
8784	2
7293	6
51150	3269
126792	753
388581	5
118424	766
6339	75
116983	502
102465434	0
126789	87
54973	1321
102465435	0
80772	256
83756	22
1855	500
102466740	0
54587	41
54998	139
81669	2565
148413	297
55052	925
441869	2
643965	0
102724312	0
64856	0
219293	6
83858	148
55210	187
339453	1
29101	1973
643988	279
142678	302
8510	0
984	520
728661	1398
8511	0
728642	164
9906	1476
65220	5832
2782	19009
105378949	27
163688	0
339456	0
85452	0
2563	0
5590	5
100506504	18
199990	354
105378592	0
6497	1981
105378594	6
79906	53
100129534	39
11079	2807
5192	249
9651	2
55229	0
388585	0
115110	0
8764	3
100996583	0
127281	6
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	4
1953	206
693135	0
127262	2163
49856	427
7161	113
57212	721
148870	2
388588	6
57470	1253
9731	2031
1677	161
339448	1395
100133612	39
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	410
8514	14553
26038	7
6146	7607
102724450	0
388591	49
23463	3434
148645	6
390992	0
387509	57
11332	263
54626	156
83715	6
100422975	0
8718	2
57449	8
79707	1227
80835	11
3104	787
9903	1001
148479	771
90326	239
55735	1167
100505887	0
23261	684
9341	8883
8863	4972
10911	5
3604	63
11315	1469
54206	219
102724539	0
50651	3
473	5963
102724552	13
2023	12655
102465436	0
100505975	0
765	0
155184	0
6518	2722
80045	221
407040	2
9563	6100
80176	1077
100506022	14
84275	94
199953	344
5293	5327
644997	38
101929074	15
22883	4909
56998	721
84328	1669
64802	1017
100847055	0
105376719	3
116362	80
10277	4747
23095	4814
100422970	0
5226	7011
100526739	0
378708	14
1325	0
1676	990
5195	649
54897	100
148345	216
23435	4055
10747	310
6723	1237
5394	2959
2475	3644
100873935	9
10218	12
29914	855
57540	0
101929181	0
26232	0
93611	172
26270	236
10459	324
374946	12
57085	1668
284498	2
102724659	0
4524	2306
1185	2160
100379251	12
4878	7
4879	0
26829	46
90231	1626
5351	5527
9927	3273
60672	352
102466982	0
943	59
102465836	0
7133	12857
100616438	1
55187	6395
677885	2
9249	5076
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	2
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	564
7799	5728
23254	48
200197	68
55092	3250
727684	59
114827	181
101927417	9
79180	5579
11330	1
63036	0
51032	7
842	570
23341	2207
79814	25
84301	876
6248	857
23207	8299
284723	269
388595	0
54751	39
440567	65
729614	114
23013	11287
7709	744
101928566	0
149563	0
27129	2
1187	0
1188	0
348487	0
1969	4
128272	24
101927546	2
79363	26
54455	2018
26099	4500
374955	11
55707	5434
114819	369
26871	0
100126512	84
100126517	0
102724970	0
100133301	0
7195	1
55672	1744
84809	239
11209	7
26869	0
729574	0
100126533	15
284729	0
100189045	1
102723383	0
6060	3
11223	3
100500876	0
100189298	0
7193	0
791226	1
9696	113
26870	13
4237	0
23400	1332
6390	2929
11240	4919
29943	3
51702	0
100616188	0
23569	0
353238	0
55920	4998
55160	2134
81569	0
101927876	0
84966	2
127707	1
5081	0
80834	0
8659	385
100616120	0
100302276	0
126917	384
23352	15023
23065	3015
51154	666
246181	9
22977	14
100506730	212
8574	1050
54896	1136
832	10547
100532736	0
440574	383
644068	61
4681	0
3362	18
255104	358
54546	0
23252	329
30814	0
5320	0
5322	0
26279	26
64600	8
391013	4
127733	83
101928017	1
127731	0
339505	0
55450	1
79594	1358
163933	0
978	711
65018	1236
102464833	0
100861548	256
1650	4301
57576	75
400745	0
50809	10686
8672	6882
100302155	0
1889	634
100506801	0
84224	16
249	0
5909	12
84196	3377
401944	0
3339	46
23436	0
10136	0
101928043	8
29092	444
998	14094
54361	35
100616433	0
9923	2393
2046	0
102466615	0
712	5241
714	4818
713	2721
2048	1244
100616391	0
100422914	0
646262	0
729059	0
23028	2537
100422866	0
100616177	0
7798	3037
3352	0
100996511	83
10236	5679
80818	1170
148898	67
6920	10
55616	33
1870	63
101928163	1
3399	141
259283	2
6135	11127
6924	2579
100506963	32
57095	2545
11313	861
2582	718
3155	1492
2517	28182
1269	20
100616492	0
55629	3772
10772	2865
127294	0
58985	0
163702	173
284632	0
57822	1
90529	224
57185	1337
100750325	1
11123	2029
100506985	251
400746	2
10250	5885
25932	13975
864	3106
102465437	0
100616365	0
25949	3619
57035	2001
6007	74
23585	2422
6006	2
55219	1381
26119	679
57134	376
57190	8566
56181	892
646471	160
79000	37
164091	576
3925	6423
100500808	0
5051	1006
2134	3
7780	2
105376910	0
84676	2
149420	991
79927	0
105376887	0
51042	60
10256	4
378807	0
101928303	0
64793	855
83442	19801
91544	1156
1043	2424
55057	13
257101	16
79727	2
79947	1882
101928324	50
3151	1352
6195	7555
100302190	0
101928728	49
8289	10376
55650	318
84243	2343
2810	0
54707	621
63906	434
10726	604
8431	4
126695	1
388610	0
115572	0
6548	6446
23038	3466
84065	949
644961	78
100887744	0
84958	32
9064	583
8547	1
388611	0
2827	6
10163	15183
27245	479
2268	13957
2537	4371
199870	635
23673	5268
5511	1919
677774	109
9473	8653
6118	1763
27293	11
55113	339
2140	2606
5724	11078
22826	5425
93974	1719
83667	1440
54797	550
65979	4713
1104	758
8420	426
6080	605
26768	4268
54952	867
85028	498
692212	53
677838	107
677825	1115
692073	1019
115273	544
6883	1460
26824	217
10691	610
105376911	9
51441	2339
4985	0
2035	4496
399474	2
6429	4025
51102	155
10076	2
101928460	0
101929406	0
4146	0
100129196	51
7805	82936
100616164	8
400748	0
9672	6132
9698	9324
692234	0
692235	0
692200	2
79570	0
9410	563
51538	538
2170	4679
347735	10878
149086	1
284551	5
64129	6
3061	7
553115	1489
1307	0
576	2
100423028	0
90853	108
8073	11167
10657	5797
55116	460
100847018	0
23633	5444
200081	4279
79140	33
56063	210
55721	81
149069	41
8668	2808
339483	42
84734	0
3932	24
3065	979
65108	37
100128071	2
81629	243
55108	1575
728116	0
653121	129
339487	766
5928	3344
81493	2
57648	319
8565	6303
64766	1273
252995	35
3208	4
113452	0
127544	1702
204	2332
113451	25
55223	199
149076	1995
127550	3
1912	2632
100500853	1
101929464	4
7579	380
114784	2
127540	0
402779	0
84970	0
693137	0
2709	0
127534	0
2707	1
2701	2
113444	1044
58512	3
653160	154
100506144	821
9204	2053
79830	1267
6421	4426
9202	5551
79932	3605
23154	374
339488	36
5690	4512
127703	501
63967	89
192670	5401
26523	9297
192669	3541
27285	0
54936	459
1296	556
27095	2308
55700	4750
9967	7985
79729	1939
55194	271
83931	7433
84967	1008
127700	161
64960	1161
1441	7306
2899	0
100422898	0
728431	97
80149	572
102465438	0
64769	3129
100847010	2
79753	552
7802	16
29889	1338
284654	0
54955	327
55143	37
284656	1
149175	108
79693	286
127687	126
4520	1949
3633	2732
10946	1952
2275	487
51118	1443
5453	26
100500801	0
339442	0
64121	4095
100527950	29
26292	1
81025	0
54933	38
79647	2631
4725	2645
23499	14594
643314	363
105378950	5
353500	290
728448	249
8761	9428
101929516	50
677834	73
26508	24
84618	0
51440	0
10450	670
656	127
64064	1
105378951	1
101929536	2
54802	648
4610	652
84879	4677
10487	23679
5538	22135
6018	3387
127391	4
10269	4031
1298	121
64744	9474
65243	120
339559	179
64789	405
127396	232
9783	82
100130557	90
4802	2339
407034	6
407031	1
9132	39
163732	2
1503	250
100507178	12
200172	6
22955	804
100132074	0
1907	0
59269	394
2981	0
2980	0
22887	4501
284716	10
84217	54
79717	1195
728621	138
10465	308
4904	22701
149461	0
64175	1087
79078	313
100129924	5
374969	122
114625	616
51058	425
339539	3
6513	155
440584	2
105378684	0
440585	0
10969	513
102465439	0
149465	0
128218	0
149466	0
7075	37
4352	11
991	23
64834	3137
102466723	0
112950	1233
23334	3684
102465440	1
81888	15
5792	6
9682	1655
100132774	46
6487	168
101929592	5
102464830	0
9048	16
9670	1717
1802	286
533	4185
8704	104
149473	31
6536	106
128209	1
105378952	0
55929	337
79033	380
100874278	13
55182	1657
100847089	0
79639	368
339541	52
26828	34
26830	8
11004	36
6202	9520
26811	4
94161	34
94162	9
94163	1
266675	5
1263	1566
343521	95
149478	338
8643	188
8891	501
79654	3905
7389	2697
57643	16
400752	11
84842	7
4595	199
114034	315
10420	1337
126661	14
25974	209
5052	6651
10327	2254
4678	726
149483	73
60313	7219
728963	32
51249	1637
3652	158
23139	2373
8503	261
101929626	2
10103	3
55624	588
541468	3
8438	37
10489	2391
7388	1908
387338	1368
2166	60
729041	2
101929651	0
127343	2
100507423	54
148930	0
8569	2319
148932	1027
64756	881
374973	10
100130197	19
9813	11890
1580	0
163720	0
1579	0
260293	4
199974	0
284541	0
100874253	0
10158	0
6886	2
6491	140
51727	6522
102724077	16
2301	0
84793	62
2306	17
388630	2
391037	2
200010	6
54558	389
84871	0
79656	2
101929721	0
100874313	0
1996	2
63950	0
11124	1318
1031	49
100616189	0
102466656	0
284546	0
26994	3132
22996	10
102724097	0
2060	6611
114883	3250
4898	6345
100313892	0
5865	1
51060	3807
112970	0
104355143	9
91408	4015
9372	71
200014	1997
4998	36
84950	1652
23318	3414
105378722	2
2882	11
348378	1
65260	466
79699	7082
440590	0
55268	409
6342	5804
100616156	0
100616458	0
100616145	0
127435	4
6512	12
1376	1512
54987	1071
4116	577
100507564	14
7804	67
163742	0
63948	0
148979	0
105369175	0
55706	990
54432	1550
1733	44
51668	341
115353	207
388633	0
9528	12404
127428	901
100616315	0
200008	10
606495	218
51253	1126
23648	1469
619518	34
26027	205
338094	23
374977	13
100527960	6
7268	93
25973	233
55001	4
163747	0
1718	723
100126514	0
199964	0
7809	0
255738	0
23358	7106
100507634	34
100616272	0
8613	19006
5563	0
199920	0
731	0
732	0
1600	0
101926890	0
115209	1008
4070	1
114803	3367
3725	8019
100131060	16
101926925	53
729467	0
55277	307
100616409	0
101926944	8
51361	10
1573	0
127795	0
101926964	0
100996570	0
4774	1531
645030	3
414927	0
83941	672
10207	58
100422902	0
100422946	0
54596	1
163782	8
7398	1549
85440	4742
27329	28
84938	1854
199899	0
100996301	0
27022	0
102464823	0
29929	539
23421	250
84455	92
79469	6
5236	1160
4919	10
101927034	5
148581	2
57685	60
100616338	0
55225	84
3716	15033
101927084	35
105378775	33
100500854	21
406893	0
205	278
9829	28
54741	7323
3953	395
5142	1249
101927139	9
84251	0
100422871	0
200132	12
10022	0
79819	89
57708	3436
23169	1036
400757	1
149233	2
3595	9
26135	7536
1647	67
55970	275
100289178	10
9077	0
79971	1022
100302279	0
6121	0
55635	8
101927220	0
57554	49
5301	0
55631	867
9295	4659
81573	1713
11147	142
1491	38
101927244	0
5733	4
100132618	15
9406	1587
406962	6
100852410	1
257194	10
100852409	0
101927295	0
127255	7
100526835	0
8790	1045
51086	0
105378804	0
105378803	0
127254	0
101927320	0
1429	1245
127253	711
431707	0
204962	9
34	1309
1744	81
5876	2250
692085	13
26805	63
26804	12
4438	10
127247	0
101927342	0
256435	444
81849	0
102466995	0
10026	1652
26289	59
26009	7056
23032	2949
374986	1222
374987	5
91624	200
8880	2517
11080	594
54810	2
149047	0
5737	0
10964	1550
10561	1180
64123	0
101927412	0
23266	2
101927434	0
101927498	0
101927587	0
101927560	0
79739	2
5567	7571
148418	237
391051	0
58511	1871
80135	1015
2787	5494
100505741	111
1486	2643
103695366	0
439927	0
117178	379
23566	59
255231	144
55283	853
126820	26
100616481	0
84144	26
148423	550
8915	2075
646626	22
23576	15
3491	0
54680	895
255631	6
57489	270
102465842	0
9635	0
1179	0
22802	2
9629	5
105378828	20
51100	8956
9403	7363
9653	9332
339524	26
101927844	1
105378832	0
8543	2688
100505768	13
101927891	4
5586	3084
2959	1416
56267	836
494115	627
2635	206
2633	404
2634	749
388646	6
115361	841
115362	739
729930	0
163351	2
400759	1
23507	1021
84230	3221
400761	27
55144	5525
105378846	42
492303	16
284695	578
343472	0
84146	3951
164045	2
8317	67
7049	90
676	0
253152	0
646817	56
284697	34
23285	187
388649	1
11146	187
79871	539
2672	11
7813	3719
6125	17015
388650	378
6083	109
26782	19
22823	1361
50999	13440
343099	520
100131564	672
1810	2961
54874	610
100126520	0
8412	436
100129046	19
100126348	2
100189133	16
30836	1563
2730	551
24	0
9411	4
5825	2307
2152	36
101928079	0
100616321	0
126969	0
1266	4
105378862	0
729970	0
199857	142
101928098	1
148534	10
100527978	5
101928118	0
25950	94
440594	0
100996635	0
102723661	0
101928241	0
58155	647
1806	5715
100873932	9
100873933	16
400765	0
100616452	0
406928	0
729987	0
51375	2
163404	0
100129620	0
9890	0
101928270	0
54873	1
391059	1744
178	1942
23443	954
64645	2703
163786	337
54482	377
127495	47
1629	1635
100506007	26
8634	1430
693138	6
8556	627
54112	1
100128787	0
7412	4
2135	642
148867	5469
51611	324
102606465	36
101928334	0
101928370	8
1901	620
104355286	0
118427	0
94236	0
1301	0
101928436	5
55599	1515
280	411
648740	21
279	1
276	0
277	0
278	0
100129138	3
101928476	0
55170	510
22854	0
10451	2338
102465839	0
100873946	4
29957	7871
148545	0
653149	3
284611	3575
113802	170
55119	1614
163479	0
6814	2025
254268	0
642864	0
29899	89
23155	2095
22911	1271
6884	534
56900	2961
677766	608
127003	3
57535	11
6301	8248
1952	312
84722	293
343263	5
6272	25543
5686	1074
284612	2
127002	120
284613	666
57463	18
83873	16
2773	5251
406974	4
2780	80
271	1536
2948	602
2946	130
2944	406
2949	3
2947	302
79574	0
1435	4530
10768	10028
85369	1529
257	43
104355139	0
164153	0
388662	0
100873974	7
3749	248
440600	11
64783	1876
9122	74
10542	2283
101410535	1
84432	2
643160	0
440602	7
3744	156
3737	319
3738	1052
963	13305
55791	1026
128338	6803
10390	5633
79961	6082
1117	18
149620	0
27159	0
128344	1
441897	0
5016	90
79084	582
515	4301
128346	6811
57413	54
140	453
100129269	27
5906	6737
55924	834
100506343	0
101928718	6
11218	817
3752	1
100874295	0
100873995	0
643355	0
55917	4630
100422976	12
7482	194
54879	790
829	13338
4343	1273
389	1177
333926	4
284467	5
100996702	0
6566	684
246182	3
100506392	30
100996251	45
9860	1316
643441	0
260425	84
10745	479
54665	2115
100287722	30
26191	3262
440603	20
10717	267
64858	1416
101928846	4
204851	12212
56944	0
148281	0
51592	5632
10286	872
163259	74
270	0
4893	6969
7812	26316
80143	2093
6847	0
7252	0
10100	6
4803	0
81839	170
845	0
4808	0
101928995	2
101928977	44
55356	3056
126868	54
476	13084
84852	30
101929023	2
965	2625
100616384	2
3321	8
100302117	0
388667	0
914	6
5738	2168
9398	1147
101929099	16
8458	625
100126331	0
80263	41
79679	0
104355292	0
10905	4101
100996263	0
54855	22
54834	4744
10885	526
200162	6
6913	0
10352	230
104472716	0
101929147	86
51179	0
100874270	0
3284	0
3283	0
128102	4
644242	9
90874	871
26227	3574
3158	3
83998	0
343505	19
11085	0
4853	41319
9554	1800
105378954	1
728841	492
767846	51
100996724	195
101929796	82
101060684	374
100189005	64
101954277	1
653505	1
728855	76
101954264	9
100189257	2
105369199	3
100996721	0
100126488	25
101929798	0
2210	88
100996318	5
337875	2
653820	9
653464	373
100873165	2
647121	60
101929815	0
100189261	0
101954269	0
26863	0
791227	2
105369140	1
388692	0
100189142	0
100189326	0
199882	0
100189356	0
100132417	98
100996713	1
554282	1
100996712	93
101060524	0
730262	0
101954267	12
100189323	3
284565	251
100189127	0
728945	0
105371215	0
1818	1
645166	1
647135	209
728833	5
101929805	1
102724235	4
103091866	67
645142	0
101954266	7
7214	0
100288142	142
100126510	0
101060254	1
101929780	94
653519	149
5174	9
11126	55
27246	1423
10623	1811
200035	88
10401	744
102466191	0
148741	2
8515	20
8799	664
114814	14
9939	2698
128077	4225
84265	521
284615	25
10628	76037
148738	0
100189384	0
100189064	1
100188991	0
100189198	2
101954276	11
101928979	8
100132406	731
388677	166
170688	2
105371242	0
102724558	0
100288805	0
105373468	42
149013	581
728989	1
100189334	0
101447996	2
644861	2
5565	962
171423	1085
2330	309
9557	2809
100289211	0
607	187
51205	163
2702	2
2703	0
51463	90
100034743	6
100189140	0
26864	6
