Geneid	HISAT2 on data 153: aligned reads (BAM)
100287102	0
653635	12
102466751	1
100302278	0
645520	0
79501	0
729737	56
102725121	5
102723897	53
102465909	0
729759	0
100132287	0
105378947	0
101928626	2
102465432	118
81399	0
100133331	48
100288069	10
400728	57
79854	54
643837	625
284593	0
100130417	0
148398	10
26155	1338
339451	76
84069	45
84808	24
57801	0
9636	444
375790	146
105369174	10
105378948	16
401934	1
54991	301
254099	2
406984	0
406983	0
554210	0
254173	2
8784	150
7293	316
51150	2390
126792	944
388581	6
118424	1141
6339	33
116983	318
102465434	0
126789	179
54973	1776
102465435	0
80772	399
83756	51
1855	384
102466740	1
54587	53
54998	262
81669	1190
148413	470
55052	1404
441869	2
643965	0
102724312	0
64856	2
219293	40
83858	403
55210	464
339453	4
29101	2078
643988	246
142678	416
8510	0
984	1098
728661	2542
8511	0
728642	547
9906	2072
65220	1127
2782	16270
105378949	124
163688	4
339456	2
85452	0
2563	0
5590	343
100506504	77
199990	872
105378592	3
6497	5946
105378594	36
79906	74
100129534	31
11079	1849
5192	169
9651	32
55229	3
388585	0
115110	1
8764	1
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	1
1953	330
693135	0
127262	1623
49856	488
7161	253
57212	489
148870	10
388588	32
57470	1162
9731	1902
1677	191
339448	1256
100133612	6
728716	0
284661	0
55966	2
100616489	0
100616421	0
261734	340
8514	9979
26038	4
6146	12748
102724450	2
388591	62
23463	3531
148645	17
390992	0
387509	45
11332	1525
54626	2
83715	72
100422975	0
8718	591
57449	123
79707	3702
80835	8
3104	500
9903	1560
148479	883
90326	309
55735	1065
100505887	0
23261	747
9341	1414
8863	500
10911	29
3604	962
11315	2488
54206	58
102724539	0
50651	37
473	10741
102724552	42
2023	31389
102465436	0
100505975	21
765	224
155184	118
6518	4
80045	57
407040	0
9563	4608
80176	440
100506022	0
84275	163
199953	772
5293	15689
644997	262
101929074	68
22883	11705
56998	259
84328	1498
64802	333
100847055	0
105376719	0
116362	0
10277	3650
23095	1670
100422970	1
5226	2951
100526739	0
378708	16
1325	18
1676	1227
5195	400
54897	603
148345	5
23435	5571
10747	326
6723	5689
5394	3641
2475	4002
100873935	16
10218	35
29914	2481
57540	17
101929181	0
26232	60
93611	288
26270	666
10459	723
374946	51
57085	443
284498	0
102724659	0
4524	940
1185	445
100379251	5
4878	6
4879	0
26829	219
90231	1102
5351	345
9927	2548
60672	602
102466982	0
943	706
102465836	0
7133	13570
100616438	0
55187	7021
677885	0
9249	2570
102466722	2
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	6
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	1
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	7793
23254	4
200197	0
55092	0
727684	0
114827	4
101927417	0
79180	4620
11330	7
63036	1
51032	17
842	668
23341	2425
79814	723
84301	432
6248	459
23207	1861
284723	15
388595	0
54751	3
440567	66
729614	224
23013	14690
7709	938
101928566	0
149563	0
27129	1
1187	0
1188	0
348487	0
1969	6
128272	65
101927546	2
79363	82
54455	1711
26099	7639
374955	51
55707	4203
114819	550
26871	6
100126512	69
100126517	0
102724970	0
100133301	0
7195	0
55672	201
84809	259
11209	2
26869	0
729574	0
100126533	9
284729	3
100189045	0
102723383	0
6060	3
11223	2
100500876	1
100189298	1
7193	0
791226	0
9696	204
26870	21
4237	5
23400	1679
6390	1730
11240	4
29943	0
51702	0
100616188	0
23569	17
353238	0
55920	5562
55160	0
81569	0
101927876	0
84966	1
127707	3
5081	0
80834	0
8659	154
100616120	0
100302276	0
126917	2328
23352	16044
23065	1931
51154	1264
246181	1
22977	4
100506730	126
8574	959
54896	296
832	24920
100532736	0
440574	458
644068	143
4681	9
3362	39
255104	474
54546	0
23252	397
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	34
101928017	4
127731	48
339505	0
55450	160
79594	784
163933	0
978	0
65018	192
102464833	0
100861548	343
1650	3660
57576	3
400745	0
50809	11750
8672	2854
100302155	0
1889	3629
100506801	99
84224	107
249	1
5909	3
84196	3301
401944	3
3339	64
23436	0
10136	0
101928043	14
29092	215
998	11803
54361	100
100616433	0
9923	2289
2046	0
102466615	0
712	0
714	0
713	0
2048	0
100616391	0
100422914	0
646262	0
729059	4
23028	3032
100422866	0
100616177	7
7798	2846
3352	0
100996511	129
10236	8747
80818	778
148898	34
6920	432
55616	12
1870	2646
101928163	23
3399	1278
259283	61
6135	20220
6924	2066
100506963	30
57095	1585
11313	1268
2582	244
3155	667
2517	411
1269	143
100616492	0
55629	6254
10772	4106
127294	0
58985	0
163702	127
284632	0
57822	6
90529	416
57185	4577
100750325	28
11123	11777
100506985	1505
400746	0
10250	8800
25932	768
864	11891
102465437	0
100616365	0
25949	4274
57035	982
6007	76
23585	1629
6006	16
55219	2716
26119	5830
57134	2834
57190	3296
56181	518
646471	79
79000	244
164091	170
3925	12023
100500808	0
5051	886
2134	5
7780	4
105376910	0
84676	0
149420	1718
79927	0
105376887	0
51042	141
10256	43
378807	1
101928303	0
64793	1121
83442	21954
91544	167
1043	2715
55057	71
257101	199
79727	8
79947	1227
101928324	72
3151	4373
6195	6106
100302190	0
101928728	116
8289	20276
