Geneid	HISAT2 on data 25: aligned reads (BAM)
100287102	0
653635	0
102466751	0
100302278	0
645520	0
79501	0
729737	8
102725121	0
102723897	7
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	0
81399	0
100133331	0
100288069	4
400728	13
79854	1
643837	55
284593	0
100130417	0
148398	3
26155	65
339451	18
84069	2
84808	0
57801	12
9636	554
375790	13
105369174	0
105378948	3
401934	0
54991	24
254099	0
406984	0
406983	0
554210	0
254173	1
8784	3
7293	11
51150	193
126792	68
388581	0
118424	167
6339	9
116983	114
102465434	0
126789	5
54973	145
102465435	0
80772	0
83756	12
1855	73
102466740	0
54587	24
54998	143
81669	1116
148413	133
55052	137
441869	1
643965	0
102724312	0
64856	0
219293	1
83858	63
55210	19
339453	0
29101	131
643988	0
142678	101
8510	0
984	188
728661	126
8511	0
728642	270
9906	65
65220	1157
2782	1232
105378949	1
163688	2
339456	0
85452	0
2563	0
5590	81
100506504	2
199990	17
105378592	3
6497	75
105378594	11
79906	20
100129534	2
11079	536
5192	19
9651	7
55229	0
388585	0
115110	0
8764	29
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	0
1953	229
693135	0
127262	654
49856	93
7161	2
57212	31
148870	0
388588	14
57470	168
9731	120
1677	55
339448	173
100133612	4
728716	0
284661	0
55966	7
100616489	0
100616421	0
261734	22
8514	504
26038	2
6146	1001
102724450	0
388591	1
23463	182
148645	0
390992	0
387509	2
11332	5
54626	0
83715	5
100422975	0
8718	86
57449	2
79707	157
80835	1
3104	132
9903	143
148479	47
90326	51
55735	106
100505887	0
23261	125
9341	587
8863	63
10911	7
3604	86
11315	464
54206	12
102724539	0
50651	1
473	500
102724552	18
2023	2519
102465436	1
100505975	2
765	12
155184	5
6518	10
80045	12
407040	0
9563	239
80176	13
100506022	1
84275	10
199953	2
5293	1412
644997	81
101929074	14
22883	240
56998	30
84328	239
64802	117
100847055	0
105376719	0
116362	83
10277	358
23095	692
100422970	0
5226	1765
100526739	0
378708	3
1325	0
1676	88
5195	11
54897	26
148345	0
23435	519
10747	63
6723	12
5394	377
2475	691
100873935	2
10218	11
29914	86
57540	0
101929181	0
26232	2
93611	43
26270	94
10459	72
374946	6
57085	122
284498	0
102724659	0
4524	169
1185	100
100379251	1
4878	0
4879	0
26829	2
90231	156
5351	235
9927	756
60672	175
102466982	0
943	60
102465836	0
7133	2119
100616438	3
55187	1694
677885	0
9249	35
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	663
23254	14
200197	0
55092	5
727684	1
114827	10
101927417	0
79180	664
11330	2
63036	2
51032	1
842	90
23341	273
79814	36
84301	595
6248	90
23207	105
284723	6
388595	0
54751	0
440567	34
729614	48
23013	1629
7709	157
101928566	0
149563	0
27129	0
1187	0
1188	0
348487	0
1969	0
128272	14
101927546	1
79363	17
54455	278
26099	262
374955	3
55707	335
114819	84
26871	0
100126512	1
100126517	0
102724970	1
100133301	0
7195	0
55672	42
84809	55
11209	9
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	7
100500876	0
100189298	0
7193	0
791226	0
9696	88
26870	4
4237	1
23400	20
6390	368
11240	356
29943	0
51702	0
100616188	0
23569	309
353238	3
55920	402
55160	161
81569	0
101927876	0
84966	0
127707	6
5081	0
80834	0
8659	15
100616120	0
100302276	0
126917	279
23352	2680
23065	159
51154	75
246181	0
22977	0
100506730	1
8574	108
54896	18
832	321
100532736	0
440574	116
644068	31
4681	0
3362	10
255104	95
54546	0
23252	135
30814	0
5320	0
5322	0
26279	1
64600	1
391013	2
127733	68
101928017	1
127731	1
339505	0
55450	3
79594	106
163933	0
978	70
65018	351
102464833	0
100861548	46
1650	569
57576	2
400745	0
50809	1868
8672	659
100302155	0
1889	808
100506801	18
84224	59
249	574
5909	619
84196	1111
401944	1
3339	3
23436	0
10136	0
101928043	0
29092	27
998	2618
54361	39
100616433	0
9923	578
2046	0
102466615	0
712	72
714	1
713	54
2048	9
100616391	0
100422914	0
646262	0
729059	0
23028	458
100422866	0
100616177	0
7798	283
3352	0
100996511	116
10236	1339
80818	159
148898	16
6920	18
55616	6
1870	386
101928163	2
3399	10
259283	4
6135	4829
6924	205
100506963	3
