Geneid	HISAT2 on data 32: aligned reads (BAM)
100287102	0
653635	2
102466751	0
100302278	0
645520	0
79501	0
729737	10
102725121	1
102723897	10
102465909	0
729759	0
100132287	0
105378947	0
101928626	0
102465432	0
81399	0
100133331	0
100288069	9
400728	28
79854	4
643837	109
284593	0
100130417	0
148398	1
26155	49
339451	14
84069	2
84808	0
57801	2
9636	171
375790	5
105369174	0
105378948	0
401934	0
54991	26
254099	0
406984	0
406983	0
554210	0
254173	0
8784	9
7293	13
51150	272
126792	94
388581	0
118424	244
6339	14
116983	83
102465434	0
126789	2
54973	137
102465435	0
80772	3
83756	9
1855	65
102466740	0
54587	34
54998	209
81669	1351
148413	164
55052	173
441869	0
643965	0
102724312	0
64856	1
219293	2
83858	76
55210	16
339453	0
29101	151
643988	0
142678	72
8510	0
984	265
728661	156
8511	0
728642	431
9906	121
65220	1688
2782	1425
105378949	1
163688	0
339456	0
85452	1
2563	1
5590	71
100506504	3
199990	20
105378592	2
6497	108
105378594	8
79906	23
100129534	6
11079	777
5192	22
9651	6
55229	1
388585	0
115110	0
8764	62
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	0
1953	258
693135	0
127262	640
49856	102
7161	2
57212	77
148870	1
388588	8
57470	185
9731	191
1677	81
339448	236
100133612	1
728716	0
284661	0
55966	13
100616489	1
100616421	0
261734	20
8514	545
26038	3
6146	1758
102724450	0
388591	6
23463	328
148645	0
390992	0
387509	4
11332	6
54626	0
83715	40
100422975	0
8718	123
57449	5
79707	366
80835	0
3104	134
9903	200
148479	72
90326	70
55735	105
100505887	0
23261	180
9341	977
8863	61
10911	6
3604	183
11315	670
54206	21
102724539	0
50651	0
473	1041
102724552	35
2023	2762
102465436	1
100505975	0
765	33
155184	23
6518	28
80045	7
407040	0
9563	316
80176	10
100506022	0
84275	28
199953	2
5293	1753
644997	78
101929074	34
22883	224
56998	29
84328	527
64802	211
100847055	1
105376719	3
116362	135
10277	625
23095	2240
100422970	1
5226	3094
100526739	0
378708	5
1325	1
1676	140
5195	23
54897	40
148345	1
23435	789
10747	90
6723	14
5394	462
2475	818
100873935	5
10218	19
29914	142
57540	0
101929181	0
26232	3
93611	89
26270	143
10459	107
374946	3
57085	127
284498	0
102724659	0
4524	142
1185	97
100379251	3
4878	0
4879	0
26829	9
90231	241
5351	326
9927	1885
60672	218
102466982	0
943	53
102465836	0
7133	2332
100616438	0
55187	2421
677885	2
9249	50
102466722	1
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
