Geneid	HISAT2 on data 18: aligned reads (BAM)
100287102	0
653635	20
102466751	1
100302278	0
645520	0
79501	0
729737	51
102725121	28
102723897	79
102465909	0
729759	0
100132287	0
105378947	0
101928626	2
102465432	12
81399	0
100133331	8
100288069	158
400728	65
79854	186
643837	482
284593	0
100130417	0
148398	0
26155	3251
339451	59
84069	27
84808	7
57801	586
9636	7064
375790	37
105369174	0
105378948	15
401934	0
54991	311
254099	8
406984	0
406983	0
554210	0
254173	14
8784	1036
7293	693
51150	7261
126792	188
388581	8
118424	2955
6339	21
116983	405
102465434	0
126789	542
54973	3256
102465435	0
80772	959
83756	6
1855	76
102466740	0
54587	202
54998	9271
81669	2826
148413	505
55052	7387
441869	10
643965	0
102724312	0
64856	0
219293	101
83858	293
55210	325
339453	2
29101	11193
643988	58
142678	3614
8510	517
984	1839
728661	1491
8511	28
728642	1320
9906	345
65220	1402
2782	2378
105378949	6
163688	0
339456	6
85452	0
2563	0
5590	646
100506504	32
199990	8329
105378592	13
6497	730
105378594	34
79906	269
100129534	2
11079	5007
5192	740
9651	151
55229	1
388585	0
115110	6
8764	9
100996583	0
127281	1
79258	0
100287898	2
140625	0
440556	0
63976	0
100422968	0
27237	0
1953	433
693135	0
127262	627
49856	1097
7161	5
57212	550
148870	0
388588	217
57470	2104
9731	1611
1677	303
339448	2184
100133612	12
728716	0
284661	0
55966	17
100616489	6
100616421	0
261734	188
8514	3556
26038	12
6146	67651
102724450	1
388591	21
23463	900
148645	10
390992	0
387509	90
11332	592
54626	0
83715	52
100422975	0
8718	1307
57449	46
79707	2773
80835	1
3104	648
9903	391
148479	260
90326	619
55735	1123
100505887	0
23261	2281
9341	1324
8863	607
10911	1346
3604	107
11315	13409
54206	79
102724539	0
50651	83
473	2146
102724552	27
2023	17197
102465436	0
100505975	35
765	580
155184	12
6518	63
80045	180
407040	0
9563	785
80176	49
100506022	0
84275	744
199953	147
5293	4113
644997	71
101929074	113
22883	3033
56998	1971
84328	1824
64802	311
100847055	0
105376719	2
116362	1218
10277	1506
23095	722
100422970	0
5226	3764
100526739	0
378708	0
1325	0
1676	1602
5195	676
54897	313
148345	9
23435	2256
10747	14
6723	885
5394	2455
2475	2417
100873935	8
10218	0
29914	1881
57540	13
101929181	0
26232	140
93611	1155
26270	1057
10459	2900
374946	719
57085	5851
284498	4
102724659	3
4524	1000
1185	454
100379251	17
4878	4
4879	0
26829	380
90231	434
5351	1390
9927	1035
60672	1480
102466982	0
943	218
102465836	0
7133	9175
100616438	0
55187	2039
677885	0
9249	851
102466722	0
343066	0
126767	2
93190	0
390999	0
65121	0
440560	0
343069	25
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	2725
23254	3
200197	0
55092	19
727684	0
114827	12
101927417	0
