Geneid	HISAT2 on data 186: aligned reads (BAM)
100287102	0
653635	82
102466751	5
100302278	0
645520	0
79501	0
729737	2429
102725121	249
102723897	77
102465909	0
729759	0
100132287	15
105378947	1
101928626	93
102465432	70
81399	0
100133331	27
100288069	535
400728	493
79854	871
643837	929
284593	0
100130417	0
148398	12
26155	8939
339451	197
84069	382
84808	31
57801	5100
9636	146563
375790	1143
105369174	9
105378948	122
401934	3
54991	835
254099	10
406984	0
406983	0
554210	0
254173	32
8784	3331
7293	5328
51150	19870
126792	662
388581	31
118424	9342
6339	34
116983	1686
102465434	0
126789	1413
54973	9448
102465435	0
80772	3933
83756	129
1855	454
102466740	0
54587	37
54998	27725
81669	14378
148413	2487
55052	22664
441869	0
643965	0
102724312	0
64856	0
219293	149
83858	1677
55210	1212
339453	0
29101	33385
643988	417
142678	6986
8510	756
984	7580
728661	5035
8511	21
728642	6647
9906	2911
65220	20268
2782	15264
105378949	253
163688	5
339456	1
85452	10
2563	17
5590	1474
100506504	197
199990	15731
105378592	54
6497	3889
105378594	141
79906	1028
100129534	46
11079	13148
5192	2335
9651	665
55229	5
388585	0
115110	3
8764	76
100996583	1
127281	3
79258	11
100287898	0
140625	0
440556	35
63976	1
100422968	0
27237	2
1953	1447
693135	0
127262	2475
49856	3688
7161	125
57212	1019
148870	0
388588	721
57470	7875
9731	6583
1677	2260
339448	6702
100133612	64
728716	0
284661	0
55966	91
100616489	0
100616421	0
261734	763
8514	18961
26038	33
6146	110961
102724450	0
388591	752
23463	4923
148645	55
390992	0
387509	17
11332	1444
54626	6
83715	368
100422975	0
8718	5618
57449	420
79707	9327
80835	105
3104	4290
9903	2560
148479	1361
90326	2198
55735	3945
100505887	0
23261	6638
9341	8518
8863	3029
10911	3768
3604	444
11315	32176
54206	76
102724539	0
50651	197
473	15499
102724552	210
2023	51761
102465436	10
100505975	16
765	590
155184	62
6518	552
80045	449
407040	0
9563	3420
80176	290
100506022	3
84275	1560
199953	423
5293	26926
644997	945
101929074	539
22883	14799
56998	5329
84328	7497
64802	1640
100847055	0
105376719	143
116362	11017
10277	6383
23095	8485
100422970	35
5226	25817
100526739	0
378708	22
1325	26
1676	5360
5195	3121
54897	1259
148345	33
23435	8754
10747	393
6723	3784
5394	8153
2475	8283
100873935	44
10218	175
29914	4695
57540	12
101929181	0
26232	230
93611	2268
26270	5288
10459	5496
374946	437
57085	24729
284498	27
102724659	15
4524	5585
1185	2508
100379251	297
4878	73
4879	0
26829	385
90231	2516
5351	3291
9927	7141
60672	6980
102466982	0
943	1355
102465836	0
7133	70289
100616438	5
55187	9969
677885	0
9249	3721
102466722	4
343066	0
126767	1
93190	0
390999	0
65121	0
440560	0
343069	57
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	1
645425	0
126755	4
10630	0
7799	18307
23254	480
200197	2
55092	697
727684	6
114827	160
101927417	37
79180	35967
11330	46
63036	0
51032	32
842	1940
23341	3433
79814	1407
84301	3226
6248	170
23207	2975
284723	141
388595	0
54751	20
440567	5468
729614	7128
23013	19812
7709	3402
101928566	0
149563	0
27129	1
1187	0
1188	0
348487	0
1969	15
128272	688
101927546	0
79363	456
54455	6979
26099	12912
374955	75
55707	15490
114819	1468
26871	225
100126512	34
100126517	3
102724970	0
100133301	0
7195	0
55672	3411
84809	1293
11209	134
26869	2
729574	0
100126533	0
284729	16
100189045	0
102723383	0
6060	6
11223	9
100500876	0
100189298	0
7193	0
791226	0
9696	3204
26870	265
4237	15
23400	1819
6390	11167
11240	3216
29943	0
51702	0
100616188	0
23569	9718
353238	0
55920	4350
55160	3633
81569	20
101927876	0
84966	1
127707	0
5081	0
80834	0
8659	403
100616120	0
100302276	0
126917	1574
23352	18763
23065	3761
51154	4161
246181	24
22977	5
100506730	158
8574	9486
54896	1515
832	75526
100532736	0
440574	17023
644068	581
4681	1
3362	43
255104	2998
54546	2
23252	2272
30814	0
5320	0
5322	0
26279	97
64600	1
391013	39
127733	25
101928017	206
127731	32
339505	0
55450	145
79594	3435
163933	0
978	18063
65018	657
102464833	0
100861548	129
1650	25587
57576	45
400745	0
50809	43727
8672	9735
100302155	24
1889	17691
100506801	424
84224	1740
249	10795
5909	113
84196	19247
401944	82
3339	123
23436	0
10136	0
101928043	126
29092	3845
998	119172
54361	67
100616433	0
9923	5388
2046	1
102466615	0
712	8573
714	4716
713	4319
2048	1197
100616391	27
100422914	3
646262	0
729059	6
23028	2717
100422866	10
100616177	2
7798	4556
3352	3
100996511	171
10236	30705
80818	1013
148898	13
6920	3720
55616	35
1870	1025
101928163	93
3399	1836
259283	2015
6135	464470
6924	4347
100506963	606
57095	11799
11313	10290
2582	800
3155	3018
2517	5037
1269	1525
100616492	0
55629	26652
10772	30749
127294	0
58985	0
163702	790
284632	2
57822	0
90529	345
57185	7338
100750325	74
11123	17788
100506985	822
400746	0
10250	44695
25932	5329
864	16857
102465437	21
100616365	1
25949	28961
57035	46247
6007	1099
23585	37667
6006	94
55219	5513
26119	12931
57134	1604
57190	1649
56181	1431
646471	351
79000	67
164091	646
3925	10328
100500808	0
5051	2851
2134	0
7780	0
105376910	0
84676	0
149420	2461
79927	0
105376887	0
51042	7127
10256	244
378807	1
101928303	0
64793	1928
83442	406359
91544	7262
1043	113150
55057	268
257101	1109
79727	65
79947	3516
101928324	123
3151	43921
6195	17715
100302190	7
101928728	881
8289	21114
55650	1980
84243	7457
2810	285
54707	3077
63906	4624
10726	16156
8431	0
126695	281
388610	38
115572	30
6548	6429
23038	6256
84065	5622
644961	597
100887744	0
84958	20411
9064	1161
8547	0
388611	0
2827	168
10163	40982
27245	1267
2268	57634
2537	104006
199870	3777
23673	11406
5511	3259
677774	0
9473	24965
6118	12748
27293	91
55113	4700
2140	4464
5724	14265
22826	17131
93974	25939
83667	2411
54797	2375
65979	11631
1104	1528
8420	2719
6080	8
26768	173
54952	4255
85028	5953
692212	106
677838	37
677825	33
692073	50
115273	4
6883	7514
26824	969
10691	4937
105376911	95
51441	10902
4985	0
2035	47620
399474	3
6429	28298
51102	1869
10076	83
101928460	0
101929406	19
4146	20
100129196	331
7805	133558
100616164	129
400748	0
9672	545
9698	19992
692234	0
692235	0
692200	37
79570	1
9410	9043
51538	7186
2170	28
347735	395
149086	21
284551	10
64129	2
3061	1
553115	11682
