Geneid	HISAT2 on data 34: aligned reads (BAM)
100287102	0
653635	56
102466751	5
100302278	0
645520	0
79501	0
729737	431
102725121	2
102723897	89
102465909	0
729759	0
100132287	0
105378947	1
101928626	2
102465432	19016
81399	0
100133331	7
100288069	41
400728	113
79854	77
643837	207
284593	0
100130417	0
148398	16
26155	2242
339451	47
84069	48
84808	22
57801	1537
9636	3970
375790	1
105369174	14
105378948	85
401934	0
54991	193
254099	0
406984	0
406983	0
554210	0
254173	42
8784	870
7293	785
51150	6537
126792	402
388581	36
118424	3273
6339	4
116983	886
102465434	0
126789	424
54973	3132
102465435	0
80772	1198
83756	0
1855	91
102466740	0
54587	12
54998	11107
81669	2966
148413	412
55052	8035
441869	1
643965	0
102724312	44
64856	0
219293	208
83858	458
55210	499
339453	0
29101	10184
643988	135
142678	1574
8510	0
984	1296
728661	975
8511	0
728642	1232
9906	152
65220	3506
2782	6134
105378949	25
163688	0
339456	0
85452	1
2563	0
5590	324
100506504	1
199990	10681
105378592	69
6497	917
105378594	72
79906	131
100129534	3
11079	6405
5192	541
9651	89
55229	2
388585	0
115110	0
8764	3
100996583	0
127281	5
79258	0
100287898	0
140625	0
440556	12
63976	39
100422968	0
27237	0
1953	874
693135	0
127262	926
49856	1438
7161	118
57212	300
148870	0
388588	1802
57470	1789
9731	1200
1677	379
339448	1831
100133612	58
728716	0
284661	0
55966	6
100616489	0
100616421	0
261734	236
8514	3431
26038	2
6146	64508
102724450	4
388591	39
23463	889
148645	0
390992	0
387509	27
11332	1996
54626	0
83715	65
100422975	0
8718	933
57449	12
79707	1445
80835	20
3104	1000
9903	890
148479	555
90326	615
55735	870
100505887	0
23261	5034
9341	3673
8863	372
10911	452
3604	75
11315	16707
54206	17
102724539	0
50651	3
473	2518
102724552	53
2023	29763
102465436	0
100505975	19
765	141
155184	58
6518	210
80045	35
407040	0
9563	545
80176	76
100506022	0
84275	591
199953	190
5293	4220
644997	254
101929074	219
22883	1988
56998	2474
84328	2201
64802	471
100847055	0
105376719	0
116362	4311
10277	1710
23095	2593
100422970	3
5226	19697
100526739	0
378708	1
1325	0
1676	1299
5195	639
54897	638
148345	33
23435	2782
10747	26
6723	2510
5394	1448
2475	1782
100873935	0
10218	0
29914	1151
57540	0
101929181	0
26232	76
93611	470
26270	611
10459	2820
374946	85
57085	8437
284498	0
102724659	1
4524	1186
1185	541
100379251	25
4878	1
4879	0
26829	56
90231	1154
5351	1000
9927	2072
60672	2755
102466982	0
943	176
102465836	0
7133	12668
100616438	0
55187	2372
677885	0
9249	705
102466722	0
343066	0
126767	1
93190	0
390999	0
65121	0
440560	0
343069	49
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	2803
23254	417
200197	0
55092	171
727684	0
114827	17
101927417	0
79180	9033
11330	0
63036	0
51032	0
842	502
23341	642
79814	397
84301	550
6248	82
23207	1227
284723	116
388595	0
54751	0
440567	5158
729614	2896
23013	3863
7709	829
101928566	0
149563	0
27129	0
1187	0
1188	0
348487	0
1969	0
128272	391
101927546	0
79363	46
54455	1262
26099	3887
374955	0
55707	3063
114819	161
26871	35
100126512	12
100126517	0
102724970	0
100133301	0
7195	0
55672	530
84809	648
11209	1
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	0
100500876	0
100189298	0
7193	0
791226	3
9696	661
26870	17
4237	56
23400	485
6390	5593
11240	906
29943	0
51702	0
100616188	0
23569	4376
353238	0
55920	2084
55160	497
81569	0
101927876	0
84966	0
127707	31
5081	1
80834	0
8659	284
100616120	0
100302276	0
126917	285
23352	5652
23065	724
51154	1298
246181	0
22977	2
100506730	1
8574	5382
54896	773
832	26736
100532736	0
440574	7072
644068	126
4681	10
3362	1
255104	514
54546	0
23252	309
30814	0
5320	0
5322	0
26279	0
64600	0
391013	23
127733	62
101928017	246
127731	6
339505	0
55450	58
79594	828
163933	1
978	17160
65018	175
102464833	0
100861548	67
1650	7573
57576	33
400745	0
50809	8794
8672	1620
100302155	0
1889	6049
100506801	38
84224	557
249	6871
5909	46
84196	3402
401944	3
3339	170
23436	0
10136	0
101928043	81
29092	782
998	24435
54361	5
100616433	0
9923	729
2046	0
102466615	0
712	1392
714	537
713	895
2048	102
100616391	0
100422914	0
646262	0
729059	0
23028	961
100422866	4
100616177	0
7798	591
3352	0
100996511	20
10236	6984
80818	215
148898	249
6920	944
55616	46
1870	999
101928163	2
3399	214
259283	322
6135	248759
6924	970
100506963	264
57095	3028
11313	2967
2582	530
3155	1124
2517	740
1269	171
100616492	0
55629	4179
10772	7006
127294	0
58985	0
163702	87
284632	15
57822	0
90529	129
57185	1028
100750325	29
11123	2993
100506985	29
400746	0
10250	8420
25932	3039
864	1709
102465437	0
100616365	0
25949	7748
57035	10420
6007	233
23585	10990
6006	28
55219	1464
26119	4916
57134	381
57190	1437
56181	1329
646471	89
79000	92
164091	244
3925	12386
100500808	0
5051	244
2134	17
7780	0
105376910	0
84676	0
149420	307
79927	24
105376887	0
51042	3189
10256	174
378807	0
101928303	0
64793	373
83442	386033
91544	5153
1043	31360
55057	152
257101	73
79727	1
79947	705
101928324	0
3151	20183
6195	4327
100302190	0
101928728	191
8289	4341
55650	476
84243	1813
2810	11
54707	697
63906	1845
10726	5794
8431	0
126695	55
388610	5
115572	0
6548	1122
23038	1879
84065	1090
644961	85
100887744	0
84958	4798
9064	310
8547	0
388611	0
2827	36
10163	11902
27245	312
2268	16411
2537	3349
199870	794
23673	2362
5511	854
677774	0
9473	7076
6118	2877
27293	115
55113	1490
2140	1081
5724	2632
22826	4347
93974	13596
83667	647
54797	348
65979	2058
1104	707
8420	2071
6080	0
26768	0
54952	1597
85028	2818
692212	0
677838	27
677825	5
692073	0
115273	35
6883	1893
26824	23
10691	1164
105376911	1
51441	3016
4985	1
2035	4800
399474	0
6429	7272
51102	467
10076	70
101928460	0
101929406	0
4146	1
100129196	25
7805	48662
100616164	51
400748	0
9672	33
9698	3422
692234	0
692235	1
692200	0
79570	0
9410	2290
51538	3510
2170	5
347735	98
149086	0
284551	0
64129	0
3061	0
553115	3804
1307	0
576	0
100423028	0
90853	1135
8073	9628
10657	7673
55116	1056
100847018	3
23633	1581
200081	1563
79140	1111
56063	121
55721	26
149069	21
8668	7253
339483	11
84734	28
3932	5437
3065	3424
65108	6093
100128071	94
81629	29
55108	2103
728116	0
653121	276
339487	2900
5928	4963
81493	0
57648	389
8565	2627
64766	1014
252995	0
3208	0
113452	0
127544	1522
204	2490
113451	138
55223	271
149076	684
127550	1
1912	5672
100500853	0
101929464	0
7579	0
114784	0
127540	0
402779	0
84970	0
693137	0
2709	0
127534	0
2707	0
2701	804
113444	3141
58512	138
653160	82
100506144	2237
9204	785
79830	621
6421	8576
9202	1312
79932	1817
23154	275
339488	44
5690	6002
127703	596
63967	683
192670	1861
26523	903
192669	1527
27285	32
54936	1212
1296	8
27095	3181
55700	4222
9967	6858
79729	130
55194	709
83931	3491
84967	4885
127700	20
64960	5833
1441	16917
2899	1
100422898	0
728431	511
80149	1296
102465438	3
64769	4807
100847010	0
79753	862
7802	0
29889	1606
284654	0
54955	498
55143	583
284656	0
149175	32
79693	198
127687	1698
4520	1595
3633	979
10946	2739
2275	2003
51118	1358
5453	1
100500801	0
339442	1
64121	1089
100527950	24
26292	2
81025	0
54933	11
79647	4781
4725	18531
23499	6557
643314	182
105378950	0
353500	25
728448	26
8761	3306
101929516	0
677834	0
26508	0
84618	0
51440	0
10450	1838
656	9
64064	88
105378951	40
101929536	29
54802	446
4610	109
84879	117
10487	25135
5538	5316
6018	1358
127391	0
10269	1027
1298	611
64744	11888
65243	83
339559	84
64789	199
127396	285
9783	66
100130557	23
4802	1310
407034	0
407031	0
9132	26
163732	1021
1503	654
100507178	2
200172	0
22955	341
100132074	0
1907	0
59269	724
2981	0
2980	0
22887	1770
284716	3
84217	219
79717	5059
728621	52
10465	2900
4904	46974
149461	0
64175	790
79078	1357
100129924	0
374969	2041
114625	586
51058	169
339539	0
6513	975
440584	5
105378684	1
440585	0
10969	2365
102465439	0
149465	56
128218	1
149466	0
7075	153
4352	916
991	1447
64834	3436
102466723	0
112950	1930
23334	922
102465440	0
81888	2
5792	258
9682	1007
100132774	130
6487	1751
101929592	0
102464830	0
9048	0
9670	359
1802	589
533	19196
8704	140
149473	95
6536	32
128209	28
105378952	0
55929	1138
79033	1660
100874278	1
55182	1764
100847089	0
79639	260
339541	2734
