Geneid	HISAT2 on data 41: aligned reads (BAM)
100287102	0
653635	26
102466751	4
100302278	0
645520	0
79501	0
729737	181
102725121	0
102723897	32
102465909	0
729759	0
100132287	2
105378947	1
101928626	0
102465432	5
81399	0
100133331	14
100288069	3
400728	20
79854	5
643837	292
284593	0
100130417	25
148398	229
26155	1492
339451	229
84069	174
84808	45
57801	470
9636	4866
375790	9453
105369174	6
105378948	10
401934	63
54991	203
254099	2
406984	1
406983	0
554210	5
254173	55
8784	19
7293	180
51150	3171
126792	566
388581	5
118424	849
6339	43
116983	700
102465434	0
126789	226
54973	1134
102465435	0
80772	663
83756	22
1855	2389
102466740	0
54587	1309
54998	1019
81669	2026
148413	227
55052	651
441869	359
643965	3
102724312	54
64856	3737
219293	123
83858	472
55210	755
339453	16
29101	1798
643988	108
142678	819
8510	0
984	488
728661	1025
8511	0
728642	367
9906	181
65220	1320
2782	8182
105378949	8
163688	4
339456	13
85452	106
2563	2
5590	1258
100506504	59
199990	543
105378592	6
6497	2573
105378594	18
79906	131
100129534	23
11079	2019
5192	218
9651	5
55229	24
388585	0
115110	0
8764	37
100996583	0
127281	5
79258	0
100287898	0
140625	0
440556	66
63976	480
100422968	0
27237	407
1953	670
693135	0
127262	1040
49856	352
7161	59
57212	447
148870	4
388588	47
57470	820
9731	973
1677	140
339448	342
100133612	8
728716	0
284661	0
55966	5
100616489	0
100616421	0
261734	279
8514	505
26038	3
6146	2079
102724450	1
388591	202
23463	2924
148645	0
390992	0
387509	206
11332	629
54626	72
83715	71
100422975	0
8718	105
57449	446
79707	603
80835	1
3104	224
9903	893
148479	379
90326	298
55735	682
100505887	0
23261	480
9341	1859
8863	730
10911	2
3604	104
11315	1969
54206	4120
102724539	0
50651	15
473	2409
102724552	0
2023	32665
102465436	0
100505975	0
765	0
155184	0
6518	19
80045	119
407040	3
9563	2255
80176	1013
100506022	9
84275	88
199953	268
5293	618
644997	1
101929074	16
22883	3397
56998	618
84328	527
64802	330
100847055	0
105376719	0
116362	43
10277	1178
23095	1984
100422970	0
5226	3161
100526739	0
378708	33
1325	1
1676	680
5195	369
54897	1003
148345	9
23435	2216
10747	36
6723	1224
5394	1455
2475	1990
100873935	1
10218	9
29914	317
57540	5
101929181	0
26232	460
93611	332
26270	526
10459	402
374946	42
57085	889
284498	0
102724659	0
4524	805
1185	611
100379251	3
4878	8
4879	0
26829	1
90231	871
5351	3386
9927	2647
60672	348
102466982	0
943	12
102465836	0
7133	893
100616438	0
55187	2419
677885	2
9249	1115
102466722	0
343066	0
126767	0
93190	16
390999	1
65121	0
440560	0
343069	5
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	5
10630	1462
7799	1196
23254	313
200197	6
55092	453
727684	4
114827	108
101927417	3
79180	1278
11330	0
63036	0
51032	9
842	209
23341	624
79814	11
84301	201
6248	111
23207	2155
284723	21
388595	0
54751	1390
