Geneid	HISAT2 on data 12: aligned reads (BAM)
100287102	0
653635	9
102466751	5
100302278	0
645520	0
79501	0
729737	65
102725121	4
102723897	25
102465909	0
729759	0
100132287	1
105378947	1
101928626	0
102465432	0
81399	0
100133331	9
100288069	2
400728	12
79854	4
643837	211
284593	0
100130417	6
148398	63
26155	1071
339451	198
84069	139
84808	45
57801	160
9636	111
375790	3654
105369174	21
105378948	18
401934	58
54991	179
254099	2
406984	2
406983	4
554210	3
254173	34
8784	19
7293	33
51150	1887
126792	366
388581	1
118424	608
6339	35
116983	450
102465434	0
126789	121
54973	742
102465435	0
80772	383
83756	29
1855	1488
102466740	0
54587	224
54998	653
81669	1412
148413	133
55052	413
441869	235
643965	0
102724312	7
64856	1606
219293	69
83858	538
55210	669
339453	8
29101	965
643988	71
142678	497
8510	0
984	351
728661	569
8511	0
728642	192
9906	114
65220	694
2782	5163
105378949	4
163688	2
339456	12
85452	95
2563	0
5590	675
100506504	66
199990	298
105378592	1
6497	1558
105378594	11
79906	74
100129534	33
11079	1352
5192	96
9651	4
55229	1
388585	0
115110	0
8764	1
100996583	0
127281	12
79258	0
100287898	0
140625	0
440556	61
63976	233
100422968	0
27237	208
1953	244
693135	0
127262	629
49856	229
7161	63
57212	252
148870	1
388588	5
57470	550
9731	661
1677	79
339448	244
100133612	6
728716	0
284661	0
55966	2
100616489	0
100616421	0
261734	205
8514	653
26038	7
6146	1198
102724450	2
388591	98
23463	1520
148645	0
390992	0
387509	84
11332	284
54626	82
83715	153
100422975	0
8718	107
57449	153
79707	478
80835	4
3104	192
9903	856
148479	268
90326	108
55735	412
100505887	0
23261	431
9341	1166
8863	416
10911	3
3604	186
11315	1321
54206	5199
102724539	1
50651	2
473	1213
102724552	1
2023	25380
102465436	0
100505975	0
765	1
155184	0
6518	11
80045	89
407040	0
9563	757
80176	676
100506022	2
84275	118
199953	201
5293	555
644997	3
101929074	2
22883	1901
56998	285
84328	365
64802	149
100847055	0
105376719	0
116362	9
10277	698
23095	1433
100422970	0
5226	2707
100526739	0
378708	24
1325	1
1676	511
5195	209
54897	642
148345	2
23435	1634
10747	35
6723	1062
5394	806
2475	1288
100873935	1
10218	3
29914	284
57540	0
101929181	0
26232	183
93611	115
26270	120
10459	189
374946	13
57085	378
284498	2
102724659	0
4524	381
1185	279
100379251	12
4878	8
4879	2
26829	0
90231	582
5351	1429
9927	1868
60672	197
102466982	0
943	11
102465836	0
7133	1110
100616438	0
55187	1319
677885	1
9249	820
102466722	0
343066	0
126767	0
93190	18
390999	0
65121	0
440560	0
343069	3
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	1
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	6
10630	501
7799	1041
23254	178
200197	16
55092	355
727684	0
114827	69
101927417	3
79180	1354
11330	2
63036	0
51032	0
842	127
23341	427
79814	22
84301	140
6248	122
23207	1594
284723	25
388595	0
54751	372
440567	42
729614	35
23013	2137
7709	399
101928566	0
149563	0
27129	21
1187	0
1188	1
348487	2
1969	1966
128272	144
101927546	5
79363	37
54455	467
26099	1788
374955	3
55707	701
114819	44
26871	0
100126512	1
100126517	0
102724970	0
100133301	0
7195	0
55672	82
84809	145
11209	15
26869	0
729574	0
100126533	0
284729	1
100189045	0
102723383	0
6060	0
11223	2
100500876	0
100189298	0
7193	1
791226	0
9696	269
26870	0
4237	54
23400	1009
6390	760
11240	27
29943	3
51702	0
100616188	0
23569	0
353238	0
55920	1312
55160	394
81569	0
101927876	0
84966	5
127707	82
5081	0
80834	0
8659	90
100616120	0
100302276	0
126917	710
23352	4252
23065	1028
51154	851
246181	4
22977	2
100506730	40
8574	224
54896	183
832	2108
100532736	0
440574	323
644068	17
4681	5
3362	3
255104	217
54546	0
23252	424
30814	0
5320	4
5322	0
26279	1
64600	0
391013	0
127733	144
101928017	1
127731	0
339505	0
55450	192
79594	388
163933	5
978	6
65018	149
102464833	0
100861548	79
1650	2010
57576	34
400745	71
50809	1317
8672	1222
100302155	0
1889	2109
100506801	6
84224	73
249	520
5909	146
84196	713
401944	6
3339	4864
23436	0
10136	0
101928043	2
29092	93
998	2849
54361	43
100616433	0
9923	854
2046	0
102466615	0
712	793
714	1232
713	1619
2048	1016
100616391	1
100422914	0
646262	0
729059	0
23028	1199
100422866	0
100616177	0
7798	968
3352	1
100996511	51
10236	2189
80818	216
148898	20
6920	163
55616	139
1870	15
101928163	1
3399	769
259283	0
6135	4399
6924	1114
100506963	1
57095	492
11313	583
2582	482
3155	227
2517	821
1269	2
100616492	0
55629	951
10772	1482
127294	3
58985	3
163702	85
284632	0
57822	24
90529	129
57185	679
100750325	0
11123	228
100506985	50
400746	47
10250	1238
25932	2534
864	351
102465437	0
100616365	0
25949	455
57035	738
6007	0
23585	289
6006	4
55219	569
26119	358
57134	88
57190	1470
56181	239
646471	40
79000	11
164091	140
3925	346
100500808	0
5051	287
2134	0
7780	1
105376910	0
84676	2
149420	128
79927	17
105376887	0
51042	157
10256	193
378807	1
101928303	0
64793	178
83442	2131
91544	333
1043	211
55057	47
257101	22
79727	1
79947	375
101928324	1
3151	392
6195	1027
100302190	0
101928728	14
8289	2205
55650	112
84243	559
2810	2421
54707	167
63906	120
10726	1509
8431	9
126695	123
388610	355
115572	625
6548	904
23038	643
84065	272
644961	197
100887744	0
84958	405
9064	375
8547	62
388611	23
2827	25
10163	2602
27245	644
2268	390
2537	154
199870	133
23673	864
5511	516
677774	1
9473	483
6118	376
27293	145
55113	150
2140	656
5724	760
22826	1271
93974	410
83667	602
54797	193
65979	1015
1104	884
8420	228
6080	15
26768	7
54952	210
85028	240
692212	5
677838	26
677825	9
692073	8
115273	33
6883	219
26824	0
10691	120
105376911	1
51441	886
4985	0
2035	898
399474	14
6429	1165
51102	145
10076	770
101928460	0
101929406	0
4146	4
100129196	7
7805	4083
100616164	0
400748	0
9672	788
9698	1760
692234	0
692235	0
692200	0
79570	0
9410	474
51538	341
2170	44
347735	1374
149086	1
284551	3
64129	746
3061	4
553115	604
1307	294
576	28
100423028	0
90853	103
8073	3689
10657	2302
55116	219
100847018	0
23633	1592
200081	1254
79140	29
56063	74
55721	58
149069	15
8668	2006
339483	49
84734	20
3932	186
3065	897
65108	766
100128071	16
81629	26
55108	785
728116	0
653121	150
339487	229
5928	1193
81493	25
57648	2354
8565	1412
64766	268
252995	4
3208	1
113452	142
127544	594
204	1462
113451	22
55223	94
149076	177
127550	2
1912	2130
100500853	1
101929464	0
7579	120
114784	12
127540	0
402779	0
84970	0
693137	0
2709	13
127534	13
2707	143
2701	65
113444	375
58512	3
653160	21
100506144	184
9204	252
79830	169
6421	4479
9202	1140
79932	916
23154	368
339488	51
5690	1771
127703	148
63967	143
192670	476
26523	606
192669	347
27285	62
54936	358
1296	156
27095	547
55700	3000
9967	1918
79729	110
55194	176
83931	1365
84967	214
127700	88
64960	579
1441	534
2899	0
100422898	0
728431	66
80149	1447
102465438	0
64769	555
100847010	0
79753	286
7802	309
29889	842
284654	1
54955	242
55143	22
284656	30
149175	91
79693	318
127687	370
4520	710
3633	274
10946	834
2275	125
51118	437
5453	25
100500801	0
339442	0
64121	610
100527950	3
26292	0
81025	0
54933	45
79647	1078
4725	940
23499	7324
643314	424
105378950	3
353500	42
728448	23
8761	2054
101929516	0
677834	0
26508	66
84618	0
51440	7
10450	363
656	70
64064	5
105378951	3
101929536	1
54802	287
4610	86
84879	432
10487	5190
5538	1498
6018	1092
127391	2
10269	1044
1298	69
64744	513
65243	28
339559	49
64789	78
127396	27
9783	58
100130557	13
4802	414
407034	1
407031	0
9132	11
163732	47
1503	620
100507178	12
200172	19
22955	287
100132074	25
1907	45
59269	510
2981	0
2980	0
22887	919
284716	156
84217	15
79717	398
728621	68
10465	144
4904	7594
149461	3
64175	313
79078	82
100129924	0
374969	55
114625	101
51058	68
339539	0
6513	2159
440584	9
105378684	9
440585	32
10969	1193
102465439	0
149465	45
128218	427
149466	111
7075	638
4352	7
991	58
64834	1079
102466723	0
112950	275
23334	731
102465440	0
81888	1
5792	4013
9682	634
100132774	10
6487	65
101929592	0
102464830	0
9048	17
9670	409
1802	397
533	1273
8704	561
149473	76
6536	233
128209	1
105378952	0
55929	187
79033	414
100874278	11
55182	649
100847089	0
79639	64
339541	44
26828	0
26830	0
11004	22
6202	5711
26811	40
94161	1
94162	1
94163	7
266675	13
1263	338
343521	30
149478	56
8643	25
8891	297
79654	582
7389	390
57643	75
400752	3
84842	26
4595	120
114034	129
10420	85
126661	13
25974	83
5052	3961
10327	765
4678	935
149483	82
60313	1363
728963	16
51249	190
3652	124
23139	533
8503	389
101929626	2
10103	935
55624	776
541468	5
8438	35
10489	855
7388	546
387338	372
2166	136
729041	2
101929651	0
127343	2
100507423	9
148930	0
8569	308
148932	225
64756	298
374973	1
100130197	2
9813	2111
1580	275
163720	0
1579	0
260293	158
199974	1
284541	0
100874253	2
10158	733
6886	74
6491	58
51727	1907
102724077	1
2301	0
84793	37
2306	26
388630	14
391037	1
200010	4
54558	123
84871	3
79656	17
101929721	0
100874313	0
1996	1
63950	3
11124	572
1031	45
100616189	0
102466656	0
284546	0
26994	1209
22996	265
102724097	1
2060	816
114883	826
4898	2081
100313892	0
5865	37
51060	704
112970	0
104355143	0
91408	491
9372	310
200014	582
4998	67
84950	466
23318	671
105378722	0
2882	59
348378	5
65260	202
79699	618
440590	5
55268	388
6342	1085
100616156	0
100616458	0
100616145	0
127435	18
