Geneid	HISAT2 on data 15: aligned reads (BAM)
100287102	0
653635	44
102466751	2
100302278	0
645520	0
79501	0
729737	128
102725121	0
102723897	20
102465909	0
729759	0
100132287	1
105378947	0
101928626	1
102465432	2
81399	0
100133331	19
100288069	0
400728	15
79854	5
643837	189
284593	0
100130417	27
148398	124
26155	869
339451	109
84069	96
84808	20
57801	138
9636	77
375790	3627
105369174	2
105378948	3
401934	42
54991	167
254099	1
406984	1
406983	0
554210	1
254173	3
8784	4
7293	80
51150	1840
126792	347
388581	2
118424	619
6339	25
116983	450
102465434	0
126789	127
54973	653
102465435	0
80772	406
83756	11
1855	1467
102466740	0
54587	737
54998	639
81669	1402
148413	140
55052	389
441869	233
643965	0
102724312	35
64856	2323
219293	99
83858	283
55210	452
339453	11
29101	1140
643988	56
142678	602
8510	1
984	364
728661	724
8511	0
728642	189
9906	143
65220	750
2782	5135
105378949	8
163688	1
339456	3
85452	0
2563	3
5590	836
100506504	41
199990	338
105378592	4
6497	1647
105378594	4
79906	48
100129534	8
11079	1285
5192	139
9651	0
55229	1
388585	0
115110	0
8764	1
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	37
63976	303
100422968	0
27237	257
1953	485
693135	0
127262	667
49856	223
7161	8
57212	320
148870	1
388588	23
57470	504
9731	669
1677	70
339448	257
100133612	3
728716	0
284661	0
55966	7
100616489	0
100616421	0
261734	177
8514	358
26038	1
6146	1317
102724450	1
388591	132
23463	1974
148645	0
390992	0
387509	132
11332	361
54626	32
83715	16
100422975	0
8718	73
57449	255
79707	420
80835	1
3104	144
9903	494
148479	273
90326	164
55735	343
100505887	0
23261	340
9341	1294
8863	536
10911	0
3604	92
11315	1325
54206	3355
102724539	0
50651	14
473	1538
102724552	3
2023	24016
102465436	1
100505975	0
765	0
155184	0
6518	13
80045	82
407040	0
9563	1502
80176	614
100506022	13
84275	84
199953	199
5293	363
644997	1
101929074	8
22883	1847
56998	434
84328	399
64802	203
100847055	0
105376719	0
116362	21
10277	892
23095	1380
100422970	0
5226	2213
100526739	0
378708	13
1325	1
1676	477
5195	236
54897	652
148345	7
23435	1655
10747	16
6723	747
5394	874
2475	1369
100873935	0
10218	5
29914	222
57540	2
101929181	0
26232	261
93611	195
26270	162
10459	241
374946	19
57085	479
284498	0
102724659	0
4524	554
1185	389
100379251	11
4878	3
4879	0
26829	0
90231	516
5351	2226
9927	1896
60672	191
102466982	1
943	5
102465836	0
7133	549
100616438	0
55187	1973
677885	1
9249	634
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	3
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	1
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	1
10630	747
7799	857
23254	180
200197	9
55092	254
727684	2
114827	18
101927417	1
79180	879
11330	0
63036	0
51032	0
842	106
23341	415
