Geneid	HISAT2 on data 18: aligned reads (BAM)
100287102	0
653635	98
102466751	1
100302278	0
645520	0
79501	0
729737	2131
102725121	1
102723897	295
102465909	0
729759	0
100132287	24
105378947	0
101928626	1
102465432	7
81399	0
100133331	87
100288069	29
400728	9
79854	64
643837	871
284593	2
100130417	0
148398	4
26155	524
339451	217
84069	50
84808	29
57801	4646
9636	877
375790	616
105369174	105
105378948	78
401934	0
54991	247
254099	0
406984	0
406983	0
554210	0
254173	18
8784	87
7293	173
51150	1659
126792	78
388581	59
118424	876
6339	77
116983	606
102465434	0
126789	101
54973	895
102465435	0
80772	165
83756	18
1855	786
102466740	0
54587	68
54998	801
81669	2404
148413	93
55052	236
441869	0
643965	0
102724312	0
64856	0
219293	12
83858	494
55210	90
339453	4
29101	1236
643988	47
142678	628
8510	12
984	3262
728661	1208
8511	3
728642	1471
9906	174
65220	2914
2782	11520
105378949	17
163688	1
339456	2
85452	0
2563	0
5590	249
100506504	31
199990	397
105378592	3
6497	7646
105378594	23
79906	34
100129534	2
11079	612
5192	76
9651	18
55229	52
388585	0
115110	2
8764	142
100996583	0
127281	2
79258	0
100287898	1
140625	0
440556	0
63976	0
100422968	0
27237	2
1953	886
693135	0
127262	1499
49856	222
7161	6
57212	277
148870	0
388588	152
57470	498
9731	318
1677	95
339448	290
100133612	4
728716	0
284661	0
55966	14
100616489	0
100616421	0
261734	194
8514	6664
26038	8
6146	9318
102724450	2
388591	27
23463	119
148645	1
390992	0
387509	42
11332	235
54626	2
83715	29
100422975	0
8718	1543
57449	48
79707	777
80835	56
3104	924
9903	2627
148479	930
90326	118
55735	234
100505887	0
23261	584
9341	2414
8863	269
10911	351
3604	82
11315	1116
54206	237
102724539	0
50651	16
473	2021
102724552	22
2023	21035
102465436	2
100505975	5
765	98
155184	26
6518	495
80045	59
407040	0
9563	467
80176	920
100506022	8
84275	293
199953	120
5293	4981
644997	18
101929074	4
22883	1643
56998	305
84328	196
64802	33
100847055	0
105376719	8
116362	311
10277	965
23095	1959
100422970	0
5226	6811
100526739	0
378708	2
1325	2
1676	127
5195	280
54897	706
148345	4
23435	1644
10747	97
6723	262
5394	837
2475	1091
100873935	0
10218	3
