Geneid	HISAT2 on data 26: aligned reads (BAM)
100287102	0
653635	231
102466751	8
100302278	0
645520	0
79501	0
729737	6934
102725121	23
102723897	315
102465909	0
729759	0
100132287	47
105378947	0
101928626	2
102465432	7
81399	0
100133331	314
100288069	123
400728	39
79854	109
643837	445
284593	8
100130417	0
148398	0
26155	1019
339451	369
84069	25
84808	14
57801	336
9636	5713
375790	691
105369174	14
105378948	52
401934	0
54991	355
254099	1
406984	0
406983	0
554210	0
254173	8
8784	82
7293	145
51150	2233
126792	297
388581	29
118424	1427
6339	108
116983	1443
102465434	0
126789	109
54973	1431
102465435	0
80772	282
83756	63
1855	598
102466740	0
54587	200
54998	1062
81669	4657
148413	313
55052	659
441869	4
643965	0
102724312	0
64856	0
219293	9
83858	630
55210	219
339453	2
29101	1842
643988	125
142678	2211
8510	19
984	1984
728661	2960
8511	12
728642	886
9906	415
65220	14038
2782	12936
105378949	15
163688	19
339456	0
85452	0
2563	0
5590	317
100506504	144
199990	325
105378592	2
6497	2974
105378594	12
79906	56
100129534	39
11079	2271
5192	99
9651	105
55229	32
388585	0
115110	6
8764	84
100996583	2
127281	5
79258	0
100287898	4
140625	0
440556	0
63976	6
100422968	0
27237	2
1953	1805
693135	0
127262	2589
49856	599
7161	11
57212	505
148870	2
388588	22
57470	681
9731	954
1677	357
339448	762
100133612	6
728716	0
284661	0
55966	4
100616489	0
100616421	1
261734	358
8514	5670
26038	34
6146	7368
102724450	4
388591	124
23463	539
148645	4
390992	0
387509	130
11332	107
54626	0
83715	59
100422975	0
8718	1013
57449	123
79707	811
80835	34
3104	978
9903	1427
148479	543
90326	139
55735	396
100505887	0
23261	324
9341	3031
8863	506
10911	716
3604	139
11315	1061
54206	83
102724539	0
50651	14
473	10572
102724552	105
2023	7123
102465436	1
100505975	0
765	77
155184	26
6518	53
80045	68
407040	0
9563	1221
80176	51
100506022	0
84275	149
199953	137
5293	12649
644997	58
101929074	21
22883	3912
56998	425
84328	299
64802	144
100847055	0
105376719	8
116362	405
10277	2177
23095	1210
100422970	3
5226	6208
100526739	0
378708	4
1325	3
1676	209
5195	267
54897	618
148345	5
23435	4174
10747	541
6723	492
5394	1527
2475	1777
100873935	1
10218	8
29914	485
57540	14
101929181	0
26232	28
93611	865
26270	407
10459	468
374946	23
57085	2658
284498	5
102724659	1
4524	1077
1185	616
100379251	30
4878	12
4879	1
26829	9
90231	1616
5351	1105
9927	2724
60672	772
102466982	0
943	223
102465836	0
7133	23721
100616438	1
55187	2507
677885	9
9249	379
102466722	3
343066	1
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	4644
23254	351
200197	0
55092	4
727684	0
114827	23
101927417	0
