Geneid	HISAT2 on data 137: aligned reads (BAM)
497097	2
100503874	0
100038431	0
19888	16
20671	897
27395	577
18777	877
100503730	3
21399	827
58175	7
108664	1550
18387	0
226304	2
12421	1093
240690	0
100504079	2
319263	1053
71096	1
59014	631
76187	133
72481	41
76982	0
17864	58
70675	1268
170755	841
620986	23
240697	2
73824	233
266793	1
100038398	22
69312	35
26754	1264
211660	470
211673	2965
329093	0
109294	1916
320492	45
240725	763
240726	42
383491	0
17978	1243
72265	2644
212442	473
381246	2
433273	3
14048	69
17681	27
277328	0
98741	2
21749	300
226866	28
665434	0
75799	22
19989	6667
98711	392
100503633	48
29819	83
66799	639
67923	996
329101	1
70397	487
17087	142
57339	12
14545	1
94227	335
83691	20
100503673	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	1
100503916	0
100503972	0
241035	3
387202	0
723817	0
16171	0
257630	1
17215	1041
74229	499
71877	187
170829	138
75712	55
14859	1132
241041	278
368204	40
433278	5
98582	19
226922	146
116837	2
665725	0
66755	1
387225	0
723964	0
70155	1230
100503399	0
280645	27
98366	574
68002	183
68187	432
12839	1
12823	4
100503984	0
100503946	102
68421	1457
210933	1
100504323	0
210940	0
100503081	0
433281	0
210962	0
623924	0
100502623	0
791350	2
213109	1524
19243	629
70988	0
266744	0
74708	0
226957	0
624262	0
100503415	14
170771	0
408192	0
408191	0
19076	230
67503	4
19335	312
213539	95
98403	429
433287	1
320705	17
13518	3642
69668	539
27993	555
52318	253
19253	770
21755	1
12627	0
21756	0
211383	0
241051	0
241052	16
226970	63
214469	3455
226971	1921
50785	838
320011	2405
214854	2851
214855	1466
226976	1764
214895	576
94220	359
94218	494
78321	131
109346	165
20353	1097
381337	21
623414	0
12859	997
226977	1309
71166	0
22637	288
56030	2168
70853	104
12790	0
269180	899
76178	2311
67387	832
269181	809
77633	29
72097	480
100503734	0
211484	137
623661	101
69028	937
107734	965
332427	0
69541	0
98258	1114
226982	2868
56210	228
16764	413
381338	7
98388	40
100503760	0
433292	0
68833	1075
18143	189
114641	3455
54610	709
100503777	147
52846	505
100217461	7
67702	2113
263764	34
619289	3
100042065	1
26921	3676
100047133	2
16178	99
16177	854
107527	140
17082	77
16182	2602
16174	467
110895	69
226999	28
211798	107
381339	4
791306	0
66297	0
18993	0
73100	0
69527	517
93690	0
73122	1222
98404	439
14200	133
666642	1
17974	820
100503894	1
78896	6
67883	370
22019	1344
433294	0
75623	125
72050	368
246229	266
22592	497
403183	15
70676	234
12825	20080
12832	2739
73674	647
433297	161
53945	278
100042453	0
212225	0
227058	82
100101919	77
227059	555
100503087	0
19842	0
442837	0
56363	95
20324	6624
109019	1192
100045066	14
17912	2640
20849	314
