Geneid	HISAT2 on data 57: aligned reads (BAM)
497097	9
100503874	3
100038431	0
19888	44
20671	1350
27395	409
18777	772
100503730	3
21399	627
58175	2
108664	1252
18387	0
226304	1
12421	1419
240690	2
100504079	2
319263	1284
71096	0
59014	455
76187	199
72481	64
76982	4
17864	31
70675	728
170755	506
620986	21
240697	3
73824	114
266793	3
100038398	32
69312	38
26754	944
211660	616
211673	2650
329093	0
109294	4202
320492	52
240725	1078
240726	44
383491	0
17978	1162
72265	2189
212442	500
381246	2
433273	0
14048	103
17681	56
277328	0
98741	10
21749	286
226866	67
665434	1
75799	29
19989	8070
98711	471
100503633	66
29819	174
66799	660
67923	901
329101	0
70397	505
17087	88
57339	7
14545	0
94227	355
83691	35
100503673	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
100503916	0
100503972	0
241035	7
387202	0
723817	0
16171	2
257630	0
17215	376
74229	529
71877	294
170829	64
75712	136
14859	3433
241041	1152
368204	9
433278	2
98582	1
226922	181
116837	2
665725	0
66755	0
387225	0
723964	1
70155	617
100503399	0
280645	28
98366	564
68002	264
68187	583
12839	0
12823	0
100503984	0
100503946	188
68421	1886
210933	0
100504323	0
210940	0
100503081	0
433281	0
210962	0
623924	0
100502623	0
791350	5
213109	1698
19243	764
70988	1
266744	1
74708	0
226957	0
624262	0
100503415	4
170771	0
408192	0
408191	0
19076	117
67503	5
19335	407
213539	153
98403	488
433287	3
320705	26
13518	4302
69668	462
27993	439
52318	276
19253	403
21755	0
12627	0
21756	0
211383	1
241051	0
241052	17
226970	98
214469	4001
226971	2420
50785	823
320011	1834
214854	835
214855	430
226976	1605
214895	601
94220	218
94218	737
78321	189
109346	161
20353	797
381337	78
623414	2
12859	728
226977	1497
71166	0
22637	182
56030	1353
70853	118
12790	1
269180	954
76178	1744
67387	998
269181	540
77633	11
72097	569
100503734	0
211484	208
623661	64
69028	255
107734	556
332427	0
69541	0
98258	919
226982	2747
56210	252
16764	711
381338	14
98388	30
100503760	0
433292	0
68833	1149
18143	328
114641	4018
54610	945
100503777	57
52846	578
100217461	4
67702	944
263764	17
619289	3
100042065	2
26921	3558
100047133	2
16178	26
16177	1045
107527	119
17082	131
16182	2695
16174	116
110895	159
226999	50
211798	74
381339	26
791306	0
66297	0
18993	6
73100	0
69527	509
93690	0
73122	1293
98404	684
14200	193
666642	0
17974	740
100503894	0
78896	19
67883	309
22019	1020
433294	0
75623	119
72050	457
246229	285
22592	647
403183	38
70676	525
12825	13778
12832	1932
73674	461
433297	171
53945	258
100042453	0
212225	0
227058	109
100101919	112
227059	666
100503087	0
19842	0
442837	0
56363	244
20324	13462
109019	523
100045066	4
17912	5663
20849	139
100042634	0
20846	2402
14660	1814
17936	1724
227094	286
98682	1482
16329	219
227095	309
67080	10
17700	0
69397	0
227099	65
227102	295
72085	174
70396	748
100503234	0
627872	70
98267	1220
329152	1103
78016	53
98488	215
100504348	181
241062	53
329154	2385
81898	5746
67876	505
15510	1889
15528	686
19070	1058
74013	632
212679	88
75388	0
227120	341
100504386	0
626009	0
329159	0
71066	0
212712	20
329160	0
407809	0
75323	4
73467	174
68736	146
68115	224
67198	403
51960	285
68549	63
11761	890
71724	2787
71872	0
213043	0
66882	2537
12747	4574
70225	311
65102	318
18393	493
100504455	8
213056	821
66495	958
100504483	0
100504501	87
108812	16
12633	2865
12370	873
70827	2281
227154	297
73463	0
381259	340
227157	18
74018	424
271697	0
14369	1071
381260	167
22218	724
55989	724
100217459	0
100217421	0
12168	1784
100504533	1417
72750	1452
70375	17
57750	201
241066	68
269198	913
77951	445
329165	570
77300	325
100504603	376
100043027	0
100042533	1
12487	103
100504618	2
12477	32
54167	57
72823	618
18187	1176
227195	1215
100380944	45
100504668	25
227197	1334
55949	4160
100217464	6
241070	0
73884	28
23792	136
100504706	1
241073	3
76668	99
75619	213
74426	4
433315	7
93691	299
12912	1507
67099	255
69941	6
227210	317
14367	548
241075	677
70861	1
12968	0
12967	0
12966	0
12965	0
12964	0
98303	1
15926	1703
18711	724
213527	0
12969	0
17756	207
100038569	1
329178	28
66646	625
68691	449
11363	2539
17901	86
14768	743
227231	0
13869	4
100502712	0
22779	180
66722	102
320460	0
12021	60
74591	3
108147	758
14268	7850
667931	0
433319	0
381269	96
111175	57
271711	3
22596	379
381270	100
54380	617
319695	0
19981	2410
16008	3096
16011	8071
21958	0
69449	0
723792	1
109198	15
21961	27490
435626	98
12765	120
227288	37
76709	5708
227289	1
227290	2391
56695	631
69660	3962
241112	290
18173	222
227292	3565
387219	2
22349	11
319651	435
58184	499
18802	24
77264	397
66821	202
57751	582
269209	275
67534	334
104086	624
241113	130
22420	9
22409	1
12570	3
260298	0
12958	0
723900	0
241116	1290
16147	13
75570	73
22626	18
69171	1339
227298	1644
68818	392
74104	298
245860	1028
52231	390
74577	259
20872	985
22145	774
56812	1668
19275	84
19711	18
13437	783
13346	3073
100503248	1
11790	343
69080	638
241118	1
74241	1057
319998	89
98733	364
16322	48
71728	647
20536	393
620079	0
13838	536
18505	0
100039210	1
433323	841
23874	659
68393	13
74205	545
195434	43
57814	203
20254	2
252903	193
69368	556
100038695	0
69163	384
20720	2301
241128	111
100503052	53
26554	1748
210293	1210
241134	0
16367	581
100503073	7
76867	576
100503095	0
12829	2071
12828	4132
75734	1505
66261	0
15463	1465
80721	100
71386	2
20297	16
71227	88
77629	18
98496	1151
227325	27
14897	3659
66153	163
71781	4
100503433	0
665317	0
381287	30
621875	14
100039742	10
665378	1
620078	6
100040213	0
100039794	5
665338	0
109032	387
434484	286
100503502	1
100503045	0
20684	1287
319997	210
12283	3873
64294	3752
71141	2
227326	33
70060	0
72792	15
70247	2246
15559	41
78795	189
227327	232
383538	0
17975	5566
100303740	3
80828	0
319336	14
14767	18
71863	1
19231	3452
100502660	0
18582	504
26895	355
18159	1
208718	331
620213	104
11650	0
76768	0
11648	0
13599	0
69453	0
11447	0
11449	0
26987	1082
98363	18
227331	1150
100040591	169
73234	0
53972	296
319977	6
23956	25
16331	1341
