Geneid	HISAT2 on data 30: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	7793
18777	333
100503730	33
21399	3505
58175	0
108664	1114
18387	0
226304	0
12421	2044
240690	0
100504079	48
319263	548
71096	0
59014	5388
76187	29
72481	2
76982	0
17864	49
70675	1316
170755	1426
620986	17
240697	8
73824	3668
266793	0
100038398	0
69312	0
26754	4071
211660	1039
211673	2321
329093	4
109294	27
320492	0
240725	0
240726	2
383491	0
17978	645
72265	5403
212442	797
381246	0
433273	2
14048	65
17681	0
277328	4
98741	0
21749	1466
226866	8
665434	2
75799	0
19989	73239
98711	219
100503633	48
29819	138
66799	1420
67923	9390
329101	1
70397	3290
17087	130
57339	6
14545	4
94227	2
83691	27
100503673	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
100503916	0
100503972	0
241035	0
387202	0
723817	0
16171	0
257630	2
17215	8100
74229	52
71877	13
170829	11
75712	146
14859	16
241041	0
368204	0
433278	0
98582	1
226922	111
116837	0
665725	0
66755	0
387225	0
723964	0
70155	3445
100503399	0
280645	95
98366	3293
68002	2239
68187	7
12839	0
12823	7
100503984	15969
100503946	15038
68421	685
210933	0
100504323	0
210940	0
100503081	0
433281	0
210962	1
623924	0
100502623	0
791350	3
213109	3049
19243	530
70988	0
266744	0
74708	0
226957	0
624262	0
100503415	3
170771	1
408192	0
408191	0
19076	1112
67503	40
19335	124
213539	2255
98403	401
433287	1
320705	0
13518	76
69668	2844
27993	3851
52318	339
19253	8291
21755	0
12627	0
21756	0
211383	0
241051	0
241052	0
226970	29
214469	1258
226971	342
50785	450
320011	1538
214854	49
214855	338
226976	497
214895	440
94220	581
94218	439
78321	23
109346	545
20353	8
381337	21
623414	0
12859	18893
226977	586
71166	0
22637	1
56030	929
70853	0
12790	0
269180	300
76178	1447
67387	2453
269181	533
77633	83
72097	2
100503734	0
211484	48
623661	274
69028	1414
107734	10698
332427	0
69541	0
98258	3863
226982	10963
56210	508
16764	656
381338	3
98388	43
100503760	16
433292	0
68833	2710
18143	3
114641	47126
54610	206
100503777	23
52846	1340
100217461	0
67702	1520
263764	0
619289	3
100042065	0
26921	661
100047133	11
16178	7
16177	142
107527	12
17082	1104
16182	23
16174	30
110895	0
226999	1
211798	33
381339	0
791306	0
66297	0
18993	1
73100	0
69527	2964
93690	1
73122	284
98404	311
14200	16
666642	2
17974	170
100503894	16
78896	0
67883	106
22019	2609
433294	10
75623	4130
72050	774
246229	187
22592	406
403183	0
70676	36
12825	0
12832	1
73674	3165
433297	118
53945	738
100042453	0
212225	0
227058	0
100101919	0
227059	687
100503087	2
19842	0
442837	0
56363	0
20324	774
109019	102
100045066	1
17912	41
20849	173
100042634	14
20846	1205
14660	2544
17936	1061
227094	116
98682	160
16329	309
227095	2055
67080	2
17700	0
69397	1
227099	330
227102	1089
72085	400
70396	3220
100503234	0
627872	0
98267	729
329152	3
78016	12
98488	359
100504348	1
241062	0
329154	496
81898	12147
67876	543
15510	40531
15528	61378
19070	2179
74013	23
212679	527
75388	6
227120	8
100504386	0
626009	0
329159	0
71066	0
212712	17
329160	7
407809	0
75323	62
73467	256
68736	641
68115	1604
67198	0
51960	240
68549	1889
11761	0
71724	0
71872	6
213043	1
66882	8116
12747	2273
70225	3290
65102	898
18393	3000
100504455	15
213056	890
66495	8312
100504483	11
100504501	135
108812	2
12633	840
12370	2034
70827	619
227154	577
73463	0
381259	484
227157	17
74018	94
271697	0
14369	260
381260	23
22218	6964
55989	16522
100217459	0
100217421	0
12168	78
100504533	85
72750	812
70375	49
57750	6643
241066	55
269198	568
77951	234
329165	331
77300	32
100504603	26
100043027	1
100042533	0
12487	29
100504618	0
12477	0
54167	7
72823	140
18187	33
227195	1478
100380944	223
100504668	224
227197	2973
55949	80077
100217464	17
241070	4
73884	0
23792	0
100504706	0
241073	0
76668	2
75619	1460
74426	0
433315	0
93691	127
12912	1798
67099	342
69941	1091
227210	44
14367	42
241075	97
70861	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	6
15926	1403
18711	459
213527	0
12969	0
17756	1
100038569	0
329178	0
66646	760
68691	533
11363	5461
17901	0
14768	919
227231	0
13869	0
100502712	0
22779	1008
66722	0
320460	0
12021	1389
74591	0
108147	5152
14268	7
667931	0
433319	1
381269	27
111175	659
271711	0
22596	819
381270	0
54380	582
319695	0
19981	94089
16008	0
16011	1
21958	0
69449	0
723792	0
109198	0
21961	415
435626	20
12765	88
227288	0
76709	18261
227289	3
227290	3340
56695	403
69660	327
241112	1
18173	1
227292	549
387219	0
22349	5
319651	2157
58184	3965
18802	10
77264	306
66821	751
57751	276
269209	7
67534	148
104086	21
241113	0
22420	13
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	1
75570	260
22626	0
69171	1415
227298	1936
