Geneid	PCA2-infected_7h_SRR15896668
497097	0
100503874	1
100038431	0
19888	0
20671	0
27395	6067
18777	244
100503730	21
21399	2663
58175	0
108664	892
18387	0
226304	0
12421	1732
240690	0
100504079	62
319263	438
71096	0
59014	4105
76187	19
72481	4
76982	0
17864	34
70675	977
170755	1055
620986	8
240697	8
73824	2995
266793	0
100038398	0
69312	1
26754	3542
211660	857
211673	1825
329093	16
109294	3
320492	0
240725	0
240726	3
383491	0
17978	492
72265	4100
212442	744
381246	2
433273	1
14048	66
17681	0
277328	0
98741	0
21749	984
226866	7
665434	2
75799	0
19989	60467
98711	173
100503633	41
29819	79
66799	1012
67923	7970
329101	0
70397	2434
17087	126
57339	3
14545	3
94227	0
83691	26
100503673	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	1
100503916	0
100503972	0
241035	0
387202	0
723817	0
16171	0
257630	0
17215	6924
74229	61
71877	7
170829	13
75712	132
14859	6
241041	1
368204	0
433278	0
98582	0
226922	81
116837	0
665725	0
66755	0
387225	0
723964	0
70155	2728
100503399	0
280645	92
98366	2443
68002	2068
68187	7
12839	0
12823	2
100503984	20860
100503946	13276
68421	513
210933	0
100504323	0
210940	0
100503081	0
433281	0
210962	0
623924	0
100502623	0
791350	4
213109	2499
19243	387
70988	0
266744	0
74708	0
226957	0
624262	0
100503415	0
170771	0
408192	0
408191	0
19076	1045
67503	73
19335	111
213539	2133
98403	309
433287	4
320705	1
13518	80
69668	2396
27993	3021
52318	255
19253	7267
21755	1
12627	4
21756	0
211383	0
241051	0
241052	0
226970	20
214469	1017
226971	271
50785	517
320011	1234
214854	86
214855	300
226976	435
214895	299
94220	410
94218	458
78321	35
109346	389
20353	12
381337	19
623414	0
12859	16661
226977	532
71166	0
22637	1
56030	812
70853	0
12790	0
269180	308
76178	1319
67387	2102
269181	473
77633	57
72097	2
100503734	0
211484	21
623661	227
69028	1261
107734	9284
332427	0
69541	0
98258	3258
226982	9774
56210	483
16764	615
381338	1
98388	76
100503760	31
433292	0
68833	2009
18143	6
114641	38789
54610	184
100503777	17
52846	1053
100217461	0
67702	1423
263764	0
619289	1
100042065	0
26921	438
100047133	19
16178	7
16177	110
107527	5
17082	798
16182	20
16174	25
110895	0
226999	1
211798	40
381339	0
791306	0
66297	0
18993	0
73100	0
69527	2284
93690	0
73122	280
98404	250
14200	16
666642	1
17974	168
100503894	10
78896	0
67883	103
22019	2090
433294	5
75623	3182
72050	582
246229	156
22592	311
403183	0
70676	17
12825	0
12832	1
73674	2659
433297	115
53945	813
100042453	0
212225	0
227058	0
100101919	0
227059	607
100503087	0
19842	0
442837	0
56363	0
20324	705
109019	100
100045066	2
17912	28
20849	153
100042634	8
20846	1111
14660	1740
17936	761
227094	129
98682	128
16329	177
227095	1600
67080	0
17700	3
69397	0
227099	299
227102	815
72085	420
70396	2621
100503234	0
627872	2
98267	653
329152	1
78016	9
98488	226
100504348	0
241062	0
329154	328
81898	9915
67876	478
15510	26508
15528	42644
19070	1624
74013	15
212679	438
75388	2
227120	8
100504386	0
626009	0
329159	0
71066	0
212712	15
329160	3
407809	0
75323	62
73467	236
68736	472
68115	1321
67198	3
51960	296
68549	1354
11761	0
71724	1
71872	4
213043	1
66882	5795
12747	1824
70225	2879
65102	770
18393	2657
100504455	20
213056	663
66495	7425
100504483	20
100504501	115
108812	0
12633	664
12370	1575
70827	592
227154	456
73463	1
381259	430
227157	23
74018	62
271697	0
14369	231
381260	16
22218	5173
55989	13617
100217459	0
100217421	0
12168	62
100504533	68
72750	655
70375	63
57750	5162
241066	39
269198	374
77951	162
329165	290
77300	25
100504603	25
100043027	3
100042533	0
12487	17
100504618	0
12477	3
54167	10
72823	136
18187	42
227195	1249
100380944	175
100504668	228
227197	2288
55949	67080
100217464	14
241070	3
73884	0
23792	0
100504706	0
241073	0
76668	0
75619	1122
74426	1
433315	0
93691	111
12912	1371
67099	301
69941	949
227210	26
14367	47
241075	88
70861	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	7
15926	1217
18711	402
213527	0
12969	0
17756	0
100038569	0
329178	1
66646	600
68691	416
11363	4322
17901	0
14768	871
227231	0
13869	0
100502712	0
22779	762
66722	0
320460	0
12021	1524
74591	0
108147	4215
14268	11
667931	0
433319	6
381269	8
111175	649
271711	1
22596	882
381270	0
54380	515
319695	0
19981	76527
16008	0
16011	1
21958	0
69449	0
723792	0
109198	0
21961	447
435626	10
12765	86
227288	2
76709	14869
227289	3
227290	2713
56695	288
69660	304
241112	4
18173	4
227292	575
387219	0
22349	3
319651	1718
58184	3374
18802	5
77264	273
66821	580
57751	249
269209	0
67534	94
104086	41
241113	3
22420	12
22409	1
12570	0
260298	0
12958	0
723900	0
241116	1
16147	0
75570	209
22626	12
69171	1237
227298	1900
68818	741
74104	435
245860	255
52231	219
74577	66
20872	3775
22145	8109
56812	174
19275	3
19711	0
13437	1226
13346	2
100503248	0
11790	3
69080	516
241118	0
74241	33
319998	1
98733	1
16322	0
71728	140
20536	1
620079	0
13838	6
18505	0
100039210	0
433323	39
23874	2817
68393	2
74205	655
195434	278
57814	1
20254	0
252903	165
69368	1222
100038695	0
69163	2064
20720	577
241128	1
100503052	94
26554	1174
210293	1555
241134	1
16367	0
100503073	2
76867	162
100503095	18
12829	8
12828	11
75734	2393
66261	2
15463	908
80721	0
71386	0
20297	0
71227	0
77629	0
98496	5
227325	1
14897	1468
66153	173
71781	1
100503433	0
665317	0
381287	23
621875	19
100039742	12
665378	0
620078	5
100040213	0
100039794	0
665338	0
109032	1890
434484	521
100503502	0
100503045	0
20684	483
319997	692
12283	2145
64294	1200
71141	0
227326	0
70060	0
72792	0
70247	6858
15559	20
78795	110
227327	41
383538	3
17975	74101
100303740	17
80828	1
319336	144
14767	0
71863	0
19231	34968
100502660	3
18582	1494
26895	469
18159	0
208718	349
620213	3340
11650	0
76768	0
11648	0
13599	0
69453	0
11447	0
11449	0
26987	4129
98363	0
227331	1584
100040591	42
73234	0
53972	1
319977	0
23956	0
16331	905
77040	359
100217415	0
20215	10
100503175	12
227333	521
227334	411
394430	0
394434	0
394432	31
394435	5
94284	2
394433	1
22236	1
15504	127
394436	0
100040766	4
381280	2022
171382	0
75396	0
14659	84
100503197	1
320982	123
98402	4
347722	520
74403	156
14472	33
208372	0
74918	0
12778	1
108679	1845
433332	0
12835	0
171531	2
623503	0
19329	31
16978	2104
329207	42
51801	11109
67921	2137
50880	924
227357	5
100503326	0
70788	2
227358	54
67444	2862
67086	2
55927	1281
18627	119
74019	388
65247	206
13345	0
208727	248
67273	4520
259040	0
258228	0
259041	0
259039	0
258274	0
258483	0
258484	0
257890	0
66915	7144
260301	212
14733	259
100504295	0
387167	0
241158	0
67446	216
108657	556
100037260	65
23830	170
64095	12
208760	0
16560	0
11611	0
71874	0
381284	0
208777	0
69821	636
269224	182
66385	2114
404545	2
110611	4256
18000	3867
227377	15
59041	547
51800	28
67026	371
66615	1045
21915	10305
66262	954
98314	157
381334	0
100041596	0
666009	1
619597	0
241159	0
18566	2
67698	1568
100041686	5188
20452	700
100504401	0
227394	1
329217	1
67854	0
74441	0
634331	0
634346	4
52392	1037
227399	978
252876	359
18484	438
78603	42
70866	0
100504494	70
241175	0
100504525	0
23836	0
320311	3
100504568	0
100504602	74
27392	219
227446	537
100042023	0
21934	0
635504	18
227449	392
98432	61
12043	1568
70750	858
20479	1900
20724	0
71869	0
241196	0
20248	0
394252	0
383548	1
381286	0
66957	0
116872	0
18788	2
241197	75
20725	3
241201	0
227485	0
319901	34
636808	0
22099	8534
67949	4556
76707	899
68204	158
81879	0
14633	1
16324	1
100502628	1
64143	105
226351	513
226352	48
19258	114
66343	268
226356	0
319229	1
170706	27
13167	14801
73103	639
68428	1583
226359	0
17167	0
13798	0
98452	0
72999	453
70829	301
15564	1
66942	2309
100502702	0
269109	0
74117	5889
74150	151
71111	0
72585	0
210356	1
107895	345
72160	12
266645	38
100502745	5
72949	387
22625	2
226407	976
226409	209
226412	2099
387147	2
67812	5725
226413	3
17219	7294
226414	4110
12767	1280
210417	4
100042740	16
13137	2
13136	642
22789	1
12269	0
12270	1
18640	340
226418	219
212439	23
64435	0
100502856	0
18703	0
69169	0
93672	0
58181	0
329244	0
16153	1
17164	3127
226419	755
16865	741
54354	661
56489	188
14270	418
108900	262
26361	0
13034	3537
226421	143
320718	5
212933	4
98396	177
226422	268
98415	15789
212980	241
13714	294
213006	75
100502885	494
18557	43
723818	0
213409	0
213417	0
74137	418
68875	118
213452	492
213464	557
74626	41
21367	1
269116	0
100038653	0
16980	0
17248	664
240752	51
108954	1264
240753	35
100502933	1
68338	0
280287	0
19701	0
214253	0
20668	52
20643	26232
70579	1887
667118	828
240754	9
381290	441
269120	5
116847	0
100502984	0
14264	0
100502999	0
12227	1074
667414	12
71884	3
12654	3
53311	1
11539	0
17928	0
68507	98
57439	1544
240755	0
72017	341
72674	1358
240756	492
98710	722
100503055	1
71001	0
75605	1661
20980	1
329251	76
320856	47
67196	1282
329252	32
13924	40
100038590	0
320139	3275
68724	448
171469	0
13710	2
215615	1685
21854	4032
93689	0
77552	0
226432	662
215690	394
13007	1602
27280	160
21952	0
16763	0
21956	0
18772	0
226438	0
66241	1123
226439	0
12292	1
16565	167
76422	3
67313	0
383563	2
67886	516
320054	86
67997	143
381293	405
71084	0
226442	577
100503460	8
100503474	0
26424	0
320138	160
735252	0
723890	0
19264	1444
338375	0
59125	505
545363	1
16876	0
69549	1436
75546	0
329260	492
170788	0
226470	349
12316	1735
14060	0
50702	0
624286	0
214403	0
545366	0
12628	0
240776	0
100503637	0
226472	0
214498	1071
26878	61
69367	3313
20822	182
56207	5135
19735	1851
246709	1
50778	571
624910	0
64214	2824
215378	0
100043240	1
791353	0
18783	926
320019	1
19225	24
100502948	30
100043257	15
20028	0
226499	1119
108989	10931
96875	17
545370	2
73176	0
117198	4404
66875	1195
98685	515
19821	764
63913	114
66967	425
69399	605
66637	1423
269132	0
19731	42
100048152	0
71281	0
67771	5515
100503084	1
17970	1141
226517	815
226518	5
16782	1
226519	44
626058	13
71836	43
13211	2969
74091	741
67792	7
19734	1
24014	762
240816	2
240817	0
433365	5
240819	2
14645	1304
100503355	0
12290	18
15939	640
15064	44
58244	374
207792	1
100503411	0
19775	570
433367	3
72482	3190
16872	0
104009	468
74081	2171
208263	1039
240832	1145
329274	1
214575	0
170484	0
77352	1
100038991	6100
20652	973
11352	443
30935	681
100503836	0
215015	142
433368	10
78255	545
72713	8
73435	0
226525	143
69953	1349
226527	37
89867	9
240843	0
11899	0
735253	0
23850	0
72025	1
26374	768
100217414	3
21960	0
67647	625
75255	46
329278	0
64659	12131
12301	14960
29809	3159
620246	1
620750	0
381305	1074
11905	34
240869	57
14455	31509
100217446	28
226539	659
70454	707
226541	303
73844	1
100502590	0
620839	12
11758	16447
22164	8
240873	0
14103	0
226551	842
75368	2
67292	389
103967	0
474332	0
723821	0
387210	0
71449	400
53330	70
17926	0
100038657	0
226562	9997
226564	0
14261	0
55990	1
226565	0
14262	0
78258	0
18933	0
98376	198
240879	0
16579	451
240880	486
381306	48
69962	297
20339	144
20343	1834
20344	67
100503816	2
14067	66
116914	159
74895	376
66352	379
171567	421
11931	28
56429	0
16963	0
69476	1
83993	0
108735	441
226591	2242
240888	0
74106	215
70456	4990
271639	1
68481	63
100503268	1
226594	759
100503283	33
433375	12502
12503	44
100503297	6
100503933	137
18986	317
240892	0
59290	0
98558	0
100039795	0
100503318	73
27878	1284
71592	269
226601	0
226604	0
240894	0
100503962	0
226610	0
80914	2307
68944	4321
735254	0
56752	2111
66447	1496
240899	1
100503977	0
20183	0
110648	1
18514	1001
100502613	0
383613	0
66977	480
19737	0
19736	0
78465	0
15490	147
18214	4
107652	2168
16589	230
545378	0
622708	27
26904	66
76925	8
100504035	107
70729	173
320078	1
226641	540
80915	886
435653	2
98752	4
100504052	54
14130	668
246256	42
14131	1641
75472	98
66052	4178
17528	0
66425	225
12355	2
641376	459
11807	57
14127	5232
226646	4840
240913	0
57370	671
19044	847
30941	251
66155	4680
100504072	123
21945	408
27045	48
18637	5495
68874	51
71740	12
226652	1220
22278	255
226654	13
16456	14
56009	349
16429	0
18106	68
17085	168
75345	10
12506	3729
100041098	28
27218	49
12523	264
100038548	16
30925	6
93840	30
18071	0
59287	445
12847	346
100504176	2
19298	690
98193	1940
18611	55
12372	1
27222	0
98660	0
140559	731
16524	2
16513	3
67556	523
98365	7
93842	4
21346	18245
71870	0
100504192	5
240916	0
74748	8
677296	0
68440	518
100040320	6
12944	0
20219	0
18313	0
258759	0
258758	0
258880	0
258881	0
14125	128
258645	0
100504232	0
13349	21
94332	10
383619	534
240921	14
545384	1
623121	5
236312	734
100033459	0
100504251	0
226691	16
15951	44
100504287	15
666028	6
100040462	2000
381308	75
15950	1498
26388	0
226695	15
258712	4
258711	0
258713	0
258717	0
259162	0
404222	0
258716	0
258715	2
258302	3
20739	476
258710	1
66289	0
258238	7
258709	4
258756	9
546747	0
54418	3
23893	0
24012	1
14194	4351
98256	42
13603	31
12663	214
75820	0
26909	947
226720	0
319455	0
545388	114
545389	533
723921	0
76816	414
23797	349
30928	539
75589	0
69428	3
11566	3684
631584	1
545391	0
78825	1747
791357	10
75164	0
320110	78
66359	3816
51810	22662
68226	244
269152	11
69726	820
433941	2209
15278	496
226744	236
109232	268
226747	2615
100503705	1
226751	220
67426	100
19165	1915
277333	13
320404	37
791296	12
381310	1
329305	1
11545	4733
72568	571
27217	1
666431	48
170760	1700
100504581	3
15078	877
208768	2084
100504598	11
320202	0
69051	2724
13590	362
208795	253
13849	3
619326	0
67459	1134
98417	4734
226757	2619
329307	9
72978	1
403180	0
98386	4284
433384	5
13800	7
27058	2114
100504677	0
625823	0
13244	1061
67330	0
67948	548
209456	194
12334	96
170725	0
433386	0
96935	1
53791	3
73363	78
63953	30
15284	376
66112	6
67247	5588
226777	0
226778	0
98732	678
381314	1127
387189	0
387211	0
23827	308
107508	7472
319562	7
100039138	1
226781	14
114668	0
226791	72
21808	9
67223	3245
110957	0
74717	2
67769	360
100504534	136
100504550	1
26381	0
320272	0
22283	0
226823	246
16526	0
100042424	2399
100039307	0
108000	5308
19250	230
226830	2092
19130	0
100504619	0
320119	135
52477	1008
226841	6
226844	439
100125339	5
75558	0
68972	257
381318	323
381319	7
619288	2
11910	49
100504360	265
66208	3057
66950	474
226849	344
100504379	0
76843	1343
77065	320
226856	546
18005	644
98736	2
22782	138
74023	9
22033	101
100042625	755
214742	292
100038712	13
16510	1
226861	33
320952	0
214791	0
100503471	0
329324	1
215193	539
54139	8
319266	311
215243	178
15483	229
100503531	0
14373	0
16780	0
215303	0
387201	0
18845	17
12490	3461
320400	94
320977	21
723963	0
387224	0
17221	21
12946	1649
12902	18
215748	206
18390	2
320495	27
100041224	0
56533	0
108853	587
67141	2161
22353	0
68632	341
64009	550
13982	58
100504234	0
73419	632
66084	741
381990	198
83397	6
270685	1653
213783	3
70337	0
76142	0
670558	0
215728	0
237253	30
18537	2363
320642	73
69912	2025
407824	51
16798	414
23924	1306
215751	450
100503695	6
67418	2350
237256	10
68652	1683
338362	4
70097	74
791352	0
320825	0
620417	0
78808	776
215772	2
67844	777
382450	1
100038484	0
14816	2
268281	560
71865	458
13853	3
100503020	0
22288	518
320273	83
74732	409
66125	11723
22634	4
75122	0
353258	2251
215789	341
66848	1197
56535	457
66757	654
66253	283
15273	77
100504211	11
215798	4
100039571	132
66201	1788
76743	0
18101	0
100503049	0
100504235	0
17684	3287
378431	6
380629	66
73112	10210
19707	451
100045792	4
215814	209
215819	15
56016	8
215821	8
237300	0
73968	10
64058	42
21929	77
100504265	0
94222	0
15979	5148
237310	27
237313	13
76157	114
18634	1877
26408	212
17761	629
621697	134
72567	8926
71804	445
29863	29
52906	475
100038717	3
100504283	5
17863	10646
56422	1330
237320	0
76924	0
67692	0
432436	1
20393	85
114671	0
319887	66
379043	3
667281	6
606736	65
56554	0
100038752	0
353169	0
237336	1002
100504411	0
100038582	0
21412	0
14051	8
20042	180733
76306	48
26464	0
22361	0
111174	0
209512	0
493809	0
209513	0
215854	0
215855	0
215856	0
209517	0
435206	0
276742	0
435207	0
215859	0
382348	0
494546	0
503558	0
53331	1094
59012	0
14219	0
18605	101
209558	57
70208	581
11846	7
432442	242
13822	128
100504485	0
100504474	0
77220	0
100040851	0
268288	0
237339	307
667572	0
73910	508
16773	0
100040961	0
19272	12
210757	0
100504516	0
114676	4
67719	0
67412	0
212448	0
52665	52
68031	206
72780	0
100504540	0
66311	4088
73681	809
100504586	20
66847	776
211329	1056
15214	1
69692	1918
21987	1
100041294	3
268291	59
432450	2
76757	0
215890	0
215895	0
57430	0
212892	1
72580	266
414093	4
100504607	4
66521	3242
692132	0
270711	0
103511	0
215900	317
212898	16
22110	963
72480	27
319638	678
12813	19
14302	1
100041585	109
319415	0
15182	3972
17118	189
100503712	0
100503757	0
215919	0
16775	0
66337	33
71924	223
327743	8
14360	440
100504626	2
103213	50
327744	64
19714	955
213332	5
75299	4
72045	0
100041085	0
215928	5
215929	0
72472	1147
67239	3156
67371	2604
19850	222
11702	2236
78334	576
70840	0
70503	0
327747	1
71713	1617
83767	2
100504721	21
140741	0
103199	461
633979	0
268294	302
171580	261
20598	228
73075	1
53599	2353
75973	1
629461	0
103268	972
140742	523
213402	2
624784	146
56484	83
215951	104
54198	8357
21907	0
14628	428
100502608	9
140740	1533
268297	15
109205	1
723945	0
74530	0
71365	87
331623	131
100042179	104
67851	1173
12484	9879
414125	1
76563	347
170728	234
11630	18
70365	0
11793	1650
12142	3
19072	1015
78977	0
23828	0
380669	1
209462	273
14806	0
77987	1274
20464	2
14727	24
14728	39
77296	0
210198	0
320995	0
71090	0
215031	0
19886	0
66686	5
94221	482
66650	0
52014	1357
22639	2
215085	0
100038725	268
100502820	2
18821	34
432460	1
100502868	0
71567	104
66403	4216
100042554	40
75906	85
17155	597
100502920	60
544696	95
73390	314
14609	366
791298	0
15500	309
56442	1320
18768	461
100504151	0
12140	3
100502970	0
57319	1833
100504180	0
100502899	0
74399	0
664783	0
245263	0
791309	12
70297	1492
110829	2939
19386	4756
100503037	281
100503579	363
76138	81
13608	0
103505	0
237353	1
103080	68
268301	92
18451	605
69836	0
18302	0
100502977	354
215999	74
216001	559
56709	233
100503588	13
74747	281
52717	2123
69090	1025
94214	3
53374	0
19156	1180
22295	15
74048	339
100302688	0
71279	400
107449	0
100503834	0
100503931	0
73616	0
13180	257
20397	280
65971	10
237360	0
18646	2
27355	1
18119	0
13688	1593
100503821	191
216011	209
237362	2
67895	6996
20224	2299
71767	1338
71361	92
404634	55
12817	1
432466	68
69894	23
11925	0
70423	50
21337	0
15275	2768
70162	73
216019	0
338359	660
74706	61
30930	1190
19073	43744
72320	656
56200	5046
94213	1443
216021	42
67500	5772
100217463	0
52463	388
73132	556
327762	1087
70432	263
432467	156
67307	7
68371	2
53404	0
68802	0
641387	61
67345	685
100502721	39
93759	307
30045	295
631906	0
216033	0
791346	0
216028	0
100502808	0
69433	0
28193	443
108829	1723
641340	640
13654	9
211488	1331
100038508	0
216049	1
170799	105
71371	300
100503521	0
73287	62
327766	5
320700	43
69288	42
12534	5492
11735	4
70557	4
76551	1091
69563	1
66859	4
71721	0
70911	0
319646	0
83675	1
319572	0
21780	2529
216080	706
100504436	0
52637	210
69718	844
108950	0
100040505	8
52696	1116
11994	0
71236	0
14687	49
76877	3
110279	267
74392	426
11540	33
544707	7
103149	5
68778	211
67332	11975
192734	0
14598	3
23887	34
71733	22
104248	1075
13202	3261
103140	90
14871	37
75886	0
14872	747
17319	30753
70377	36
20587	2772
17385	7
103172	4447
333670	13
22364	4
333669	16
64453	206
64454	1
64452	0
15468	11
751554	0
20203	2
64451	33
18541	1740
76964	0
216119	177
54387	820
16987	135
76573	0
14317	0
12834	0
12833	0
59093	175
100038479	0
20509	1431
12822	15
100169878	4
80294	537
110532	25
100045653	4
108707	939
16414	242
108705	984
20610	5314
22213	1130
100502831	0
670895	0
16697	0
100009614	0
100502921	0
16694	0
100502953	0
77763	0
100041250	0
100041261	0
634517	0
100041281	0
634504	0
675294	0
100503388	0
670880	0
100040299	0
100191037	0
544710	0
622629	0
100041351	0
252974	2
75188	0
237387	3
28240	11
67884	255
18641	1342
11634	2
54427	15
50723	21
100503488	0
28295	17
110816	655
216131	1273
28169	406
100041500	441
18114	6580
13014	2114
216134	723
791283	0
258224	0
216136	476
71709	23
257883	0
12365	0
70976	0
20513	0
258305	0
257734	1
18372	0
259044	0
259074	0
259042	0
18357	0
72128	122
624765	0
216144	0
624845	0
625029	0
50784	328
70427	125
21830	0
237397	0
216148	0
100503607	0
382384	0
17123	0
110012	946
216150	1915
16904	15
12215	10099
15166	4
216151	311
67112	0
70294	2309
83554	3
73106	2527
100503626	5
18483	559
78906	1
414101	161
19205	3899
216152	1031
19152	101997
50701	82303
11537	8
216154	386
109284	2685
114229	12
13496	664
216156	4171
170483	8
216157	518
12798	1127
27403	520
70719	1761
66420	5995
625249	2497
216161	332
20869	145
100503659	536
66043	17256
59090	605
12696	1120
69770	1154
13637	3
68114	905
75406	9305
14431	237
70248	5348
20054	94822
23805	9
66374	1716
18551	201
70335	228
100503741	8
66548	33
216166	0
100503758	2
237400	107
17192	4753
66594	0
21423	3164
246086	0
67331	1
66932	1773
118445	366
216169	2651
100113398	100
56214	1023
103236	1909
208198	565
17347	1890
208228	500
71564	181
11776	819
208266	1018
78670	4165
20222	1414
11705	4
71912	9
18245	14878
237403	8
66094	586
73218	1083
432478	3
30055	12539
16907	855
17873	682
14708	7
208666	0
106947	175
52551	1707
50492	1273
208677	14
26396	4959
16969	2188
59004	280
13629	1840
100217454	1
100503773	0
13144	777
69678	0
69564	1
16467	0
103406	4
17179	773
66047	6172
57267	166
27375	47
18717	502
70312	753
21390	90
209047	2
15353	1425
73822	23
432479	37
56371	1087
102115	1946
100503793	48
72273	29
18029	1322
319586	2
103425	1703
13611	395
14676	1226
14672	550
14797	5961
21886	29
114606	117
268319	18
50721	412
70615	292
100233208	4
666448	4
666458	0
73610	1
100040944	0
666738	0
666501	1
331188	0
666542	1
666548	0
100038681	106
666790	8
100503645	21
408062	128
327780	3
666584	8
216177	197
100038633	1
237411	218
100503696	0
237412	31
