Geneid	HISAT2 on data 23: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	7776
18777	264
100503730	29
21399	2687
58175	1
108664	1223
18387	0
226304	0
12421	2429
240690	0
100504079	31
319263	607
71096	0
59014	5313
76187	18
72481	4
76982	1
17864	41
70675	1432
170755	1477
620986	5
240697	5
73824	2365
266793	0
100038398	0
69312	0
26754	4562
211660	1114
211673	2525
329093	9
109294	6
320492	0
240725	0
240726	10
383491	0
17978	668
72265	5193
212442	776
381246	0
433273	5
14048	84
17681	0
277328	0
98741	0
21749	1420
226866	19
665434	5
75799	2
19989	71226
98711	228
100503633	66
29819	134
66799	1355
67923	7814
329101	3
70397	3185
17087	149
57339	7
14545	7
94227	2
83691	28
100503673	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
100503916	0
100503972	0
241035	0
387202	0
723817	0
16171	0
257630	1
17215	9481
74229	75
71877	20
170829	29
75712	172
14859	3
241041	0
368204	0
433278	0
98582	0
226922	126
116837	0
665725	0
66755	0
387225	0
723964	0
70155	4362
100503399	0
280645	88
98366	3876
68002	2543
68187	18
12839	0
12823	2
100503984	20388
100503946	10369
68421	724
210933	0
100504323	0
210940	0
100503081	0
433281	0
210962	0
623924	1
100502623	1
791350	5
213109	3241
19243	530
70988	0
266744	1
74708	0
226957	0
624262	0
100503415	5
170771	0
408192	0
408191	0
19076	1409
67503	71
19335	118
213539	2548
98403	411
433287	6
320705	0
13518	107
69668	3052
27993	4048
52318	290
19253	6781
21755	0
12627	4
21756	0
211383	0
241051	0
241052	0
226970	23
214469	1508
226971	404
50785	661
320011	1448
214854	135
214855	345
226976	540
214895	495
94220	605
94218	460
78321	34
109346	444
20353	21
381337	16
623414	1
12859	15927
226977	620
71166	0
22637	1
56030	961
70853	0
12790	0
269180	371
76178	1594
67387	2801
269181	594
77633	63
72097	1
100503734	0
211484	60
623661	308
69028	1237
107734	10454
332427	0
69541	0
98258	3883
226982	10811
56210	533
16764	912
381338	3
98388	101
100503760	31
433292	0
68833	2720
18143	5
114641	33925
54610	206
100503777	21
52846	1485
100217461	0
67702	1862
263764	0
619289	3
100042065	0
26921	675
100047133	15
16178	3
16177	91
107527	16
17082	900
16182	28
16174	16
110895	0
226999	3
211798	38
381339	0
791306	0
66297	0
18993	0
73100	0
69527	3063
93690	0
73122	340
98404	295
14200	25
666642	1
17974	174
100503894	15
78896	1
67883	124
22019	2752
433294	20
75623	4022
72050	763
246229	192
22592	434
403183	0
70676	27
12825	0
12832	1
73674	3188
433297	159
53945	955
100042453	0
212225	0
227058	1
100101919	0
227059	752
100503087	0
19842	0
442837	0
56363	0
20324	1174
109019	109
100045066	2
17912	28
20849	183
100042634	13
20846	1155
14660	2715
17936	1278
227094	148
98682	171
16329	298
227095	2029
67080	0
17700	1
69397	0
227099	331
227102	1203
72085	453
70396	3406
100503234	0
627872	2
98267	969
329152	2
78016	12
98488	286
100504348	0
241062	0
329154	441
81898	14317
67876	646
15510	35940
15528	46374
19070	1923
74013	24
212679	583
75388	6
227120	8
100504386	0
626009	0
329159	0
71066	0
212712	12
329160	0
407809	0
75323	50
73467	263
68736	638
68115	1648
67198	0
51960	309
68549	1910
11761	0
71724	1
71872	4
213043	0
66882	7783
12747	2481
70225	3288
65102	1064
18393	3373
100504455	26
213056	872
66495	7857
100504483	13
100504501	140
108812	1
12633	925
12370	2405
70827	727
227154	648
73463	0
381259	615
227157	18
74018	108
271697	1
14369	266
381260	13
22218	6648
55989	15932
100217459	2
100217421	0
12168	85
100504533	76
72750	863
70375	54
57750	6569
241066	50
269198	523
77951	261
329165	361
77300	24
100504603	31
100043027	4
100042533	0
12487	21
100504618	1
12477	0
54167	10
72823	184
18187	11
227195	1633
100380944	215
100504668	341
227197	3230
55949	79344
100217464	11
241070	2
73884	0
23792	1
100504706	0
241073	0
76668	0
75619	1486
74426	1
433315	0
93691	148
12912	1803
67099	379
69941	1094
227210	60
14367	43
241075	128
70861	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	3
15926	1765
18711	460
213527	0
12969	0
17756	1
100038569	2
329178	2
66646	747
68691	539
11363	5960
17901	0
14768	1229
227231	0
13869	0
100502712	0
22779	1175
66722	0
320460	0
12021	1575
74591	0
108147	5523
14268	6
667931	0
433319	1
381269	15
111175	737
271711	0
22596	1081
381270	0
54380	595
319695	1
19981	45436
16008	0
16011	0
21958	0
69449	0
723792	0
109198	0
21961	551
435626	24
12765	111
227288	3
76709	19975
227289	7
227290	3694
56695	310
69660	438
241112	1
18173	3
227292	728
387219	3
22349	5
319651	2124
58184	3882
18802	6
77264	315
66821	780
57751	356
269209	6
67534	151
104086	52
241113	2
22420	15
22409	3
12570	0
260298	0
12958	0
723900	0
241116	0
16147	1
75570	295
22626	4
69171	1710
227298	2404
