Geneid	HISAT2 on data 87: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	69
18777	0
100503730	0
21399	806
58175	257
108664	377
18387	0
226304	0
12421	2945
620393	0
240690	0
319263	591
71096	0
59014	82
76187	0
72481	0
76982	0
17864	0
70675	0
73331	0
170755	2
620986	0
240697	0
73824	12
266793	0
100038398	0
100039596	0
69312	0
26754	1095
211660	545
211673	976
329093	0
109294	5
320492	0
329096	0
240725	0
240726	0
383491	0
17978	17
72265	786
212442	0
381246	0
433273	0
14048	0
17681	0
277328	0
98741	0
21749	0
226866	0
665434	0
75799	0
19989	6589
98711	0
29819	59
66799	139
67923	896
329101	0
70397	13
17087	0
57339	0
14545	0
94227	0
83691	519
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	920
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	654
77741	0
74229	0
71877	0
170829	0
75712	0
14859	10
241041	0
368204	0
433278	0
98582	0
226922	0
116837	0
66755	0
387225	0
723964	0
70155	202
100503399	0
280645	0
98366	429
68002	0
68187	575
12839	300
12823	0
68421	67
210933	0
100504323	0
210940	0
433281	2
665903	0
210962	0
623924	0
791350	0
213109	297
19243	159
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	0
67503	0
19335	102
213539	0
98403	0
433287	8
320705	0
13518	1406
100628580	0
69668	123
27993	0
52318	280
19253	247
21755	0
12627	0
21756	0
211383	0
241051	0
226970	0
214469	1443
226971	545
50785	231
320011	309
214854	0
214855	291
226976	556
214895	0
94220	319
94218	348
78321	0
109346	0
20353	0
381337	0
12859	520
226977	384
71166	0
22637	0
56030	1026
70853	0
12790	0
269180	0
76178	281
67387	989
269181	2
77633	0
100861893	0
72097	0
100503734	0
211484	0
623661	0
69028	230
107734	365
332427	0
69541	0
98258	662
226982	4280
56210	0
16764	735
381338	0
98388	0
100503760	0
433292	0
68833	3
18143	0
114641	12037
54610	0
52846	0
100217461	21
67702	414
263764	0
619289	0
100042065	0
73426	0
26921	155
100047133	0
16178	309
16177	9
107527	0
17082	0
16182	0
16174	0
110895	0
226999	0
211798	177
381339	0
74897	0
66297	0
18993	0
73100	0
69527	328
93690	0
73122	0
98404	0
14200	0
666642	3
17974	0
100861934	0
78896	0
67883	0
100503192	0
22019	85
433294	0
75623	0
72050	140
246229	0
22592	570
100861960	0
403183	0
70676	0
75066	0
12825	13904
12832	879
73674	2
433297	381
53945	48
100042453	0
212225	0
227058	0
100101919	0
227059	1
442837	0
56363	9
442821	0
20324	218
109019	101
100045066	0
17912	117
20849	0
100042634	3
20846	331
14660	1394
17936	1501
227094	0
98682	224
16329	0
227095	210
67080	84
17700	0
69397	0
227099	0
227102	0
72085	0
70396	120
627872	0
98267	110
329152	0
78016	0
98488	0
241062	277
329154	5
81898	1918
67876	116
15510	453
15528	1902
19070	303
74013	172
212679	0
75388	0
227120	0
626009	0
329159	0
71066	0
212712	0
329160	0
407809	0
75323	0
73467	0
68736	1
68115	0
67198	159
51960	390
68549	40
11761	0
71724	0
71872	0
213043	0
66882	1257
12747	2002
70225	284
65102	0
18393	2
100504455	0
213056	0
66495	1827
100504501	0
108812	0
12633	0
12370	0
70827	259
227154	275
73463	0
381259	0
227157	0
74018	0
271697	0
14369	0
381260	0
22218	6
55989	1753
100217459	0
100217421	0
12168	5
100504533	200
72750	73
70375	0
57750	531
241066	0
100504573	0
269198	392
77951	4
329165	229
77300	152
100043027	0
100042533	0
12487	0
100504618	0
12477	0
54167	330
77341	0
72823	3
18187	254
74992	0
227195	100
100380944	0
100504668	0
227197	720
55949	6654
100217464	0
241070	0
73884	0
23792	59
241073	0
76668	0
75619	195
74426	0
433315	0
93691	195
12912	362
67099	0
69941	0
227210	0
14367	0
241075	93
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	853
18711	0
213527	0
12969	0
17756	0
100038569	0
329178	0
66646	8
68691	218
11363	294
100862127	0
17901	266
14768	947
227231	0
13869	0
100502712	0
22779	101
66722	0
320460	0
12021	225
74591	131
108147	624
14268	910
100042814	0
667931	0
71134	0
433319	0
381269	1338
111175	222
271711	0
22596	0
381270	0
54380	0
319695	0
19981	10459
16008	187
16011	2632
21958	0
69449	0
723792	0
78718	0
109198	0
21961	87
435626	0
100862357	0
12765	0
227288	0
100316687	0
76709	3920
227289	0
227290	598
56695	7
69660	984
241112	0
18173	0
227292	175
387219	0
22349	0
319651	409
58184	39
18802	0
77264	0
66821	0
57751	0
269209	0
67534	0
104086	0
241113	0
22420	503
22409	474
12570	0
260298	0
12958	0
723900	0
241116	0
16147	0
75570	0
22626	0
69171	79
227298	712
68818	167
74104	0
245860	0
52231	174
74577	0
20872	337
22145	1568
381272	0
56812	150
19275	0
19711	0
13437	616
13346	0
