Geneid	HISAT2 on data 10: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	1
20671	0
27395	370
18777	548
100503730	12
21399	410
58175	0
108664	1298
18387	0
226304	0
12421	3475
620393	0
240690	0
319263	759
71096	2
59014	331
76187	9
72481	3
76982	0
17864	9
70675	2276
73331	2
170755	1230
620986	14
240697	20
73824	68
266793	16
100038398	6
100039596	0
69312	23
26754	521
211660	341
211673	5901
329093	18
109294	0
320492	0
329096	0
240725	0
240726	13
383491	0
17978	1372
72265	3420
212442	222
381246	0
433273	1
14048	46
17681	0
277328	0
98741	0
21749	117
226866	2
665434	0
75799	0
19989	1800
98711	53
29819	35
66799	413
67923	470
329101	0
70397	223
17087	204
57339	0
14545	0
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	251
77741	0
74229	89
71877	7
170829	104
75712	6
14859	10
241041	33
368204	3
433278	0
98582	1
226922	40
116837	0
66755	0
387225	0
723964	0
70155	1524
100503399	2
280645	103
98366	339
68002	16
68187	17
12839	0
12823	5
68421	2241
210933	0
100504323	0
210940	0
433281	0
665903	3
210962	0
623924	0
791350	1
213109	3149
19243	485
70988	44
266744	0
74708	0
226957	0
624262	1
170771	0
408192	0
408191	0
19076	74
67503	0
19335	30
213539	6
98403	412
433287	7
320705	8
13518	283
100628580	1
69668	518
27993	651
52318	196
19253	309
21755	0
12627	0
21756	0
211383	0
241051	0
226970	48
214469	2507
226971	961
50785	329
320011	2538
214854	2985
214855	2334
226976	731
214895	189
94220	366
94218	113
78321	18
109346	50
20353	30
381337	0
12859	263
226977	351
71166	4
22637	59
56030	2274
70853	0
12790	0
269180	1972
76178	1303
67387	353
269181	1264
77633	159
100861893	0
72097	0
100503734	0
211484	147
623661	4
69028	160
107734	272
332427	0
69541	0
98258	873
226982	2082
56210	398
16764	76
381338	0
98388	13
100503760	0
433292	0
68833	244
18143	2
114641	948
54610	1381
52846	472
100217461	67
67702	6866
263764	25
619289	0
100042065	0
73426	1
26921	5447
100047133	284
16178	6947
16177	37
107527	76
17082	3215
16182	751
16174	3571
110895	10
226999	0
211798	15
381339	0
74897	0
66297	0
18993	0
73100	0
69527	215
93690	0
73122	402
98404	158
14200	8
666642	0
17974	113
100861934	50
78896	1
67883	153
100503192	11
22019	2073
433294	16
75623	120
72050	47
246229	31
22592	97
100861960	0
403183	0
70676	0
75066	0
12825	39
12832	7
73674	599
433297	36
53945	5967
100042453	0
212225	0
227058	0
100101919	4
227059	478
442837	0
56363	0
442821	0
20324	1
109019	4307
100045066	40
17912	29
20849	399
100042634	4
20846	3825
14660	4193
17936	4163
227094	104
98682	739
16329	291
227095	74
67080	0
17700	0
69397	0
227099	59
227102	176
72085	56
70396	692
627872	0
98267	4997
329152	35
78016	2
98488	165
241062	361
329154	4209
81898	12542
67876	423
15510	1243
15528	185
19070	890
74013	42
212679	130
75388	0
227120	44
626009	1
329159	0
71066	0
212712	6
329160	7
407809	0
75323	0
73467	39
68736	75
68115	72
67198	4
51960	185
68549	15
11761	0
71724	10
71872	3
213043	1
66882	3157
12747	5420
70225	125
65102	120
18393	376
100504455	8
213056	322
66495	85
100504501	59
108812	3
12633	7208
12370	1526
70827	1807
227154	75
73463	0
381259	12
227157	0
74018	464
271697	0
14369	365
381260	3
22218	404
55989	1493
100217459	8
100217421	2
12168	656
100504533	51
72750	841
70375	53
57750	285
241066	58
100504573	1
269198	1891
77951	160
329165	322
77300	739
100043027	8
100042533	0
12487	65
100504618	2
12477	52
54167	97
77341	0
72823	21
18187	1933
74992	34
227195	3599
100380944	82
100504668	89
227197	791
55949	1797
100217464	12
241070	10
73884	2
23792	75
241073	0
76668	0
75619	216
74426	0
433315	0
93691	916
12912	2604
67099	60
69941	4
227210	245
14367	329
241075	1919
70861	56
667276	8
12968	0
12967	0
12966	0
12965	0
12964	0
98303	6
15926	862
18711	1957
213527	0
12969	0
17756	2
100038569	0
329178	5
66646	559
68691	1152
11363	699
100862127	0
17901	0
14768	52
227231	0
13869	0
100502712	0
22779	149
66722	0
320460	0
12021	29
74591	0
108147	788
14268	57918
100042814	7
667931	0
71134	13
433319	1
381269	3655
111175	12
271711	0
22596	85
381270	2
54380	224
319695	0
19981	595
16008	0
16011	8
21958	0
69449	0
723792	0
78718	0
109198	0
21961	390
435626	191
100862357	14
12765	10559
227288	81
100316687	0
76709	7855
227289	2
227290	1112
56695	10
69660	542
241112	7
18173	6120
227292	1457
387219	5
22349	8
319651	675
58184	487
18802	5
77264	273
66821	56
57751	240
269209	8
67534	264
104086	32
241113	1
22420	3
22409	0
12570	0
260298	0
12958	0
723900	0
241116	2
16147	0
75570	35
22626	18
69171	2123
227298	942
68818	282
74104	61
245860	899
52231	273
74577	107
20872	257
