Geneid	Mouse_Uninf_1_SRR17015118
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	294
18777	593
100503730	7
21399	348
58175	4
108664	1286
18387	0
226304	0
12421	3295
620393	0
240690	2
319263	717
71096	4
59014	335
76187	29
72481	8
76982	0
17864	5
70675	2440
73331	0
170755	1325
620986	29
240697	26
73824	81
266793	6
100038398	6
100039596	1
69312	32
26754	489
211660	334
211673	6211
329093	16
109294	0
320492	0
329096	0
240725	1
240726	6
383491	0
17978	1378
72265	3164
212442	230
381246	2
433273	0
14048	40
17681	0
277328	0
98741	0
21749	123
226866	6
665434	0
75799	0
19989	1857
98711	59
29819	43
66799	413
67923	427
329101	0
70397	251
17087	141
57339	0
14545	0
94227	1
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	247
77741	0
74229	60
71877	13
170829	76
75712	13
14859	27
241041	52
368204	4
433278	0
98582	6
226922	43
116837	0
66755	0
387225	0
723964	0
70155	1592
100503399	0
280645	59
98366	301
68002	24
68187	13
12839	0
12823	0
68421	2261
210933	0
100504323	0
210940	0
433281	0
665903	7
210962	0
623924	0
791350	4
213109	3091
19243	549
70988	44
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	95
67503	1
19335	18
213539	6
98403	356
433287	7
320705	7
13518	317
100628580	5
69668	531
27993	580
52318	187
19253	322
21755	2
12627	0
21756	0
211383	0
241051	0
226970	40
214469	2471
226971	1136
50785	338
320011	2529
214854	3013
214855	2283
226976	723
214895	155
94220	400
94218	85
78321	38
109346	21
20353	37
381337	0
12859	248
226977	362
71166	0
22637	33
56030	2247
70853	2
12790	1
269180	2027
76178	1220
67387	329
269181	1147
77633	139
100861893	0
72097	1
100503734	0
211484	123
623661	28
69028	169
107734	242
332427	0
69541	0
98258	849
226982	2100
56210	359
16764	64
381338	0
98388	10
100503760	4
433292	0
68833	216
18143	1
114641	951
54610	1211
52846	474
100217461	76
67702	6525
263764	11
619289	0
100042065	0
73426	0
26921	5336
100047133	252
16178	6708
16177	55
107527	73
17082	3269
16182	719
16174	3753
110895	4
226999	0
211798	24
381339	0
74897	0
66297	0
18993	0
73100	0
69527	209
93690	0
73122	404
98404	168
14200	19
666642	0
17974	125
100861934	44
78896	5
67883	134
100503192	7
22019	2211
433294	12
75623	73
72050	46
246229	24
22592	81
100861960	1
403183	0
70676	0
75066	0
12825	14
12832	4
73674	620
433297	31
53945	5691
100042453	0
212225	0
227058	0
100101919	1
227059	467
442837	0
56363	0
442821	0
20324	2
109019	4544
100045066	32
17912	24
20849	348
100042634	3
20846	3620
14660	4176
17936	4246
227094	106
98682	772
16329	307
227095	90
67080	0
17700	0
69397	0
227099	70
227102	207
72085	57
70396	661
627872	0
98267	5164
329152	42
78016	2
98488	182
241062	388
329154	4078
81898	12130
67876	423
15510	1108
15528	195
19070	879
74013	30
212679	123
75388	2
227120	46
626009	3
329159	0
71066	0
212712	8
329160	5
407809	0
75323	0
73467	33
68736	82
68115	69
67198	4
51960	163
68549	24
11761	3
71724	5
71872	1
213043	3
66882	3163
12747	5272
70225	149
65102	113
18393	349
100504455	4
213056	284
66495	103
100504501	52
108812	2
12633	6835
12370	1576
70827	1756
227154	83
73463	0
381259	9
227157	6
74018	519
271697	0
14369	379
381260	1
22218	335
55989	1379
100217459	3
100217421	3
12168	731
100504533	36
72750	771
70375	82
57750	353
241066	36
100504573	2
269198	1971
77951	188
329165	324
77300	736
100043027	5
100042533	0
12487	66
100504618	0
12477	64
54167	72
77341	0
72823	25
18187	1800
74992	50
227195	3500
100380944	76
100504668	72
227197	808
55949	1809
100217464	9
241070	12
73884	0
23792	68
241073	0
76668	0
75619	233
74426	0
433315	0
93691	912
12912	2610
67099	62
69941	3
227210	291
14367	341
241075	1982
70861	53
667276	1
12968	0
12967	0
12966	0
12965	0
12964	0
98303	3
15926	882
18711	1911
213527	0
12969	0
17756	0
100038569	0
329178	2
66646	581
68691	1163
11363	639
100862127	1
17901	0
14768	45
227231	0
13869	0
100502712	0
22779	153
66722	0
320460	0
12021	21
74591	0
108147	818
14268	56519
100042814	8
667931	2
71134	3
433319	0
381269	3451
111175	9
271711	4
22596	91
381270	6
54380	210
319695	0
19981	581
16008	0
16011	8
21958	0
69449	0
723792	0
78718	0
109198	0
21961	348
435626	238
100862357	14
12765	10323
227288	102
100316687	0
76709	7935
227289	2
227290	1045
56695	9
69660	504
241112	12
18173	5919
227292	1418
387219	7
22349	5
319651	654
58184	465
18802	7
77264	292
66821	58
57751	240
269209	1
67534	275
104086	58
241113	0
22420	0
22409	1
12570	0
260298	0
12958	0
723900	0
241116	0
16147	0
75570	23
22626	15
69171	1942
227298	857
68818	257
74104	70
245860	1033
52231	255
74577	135
20872	228
