Geneid	Mouse_Uninf_3_SRR17015120
497097	0
100503874	0
100038431	0
19888	687
20671	0
27395	1145
18777	1949
100503730	20
21399	1260
58175	2
108664	2297
18387	0
226304	2
12421	4154
620393	0
240690	1
319263	3438
71096	5
59014	1050
76187	72
72481	74
76982	55
17864	60
70675	4258
73331	1
170755	4865
620986	78
240697	64
73824	445
266793	32
100038398	2
100039596	1
69312	13
26754	1781
211660	940
211673	8986
329093	0
109294	6
320492	0
329096	0
240725	4
240726	48
383491	0
17978	4536
72265	8858
212442	1083
381246	0
433273	0
14048	93
17681	0
277328	0
98741	0
21749	535
226866	17
665434	0
75799	0
19989	9419
98711	282
29819	435
66799	1271
67923	1007
329101	2
70397	856
17087	437
57339	4
14545	0
94227	2
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	1571
77741	0
74229	126
71877	13
170829	415
75712	36
14859	32
241041	50
368204	21
433278	0
98582	0
226922	211
116837	0
66755	0
387225	5
723964	2
70155	1838
100503399	2
280645	158
98366	712
68002	203
68187	666
12839	0
12823	1
68421	4967
210933	0
100504323	0
210940	0
433281	0
665903	29
210962	0
623924	0
791350	0
213109	6347
19243	411
70988	0
266744	1
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	364
67503	13
19335	189
213539	28
98403	1027
433287	18
320705	73
13518	406
100628580	6
69668	1066
27993	1681
52318	707
19253	1736
21755	2
12627	0
21756	0
211383	0
241051	0
226970	233
214469	9452
226971	4705
50785	2445
320011	10126
214854	4118
214855	2593
226976	1695
214895	592
94220	861
94218	842
78321	211
109346	198
20353	180
381337	0
12859	904
226977	1690
71166	0
22637	276
56030	5835
70853	15
12790	0
269180	3562
76178	5047
67387	1191
269181	4004
77633	420
100861893	0
72097	9
100503734	2
211484	607
623661	141
69028	642
107734	1194
332427	0
69541	0
98258	2137
226982	6610
56210	940
16764	2500
381338	0
98388	198
100503760	17
433292	0
68833	687
18143	1
114641	4758
54610	1324
52846	1166
100217461	67
67702	2269
263764	7
619289	0
100042065	0
73426	0
26921	5567
100047133	128
16178	696
16177	36
107527	36
17082	4423
16182	942
16174	1297
110895	38
226999	4
211798	199
381339	0
74897	0
66297	0
18993	0
73100	0
69527	707
93690	0
73122	1761
98404	584
14200	19
666642	3
17974	422
100861934	108
78896	21
67883	869
100503192	17
22019	6300
433294	48
75623	406
72050	516
246229	355
22592	565
100861960	1
403183	0
70676	0
75066	0
12825	89
12832	34
73674	2018
433297	18
53945	1587
100042453	0
212225	0
227058	1
100101919	3
227059	2827
442837	0
56363	2
442821	0
20324	6
109019	3693
100045066	37
17912	373
20849	1490
100042634	10
20846	5979
14660	7509
17936	2980
227094	903
98682	3635
16329	366
227095	613
67080	2
17700	0
69397	5
227099	405
227102	666
72085	287
70396	2493
627872	0
98267	10299
329152	100
78016	2
98488	1014
241062	2419
329154	10273
81898	20926
67876	473
15510	4184
15528	922
19070	1740
74013	126
212679	510
75388	3
227120	219
626009	22
329159	0
71066	0
212712	27
329160	27
407809	0
75323	3
73467	301
68736	246
68115	150
67198	7
51960	604
68549	125
11761	10
71724	2
71872	0
213043	2
66882	7478
12747	8107
70225	649
65102	652
18393	1337
100504455	65
213056	1468
66495	464
100504501	176
108812	8
12633	4436
12370	3723
70827	4728
227154	408
73463	0
381259	175
227157	10
74018	2165
271697	9
14369	951
381260	49
22218	824
55989	3640
100217459	7
100217421	7
12168	1799
100504533	113
72750	3722
70375	223
57750	1307
241066	314
100504573	4
269198	3571
77951	1251
329165	1324
77300	1815
100043027	17
100042533	0
12487	515
100504618	11
12477	248
54167	198
77341	0
72823	816
18187	1700
74992	28
227195	6480
100380944	147
100504668	139
227197	2216
55949	9724
100217464	45
241070	8
73884	2
23792	288
241073	0
76668	0
75619	940
74426	11
433315	0
93691	919
12912	4548
67099	369
69941	4
227210	344
14367	291
241075	7084
70861	2
667276	3
12968	0
12967	0
12966	0
12965	0
12964	0
98303	9
15926	12749
18711	6195
213527	2
12969	0
17756	10
100038569	0
329178	0
66646	1578
68691	1072
11363	1504
100862127	3
17901	0
14768	826
227231	0
13869	0
100502712	0
22779	874
66722	2
320460	0
12021	295
74591	0
108147	4853
14268	1219014
100042814	4
667931	17
71134	110
433319	6
381269	232
111175	188
271711	0
22596	638
381270	0
54380	1302
319695	2
19981	3355
16008	2
16011	61
21958	0
69449	0
723792	0
78718	0
109198	0
21961	2028
435626	144
100862357	2
12765	3984
227288	31
100316687	0
76709	15539
227289	5
227290	2876
56695	114
69660	2498
241112	18
18173	9478
227292	3419
387219	12
22349	14
319651	1965
58184	1690
18802	13
77264	941
66821	526
57751	690
269209	13
67534	1100
104086	484
241113	8
22420	17
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	2
