Geneid	HISAT2 on data 58: aligned reads (BAM)
497097	0
100503874	3
100038431	0
19888	377
20671	0
27395	930
18777	2113
100503730	22
21399	955
58175	8
108664	1822
18387	0
226304	0
12421	3986
620393	0
240690	2
319263	2075
71096	11
59014	514
76187	69
72481	44
76982	27
17864	141
70675	5068
73331	0
170755	5167
620986	65
240697	67
73824	378
266793	20
100038398	22
100039596	3
69312	5
26754	1498
211660	791
211673	7960
329093	1
109294	2
320492	0
329096	0
240725	19
240726	20
383491	0
17978	4468
72265	7683
212442	784
381246	0
433273	2
14048	34
17681	0
277328	2
98741	0
21749	609
226866	23
665434	1
75799	1
19989	8481
98711	328
29819	311
66799	1186
67923	882
329101	0
70397	746
17087	375
57339	2
14545	4
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	4
257630	2
17215	2778
77741	0
74229	99
71877	10
170829	292
75712	25
14859	3
241041	14
368204	4
433278	0
98582	4
226922	88
116837	0
66755	0
387225	0
723964	2
70155	1545
100503399	5
280645	172
98366	649
68002	261
68187	333
12839	0
12823	0
68421	4657
210933	0
100504323	0
210940	2
433281	0
665903	37
210962	0
623924	0
791350	0
213109	4962
19243	375
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	1
19076	770
67503	3
19335	229
213539	28
98403	975
433287	17
320705	134
13518	633
100628580	21
69668	936
27993	1280
52318	391
19253	2349
21755	0
12627	0
21756	0
211383	0
241051	0
226970	125
214469	7201
226971	4791
50785	1790
320011	13560
214854	5689
214855	2582
226976	1678
214895	951
94220	1044
94218	782
78321	118
109346	209
20353	199
381337	2
12859	919
226977	1070
71166	1
22637	204
56030	4946
70853	13
12790	2
269180	5963
76178	5144
67387	1098
269181	4422
77633	336
100861893	0
72097	9
100503734	0
211484	490
623661	66
69028	543
107734	1044
332427	0
69541	0
98258	2017
226982	5135
56210	661
16764	917
381338	0
98388	62
100503760	6
433292	0
68833	625
18143	16
114641	4324
54610	1312
52846	1038
100217461	55
67702	2341
263764	25
619289	0
100042065	0
73426	0
26921	4485
100047133	64
16178	962
16177	172
107527	164
17082	1624
16182	1057
16174	1301
110895	133
226999	0
211798	214
381339	0
74897	0
66297	0
18993	0
73100	0
69527	781
93690	2
73122	1641
98404	519
14200	8
666642	0
17974	357
100861934	54
78896	17
67883	1037
100503192	15
22019	7204
433294	75
75623	279
72050	466
246229	504
22592	540
100861960	2
403183	0
70676	4
75066	0
12825	957
12832	96
73674	976
433297	17
53945	466
100042453	0
212225	0
227058	0
100101919	4
227059	2735
442837	0
56363	11
442821	0
20324	16
109019	5542
100045066	91
17912	552
20849	1639
100042634	14
20846	17101
14660	7296
17936	3387
227094	578
98682	2754
16329	245
227095	325
67080	0
17700	0
69397	0
227099	334
227102	610
72085	222
70396	3395
627872	1
98267	6802
329152	52
78016	5
98488	890
241062	2624
329154	9820
81898	18724
67876	476
15510	2301
15528	673
19070	1524
74013	78
212679	362
75388	3
227120	402
626009	24
329159	0
71066	0
212712	33
329160	21
407809	0
75323	19
73467	372
68736	198
68115	187
67198	22
51960	553
68549	664
11761	0
71724	11
71872	0
213043	0
66882	5708
12747	6579
70225	457
65102	408
18393	850
100504455	32
213056	1376
66495	435
100504501	133
108812	9
12633	4803
12370	4938
70827	3513
227154	388
73463	0
381259	171
227157	8
74018	989
271697	1
14369	757
381260	20
22218	830
55989	1822
100217459	13
100217421	5
12168	1904
100504533	128
72750	4159
70375	228
57750	542
241066	215
100504573	8
269198	3843
77951	1086
329165	1566
77300	2256
100043027	12
100042533	0
12487	489
100504618	8
12477	149
54167	301
77341	0
72823	651
18187	1025
74992	31
227195	4677
100380944	125
100504668	126
227197	2180
55949	8753
100217464	20
241070	6
73884	2
23792	104
241073	0
76668	0
75619	567
74426	8
433315	0
93691	931
12912	4593
67099	390
69941	21
227210	367
14367	335
241075	7633
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	14
15926	12181
18711	6341
213527	0
12969	0
17756	2
100038569	0
329178	2
66646	1797
68691	886
11363	2252
100862127	3
17901	2
14768	970
227231	9
13869	0
100502712	0
22779	642
66722	0
320460	0
12021	726
74591	0
108147	2685
14268	1439601
100042814	3
667931	4
71134	66
433319	2
381269	49
111175	111
271711	0
22596	154
381270	0
54380	1107
319695	2
19981	3047
16008	0
16011	21
21958	0
69449	0
723792	0
78718	0
109198	0
21961	683
435626	194
100862357	7
12765	2806
227288	57
100316687	0
76709	15909
227289	1
227290	2682
56695	104
69660	1785
241112	14
18173	6111
227292	3234
387219	15
22349	14
319651	1775
58184	1437
18802	13
77264	680
66821	284
57751	571
269209	22
67534	810
104086	718
241113	17
22420	10
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	3
75570	129
22626	4
69171	2964
227298	2130
68818	452
74104	192
245860	1471
52231	652
74577	496
20872	543
22145	656
381272	2
56812	170
19275	2
19711	0
13437	1122
13346	10
100503248	0
11790	8
69080	722
100862164	0
241118	4
74241	227
319998	18
98733	6
16322	0
71728	1417
20536	10
100862333	0
620079	0
13838	478
18505	0
100039210	0
433323	223
23874	1390
68393	0
74205	298
195434	360
57814	0
20254	0
100862182	11
252903	164
69368	2509
100038695	18
69163	440
100862198	0
20720	2
241128	29
26554	4211
72208	0
210293	10033
241134	0
16367	57
100503073	4
76867	1038
100503095	67
12829	25
12828	24
75734	1811
66261	41
100044526	0
15463	2587
80721	0
71386	0
20297	0
71227	0
77629	0
98496	4133
227325	10
100628595	0
14897	15002
66153	22
71781	26
100503433	16
381287	170
621875	375
100040135	0
665378	22
620078	92
100040213	3
100039794	4
665338	1
109032	1518
434484	1409
100503502	1
100503045	11
20684	4775
319997	1213
12283	6361
64294	4201
71141	3
227326	190
70060	0
72792	4
70247	3539
15559	104
78795	181
100861644	5
227327	101
383538	0
17975	12900
100303740	32
80828	36
319336	22
14767	6
71863	0
19231	4549
18582	364
26895	453
18159	0
208718	761
11650	4
76768	0
11648	0
13599	0
69453	0
11447	0
11449	2
26987	2031
98363	0
227331	3068
100040591	64
73234	0
53972	0
319977	0
620454	0
23956	0
16331	8761
77040	1574
100217415	516
20215	24
100503175	37
227333	5120
227334	1547
394430	0
394434	0
394432	1754
394435	79
94284	71
394433	43
22236	12
15504	28
394436	14
100040766	54
381280	483
78605	0
171382	0
75396	1
14659	13
100503197	4
320982	3624
78650	0
73475	0
98402	277
77331	0
347722	1138
74403	106
14472	8
208372	0
74918	0
12778	861
108679	1104
433332	0
12835	83
171531	51
623503	0
19329	2
16978	5944
329207	37
51801	140
67921	1067
665783	57
50880	1095
227357	0
100503326	0
70788	8
227358	109
67444	917
67086	0
55927	385
18627	289
74019	265
65247	704
13345	2
208727	998
67273	1271
259040	0
258228	0
259041	0
259039	0
258274	0
258483	0
258484	0
257890	0
66915	951
260301	0
14733	169
100504295	0
387167	0
241158	8
67446	179
108657	1046
100037260	10
23830	187
64095	4741
208760	0
16560	36
11611	0
71874	0
381284	1
208777	70
69821	340
269224	320
66385	1344
404545	10
110611	15715
18000	9069
227377	290
59041	1390
51800	6
67026	515
66615	1047
21915	452
66262	1242
98314	424
381334	0
100041596	0
666009	0
619597	3
241159	1
18566	130
74689	0
67698	1307
20452	8992
75381	0
100504401	76
73454	0
75159	0
227394	24
329217	10
67854	0
74441	0
634331	0
634346	1
52392	1757
227399	3396
252876	209
18484	2431
78603	57
69030	9
70866	0
100504494	1
241175	0
100504525	0
23836	0
320311	88
100504568	0
27392	2974
227446	3148
100042023	0
21934	1529
635504	52
227449	3025
626049	0
98432	806
12043	1509
320761	14
70750	980
20479	4640
20724	2
71869	6
241196	0
20248	0
394252	0
383548	0
381286	0
66957	0
116872	84
18788	15280
241197	6922
20725	2807
241201	0
227485	0
319901	442
636808	0
634762	0
22099	2462
67949	1084
76707	2896
68204	102
81879	11
14633	0
16324	1
100502628	0
64143	3288
226351	1044
226352	19
19258	774
66343	220
226356	0
319229	1
170706	589
13167	2792
73103	58
68428	3086
226359	4
17167	8683
13798	0
98452	0
72999	565
70829	2881
15564	4
66942	473
100502702	0
269109	1
74117	20209
74150	1483
71111	12
72585	0
210356	6
107895	1118
667090	56
72160	86
266645	3
100502745	1
72949	2344
22625	80
226407	2408
226409	233
226412	1538
387147	0
67812	3160
226413	22
17219	2833
226414	2450
12767	1276
210417	4
100042740	2
13137	8
13136	1367
22789	0
12269	0
12270	0
18640	1558
226418	406
212439	10
64435	25
100502856	22
18703	10
69169	448
93672	3
58181	0
329244	0
16153	5
17164	11809
226419	231
16865	966
54354	3756
56489	4360
14270	5043
108900	77
26361	0
13034	290
226421	1839
320718	6
212933	20
98396	970
226422	1253
98415	6887
212980	68
13714	4391
213006	1109
18557	177
723818	0
213409	0
213417	0
74137	1813
68875	214
213452	2466
213464	1737
74626	230
21367	26
269116	0
100038653	0
16980	2
17248	3461
240752	550
108954	11257
240753	551
100502933	25
68338	0
280287	0
19701	0
214253	2
20668	55
20643	830
70579	5939
667118	6307
240754	358
381290	763
269120	0
116847	4
100502984	0
14264	0
100502999	19
12227	6149
667414	1
71884	6
12654	1000
53311	10
11539	8
17928	2
68507	1239
57439	1566
240755	58
72017	1122
72674	3205
100861791	2
240756	870
98710	1150
100503055	0
71001	0
75605	1772
20980	4
329251	391
67196	91
329252	0
13924	143
100038590	5
320139	4365
68724	1854
171469	0
13710	0
215615	6344
21854	640
93689	0
77552	0
226432	2344
215690	4240
13007	1191
27280	364
21952	0
16763	0
21956	0
18772	0
226438	2
66241	161
12292	33
329253	3
16565	4215
76422	5
67313	2
100042513	0
383563	6
67886	3100
320054	62
67997	259
381293	569
71084	0
226442	2705
100503460	41
100503474	1
667686	2
26424	4
320138	90
735252	4
723890	3
19264	44262
338375	0
59125	3639
545363	0
16876	0
69549	63
75546	0
329260	3819
170788	0
71209	0
226470	1342
12316	1860
14060	4
50702	1
624286	1
214403	1
545366	7
12628	16746
240776	4
75910	0
226472	0
214498	754
26878	409
69367	682
20822	1018
56207	887
19735	3009
100861894	0
246709	20
50778	120
624910	0
64214	1117
215378	0
100043240	1
791353	0
100503781	0
18783	2706
320019	0
19225	97
100043257	272
100043261	0
20028	0
75584	0
226499	1651
108989	20144
96875	33070
545370	83
402734	2
73176	0
117198	5336
66875	981
98685	1247
19821	1475
100503012	18
63913	3844
66967	3358
69399	1280
66637	149
269132	4
19731	1624
100861876	2
71281	0
67771	9101
100503084	5
17970	10376
226517	4124
226518	6
16782	10
226519	2064
626058	133
71836	55
13211	7942
74091	128
67792	0
329271	0
19734	6
24014	4654
240816	0
240817	0
433365	0
240819	6
14645	17537
100861882	0
207678	0
78112	0
12290	990
15939	4788
15064	296
58244	1027
207792	12
100503411	0
19775	4575
433367	2
72482	524
16872	0
100861926	0
104009	877
74081	9486
208263	5228
240832	3423
329274	0
214575	15
170484	16
77352	26
20652	5837
11352	2714
30935	1906
100503836	0
215015	2601
78255	1416
72713	89
73435	0
226525	593
69953	213
226527	221
89867	175
100504090	0
240843	0
11899	0
735253	0
23850	5
72025	0
26374	2313
100217414	83
21960	4
67647	1634
75255	30
329278	4
64659	568
12301	1712
29809	2857
100316784	9
620246	19
620750	1
381305	6567
11905	17
240869	761
14455	3743
100628588	0
100217446	128
226539	675
70454	519
226541	1384
73844	0
100502590	0
11758	2868
22164	20
240873	10
14103	88
226551	2503
75368	0
67292	698
103967	26
72753	7
474332	6
723821	0
387210	0
71449	392
53330	2166
17926	6
100038657	0
226562	10027
226564	0
14261	4
55990	11
226565	0
14262	1
78258	0
18933	25
98376	335
240879	0
16579	559
240880	1634
381306	223
69962	149
20339	146
20343	10650
20344	11052
100503816	69
14067	49592
116914	556
74895	214
66352	606
171567	310
11931	111
56429	6
433374	0
16963	38
69476	0
75857	0
83993	0
108735	4295
226591	911
240888	0
74106	1064
70456	830
271639	4
68481	23
100503268	2
226594	3557
100503283	26
433375	4227
12503	245
18986	1577
240892	6
59290	0
98558	0
100039795	82
100503318	62
27878	626
71592	746
226601	0
226604	0
240894	0
100503962	56
226610	1440
80914	269
68944	1465
100862084	3
56752	2984
66447	155
240899	0
100503977	0
20183	21
110648	0
18514	872
66977	388
19737	0
100862094	0
19736	0
78465	0
15490	223
67303	7
18214	87
107652	3190
16589	1965
545378	0
622708	7
26904	245
665574	103
76925	17
70729	98
320078	46
226641	5715
80915	323
435653	29
98752	765
14130	11564
246256	9098
14131	21253
75472	21
66052	1903
17528	0
66425	6
12355	3
641376	514
11807	27
14127	7523
226646	2963
240913	0
57370	689
19044	441
30941	578
66155	834
100862110	0
100504072	95
21945	921
27045	514
18637	207
68874	84
71740	172
226652	14821
22278	1538
226654	58
16456	1079
56009	124
16429	0
18106	5707
17085	2352
75345	1436
12506	4165
100041098	94
27218	117
12523	15247
100038548	1338
100862186	4
30925	350
93840	25
18071	0
59287	4803
12847	12079
100504176	0
19298	1257
98193	3130
18611	2444
12372	8
27222	2
98660	2
140559	1788
16524	4
16513	23
67556	2710
100862199	10
98365	3331
93842	534
21346	13263
71870	135
71319	59
240916	8
74748	1638
677296	37
68440	344
100040320	1
12944	2
20219	0
18313	0
258759	0
258758	0
258880	0
258881	0
14125	170
258645	0
100504232	0
13349	2
94332	41
383619	2127
240921	441
545384	108
623121	209
236312	3718
100033459	61
100504251	2
226691	2519
15951	4347
100504287	110
666028	0
100040462	5274
381308	653
15950	6301
26388	0
226695	786
258712	1
258711	0
258713	0
258717	0
259162	0
404222	0
258716	0
258715	0
258302	0
20739	28
258710	0
66289	0
258238	0
258709	0
258756	0
546747	0
54418	0
23893	21
24012	0
14194	1425
98256	842
13603	149
12663	1294
75820	0
26909	296
319455	0
545389	6495
723921	8
76816	1421
15365	266
23797	4156
30928	1812
75589	0
69428	4
11566	3235
631584	0
545391	1
78825	1774
791357	32
75164	0
666295	58
320110	9
66359	800
51810	18747
68226	119
269152	1
69726	216
15278	178
226744	1047
109232	131
226747	9224
100503705	0
226751	608
67426	261
19165	1398
277333	10
320404	4846
381310	11
11545	3157
72568	355
27217	0
170760	2513
100504581	2
15078	739
208768	1489
100504598	5
320202	0
100862334	0
69051	309
13590	29
208795	1605
13849	4253
619326	0
67459	1724
98417	1713
226757	21300
329307	47
72978	0
403180	0
240960	81
98386	5165
433384	5
13800	49
27058	917
625823	0
13244	4963
67330	104
67948	1433
209456	969
12334	6807
170725	1
433386	0
96935	2
53791	97
68897	269
71678	1728
108909	2164
338366	5137
21339	250
78772	0
73363	29
63953	782
73590	0
74971	0
15284	315
66112	17
67247	1800
100316821	0
226777	0
226778	6
98732	2911
100217449	5
381314	2003
387189	9
387211	2
23827	350
107508	4944
319562	22
100039138	0
226781	4
114668	0
226791	74
21808	3646
67223	379
110957	0
74717	0
69308	0
67769	723
100862400	144
26381	0
320272	0
22283	4
226823	653
16526	0
100042424	223
100039307	0
108000	1736
19250	69
226830	303
19130	26
100504619	0
320119	1165
52477	1959
226841	42
226844	2152
100125339	4
75558	6
68972	261
381318	248
381319	339
619288	0
11910	1870
100504360	50
100861628	0
66208	63
66950	430
226849	3478
100504379	21
76843	635
77065	1080
226856	3213
18005	305
98736	27
22782	1548
74023	40
