Geneid	HISAT2 on data 9: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	213
18777	510
100503730	5
21399	301
58175	0
108664	1226
18387	0
226304	0
12421	3977
620393	0
240690	5
319263	876
71096	0
59014	176
76187	25
72481	4
76982	0
17864	13
70675	2341
73331	0
170755	1336
620986	32
240697	31
73824	53
266793	3
100038398	12
100039596	0
69312	40
26754	424
211660	375
211673	6329
329093	19
109294	0
320492	0
329096	0
240725	2
240726	9
383491	2
17978	1538
72265	2845
212442	188
381246	0
433273	2
14048	25
17681	0
277328	0
98741	0
21749	74
226866	3
665434	0
75799	0
19989	1404
98711	58
29819	12
66799	444
67923	508
329101	0
70397	212
17087	181
57339	4
14545	0
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	2
257630	0
17215	155
77741	0
74229	37
71877	3
170829	175
75712	11
14859	8
241041	19
368204	2
433278	0
98582	0
226922	24
116837	0
66755	0
387225	0
723964	0
70155	3078
100503399	0
280645	90
98366	354
68002	14
68187	17
12839	0
12823	0
68421	2325
210933	0
100504323	0
210940	0
433281	0
665903	2
210962	0
623924	0
791350	8
213109	3511
19243	744
70988	57
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	46
67503	0
19335	37
213539	2
98403	264
433287	3
320705	2
13518	232
100628580	1
69668	329
27993	375
52318	135
19253	277
21755	0
12627	0
21756	0
211383	0
241051	0
226970	40
214469	2482
226971	966
50785	236
320011	2014
214854	3694
214855	3621
226976	542
214895	143
94220	489
94218	78
78321	25
109346	27
20353	16
381337	0
12859	232
226977	311
71166	1
22637	16
56030	2246
70853	2
12790	0
269180	2668
76178	1024
67387	315
269181	1023
77633	127
100861893	0
72097	0
100503734	0
211484	109
623661	24
69028	173
107734	226
332427	0
69541	0
98258	741
226982	1541
56210	318
16764	66
381338	0
98388	11
100503760	2
433292	0
68833	293
18143	1
114641	692
54610	1329
52846	561
100217461	90
67702	10287
263764	35
619289	0
100042065	0
73426	1
26921	6847
100047133	703
16178	14465
16177	31
107527	73
17082	823
16182	1048
16174	5413
110895	8
226999	1
211798	13
381339	0
74897	0
66297	0
18993	0
73100	0
69527	135
93690	0
73122	310
98404	154
14200	2
666642	1
17974	64
100861934	16
78896	2
67883	114
100503192	7
22019	1730
433294	16
75623	52
72050	38
246229	38
22592	81
100861960	0
403183	0
70676	0
75066	0
12825	25
12832	12
73674	317
433297	29
53945	7865
100042453	0
212225	0
227058	0
100101919	0
227059	373
442837	0
56363	0
442821	0
20324	0
109019	4121
100045066	27
17912	7
20849	269
100042634	2
20846	2988
14660	3490
17936	4245
227094	147
98682	1532
16329	210
227095	69
67080	0
17700	0
69397	0
227099	60
227102	204
72085	75
70396	865
627872	0
98267	7768
329152	61
78016	7
98488	164
241062	623
329154	4070
81898	13157
67876	346
15510	641
15528	118
19070	920
74013	60
212679	80
75388	0
227120	19
626009	4
329159	0
71066	0
212712	4
329160	2
407809	0
75323	0
73467	36
68736	66
68115	56
67198	4
51960	184
68549	1
11761	8
71724	13
71872	0
213043	2
66882	2663
12747	6507
70225	112
65102	89
18393	200
100504455	2
213056	308
66495	87
100504501	25
108812	4
12633	7792
12370	1389
70827	2110
227154	135
73463	0
381259	9
227157	4
74018	430
271697	0
14369	298
381260	4
22218	350
55989	665
100217459	1
100217421	0
12168	719
100504533	53
72750	561
70375	45
57750	134
241066	50
100504573	3
269198	2045
77951	135
329165	162
77300	462
100043027	2
100042533	0
12487	53
100504618	0
12477	35
54167	49
77341	0
72823	22
18187	1327
74992	30
227195	3648
100380944	80
100504668	82
227197	665
55949	1346
100217464	10
241070	10
73884	0
23792	44
241073	0
76668	0
75619	122
74426	4
433315	0
93691	1119
12912	3151
67099	51
69941	2
227210	275
14367	285
241075	2130
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	3
15926	776
18711	1551
213527	0
12969	0
17756	0
100038569	0
329178	2
66646	665
68691	1417
11363	598
100862127	0
17901	0
14768	31
227231	0
13869	0
100502712	0
22779	83
66722	0
320460	0
12021	29
74591	0
108147	443
14268	43317
100042814	3
667931	0
71134	1
433319	0
381269	4036
111175	22
271711	0
22596	74
381270	10
54380	211
319695	0
19981	494
16008	0
16011	2
21958	0
69449	0
723792	0
78718	0
109198	0
21961	394
435626	379
100862357	29
12765	17516
227288	92
100316687	0
76709	8871
227289	9
227290	894
56695	16
69660	356
241112	4
18173	6866
227292	1401
387219	9
22349	6
319651	519
58184	403
18802	6
77264	258
66821	44
57751	215
269209	7
67534	185
104086	32
241113	0
22420	2
22409	0
12570	0
260298	0
12958	0
723900	0
241116	2
16147	0
75570	21
22626	20
69171	2505
227298	1213
68818	320
74104	53
245860	1095
52231	340
74577	123
