Geneid	HISAT2 on data 144 and data 1: aligned reads (BAM)
AFUB_000010	74
AFUB_000020	150
AFUB_000030	11
AFUB_000040	326
AFUB_000050	2
AFUB_000060	0
AFUB_000070	0
AFUB_000080	3
AFUB_000090	1
AFUB_000100	37
AFUB_000110	1255
AFUB_000120	18
AFUB_000130	10
AFUB_000140	26
AFUB_000150	26
AFUB_000160	2
AFUB_000170	2
AFUB_000180	2
AFUB_000190	0
AFUB_000200	0
AFUB_000210	0
AFUB_000220	0
AFUB_000230	3
AFUB_000240	616
AFUB_000250	11
AFUB_000260	66
AFUB_000270	45
AFUB_000280	99
AFUB_000290	22
AFUB_000300	97
AFUB_000310	408
AFUB_000320	13
AFUB_000330	23
AFUB_000340	17296
AFUB_000350	430
AFUB_000360	57
AFUB_000370	49
AFUB_000380	402
AFUB_000390	917
AFUB_000400	839
AFUB_000410	4828
AFUB_000420	7052
AFUB_000430	2401
AFUB_000440	1144
AFUB_000450	4488
AFUB_000460	1146
AFUB_000470	1336
AFUB_000480	68
AFUB_000490	2457
AFUB_000500	4413
AFUB_000510	1968
AFUB_000520	667
AFUB_000530	8687
AFUB_000540	846
AFUB_000550	1837
AFUB_000560	1007
AFUB_000570	1322
AFUB_000580	2391
AFUB_000590	230
AFUB_000600	399
AFUB_000610	185
AFUB_000620	1059
AFUB_000630	9484
AFUB_000640	31
AFUB_000650	833
AFUB_000660	6513
AFUB_000670	140
AFUB_000680	0
AFUB_000690	3395
AFUB_000700	476
AFUB_000710	21
AFUB_000720	8
AFUB_000730	106
AFUB_000740	5
AFUB_000750	4
AFUB_000760	6
AFUB_000770	2
AFUB_000780	0
AFUB_000790	4
AFUB_000800	0
AFUB_000810	6
AFUB_000820	18
AFUB_000830	4
AFUB_000840	358
AFUB_000850	616
AFUB_000860	394
AFUB_000870	26
AFUB_000880	4210
AFUB_000890	68
AFUB_000900	105
AFUB_000910	79
AFUB_000920	214
AFUB_000930	905
AFUB_000940	1979
AFUB_000950	71
AFUB_000960	733
AFUB_000970	127
AFUB_000980	234
AFUB_000990	12921
AFUB_001000	426
AFUB_001010	34
AFUB_001020	17
AFUB_001030	9
AFUB_001040	40
AFUB_001050	13041
AFUB_001060	2448
AFUB_001070	10248
AFUB_001080	8678
AFUB_001090	0
AFUB_001100	3511
AFUB_001110	2614
AFUB_001120	57
AFUB_001130	6
AFUB_001140	1991
AFUB_001150	67
AFUB_001160	91
AFUB_001170	391
AFUB_001180	2342
AFUB_001190	19629
AFUB_001200	9129
AFUB_001210	1155
AFUB_001220	457
AFUB_001230	1353
AFUB_001240	0
AFUB_001250	3541
AFUB_001260	2647
AFUB_001270	2
AFUB_001280	95
AFUB_001290	2250
AFUB_001300	647
AFUB_001310	1801
AFUB_001320	5192
AFUB_001330	3328
AFUB_001340	20549
AFUB_001350	431
AFUB_001360	32
AFUB_001370	1913
AFUB_001380	0
AFUB_001390	0
AFUB_001400	9680
AFUB_001410	2802
AFUB_001420	1537
AFUB_001430	675
AFUB_001440	1516
AFUB_001450	68
AFUB_001460	1768
AFUB_001470	15361
AFUB_001480	3951
AFUB_001490	352
AFUB_001500	156
AFUB_001510	5090
AFUB_001520	7857
AFUB_001530	595
AFUB_001540	1437
AFUB_001550	3742
AFUB_001560	7893
AFUB_001570	5735
AFUB_001580	1947
AFUB_001590	967
AFUB_001600	1016
AFUB_001610	1298
AFUB_001620	1863
AFUB_001630	1199
AFUB_001640	9205
AFUB_001650	230
AFUB_001660	680
AFUB_001670	595
AFUB_001680	129
AFUB_001690	2758
AFUB_001700	11144
AFUB_001710	2275
AFUB_001720	7824
AFUB_001730	381
AFUB_001740	236
AFUB_001750	26755
AFUB_001760	8804
AFUB_001770	1769
AFUB_001780	1732
AFUB_001790	13952
AFUB_001800	343
AFUB_001810	34283
AFUB_001820	1550
AFUB_001830	2152
AFUB_001840	1510
AFUB_001850	2659
AFUB_001860	634
AFUB_001870	4478
AFUB_001880	2342
AFUB_001890	3394
AFUB_001900	9665
AFUB_001910	56
AFUB_001920	364
AFUB_001930	700
AFUB_001940	5473
AFUB_001950	1336
AFUB_001960	1023
AFUB_001970	116
AFUB_001980	19
AFUB_001990	614
AFUB_002000	3846
AFUB_002010	372
AFUB_002020	657
AFUB_002030	277
AFUB_002040	2531
AFUB_002050	191
AFUB_002060	183
AFUB_002070	113
AFUB_002080	320
AFUB_002090	1074
