Geneid	HISAT2 on data 67 and data 1: aligned reads (BAM)
AFUB_000010	39
AFUB_000020	178
AFUB_000030	24
AFUB_000040	275
AFUB_000050	0
AFUB_000060	0
AFUB_000070	0
AFUB_000080	5
AFUB_000090	5
AFUB_000100	81
AFUB_000110	1884
AFUB_000120	16
AFUB_000130	12
AFUB_000140	13
AFUB_000150	17
AFUB_000160	2
AFUB_000170	0
AFUB_000180	0
AFUB_000190	0
AFUB_000200	0
AFUB_000210	3
AFUB_000220	2
AFUB_000230	0
AFUB_000240	557
AFUB_000250	23
AFUB_000260	18
AFUB_000270	37
AFUB_000280	70
AFUB_000290	22
AFUB_000300	55
AFUB_000310	350
AFUB_000320	11
AFUB_000330	27
AFUB_000340	8066
AFUB_000350	669
AFUB_000360	39
AFUB_000370	72
AFUB_000380	67
AFUB_000390	911
AFUB_000400	731
AFUB_000410	3537
AFUB_000420	3137
AFUB_000430	3020
AFUB_000440	1323
AFUB_000450	3507
AFUB_000460	1049
AFUB_000470	622
AFUB_000480	16
AFUB_000490	3418
AFUB_000500	3959
AFUB_000510	1434
AFUB_000520	1179
AFUB_000530	9366
AFUB_000540	868
AFUB_000550	1766
AFUB_000560	1088
AFUB_000570	1500
AFUB_000580	2386
AFUB_000590	308
AFUB_000600	466
AFUB_000610	243
AFUB_000620	823
AFUB_000630	18457
AFUB_000640	26
AFUB_000650	637
AFUB_000660	5337
AFUB_000670	137
AFUB_000680	0
AFUB_000690	2463
AFUB_000700	364
AFUB_000710	43
AFUB_000720	9
AFUB_000730	107
AFUB_000740	2
AFUB_000750	12
AFUB_000760	20
AFUB_000770	14
AFUB_000780	26
AFUB_000790	7
AFUB_000800	4
AFUB_000810	7
AFUB_000820	48
AFUB_000830	2
AFUB_000840	671
AFUB_000850	827
AFUB_000860	420
AFUB_000870	7
AFUB_000880	3255
AFUB_000890	34
AFUB_000900	57
AFUB_000910	2
AFUB_000920	222
AFUB_000930	1836
AFUB_000940	2595
AFUB_000950	66
AFUB_000960	694
AFUB_000970	157
