Geneid	HISAT2 on data 209: aligned reads (BAM)
100287102	0
653635	2
102466751	0
100302278	0
645520	0
79501	0
729737	343
102725121	0
102723897	7
102465909	0
729759	0
100132287	1
105378947	0
101928626	0
102465432	0
81399	0
100133331	17
100288069	0
400728	2
79854	1
643837	0
284593	0
100130417	0
148398	0
26155	5
339451	4
84069	0
84808	0
57801	8
9636	11
375790	2
105369174	0
105378948	0
401934	0
54991	2
254099	0
406984	0
406983	0
554210	0
254173	0
8784	0
7293	0
51150	70
126792	2
388581	2
118424	22
6339	2
116983	49
102465434	0
126789	2
54973	28
102465435	0
80772	10
83756	0
1855	9
102466740	0
54587	0
54998	23
81669	182
148413	1
55052	9
441869	0
643965	0
102724312	0
64856	0
219293	0
83858	0
55210	0
339453	0
29101	79
643988	0
142678	26
8510	0
984	135
728661	81
8511	0
728642	271
9906	25
65220	1463
2782	299
105378949	0
163688	0
339456	0
85452	0
2563	0
5590	23
100506504	4
199990	7
105378592	0
6497	74
105378594	4
79906	2
100129534	0
11079	93
5192	1
9651	0
55229	0
388585	0
115110	0
8764	0
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	1
100422968	0
27237	0
1953	92
693135	0
127262	108
49856	21
7161	0
57212	4
148870	0
388588	0
57470	12
9731	15
1677	6
339448	18
100133612	0
728716	0
284661	0
55966	2
100616489	0
100616421	0
261734	11
8514	105
26038	1
6146	6
102724450	0
388591	0
23463	2
148645	0
390992	0
387509	0
11332	0
54626	0
83715	0
100422975	0
8718	0
57449	0
79707	2
80835	0
3104	75
9903	141
148479	14
90326	2
55735	5
100505887	0
23261	0
9341	81
8863	0
10911	2
3604	20
11315	12
54206	0
102724539	0
50651	0
473	602
102724552	8
2023	66
102465436	0
100505975	0
765	0
155184	0
6518	2
80045	8
407040	0
9563	27
80176	0
100506022	0
84275	0
199953	0
5293	1030
644997	0
101929074	0
22883	22
56998	5
84328	5
64802	10
100847055	0
105376719	0
116362	16
10277	113
23095	31
100422970	0
5226	347
100526739	0
378708	0
1325	0
1676	0
5195	1
54897	9
148345	0
23435	44
10747	6
6723	2
5394	7
2475	21
100873935	0
10218	0
29914	0
57540	0
101929181	0
26232	0
93611	2
26270	2
10459	7
374946	0
57085	56
284498	0
102724659	0
4524	2
1185	3
100379251	1
4878	0
4879	0
26829	0
90231	69
5351	70
9927	257
60672	15
102466982	0
943	16
102465836	0
7133	1029
100616438	0
55187	39
677885	0
9249	0
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
