Geneid	HISAT2 on data 390: aligned reads (BAM)
100287102	0
653635	362
102466751	22
100302278	0
645520	0
79501	0
729737	4456
102725121	0
102723897	333
102465909	0
729759	0
100132287	68
105378947	0
101928626	0
102465432	27
81399	0
100133331	81
100288069	0
400728	1
79854	44
643837	256
284593	0
100130417	0
148398	0
26155	2059
339451	331
84069	112
84808	28
57801	94
9636	7443
375790	304
105369174	0
105378948	23
401934	3
54991	965
254099	41
406984	0
406983	0
554210	0
254173	14
8784	794
7293	1350
51150	6066
126792	1290
388581	40
118424	2363
6339	220
116983	2873
102465434	0
126789	459
54973	4435
102465435	1
80772	2616
83756	239
1855	852
102466740	0
54587	124
54998	5766
81669	2409
148413	773
55052	2239
441869	0
643965	0
102724312	0
64856	8
219293	14
83858	1086
55210	1091
339453	0
29101	5126
643988	433
142678	2804
8510	48
984	1215
728661	1466
8511	0
728642	595
9906	296
65220	8567
2782	9981
105378949	23
163688	64
339456	14
85452	0
2563	4
5590	346
100506504	155
199990	3121
105378592	22
6497	1299
105378594	10
79906	84
100129534	70
11079	3858
5192	283
9651	24
55229	0
388585	0
115110	1
8764	8
100996583	0
127281	0
79258	0
100287898	0
140625	0
440556	0
63976	22
100422968	0
27237	0
1953	570
693135	0
127262	4142
49856	808
7161	54
57212	429
148870	0
388588	9926
57470	1392
9731	611
1677	190
339448	399
100133612	2
728716	0
284661	0
55966	10
100616489	0
100616421	0
261734	272
8514	14310
26038	13
6146	3419
102724450	0
388591	73
23463	761
148645	0
390992	0
387509	87
11332	1680
54626	0
83715	3831
100422975	0
8718	2447
57449	63
79707	710
80835	9
3104	2197
9903	2106
148479	190
90326	650
55735	433
100505887	0
23261	295
9341	1723
8863	44
10911	10
3604	45
11315	3666
54206	18
102724539	0
50651	30
473	3287
102724552	96
2023	47289
102465436	0
100505975	1
765	71
155184	0
6518	258
80045	0
407040	0
9563	1635
80176	459
100506022	0
84275	68
199953	243
5293	10681
644997	86
101929074	4
22883	3148
56998	838
84328	302
64802	290
100847055	0
105376719	0
116362	670
10277	1275
23095	404
100422970	0
5226	15140
100526739	0
378708	7
1325	22
1676	465
5195	907
54897	415
148345	17
23435	1490
10747	48
6723	3158
5394	1953
2475	653
100873935	0
10218	0
29914	992
57540	2
101929181	6
26232	194
93611	1670
26270	2534
10459	1719
374946	6
57085	9891
284498	0
102724659	0
4524	1635
1185	335
100379251	53
4878	44
4879	0
26829	0
90231	4875
5351	3115
9927	3152
60672	6824
102466982	0
943	580
102465836	0
7133	27803
100616438	0
55187	935
677885	0
9249	840
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	1
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	1
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	0
7799	734
23254	74
200197	0
55092	71
727684	0
114827	0
101927417	0
79180	24444
11330	10
63036	0
51032	0
842	584
23341	252
79814	413
84301	52
6248	263
23207	5535
284723	52
388595	0
54751	0
440567	152
729614	126
23013	1094
7709	1842
101928566	0
149563	0
27129	8
1187	0
1188	0
348487	0
1969	0
128272	286
101927546	0
79363	72
54455	918
26099	8177
374955	0
55707	5605
114819	65
26871	0
100126512	0
100126517	0
102724970	2
100133301	0
7195	0
55672	5
84809	311
11209	25
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	10
100500876	0
100189298	0
7193	0
791226	0
9696	908
26870	0
4237	0
23400	3140
6390	2555
11240	2767
29943	0
51702	0
100616188	0
23569	10303
353238	132
55920	3465
55160	753
81569	0
101927876	0
84966	0
127707	14
5081	0
80834	0
8659	357
100616120	0
100302276	0
126917	660
23352	5549
23065	565
51154	969
246181	22
22977	14
100506730	4
8574	2110
54896	630
832	19634
100532736	0
440574	663
644068	81
4681	1
3362	0
255104	1084
54546	0
23252	127
30814	0
5320	0
5322	0
26279	44
64600	10
391013	0
127733	131
101928017	73
127731	1
339505	0
55450	13
79594	1207
163933	0
978	8431
65018	8509
102464833	0
100861548	73
1650	6768
57576	22
400745	0
50809	1858
8672	382
100302155	0
1889	5157
100506801	66
84224	48
249	1781
5909	29781
84196	560
401944	7
3339	62
23436	0
10136	0
101928043	11
29092	328
998	7390
54361	33
100616433	0
9923	986
2046	0
102466615	0
712	5853
714	1915
713	6374
2048	66
100616391	0
100422914	0
646262	0
729059	0
23028	1314
100422866	0
100616177	0
7798	263
3352	0
100996511	57
10236	1453
80818	158
148898	56
6920	416
55616	48
1870	5634
101928163	22
3399	673
259283	62
6135	13751
6924	884
100506963	41
57095	5384
11313	4473
2582	411
3155	1515
2517	884
1269	169
100616492	0
55629	382
10772	480
127294	26
58985	0
163702	271
284632	0
57822	11
90529	130
57185	1188
100750325	10
11123	454
100506985	114
400746	5
10250	1101
25932	177
864	5484
102465437	0
100616365	0
25949	902
57035	456
6007	631
23585	732
6006	399
55219	809
26119	8046
57134	596
57190	2319
56181	984
646471	42
79000	67
164091	476
3925	2030
100500808	0
5051	412
2134	0
7780	0
105376910	0
84676	0
149420	6
79927	0
105376887	0
51042	850
10256	62
378807	0
101928303	12
64793	182
83442	125334
91544	4443
1043	6509
55057	79
257101	466
79727	0
79947	721
101928324	17
3151	6420
6195	12903
100302190	0
101928728	4
8289	1394
55650	338
84243	9448
2810	24
54707	658
63906	927
10726	3451
8431	0
126695	48
388610	8
115572	0
6548	1807
23038	11867
84065	2741
644961	23
100887744	0
84958	7279
9064	307
8547	6
388611	10
2827	22
10163	15839
27245	431
2268	22194
2537	7612
199870	119
23673	692
5511	629
677774	0
9473	9923
6118	2164
27293	28
55113	1698
2140	583
5724	4213
22826	1718
93974	1301
83667	724
54797	876
65979	234
1104	654
8420	538
6080	0
26768	10
54952	720
85028	281
692212	19
677838	13
677825	0
692073	4
115273	0
6883	595
26824	0
10691	228
105376911	0
51441	1115
4985	0
2035	12486
399474	0
6429	2685
51102	527
10076	0
101928460	0
101929406	0
4146	24
100129196	64
7805	64499
100616164	0
400748	0
9672	682
9698	329
692234	0
692235	0
692200	0
79570	0
9410	1424
51538	592
2170	0
347735	712
149086	0
284551	0
64129	0
3061	0
553115	3161
1307	6
576	0
100423028	0
90853	498
8073	4355
10657	1795
55116	1022
100847018	0
23633	2497
200081	1834
79140	429
56063	320
55721	105
149069	0
8668	5737
339483	34
84734	35
3932	15754
3065	4807
65108	3664
100128071	294
81629	395
55108	2285
728116	0
653121	0
339487	155
5928	1420
81493	0
57648	160
8565	4252
64766	358
252995	1
3208	0
113452	0
127544	1807
204	2778
113451	20
55223	534
149076	1150
127550	0
1912	6492
100500853	0
101929464	0
7579	37
114784	0
127540	0
402779	0
84970	0
693137	0
2709	0
127534	0
2707	0
2701	14
113444	1339
58512	90
653160	107
100506144	713
9204	176
79830	14
6421	3483
9202	343
79932	2956
23154	1394
339488	78
5690	4580
127703	369
63967	58
192670	455
26523	815
192669	201
27285	4
54936	1414
1296	192
27095	2365
55700	7370
9967	3000
79729	112
55194	913
83931	7860
84967	2390
127700	7
64960	1433
1441	36435
2899	0
100422898	0
728431	297
80149	1219
102465438	0
64769	810
100847010	0
79753	272
7802	4
29889	661
284654	0
54955	157
55143	180
284656	0
149175	70
79693	162
127687	1120
4520	766
3633	800
10946	2048
2275	1630
51118	362
5453	14
100500801	0
339442	0
64121	281
100527950	0
26292	0
81025	0
54933	15
79647	693
4725	846
23499	1271
643314	0
105378950	0
353500	117
728448	89
8761	3371
101929516	0
677834	0
26508	24
84618	0
51440	56
10450	1377
656	77
64064	4
105378951	3
101929536	8
54802	202
4610	534
84879	214
10487	20640
5538	5993
6018	117
127391	0
10269	156
1298	290
64744	16269
65243	30
339559	71
64789	136
127396	14
9783	78
100130557	62
4802	2894
407034	0
407031	0
9132	70
163732	1167
1503	398
100507178	6
200172	4
22955	190
100132074	0
1907	0
59269	685
2981	0
2980	0
22887	351
284716	0
84217	6
79717	735
728621	14
10465	815
4904	27972
149461	0
64175	1044
79078	353
100129924	0
374969	675
114625	971
51058	545
339539	6
6513	5923
440584	150
105378684	0
440585	0
10969	995
102465439	0
149465	8
128218	0
149466	0
7075	3
4352	34
991	965
64834	3378
102466723	0
112950	1152
23334	1921
102465440	0
81888	0
5792	162
9682	772
100132774	3
6487	394
101929592	0
102464830	0
9048	10
9670	1163
1802	978
533	8414
8704	325
149473	134
6536	1816
128209	0
105378952	0
55929	1916
79033	1302
100874278	15
55182	3182
100847089	0
79639	194
339541	2103
26828	0
26830	0
11004	222
6202	27722
26811	17
94161	0
94162	33
94163	13
266675	26
1263	952
343521	0
149478	0
8643	32
8891	381
79654	4168
7389	4454
57643	30
400752	6
84842	90
4595	511
114034	403
10420	154
126661	18
25974	84
5052	4069
10327	3353
4678	2433
149483	140
60313	1923
728963	0
51249	469
3652	64
23139	737
8503	120
101929626	0
10103	0
55624	972
541468	0
8438	122
10489	2315
7388	1140
387338	443
2166	374
729041	19
101929651	0
127343	0
100507423	0
148930	35
8569	1093
148932	1346
64756	413
374973	0
100130197	0
9813	1776
1580	14
163720	0
1579	0
260293	0
199974	2
284541	0
100874253	137
10158	27144
6886	5713
6491	60
51727	457
102724077	9
2301	0
84793	162
2306	14
388630	1
391037	0
200010	30
54558	6
84871	0
79656	72
101929721	0
100874313	0
1996	0
63950	0
11124	803
1031	391
100616189	0
102466656	0
284546	6
26994	2225
22996	116
102724097	0
2060	711
114883	606
4898	6140
100313892	0
5865	0
51060	1597
112970	0
104355143	0
91408	237
9372	36
200014	1701
4998	208
84950	1110
23318	461
105378722	0
2882	409
348378	620
65260	58
79699	122
440590	0
55268	1164
6342	1119
100616156	0
100616458	0
100616145	0
127435	65
6512	16
1376	399
54987	1116
4116	144
100507564	2
7804	145
163742	0
63948	0
148979	0
105369175	0
55706	112
54432	1184
1733	2
51668	116
115353	316
388633	0
9528	2445
127428	294
100616315	0
200008	0
606495	41
51253	3814
23648	4898
619518	1
26027	21
338094	0
374977	0
100527960	0
7268	11
25973	208
55001	404
163747	6
1718	1053
100126514	0
199964	0
7809	0
255738	0
23358	1112
100507634	53
100616272	0
8613	7
5563	14
199920	0
731	0
732	0
1600	9
101926890	0
115209	178
4070	22
114803	82
3725	297
100131060	6
101926925	0
729467	0
55277	257
100616409	0
101926944	0
51361	0
1573	8
127795	0
101926964	0
100996570	0
4774	76
645030	0
414927	0
83941	231
10207	36
100422902	0
100422946	0
54596	22
163782	0
7398	88
85440	117
27329	0
84938	70
199899	0
100996301	0
27022	0
102464823	0
29929	128
23421	0
84455	20
79469	0
5236	1278
4919	0
101927034	0
