Geneid	HISAT2 on data 220: aligned reads (BAM)
100287102	0
653635	364
102466751	40
100302278	0
645520	0
79501	0
729737	10429
102725121	11
102723897	190
102465909	0
729759	0
100132287	59
105378947	0
101928626	0
102465432	30100
81399	0
100133331	215
100288069	17
400728	5
79854	77
643837	557
284593	0
100130417	0
148398	4
26155	2382
339451	610
84069	22
84808	10
57801	232
9636	2651
375790	332
105369174	0
105378948	34
401934	2
54991	743
254099	35
406984	0
406983	0
554210	0
254173	15
8784	361
7293	461
51150	8526
126792	1126
388581	24
118424	3169
6339	293
116983	3710
102465434	0
126789	528
54973	4343
102465435	0
80772	1853
83756	142
1855	1817
102466740	0
54587	197
54998	4153
81669	8627
148413	1007
55052	1567
441869	2
643965	0
102724312	2
64856	2
219293	22
83858	1341
55210	752
339453	14
29101	5285
643988	254
142678	3324
8510	35
984	2316
728661	5344
8511	19
728642	1870
9906	1853
65220	22520
2782	17784
105378949	0
163688	38
339456	1
85452	2
2563	2
5590	942
100506504	358
199990	2010
105378592	8
6497	5354
105378594	21
79906	188
100129534	86
11079	6319
5192	280
9651	34
55229	23
388585	0
115110	4
8764	9
100996583	0
127281	0
79258	0
100287898	2
140625	2
440556	0
63976	4
100422968	0
27237	4
1953	3280
693135	0
127262	4231
49856	1587
7161	25
57212	1096
148870	0
388588	333
57470	2810
9731	992
1677	509
339448	1089
100133612	14
728716	0
284661	0
55966	36
100616489	0
100616421	0
261734	718
8514	17028
26038	22
6146	4896
102724450	0
388591	58
23463	1124
148645	8
390992	0
387509	85
11332	309
54626	0
83715	739
100422975	0
8718	3731
57449	289
79707	1104
80835	0
3104	3137
9903	7355
148479	851
90326	735
55735	880
100505887	0
23261	389
9341	3143
8863	195
10911	12
3604	437
11315	3208
54206	20
102724539	0
50651	26
473	10824
102724552	307
2023	30706
102465436	0
100505975	8
765	82
155184	16
6518	159
80045	113
407040	0
9563	3408
80176	163
100506022	0
84275	80
199953	368
5293	30760
644997	124
101929074	21
22883	4481
56998	1099
84328	554
64802	453
100847055	0
105376719	7
116362	873
10277	2662
23095	1136
100422970	0
5226	15904
100526739	0
378708	2
1325	2
1676	437
5195	912
54897	645
148345	69
23435	3751
10747	189
6723	2147
5394	2613
2475	2417
100873935	0
10218	4
29914	1300
57540	25
101929181	0
26232	147
93611	1685
26270	682
10459	1186
374946	23
57085	8070
284498	0
102724659	0
4524	1875
1185	895
100379251	47
4878	30
4879	0
26829	0
90231	5817
5351	3618
9927	7825
60672	2660
102466982	0
943	902
102465836	0
7133	46357
100616438	4
55187	2473
677885	2
9249	1010
102466722	2
343066	0
126767	4
93190	0
390999	0
65121	0
440560	0
343069	5
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	1
7799	3431
23254	249
200197	0
55092	99
727684	0
114827	23
101927417	2
79180	43262
11330	32
63036	1
51032	18
842	1102
23341	760
79814	285
84301	82
6248	83
23207	6140
284723	142
388595	0
54751	2
440567	115
729614	236
23013	6258
7709	2184
101928566	0
149563	0
27129	7
1187	0
1188	0
348487	2
1969	72
128272	444
101927546	4
79363	104
54455	1861
26099	7883
374955	2
55707	6069
114819	293
26871	0
100126512	2
100126517	0
102724970	9
100133301	0
7195	0
55672	85
84809	1345
11209	51
26869	0
729574	0
100126533	0
284729	5
100189045	0
102723383	0
6060	0
11223	11
100500876	0
100189298	0
7193	0
791226	0
9696	1462
26870	0
4237	0
23400	2484
6390	2496
11240	10983
29943	0
51702	0
100616188	0
23569	6694
353238	32
55920	4434
55160	1366
81569	0
101927876	0
84966	0
127707	7
5081	0
80834	0
8659	326
100616120	0
100302276	0
126917	1944
23352	7813
23065	1028
51154	910
246181	15
22977	30
100506730	50
8574	1521
54896	733
832	21034
100532736	0
440574	549
644068	136
4681	4
3362	260
255104	1058
54546	0
23252	781
30814	0
5320	0
5322	0
26279	49
64600	4
391013	0
127733	81
101928017	16
127731	4
339505	0
55450	94
79594	1583
163933	0
978	8003
65018	2826
102464833	0
100861548	216
1650	7433
57576	28
400745	2
50809	5963
8672	1392
100302155	0
1889	10729
100506801	110
84224	229
249	24355
5909	443
84196	1912
401944	5
3339	124
23436	0
10136	0
101928043	9
29092	894
998	12559
54361	19
100616433	0
9923	3278
2046	0
102466615	0
712	310
714	49
713	193
2048	95
100616391	0
100422914	0
646262	0
729059	0
23028	1910
100422866	0
100616177	0
7798	595
3352	0
100996511	162
10236	3062
80818	355
148898	70
6920	364
55616	26
1870	878
101928163	2
3399	933
259283	213
6135	11767
6924	1612
100506963	26
57095	2131
11313	3858
2582	331
3155	1228
2517	1513
1269	740
100616492	0
55629	1822
10772	1536
127294	0
58985	0
163702	392
284632	0
57822	2
90529	110
57185	1480
100750325	42
11123	1177
100506985	370
400746	11
10250	3883
25932	478
864	8679
102465437	1
100616365	0
25949	1668
57035	6542
6007	134
23585	1385
6006	30
55219	955
26119	11344
57134	1096
57190	3166
56181	1352
646471	307
79000	10
164091	681
3925	1319
100500808	0
5051	1382
2134	0
7780	1
105376910	0
84676	0
149420	191
79927	0
105376887	0
51042	303
10256	103
378807	0
101928303	6
64793	892
83442	61027
91544	4926
1043	5637
55057	112
257101	1653
79727	2
79947	1068
101928324	47
3151	6676
6195	23919
100302190	0
101928728	38
8289	7638
55650	812
84243	30119
2810	7
54707	701
63906	904
10726	3145
8431	0
126695	102
388610	55
115572	12
6548	2708
23038	9427
84065	3013
644961	38
100887744	0
84958	10042
9064	409
8547	9
388611	0
2827	6
10163	17274
27245	797
2268	39862
2537	3307
199870	410
23673	1198
5511	1628
677774	2
9473	23631
6118	2838
27293	55
55113	4516
2140	1953
5724	27077
22826	2005
93974	1707
83667	1331
54797	933
65979	1140
1104	900
8420	875
6080	9
26768	3
54952	741
85028	633
692212	34
677838	56
677825	50
692073	50
115273	4
6883	1033
26824	4
10691	494
105376911	3
51441	2239
4985	0
2035	13337
399474	0
6429	5516
51102	390
10076	6
101928460	0
101929406	0
4146	16
100129196	164
7805	98550
100616164	7
400748	1
9672	176
9698	2150
692234	0
692235	0
692200	0
79570	0
9410	1558
51538	580
2170	32
347735	117
149086	0
284551	12
64129	0
3061	11
553115	3026
1307	6
576	103
100423028	0
90853	236
8073	6958
10657	5287
55116	965
100847018	0
23633	3178
200081	3416
79140	356
56063	477
