Geneid	HISAT2 on data 263: aligned reads (BAM)
100287102	0
653635	254
102466751	52
100302278	0
645520	0
79501	0
729737	8991
102725121	20
102723897	358
102465909	0
729759	0
100132287	90
105378947	0
101928626	1
102465432	40275
81399	0
100133331	93
100288069	3
400728	1
79854	51
643837	359
284593	0
100130417	0
148398	0
26155	2049
339451	493
84069	64
84808	20
57801	550
9636	20626
375790	763
105369174	1
105378948	69
401934	1
54991	559
254099	8
406984	0
406983	0
554210	0
254173	3
8784	303
7293	388
51150	6356
126792	891
388581	6
118424	2607
6339	141
116983	2557
102465434	0
126789	292
54973	3608
102465435	0
80772	1332
83756	40
1855	1038
102466740	0
54587	123
54998	3250
81669	5816
148413	854
55052	1471
441869	2
643965	0
102724312	0
64856	2
219293	21
83858	851
55210	625
339453	6
29101	4528
643988	324
142678	2157
8510	16
984	2028
728661	3754
8511	37
728642	1820
9906	2291
65220	37723
2782	24266
105378949	3
163688	18
339456	0
85452	0
2563	0
5590	553
100506504	208
199990	1266
105378592	9
6497	3563
105378594	8
79906	138
100129534	68
11079	6373
5192	237
9651	33
55229	10
388585	0
115110	2
8764	44
100996583	0
127281	1
79258	0
100287898	0
140625	0
440556	0
63976	6
100422968	0
27237	2
1953	1643
693135	0
127262	3538
49856	1748
7161	23
57212	751
148870	0
388588	77
57470	2359
9731	1391
1677	815
339448	1677
100133612	28
728716	0
284661	0
55966	64
100616489	0
100616421	0
261734	368
8514	17375
26038	10
6146	5047
102724450	0
388591	63
23463	1432
148645	2
390992	0
387509	153
11332	633
54626	0
83715	818
100422975	0
8718	1310
57449	76
79707	1144
80835	2
3104	2370
9903	6832
148479	707
90326	593
55735	985
100505887	0
23261	518
9341	9686
8863	236
10911	104
3604	153
11315	4198
54206	21
102724539	0
50651	32
473	16442
102724552	285
2023	37207
102465436	0
100505975	6
765	62
155184	30
6518	54
80045	39
407040	0
9563	3917
80176	200
100506022	0
84275	173
199953	249
5293	33048
644997	189
101929074	8
22883	4016
56998	834
84328	796
64802	907
100847055	0
105376719	4
116362	882
10277	3228
23095	3353
100422970	2
5226	27556
100526739	0
378708	4
1325	7
1676	594
5195	707
54897	1093
148345	23
23435	5041
10747	224
6723	1617
5394	2915
2475	2644
100873935	0
10218	2
29914	1215
57540	10
101929181	2
26232	98
93611	1180
26270	5082
10459	1186
374946	30
57085	11565
284498	3
102724659	0
4524	2864
1185	1126
100379251	70
4878	39
4879	0
26829	0
90231	4890
5351	3591
9927	8160
60672	3349
102466982	0
943	1456
102465836	0
7133	55857
100616438	0
55187	2641
677885	5
9249	571
102466722	0
343066	0
126767	2
93190	0
390999	0
65121	0
440560	0
343069	3
65122	0
400735	1
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	1
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	2
10630	0
7799	4586
23254	18
200197	2
55092	99
727684	0
114827	29
101927417	6
79180	42631
11330	18
63036	0
51032	4
842	1507
23341	975
79814	239
84301	151
6248	156
23207	6119
284723	88
388595	0
54751	0
440567	68
729614	269
23013	5706
7709	2004
101928566	0
149563	0
27129	0
1187	0
1188	0
348487	0
1969	58
128272	320
101927546	0
79363	69
54455	2407
26099	11190
374955	8
55707	9486
114819	410
26871	0
100126512	0
100126517	1
102724970	5
100133301	0
7195	0
55672	120
84809	1571
11209	26
26869	0
729574	0
100126533	0
284729	4
100189045	0
102723383	0
6060	0
11223	21
100500876	0
100189298	0
7193	3
791226	0
9696	951
26870	0
4237	2
23400	2410
6390	3859
11240	13781
29943	0
51702	0
100616188	0
23569	11173
353238	94
55920	6260
55160	2543
81569	0
101927876	0
84966	0
127707	53
5081	0
80834	0
8659	427
100616120	0
100302276	1
126917	1333
23352	7969
23065	1198
51154	708
246181	9
22977	9
100506730	30
8574	1262
54896	544
832	26925
100532736	0
440574	888
644068	109
4681	0
3362	34
255104	1027
54546	0
23252	493
30814	0
5320	0
5322	0
26279	16
64600	0
391013	0
127733	82
101928017	5
127731	3
339505	0
55450	22
79594	1819
163933	0
978	8219
65018	1537
102464833	0
100861548	183
1650	8780
57576	12
400745	0
50809	8081
8672	4323
100302155	0
1889	13407
100506801	84
84224	181
249	5243
5909	211
84196	2861
401944	8
3339	50
23436	0
10136	0
101928043	15
29092	866
998	28089
54361	32
100616433	0
9923	2456
2046	0
102466615	0
712	2268
714	482
713	2076
2048	191
100616391	0
100422914	0
646262	0
729059	0
23028	2337
100422866	0
100616177	0
7798	872
3352	0
100996511	195
10236	5690
80818	646
148898	91
6920	154
55616	52
1870	1469
101928163	3
3399	576
259283	69
6135	7695
6924	2482
100506963	32
57095	1600
11313	3746
2582	516
3155	2040
2517	2125
1269	602
100616492	0
55629	4324
10772	3283
127294	0
58985	2
163702	263
284632	0
57822	10
90529	99
57185	1492
100750325	14
11123	1366
100506985	422
400746	0
10250	5159
25932	1372
864	10026
102465437	1
100616365	0
25949	3077
57035	9887
6007	192
23585	2924
6006	42
55219	1028
26119	4455
57134	1091
57190	3637
56181	1927
646471	528
79000	28
164091	1642
3925	2158
100500808	0
5051	1699
2134	0
7780	1
105376910	0
84676	0
149420	413
79927	0
105376887	0
51042	214
10256	72
378807	0
101928303	2
64793	1210
83442	54173
91544	4858
1043	5462
55057	82
257101	719
79727	4
79947	1074
101928324	44
3151	6939
6195	22216
100302190	1
101928728	9
8289	9451
55650	985
84243	26148
2810	18
54707	851
63906	977
10726	2647
8431	0
126695	38
388610	50
115572	16
6548	1972
23038	8572
84065	2031
644961	91
100887744	0
84958	6564
9064	350
8547	4
388611	4
2827	2
10163	21659
27245	671
2268	64421
2537	26988
199870	483
23673	3084
5511	2306
677774	1
9473	36353
6118	3602
27293	123
55113	5792
2140	2288
5724	24916
22826	2866
93974	1403
83667	978
54797	1219
65979	1469
1104	942
8420	584
6080	9
26768	5
54952	832
85028	276
692212	21
677838	56
677825	37
692073	28
115273	15
6883	1961
26824	0
10691	921
105376911	2
51441	3354
4985	0
2035	10798
399474	0
6429	6078
51102	233
10076	69
101928460	0
101929406	0
4146	11
100129196	93
7805	119484
100616164	20
400748	1
9672	2301
9698	3844
692234	2
692235	3
692200	0
79570	0
9410	1841
51538	959
2170	16
347735	502
149086	0
284551	8
64129	4
3061	5
553115	3391
1307	0
576	53
100423028	0
90853	221
8073	16326
10657	7135
55116	975
100847018	0
23633	3953
200081	3749
79140	217
56063	501
55721	77
149069	52
8668	4275
339483	60
84734	10
3932	8776
3065	7589
65108	4897
100128071	87
81629	458
55108	4915
728116	0
653121	14
339487	355
5928	5390
81493	4
57648	239
8565	3419
64766	1586
252995	11
3208	2
113452	2
127544	10859
204	5546
113451	43
55223	1075
149076	1362
127550	7
1912	19068
100500853	13
101929464	0
7579	109
114784	2
127540	0
402779	0
84970	0
693137	0
2709	4
127534	0
2707	3
2701	2
113444	2126
58512	61
653160	211
100506144	1067
9204	1712
79830	362
6421	9739
9202	1933
79932	7455
23154	1090
339488	213
5690	5114
127703	534
63967	194
192670	7839
26523	2342
192669	1159
27285	5
54936	2852
1296	255
27095	2511
55700	10347
9967	8159
79729	93
55194	422
83931	17897
84967	2598
127700	18
64960	872
1441	151479
2899	14
100422898	0
728431	131
80149	2230
102465438	2
64769	2411
100847010	0
79753	1396
7802	0
29889	1558
284654	0
54955	390
55143	269
284656	5
149175	53
79693	550
127687	551
4520	4146
3633	2024
10946	3524
2275	2775
51118	864
5453	2
100500801	0
339442	0
64121	2869
100527950	0
26292	4
81025	0
54933	9
79647	4411
4725	511
23499	7436
643314	23
105378950	0
353500	203
728448	148
8761	4102
101929516	5
677834	10
26508	2
84618	0
51440	190
10450	1499
656	204
64064	1
105378951	15
101929536	2
54802	650
4610	2580
84879	334
10487	65717
5538	24184
6018	1881
127391	0
10269	1940
1298	941
64744	50603
65243	56
339559	231
64789	419
127396	202
9783	243
100130557	119
4802	4939
407034	0
407031	0
9132	21
163732	181
1503	749
100507178	37
200172	26
22955	415
100132074	2
1907	0
59269	1033
2981	0
2980	0
22887	3413
284716	45
84217	3
79717	1915
728621	66
10465	772
4904	20005
149461	0
64175	1193
79078	395
100129924	8
374969	391
114625	1072
51058	566
339539	5
6513	1544
440584	30
105378684	2
440585	0
10969	875
102465439	0
149465	18
128218	0
149466	4
7075	22
4352	41
991	284
64834	4587
102466723	0
112950	1437
23334	3403
102465440	0
81888	2
5792	29
9682	2411
100132774	28
6487	296
101929592	0
102464830	0
9048	2
9670	1339
1802	1070
533	13172
8704	94
149473	109
6536	47
128209	0
105378952	0
55929	1333
79033	888
100874278	19
55182	4357
100847089	0
79639	102
339541	939
26828	0
26830	0
11004	190
6202	14880
26811	15
94161	14
94162	4
94163	13
266675	30
1263	1121
343521	33
149478	116
8643	48
8891	487
79654	2786
7389	1591
57643	37
400752	29
84842	22
4595	674
114034	651
10420	1148
126661	59
25974	136
5052	4656
10327	4134
4678	3439
149483	293
60313	7799
728963	11
51249	1107
3652	230
23139	779
8503	448
101929626	0
10103	8
55624	1127
541468	0
8438	100
10489	2366
7388	987
387338	767
2166	494
729041	20
101929651	0
127343	0
100507423	90
