Geneid	HISAT2 on data 157: aligned reads (BAM)
100287102	0
653635	69
102466751	20
100302278	0
645520	0
79501	0
729737	334
102725121	1
102723897	102
102465909	0
729759	0
100132287	2
105378947	3
101928626	2
102465432	10
81399	0
100133331	64
100288069	11
400728	7
79854	10
643837	419
284593	0
100130417	0
148398	0
26155	1223
339451	299
84069	23
84808	5
57801	8
9636	346
375790	13302
105369174	463
105378948	101
401934	2
54991	567
254099	0
406984	0
406983	0
554210	0
254173	0
8784	4
7293	2
51150	4528
126792	564
388581	4
118424	1176
6339	114
116983	1796
102465434	0
126789	156
54973	1377
102465435	0
80772	711
83756	16
1855	809
102466740	0
54587	302
54998	1001
81669	3306
148413	396
55052	1142
441869	12
643965	0
102724312	0
64856	0
219293	0
83858	361
55210	403
339453	2
29101	2956
643988	594
142678	518
8510	0
984	1038
728661	2939
8511	0
728642	777
9906	1873
65220	9062
2782	20370
105378949	3
163688	0
339456	0
85452	0
2563	0
5590	12
100506504	2
199990	729
105378592	5
6497	1120
105378594	1
79906	70
100129534	31
11079	3521
5192	421
9651	0
55229	1
388585	0
115110	3
8764	20
100996583	0
127281	38
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	0
1953	3523
693135	0
127262	3367
49856	599
7161	25
57212	1071
148870	0
388588	8
57470	1205
9731	1566
1677	382
339448	973
100133612	8
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	346
8514	19157
26038	0
6146	5258
102724450	0
388591	7
23463	3269
148645	0
390992	0
387509	21
11332	342
54626	18
83715	0
100422975	0
8718	2
57449	0
79707	384
80835	1
3104	772
9903	1971
148479	864
90326	328
55735	916
100505887	0
23261	618
9341	7195
8863	3862
10911	1
3604	99
11315	3069
54206	382
102724539	0
50651	4
473	3280
102724552	21
2023	28351
102465436	0
100505975	1
765	0
155184	0
6518	2330
80045	372
407040	10
9563	5495
80176	1740
100506022	28
84275	282
199953	205
5293	2550
644997	2
101929074	11
22883	2917
56998	2719
84328	1061
64802	1094
100847055	0
105376719	0
116362	280
10277	3394
23095	5355
100422970	0
5226	15283
100526739	0
378708	15
1325	3
1676	938
5195	1129
54897	51
148345	412
23435	4162
10747	88
6723	447
5394	3105
2475	3017
100873935	0
10218	0
29914	611
57540	0
101929181	0
26232	2
93611	438
26270	798
10459	834
374946	9
57085	2985
284498	1
102724659	0
4524	5337
1185	2462
100379251	9
4878	8
4879	0
26829	0
90231	3168
5351	4756
9927	4122
60672	812
102466982	0
943	515
102465836	0
7133	32394
100616438	0
55187	4836
677885	3
9249	939
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	903
7799	2626
23254	10
200197	28
55092	1419
727684	0
114827	33
101927417	1
79180	6885
11330	2
63036	1
51032	7
842	714
23341	876
79814	4
84301	740
6248	506
23207	13502
284723	181
388595	0
54751	1061
440567	72
729614	184
23013	5835
7709	812
101928566	0
149563	0
27129	0
1187	2
1188	0
348487	0
1969	0
128272	52
101927546	2
79363	55
54455	1735
26099	4963
374955	2
55707	7514
114819	149
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	754
84809	520
11209	22
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	4
100500876	0
100189298	0
7193	0
791226	0
9696	511
26870	0
4237	0
23400	2878
6390	3527
11240	2136
29943	6
51702	0
100616188	0
23569	0
353238	2
55920	4971
55160	5686
81569	0
101927876	0
84966	4
127707	0
5081	0
80834	0
8659	1196
100616120	0
100302276	0
126917	398
23352	9486
23065	2054
51154	490
246181	17
22977	34
