Geneid	HISAT2 on data 286: aligned reads (BAM)
100287102	0
653635	147
102466751	30
100302278	0
645520	0
79501	1
729737	344
102725121	4
102723897	145
102465909	0
729759	0
100132287	2
105378947	1
101928626	2
102465432	26
81399	0
100133331	115
100288069	21
400728	3
79854	10
643837	506
284593	0
100130417	0
148398	0
26155	2410
339451	387
84069	19
84808	9
57801	15
9636	998
375790	10920
105369174	265
105378948	72
401934	1
54991	596
254099	0
406984	0
406983	0
554210	0
254173	0
8784	189
7293	16
51150	9136
126792	940
388581	10
118424	1891
6339	197
116983	2732
102465434	0
126789	318
54973	2574
102465435	1
80772	1059
83756	24
1855	1214
102466740	0
54587	295
54998	1890
81669	5812
148413	687
55052	2556
441869	0
643965	0
102724312	0
64856	15
219293	7
83858	738
55210	908
339453	0
29101	3820
643988	690
142678	606
8510	0
984	1580
728661	3195
8511	7
728642	640
9906	490
65220	9569
2782	32224
105378949	13
163688	15
339456	1
85452	0
2563	0
5590	8
100506504	3
199990	748
105378592	13
6497	1976
105378594	2
79906	111
100129534	27
11079	5943
5192	669
9651	0
55229	2
388585	0
115110	1
8764	20
100996583	0
127281	8
79258	0
100287898	7
140625	0
440556	0
63976	0
100422968	0
27237	3
1953	3652
693135	0
127262	4789
49856	917
7161	30
57212	1605
148870	0
388588	10
57470	1803
9731	2141
1677	525
339448	1425
100133612	13
728716	0
284661	0
55966	2
100616489	0
100616421	0
261734	564
8514	19181
26038	4
6146	11544
102724450	1
388591	17
23463	5573
148645	2
390992	0
387509	41
11332	1079
54626	20
83715	0
100422975	0
8718	2
57449	0
79707	519
80835	2
3104	1294
9903	2170
148479	1155
90326	484
55735	1701
100505887	0
23261	1263
9341	11163
8863	4790
10911	1240
3604	688
11315	7319
54206	610
102724539	1
50651	12
473	4015
102724552	18
2023	79010
102465436	4
100505975	5
765	0
155184	0
6518	2223
80045	481
407040	20
9563	9231
80176	1120
100506022	71
84275	392
199953	300
5293	3366
644997	3
101929074	21
22883	3362
56998	2811
84328	1586
64802	1771
100847055	1
105376719	4
116362	202
10277	4412
23095	9036
100422970	0
5226	30950
100526739	0
378708	21
1325	6
1676	1568
5195	2401
54897	100
148345	261
23435	7352
10747	117
6723	1322
5394	5192
2475	5449
100873935	0
10218	0
29914	1088
57540	0
101929181	0
26232	5
93611	610
26270	1240
10459	1241
374946	27
57085	3849
284498	3
102724659	0
4524	5663
1185	2713
100379251	21
4878	11
4879	0
26829	0
90231	4298
5351	8921
9927	9099
60672	2538
102466982	1
943	283
102465836	0
7133	31357
100616438	3
55187	7298
677885	2
9249	1721
102466722	0
343066	0
126767	0
93190	2
390999	0
65121	0
440560	0
343069	2
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	2355
7799	3261
23254	15
200197	129
55092	2492
727684	0
114827	141
101927417	13
79180	11207
11330	2
63036	2
51032	11
842	949
23341	1354
79814	14
84301	992
6248	758
23207	20772
284723	343
388595	0
54751	1552
440567	317
729614	282
23013	8306
7709	1965
101928566	0
149563	0
27129	9
1187	9
1188	0
348487	0
1969	21
128272	111
101927546	0
79363	52
54455	2564
26099	8798
374955	3
55707	12068
114819	198
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	1458
84809	1208
11209	74
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	13
100500876	0
100189298	0
7193	0
791226	0
9696	586
26870	1
4237	0
23400	3867
6390	7168
11240	664
29943	5
51702	0
100616188	0
23569	0
353238	0
55920	9446
55160	6811
81569	0
101927876	0
84966	49
127707	0
5081	0
80834	0
8659	2018
100616120	0
100302276	2
126917	513
23352	14400
23065	3694
51154	1935
246181	19
22977	36
100506730	186
8574	2097
54896	2389
832	23379
100532736	0
440574	2185
644068	28
4681	0
3362	2
255104	1622
54546	0
23252	455
30814	0
5320	0
5322	0
26279	10
64600	0
391013	0
127733	9
101928017	0
127731	0
339505	0
55450	0
79594	2968
163933	0
978	477
65018	2259
102464833	0
100861548	284
1650	17030
57576	26
400745	2
50809	7871
8672	7406
100302155	0
1889	479
100506801	0
84224	382
249	1
5909	0
84196	3690
401944	0
3339	31
23436	0
10136	0
101928043	17
29092	1118
998	29561
54361	2
100616433	0
9923	4198
2046	0
102466615	0
712	21811
714	19773
713	16954
2048	1988
100616391	0
100422914	0
646262	0
729059	0
23028	2668
100422866	0
100616177	0
7798	4407
3352	0
100996511	16
10236	8382
80818	855
148898	57
6920	0
55616	26
1870	195
101928163	0
3399	325
259283	0
6135	26493
6924	3931
100506963	18
57095	7705
11313	3132
2582	3502
3155	2905
2517	459089
1269	82
100616492	0
55629	4199
10772	3743
127294	0
58985	0
163702	267
284632	0
57822	4
90529	199
57185	1421
100750325	11
11123	1901
100506985	231
400746	0
10250	4301
25932	12225
864	5547
102465437	0
100616365	0
25949	2832
57035	3067
6007	25
23585	5573
6006	11
55219	1449
26119	775
57134	339
57190	12686
56181	1820
646471	223
79000	28
164091	546
3925	3202
100500808	0
5051	1930
2134	2
7780	0
105376910	0
84676	0
149420	1055
79927	0
105376887	0
51042	234
10256	0
378807	0
101928303	8
64793	1220
83442	33182
91544	2347
1043	370
55057	0
257101	1
79727	0
79947	3419
101928324	11
3151	5882
6195	13433
100302190	3
101928728	181
8289	6210
55650	721
84243	2990
2810	1
54707	775
63906	1437
10726	3039
8431	0
126695	2
388610	2
115572	22
6548	3792
23038	5279
84065	1384
644961	70
100887744	0
84958	16
9064	1750
8547	2
388611	0
2827	4
10163	17068
27245	627
2268	20340
2537	7734
199870	1083
23673	7223
5511	2530
677774	0
9473	7298
6118	2656
27293	5
55113	521
2140	1976
5724	17937
22826	7509
93974	3364
83667	1210
54797	862
65979	4096
1104	1318
8420	351
6080	5
26768	7
54952	1290
85028	1944
692212	55
677838	410
677825	232
692073	142
115273	3365
6883	1525
26824	3
10691	557
105376911	1
51441	4078
4985	0
2035	5483
399474	0
6429	3483
51102	554
10076	2
101928460	0
101929406	0
4146	5
100129196	18
7805	218523
100616164	14
400748	0
9672	4453
9698	5749
692234	0
692235	0
692200	2
79570	0
9410	1431
51538	2080
2170	2014
347735	5866
149086	0
284551	2
64129	0
3061	5
553115	2426
1307	0
576	0
100423028	0
90853	521
8073	16995
10657	7364
55116	608
100847018	0
23633	4082
200081	4520
79140	107
56063	403
55721	131
149069	40
8668	6270
339483	321
84734	1
3932	0
3065	2300
65108	1257
100128071	1
81629	149
55108	3658
728116	0
653121	133
339487	1181
5928	5397
81493	71
57648	1332
8565	6752
64766	1283
252995	27
3208	0
113452	3
127544	3782
204	4461
113451	19
55223	325
149076	1605
127550	1
1912	6352
100500853	0
101929464	0
7579	619
114784	0
127540	0
402779	0
84970	1
693137	0
2709	0
127534	0
2707	0
2701	2
113444	2828
58512	4
653160	118
100506144	1916
9204	3083
79830	770
6421	8272
9202	3617
79932	3378
23154	446
339488	42
5690	5748
127703	1921
63967	67
192670	8186
26523	3812
192669	1754
27285	1
54936	2022
1296	2159
27095	3416
55700	13460
9967	9193
79729	2956
55194	799
83931	9070
84967	2462
127700	370
64960	2339
1441	5471
2899	0
100422898	0
728431	237
80149	1038
102465438	0
64769	3075
100847010	7
79753	1001
7802	3
29889	3779
284654	0
54955	773
55143	146
284656	0
149175	340
79693	574
127687	1610
4520	3497
3633	1151
10946	4022
2275	976
51118	1455
5453	2
100500801	0
339442	0
64121	6703
100527950	0
26292	2
81025	0
54933	25
79647	4143
4725	5938
23499	17410
643314	589
105378950	0
353500	173
728448	293
8761	10466
101929516	7
677834	14
26508	54
84618	0
51440	0
10450	1692
656	188
64064	2
105378951	9
101929536	0
54802	529
4610	702
84879	890
10487	56512
5538	29996
6018	1715
127391	0
10269	6004
1298	480
64744	7819
65243	103
339559	332
64789	750
127396	329
9783	1225
100130557	55
4802	2089
407034	0
407031	0
9132	22
163732	2
1503	782
100507178	13
200172	4
22955	458
100132074	0
1907	0
59269	296
2981	0
2980	0
22887	3103
284716	7
84217	109
79717	3545
728621	36
10465	1067
4904	52903
149461	0
64175	2616
79078	308
100129924	3
374969	710
114625	2624
51058	418
339539	2
6513	321
440584	1
105378684	0
440585	0
10969	2185
102465439	0
149465	0
128218	0
149466	0
7075	156
4352	2
991	15
64834	7085
102466723	0
112950	2091
23334	3933
102465440	0
81888	17
5792	9
9682	2909
100132774	14
6487	205
101929592	0
102464830	0
9048	0
9670	3451
1802	781
533	17344
8704	755
149473	181
6536	0
128209	0
105378952	0
55929	1085
79033	1462
100874278	7
55182	4183
100847089	0
79639	939
339541	164
26828	0
26830	0
11004	43
6202	18707
26811	3
94161	2
94162	9
94163	15
266675	19
1263	2486
343521	117
149478	475
8643	149
8891	1437
79654	5721
7389	6137
57643	2
400752	9
84842	10
4595	422
114034	369
10420	981
126661	62
25974	45
5052	61435
10327	12436
4678	2391
149483	114
60313	7755
728963	9
51249	1425
3652	185
23139	3854
8503	274
101929626	0
10103	1
55624	1890
541468	74
8438	33
10489	3374
7388	4299
387338	1200
2166	142
729041	4
101929651	2
127343	0
100507423	73
148930	1
8569	8964
148932	2442
64756	1615
374973	1
100130197	5
9813	14307
1580	0
163720	0
1579	0
260293	0
199974	1
284541	0
100874253	0
10158	0
6886	0
6491	256
51727	8913
102724077	10
2301	0
84793	72
2306	24
388630	5
391037	4
200010	20
54558	329
84871	0
79656	8
101929721	0
100874313	0
1996	2
63950	0
