Geneid	HISAT2 on data 39: aligned reads (BAM)
100287102	0
653635	125
102466751	39
100302278	0
645520	0
79501	0
729737	576
102725121	9
102723897	208
102465909	0
729759	0
100132287	2
105378947	2
101928626	1
102465432	31
81399	0
100133331	80
100288069	15
400728	15
79854	29
643837	486
284593	0
100130417	0
148398	0
26155	1758
339451	410
84069	6
84808	10
57801	9
9636	427
375790	9173
105369174	283
105378948	95
401934	2
54991	739
254099	0
406984	0
406983	0
554210	0
254173	0
8784	16
7293	0
51150	6492
126792	797
388581	4
118424	1658
6339	194
116983	2067
102465434	0
126789	228
54973	1942
102465435	0
80772	968
83756	28
1855	897
102466740	0
54587	313
54998	1662
81669	4167
148413	630
55052	2230
441869	1
643965	0
102724312	0
64856	2
219293	4
83858	694
55210	703
339453	2
29101	4564
643988	749
142678	618
8510	0
984	1350
728661	2915
8511	0
728642	755
9906	472
65220	10314
2782	26837
105378949	9
163688	12
339456	1
85452	0
2563	0
5590	5
100506504	4
199990	769
105378592	10
6497	1853
105378594	16
79906	67
100129534	29
11079	5049
5192	479
9651	0
55229	48
388585	0
115110	4
8764	79
100996583	1
127281	20
79258	0
100287898	1
140625	0
440556	0
63976	0
100422968	0
27237	2
1953	2475
693135	0
127262	4093
49856	808
7161	48
57212	1517
148870	0
388588	8
57470	1838
9731	1420
1677	485
339448	1717
100133612	16
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	413
8514	24501
26038	4
6146	9686
102724450	4
388591	21
23463	3528
148645	8
390992	0
387509	29
11332	810
54626	10
83715	0
100422975	0
8718	0
57449	2
79707	507
80835	7
3104	1060
9903	2328
148479	1020
90326	508
55735	1224
100505887	0
23261	1047
9341	11033
8863	5209
10911	1012
3604	80
11315	6404
54206	347
102724539	0
50651	4
473	3773
102724552	9
2023	59106
102465436	2
100505975	4
765	0
155184	0
6518	4551
80045	269
407040	26
9563	6107
80176	871
100506022	57
84275	520
199953	291
5293	2977
644997	16
101929074	47
22883	3192
56998	2910
84328	1219
64802	1457
100847055	0
105376719	4
116362	516
10277	3765
23095	4505
100422970	0
5226	28238
100526739	0
378708	16
1325	0
1676	956
5195	1941
54897	67
148345	611
23435	6013
10747	136
6723	895
5394	4088
2475	3172
100873935	7
10218	6
29914	972
57540	1
101929181	0
26232	0
93611	738
26270	1620
10459	1265
374946	2
57085	5227
284498	2
102724659	0
4524	5174
1185	2824
100379251	31
4878	25
4879	0
26829	0
90231	4981
5351	8064
9927	5621
60672	2487
102466982	0
943	328
102465836	0
7133	20221
100616438	1
55187	3808
677885	0
9249	1834
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
