Geneid	HISAT2 on data 197: aligned reads (BAM)
100287102	0
653635	46
102466751	7
100302278	0
645520	0
79501	0
729737	330
102725121	7
102723897	117
102465909	0
729759	0
100132287	19
105378947	1
101928626	4
102465432	16
81399	0
100133331	121
100288069	15
400728	2
79854	9
643837	1472
284593	2
100130417	2
148398	0
26155	1906
339451	260
84069	41
84808	22
57801	165
9636	326
375790	5997
105369174	1731
105378948	340
401934	2
54991	462
254099	0
406984	0
406983	0
554210	0
254173	7
8784	566
7293	570
51150	8598
126792	882
388581	10
118424	2412
6339	122
116983	1740
102465434	0
126789	283
54973	1757
102465435	0
80772	629
83756	25
1855	4239
102466740	0
54587	113
54998	1213
81669	4242
148413	338
55052	1127
441869	2
643965	0
102724312	0
64856	5
219293	1
83858	1189
55210	736
339453	0
29101	2272
643988	278
142678	491
8510	0
984	1111
728661	813
8511	0
728642	695
9906	58
65220	3154
2782	22208
105378949	3
163688	6
339456	17
85452	0
2563	0
5590	2
100506504	2
199990	392
105378592	2
6497	1092
105378594	7
79906	28
100129534	6
11079	3343
5192	264
9651	0
55229	0
388585	0
115110	6
8764	27
100996583	0
127281	176
79258	1
100287898	0
140625	0
440556	2
63976	2
100422968	0
27237	0
1953	1065
693135	0
127262	1506
49856	252
7161	8
57212	664
148870	0
388588	4
57470	1149
9731	1485
1677	230
339448	1027
100133612	15
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	308
8514	13487
26038	3
6146	5099
102724450	0
388591	0
23463	1498
148645	9
390992	0
387509	218
11332	416
54626	55
83715	0
100422975	0
8718	0
57449	0
79707	625
80835	2
3104	862
9903	3651
148479	1152
90326	309
55735	872
100505887	0
23261	1254
9341	9020
8863	4135
10911	769
3604	3522
11315	4615
54206	545
102724539	0
50651	5
473	936
102724552	0
2023	72000
102465436	4
100505975	0
765	0
155184	0
6518	1155
80045	389
407040	4
9563	3467
80176	12429
100506022	2
84275	726
199953	121
5293	923
644997	0
101929074	4
22883	1603
56998	928
84328	890
64802	667
100847055	0
105376719	2
116362	36
10277	1525
23095	9599
100422970	0
5226	31045
100526739	0
378708	17
1325	0
1676	744
5195	760
54897	155
148345	23
23435	6195
10747	22
6723	837
5394	3307
2475	2696
100873935	0
10218	0
29914	525
57540	0
101929181	0
26232	2
93611	196
26270	578
10459	947
374946	59
