Geneid	HISAT2 on data 156: aligned reads (BAM)
100287102	0
653635	105
102466751	33
100302278	0
645520	0
79501	0
729737	320
102725121	0
102723897	144
102465909	0
729759	0
100132287	3
105378947	0
101928626	4
102465432	20
81399	0
100133331	95
100288069	26
400728	18
79854	10
643837	625
284593	0
100130417	0
148398	0
26155	1966
339451	418
84069	44
84808	4
57801	0
9636	504
375790	17640
105369174	629
105378948	120
401934	4
54991	877
254099	0
406984	0
406983	0
554210	0
254173	0
8784	11
7293	0
51150	7195
126792	797
388581	6
118424	1675
6339	178
116983	2562
102465434	0
126789	243
54973	2260
102465435	1
80772	1055
83756	26
1855	1296
102466740	0
54587	377
54998	1452
81669	5158
148413	697
55052	2042
441869	6
643965	0
102724312	0
64856	2
219293	8
83858	588
55210	744
339453	0
29101	4765
643988	771
142678	695
8510	0
984	1593
728661	4423
8511	0
728642	1090
9906	2800
65220	14567
2782	33984
105378949	6
163688	6
339456	2
85452	0
2563	0
5590	9
100506504	10
199990	944
105378592	0
6497	1942
105378594	2
79906	109
100129534	26
11079	5697
5192	629
9651	0
55229	0
388585	0
115110	1
8764	49
100996583	0
127281	1
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	2
1953	5196
693135	0
127262	5538
49856	953
7161	35
57212	1822
148870	0
388588	9
57470	2106
9731	2694
1677	571
339448	1651
100133612	10
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	477
8514	29129
26038	6
6146	9742
102724450	2
388591	19
23463	5188
148645	0
390992	0
387509	41
11332	500
54626	47
83715	0
100422975	0
8718	7
57449	0
79707	753
80835	6
3104	1348
9903	2794
148479	1493
90326	607
55735	1534
100505887	0
23261	1123
9341	13490
8863	6489
10911	13
3604	178
11315	5607
54206	568
102724539	0
50651	8
473	4717
102724552	7
2023	48649
102465436	0
100505975	2
765	0
155184	0
6518	3057
80045	585
407040	25
9563	9061
80176	2586
100506022	39
84275	483
199953	293
5293	3928
644997	11
101929074	26
22883	4688
56998	4293
84328	1798
64802	2118
100847055	1
105376719	2
116362	399
10277	5398
23095	9268
100422970	2
5226	25574
100526739	0
378708	18
1325	0
1676	1532
5195	1767
54897	92
148345	524
23435	7414
10747	115
6723	791
5394	4805
2475	5000
100873935	3
10218	2
29914	1117
57540	2
101929181	0
26232	2
93611	697
26270	1142
10459	1213
374946	6
57085	4575
284498	0
102724659	0
4524	7854
1185	3745
100379251	30
4878	18
4879	0
26829	0
90231	4646
5351	7157
9927	6971
60672	1376
102466982	0
943	674
102465836	0
7133	50116
100616438	0
55187	7650
677885	4
9249	1243
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	2
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	1474
7799	3986
23254	6
200197	43
55092	2089
727684	0
114827	33
101927417	4
79180	10143
11330	2
63036	0
51032	16
842	1189
23341	1661
79814	8
84301	1188
6248	802
23207	20440
284723	266
388595	0
54751	1682
440567	182
729614	356
23013	8817
7709	1465
101928566	0
149563	0
27129	0
1187	0
1188	0
348487	0
1969	0
128272	70
101927546	2
79363	81
54455	2809
26099	8167
374955	2
55707	12905
114819	214
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	1262
84809	932
11209	41
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	11
100500876	0
100189298	0
7193	0
791226	0
9696	580
26870	1
4237	0
23400	4292
6390	6048
11240	2421
29943	5
51702	0
100616188	0
23569	0
353238	4
55920	7860
55160	8923
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	2
8659	1786
100616120	0
100302276	0
126917	530
23352	13914
23065	3354
51154	780
246181	10
22977	19
100506730	166
8574	1769
54896	1892
832	18880
100532736	0
440574	1600
644068	23
4681	0
3362	0
255104	1187
54546	0
23252	834
30814	0
5320	0
5322	0
26279	103
64600	0
391013	4
127733	7
101928017	0
127731	0
339505	0
55450	0
79594	2921
163933	0
978	3130
65018	2856
102464833	0
100861548	341
1650	15643
57576	112
400745	2
50809	11730
8672	5115
100302155	0
1889	1372
100506801	1
84224	15
249	0
5909	12
84196	4741
401944	0
3339	102
23436	0
10136	0
101928043	17
29092	863
998	34993
54361	4
100616433	0
9923	6487
2046	0
102466615	0
712	23887
714	15163
713	8912
2048	801
100616391	0
100422914	0
646262	0
729059	0
23028	2831
100422866	0
100616177	0
7798	4363
3352	0
100996511	53
10236	8481
80818	965
148898	79
6920	0
55616	207
1870	908
101928163	0
3399	180
259283	0
6135	24246
6924	4786
100506963	26
57095	8436
11313	2770
2582	2695
3155	2625
2517	704080
1269	89
100616492	0
55629	4767
10772	4101
127294	0
58985	0
163702	78
284632	0
57822	1
90529	231
57185	1439
100750325	10
11123	2241
100506985	335
400746	0
10250	4989
25932	18801
864	6196
102465437	1
100616365	0
25949	3680
57035	3630
6007	19
23585	6084
6006	1
55219	1669
26119	884
57134	373
57190	10092
56181	1943
646471	316
79000	6
164091	989
3925	6949
100500808	0
5051	1813
2134	0
7780	0
105376910	0
84676	2
149420	1180
79927	0
105376887	0
51042	129
10256	2
378807	0
101928303	1
64793	1155
83442	19704
91544	3890
1043	1272
55057	0
257101	0
79727	1
79947	3625
101928324	2
3151	6229
6195	16608
100302190	1
101928728	127
8289	7011
55650	882
84243	3358
2810	0
54707	639
63906	1472
10726	2737
8431	0
126695	0
388610	0
115572	18
6548	3306
23038	7357
84065	1355
644961	617
100887744	0
84958	14
9064	2074
8547	6
388611	0
2827	0
10163	18360
27245	533
2268	21136
2537	5296
199870	1327
23673	8119
5511	2609
677774	1
9473	6952
6118	2220
27293	0
55113	521
2140	2074
5724	17315
22826	7492
93974	3277
83667	763
54797	1041
65979	6898
1104	887
8420	306
6080	6
26768	1
54952	1322
85028	1963
692212	39
677838	315
677825	306
692073	233
115273	3333
6883	1374
26824	3
10691	579
105376911	0
51441	4284
4985	0
2035	6788
399474	0
6429	4179
51102	410
10076	2
101928460	0
101929406	0
4146	0
100129196	10
7805	126316
100616164	4
400748	0
9672	2111
9698	7426
692234	0
692235	0
692200	1
79570	2
9410	1262
51538	1922
2170	3036
347735	7143
149086	0
284551	0
64129	0
3061	1
553115	2418
1307	2
576	0
100423028	0
90853	80
8073	20825
10657	7650
55116	781
100847018	0
23633	5029
200081	5583
79140	93
56063	326
55721	118
149069	34
8668	5059
339483	77
84734	0
3932	6
3065	2837
65108	368
100128071	4
81629	272
55108	4529
728116	0
653121	184
339487	1431
5928	5900
81493	119
57648	1776
8565	6110
64766	1878
252995	40
3208	0
113452	2
127544	2935
204	4253
113451	12
55223	384
149076	1697
127550	0
1912	4340
100500853	0
101929464	0
7579	496
114784	5
127540	0
402779	0
84970	0
693137	0
2709	0
127534	0
2707	0
2701	0
113444	3037
58512	6
653160	89
100506144	1930
9204	4110
79830	1092
6421	8224
9202	4018
79932	3757
23154	378
339488	57
5690	6192
127703	2002
63967	81
192670	11342
26523	4091
192669	2023
27285	2
54936	1589
1296	666
27095	3322
55700	12082
9967	12538
79729	5143
55194	1077
83931	10596
84967	1869
127700	332
64960	2050
1441	14283
2899	0
100422898	0
728431	190
80149	743
102465438	0
64769	4004
100847010	0
79753	1349
7802	0
29889	3225
284654	0
54955	820
55143	156
284656	0
149175	97
79693	512
127687	727
4520	3126
3633	1601
10946	3505
2275	626
51118	1225
5453	11
100500801	0
339442	0
64121	8152
100527950	4
26292	0
81025	0
54933	17
79647	3988
4725	4341
23499	18094
643314	2144
105378950	0
353500	269
728448	373
8761	33233
101929516	38
677834	48
26508	124
84618	0
51440	1
10450	1849
656	394
64064	1
105378951	3
101929536	12
54802	783
4610	1621
84879	3972
10487	51699
5538	45877
6018	2517
127391	0
10269	7124
1298	445
64744	11698
65243	137
339559	467
64789	827
127396	465
9783	938
100130557	61
4802	2322
407034	0
407031	0
9132	31
163732	16
1503	385
100507178	15
200172	1
22955	656
100132074	0
1907	0
59269	24
2981	0
2980	0
22887	3558
284716	2
84217	116
79717	3230
728621	45
10465	773
4904	67991
149461	0
64175	2100
79078	280
100129924	12
374969	475
114625	2343
51058	307
339539	1
6513	501
440584	3
105378684	4
440585	0
10969	1316
102465439	0
149465	0
128218	0
149466	2
7075	25
4352	4
991	17
64834	7592
102466723	0
112950	2292
23334	3580
102465440	0
81888	13
5792	0
9682	3128
100132774	17
6487	244
101929592	2
102464830	0
9048	0
9670	3815
1802	476
533	16030
8704	243
149473	179
6536	0
128209	0
105378952	0
55929	1215
79033	1211
100874278	4
55182	4178
100847089	0
79639	922
339541	11
26828	0
26830	0
11004	36
6202	13766
26811	3
94161	0
94162	8
94163	6
266675	10
1263	1346
343521	25
149478	335
8643	118
8891	857
79654	6467
