Geneid	HISAT2 on data 198: aligned reads (BAM)
100287102	1
653635	71
102466751	13
100302278	0
645520	0
79501	0
729737	168
102725121	10
102723897	131
102465909	0
729759	0
100132287	6
105378947	2
101928626	0
102465432	16
81399	0
100133331	73
100288069	2
400728	3
79854	6
643837	350
284593	0
100130417	0
148398	0
26155	1953
339451	398
84069	23
84808	16
57801	5
9636	517
375790	6246
105369174	380
105378948	83
401934	0
54991	456
254099	0
406984	0
406983	0
554210	0
254173	0
8784	293
7293	101
51150	6982
126792	913
388581	10
118424	1541
6339	85
116983	1760
102465434	0
126789	294
54973	1571
102465435	0
80772	749
83756	2
1855	1358
102466740	0
54587	102
54998	1512
81669	4268
148413	407
55052	1606
441869	0
643965	1
102724312	0
64856	0
219293	2
83858	726
55210	923
339453	0
29101	2855
643988	550
142678	208
8510	0
984	1035
728661	1263
8511	0
728642	635
9906	184
65220	4884
2782	18503
105378949	10
163688	12
339456	11
85452	0
2563	0
5590	0
100506504	4
199990	402
105378592	3
6497	951
105378594	2
79906	39
100129534	11
11079	3259
5192	418
9651	0
55229	3
388585	0
115110	2
8764	15
100996583	0
127281	9
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	0
1953	723
693135	0
127262	1779
49856	428
7161	4
57212	989
148870	0
388588	0
57470	1507
9731	1153
1677	318
339448	1023
100133612	14
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	217
8514	10238
26038	2
6146	4053
102724450	0
388591	2
23463	2798
148645	2
390992	0
387509	188
11332	643
54626	34
83715	1
100422975	0
8718	0
57449	0
79707	626
80835	12
3104	1178
9903	2526
148479	756
90326	301
55735	1310
100505887	0
23261	590
9341	7276
8863	1781
10911	617
3604	970
11315	3846
54206	162
102724539	0
50651	3
473	1390
102724552	2
2023	65496
102465436	0
100505975	3
765	0
155184	0
6518	544
80045	371
407040	3
9563	4770
80176	1727
100506022	12
84275	339
199953	377
5293	1761
644997	2
101929074	2
22883	1198
56998	751
84328	850
64802	814
100847055	0
105376719	0
116362	6
10277	1893
23095	6487
100422970	0
5226	30714
100526739	0
378708	13
1325	0
1676	769
5195	1522
54897	67
148345	28
23435	5346
10747	59
6723	1363
5394	2808
2475	2408
100873935	0
10218	0
29914	711
57540	0
101929181	0
26232	6
93611	404
26270	1142
10459	1674
374946	44
57085	2199
284498	0
102724659	0
4524	2383
1185	857
100379251	12
4878	6
4879	1
26829	0
90231	3544
5351	5204
9927	5098
60672	1771
102466982	0
943	22
102465836	0
7133	19804
100616438	0
55187	2357
677885	2
9249	190
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	1056
7799	1719
23254	4
200197	25
55092	1545
727684	1
114827	16
101927417	3
79180	9006
11330	2
63036	0
51032	1
842	353
23341	651
79814	6
84301	344
6248	364
23207	13522
284723	126
388595	0
54751	63
440567	130
729614	175
23013	3572
7709	1197
101928566	0
149563	0
27129	6
1187	2
1188	0
348487	0
1969	8
128272	39
101927546	0
79363	7
54455	1457
26099	5423
374955	2
55707	5010
114819	71
26871	0
100126512	0
100126517	0
102724970	0
100133301	2
7195	0
55672	316
84809	654
11209	48
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	9
100500876	0
100189298	0
7193	0
791226	0
9696	321
26870	0
4237	0
23400	1287
6390	3235
11240	18
29943	0
51702	0
100616188	0
23569	0
353238	0
55920	5787
55160	2655
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	764
100616120	0
100302276	0
126917	282
23352	7375
23065	3144
51154	2325
246181	11
22977	45
100506730	134
8574	1179
54896	1893
832	9033
100532736	0
440574	1083
644068	2
4681	0
3362	0
255104	686
54546	0
23252	338
30814	0
5320	0
5322	0
26279	12
64600	0
391013	0
127733	0
101928017	0
127731	0
339505	0
55450	0
79594	1947
163933	0
978	191
65018	855
102464833	0
100861548	225
1650	7573
57576	18
400745	0
50809	3963
8672	2620
100302155	0
1889	628
100506801	0
84224	143
249	3
5909	13
84196	1788
401944	0
3339	23
23436	0
10136	0
101928043	7
29092	459
998	14250
54361	0
100616433	0
9923	2517
2046	4
102466615	0
712	4358
714	2969
713	3526
2048	1535
100616391	1
100422914	0
646262	0
729059	0
23028	1509
100422866	0
100616177	0
7798	1725
3352	0
100996511	40
10236	4192
80818	308
148898	29
6920	0
55616	0
1870	32
101928163	1
3399	49
259283	0
6135	9596
6924	2570
100506963	13
57095	2103
11313	1640
2582	1512
3155	1356
2517	52074
1269	16
100616492	0
55629	2712
10772	2165
127294	4
58985	0
163702	199
284632	4
57822	1
90529	94
57185	449
100750325	6
11123	1127
100506985	180
400746	0
10250	2525
25932	7330
864	2138
102465437	0
100616365	0
25949	1338
57035	1399
6007	3
23585	2559
6006	22
55219	1016
26119	1301
57134	48
57190	7355
56181	1336
646471	96
79000	49
164091	88
3925	98
100500808	0
5051	868
2134	0
7780	0
105376910	0
84676	0
149420	727
79927	0
105376887	0
51042	213
10256	6
378807	0
101928303	4
64793	1068
83442	41822
91544	1107
1043	2796
55057	4
257101	0
79727	0
79947	1813
101928324	13
3151	2782
6195	16761
100302190	0
101928728	79
8289	3532
55650	423
84243	2681
2810	4
54707	570
63906	1093
10726	1846
8431	0
126695	0
388610	2
115572	0
6548	2553
23038	2496
84065	1090
644961	40
100887744	0
84958	22
9064	972
8547	0
388611	2
2827	3
10163	9920
27245	874
2268	27607
2537	4776
199870	702
23673	3038
5511	1421
677774	0
9473	5771
6118	1510
27293	0
55113	329
2140	1452
5724	6782
22826	3857
93974	1061
83667	573
54797	606
65979	1498
1104	951
8420	532
6080	3
26768	13
54952	592
85028	883
692212	44
677838	175
677825	133
692073	70
115273	1096
6883	749
26824	6
10691	477
105376911	2
51441	2703
4985	0
2035	2066
399474	0
6429	2369
51102	254
10076	4
101928460	0
101929406	0
4146	5
100129196	16
7805	89188
100616164	7
400748	0
9672	1251
9698	3232
692234	2
692235	0
692200	0
79570	2
9410	986
51538	1154
2170	1101
347735	1781
149086	0
284551	0
64129	0
3061	6
553115	1902
1307	0
576	0
100423028	0
90853	822
8073	8987
10657	4307
55116	329
100847018	0
23633	3008
200081	3070
79140	84
56063	270
55721	42
149069	8
8668	4508
339483	215
84734	8
3932	7
3065	1667
65108	650
100128071	9
81629	128
55108	1902
728116	0
653121	139
339487	703
5928	3250
81493	58
57648	1187
8565	3418
64766	550
252995	4
3208	0
113452	5
127544	1559
204	1670
113451	17
55223	184
149076	867
127550	10
1912	3989
100500853	0
101929464	0
7579	173
114784	3
127540	0
402779	0
84970	0
693137	0
2709	0
127534	0
2707	0
2701	0
113444	2084
58512	2
653160	71
100506144	1029
9204	1567
79830	417
6421	6802
9202	1534
79932	1909
23154	448
339488	19
5690	4910
127703	932
63967	66
192670	2936
26523	1851
192669	960
27285	0
54936	1361
1296	3847
27095	1992
55700	11082
9967	4133
79729	2122
55194	489
83931	5909
84967	1635
127700	106
64960	1276
1441	2114
2899	0
100422898	0
728431	318
80149	1896
102465438	3
64769	1773
100847010	11
79753	608
7802	0
29889	2208
284654	0
54955	651
55143	106
284656	0
149175	380
79693	607
127687	1218
4520	3105
3633	945
10946	2191
2275	1056
51118	1151
5453	0
100500801	0
339442	0
64121	3310
100527950	2
26292	0
81025	0
54933	10
79647	3078
4725	3065
23499	5015
643314	107
105378950	0
353500	94
728448	72
8761	3846
101929516	6
677834	8
26508	0
84618	0
51440	0
10450	725
656	50
64064	0
105378951	1
101929536	0
54802	356
4610	188
84879	1133
10487	25710
5538	22345
6018	967
127391	1
10269	4743
1298	227
64744	4923
65243	119
339559	208
64789	511
127396	260
9783	377
100130557	48
4802	1436
407034	0
407031	0
9132	22
163732	8
1503	804
100507178	6
200172	2
