Geneid	HISAT2 on data 180: aligned reads (BAM)
100287102	0
653635	72
102466751	24
100302278	0
645520	0
79501	0
729737	269
102725121	5
102723897	97
102465909	0
729759	0
100132287	1
105378947	1
101928626	1
102465432	20
81399	0
100133331	177
100288069	29
400728	11
79854	20
643837	1160
284593	2
100130417	0
148398	0
26155	3154
339451	358
84069	83
84808	31
57801	51
9636	410
375790	7666
105369174	486
105378948	105
401934	2
54991	509
254099	0
406984	0
406983	0
554210	0
254173	0
8784	430
7293	147
51150	10366
126792	933
388581	9
118424	2299
6339	129
116983	2380
102465434	0
126789	197
54973	2168
102465435	1
80772	708
83756	79
1855	1519
102466740	0
54587	165
54998	1357
81669	9314
148413	501
55052	1985
441869	0
643965	0
102724312	0
64856	0
219293	0
83858	617
55210	985
339453	0
29101	3883
643988	276
142678	614
8510	0
984	1575
728661	2087
8511	0
728642	1173
9906	244
65220	5684
2782	35176
105378949	5
163688	14
339456	18
85452	0
2563	0
5590	6
100506504	2
199990	569
105378592	7
6497	2122
105378594	7
79906	59
100129534	22
11079	5643
5192	525
9651	0
55229	6
388585	0
115110	2
8764	40
100996583	0
127281	16
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	8
1953	1073
693135	0
127262	3647
49856	826
7161	14
57212	1254
148870	0
388588	2
57470	1878
9731	2207
1677	476
339448	1109
100133612	38
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	391
8514	13455
26038	12
6146	7775
102724450	0
388591	21
23463	4088
148645	0
390992	0
387509	137
11332	1670
54626	22
83715	2
100422975	0
8718	0
57449	13
79707	1091
80835	10
3104	1494
9903	3506
148479	1359
90326	529
55735	2087
100505887	0
23261	1141
9341	9222
8863	3420
10911	283
3604	841
11315	6729
54206	444
102724539	0
50651	4
473	2999
102724552	6
2023	88790
102465436	3
100505975	0
765	0
155184	0
6518	245
80045	223
407040	19
9563	5966
80176	1786
100506022	14
84275	523
199953	272
5293	1629
644997	4
101929074	41
22883	3836
56998	977
84328	1740
64802	1524
100847055	0
105376719	3
116362	26
10277	4682
23095	18319
100422970	0
5226	57371
100526739	0
378708	9
1325	3
1676	1290
5195	2076
54897	531
148345	45
23435	8583
10747	113
6723	1236
5394	5901
2475	6069
100873935	3
10218	4
29914	1258
57540	0
101929181	0
26232	2
93611	402
26270	1799
10459	1601
374946	31
57085	2702
284498	0
102724659	1
4524	3922
1185	3495
100379251	22
4878	30
4879	0
26829	0
90231	3628
5351	6606
9927	10722
60672	1390
102466982	0
943	41
102465836	0
7133	15005
100616438	1
55187	6620
677885	3
9249	463
102466722	1
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
