Geneid	HISAT2 on data 285: aligned reads (BAM)
100287102	0
653635	201
102466751	17
100302278	0
645520	0
79501	1
729737	266
102725121	1
102723897	126
102465909	0
729759	0
100132287	2
105378947	0
101928626	4
102465432	12
81399	0
100133331	84
100288069	16
400728	11
79854	8
643837	408
284593	0
100130417	0
148398	1
26155	2301
339451	294
84069	20
84808	8
57801	0
9636	400
375790	6428
105369174	128
105378948	36
401934	0
54991	416
254099	0
406984	0
406983	0
554210	0
254173	0
8784	530
7293	22
51150	9097
126792	996
388581	14
118424	1869
6339	107
116983	1678
102465434	0
126789	268
54973	1929
102465435	0
80772	766
83756	17
1855	1024
102466740	0
54587	126
54998	1402
81669	5307
148413	576
55052	2257
441869	0
643965	1
102724312	0
64856	5
219293	3
83858	702
55210	849
339453	0
29101	3417
643988	565
142678	250
8510	0
984	1518
728661	2484
8511	1
728642	577
9906	326
65220	7815
2782	28687
105378949	4
163688	20
339456	1
85452	0
2563	0
5590	0
100506504	6
199990	482
105378592	12
6497	1992
105378594	3
79906	53
100129534	22
11079	4892
5192	512
9651	0
55229	1
388585	0
115110	0
8764	7
100996583	0
127281	8
79258	0
100287898	3
140625	0
440556	0
63976	1
100422968	0
27237	2
1953	1306
693135	0
127262	3063
49856	711
7161	12
57212	1352
148870	0
388588	6
57470	1666
9731	1907
1677	527
339448	1263
100133612	4
728716	0
284661	0
55966	2
100616489	0
100616421	0
261734	347
8514	14731
26038	4
6146	8470
102724450	0
388591	17
23463	4812
148645	2
390992	0
387509	48
11332	796
54626	11
83715	1
100422975	0
8718	0
57449	0
79707	583
80835	4
3104	1323
9903	1908
148479	846
90326	350
55735	1829
100505887	0
23261	888
9341	10519
8863	3847
10911	919
3604	1507
11315	6709
54206	395
102724539	0
50651	4
473	2552
102724552	4
2023	73492
102465436	0
100505975	2
765	0
155184	0
6518	1028
80045	437
407040	14
9563	10289
80176	1152
100506022	48
84275	339
199953	336
5293	3301
644997	8
101929074	10
22883	2677
56998	1683
84328	1356
64802	1188
100847055	1
105376719	2
116362	35
10277	3727
23095	11383
100422970	0
5226	39546
100526739	0
378708	15
1325	2
1676	1343
5195	2069
54897	66
148345	47
23435	7529
10747	103
6723	1490
5394	4582
2475	4538
100873935	2
10218	3
29914	1076
57540	0
101929181	0
26232	4
93611	514
26270	1127
10459	1190
374946	57
57085	3953
284498	0
102724659	0
4524	3557
1185	1755
100379251	4
4878	7
4879	0
26829	0
90231	3888
5351	7110
9927	7994
60672	2144
102466982	1
943	116
102465836	0
7133	29857
100616438	2
55187	6044
677885	1
9249	1284
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	4
10630	4246
7799	2944
23254	24
200197	115
55092	3140
727684	3
114827	87
101927417	7
79180	11464
11330	1
63036	0
51032	5
842	745
23341	1157
79814	20
84301	1104
6248	814
23207	17806
284723	259
388595	0
54751	269
440567	248
729614	203
23013	8054
7709	1644
101928566	0
149563	0
27129	4
1187	8
1188	0
348487	0
1969	24
128272	52
101927546	0
79363	29
54455	2364
26099	8390
374955	1
55707	8531
114819	102
26871	0
100126512	0
100126517	0
102724970	0
100133301	2
7195	1
55672	1139
84809	878
11209	38
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	6
100500876	0
100189298	0
7193	0
791226	2
9696	294
26870	0
4237	0
23400	2155
6390	5620
11240	97
29943	0
51702	0
100616188	0
23569	2
353238	0
55920	8402
55160	6217
81569	0
101927876	0
84966	4
127707	0
5081	0
80834	3
8659	1666
100616120	0
100302276	0
126917	427
23352	13553
23065	4418
51154	2422
246181	16
22977	54
100506730	160
8574	1688
54896	2037
832	18270
100532736	0
440574	1716
644068	38
4681	1
3362	2
255104	1288
54546	0
23252	515
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
101928017	0
127731	0
339505	0
55450	0
79594	2616
163933	0
978	231
65018	1230
102464833	0
100861548	247
1650	12512
57576	11
400745	2
50809	6043
8672	7380
100302155	0
1889	406
100506801	0
84224	214
249	4
5909	8
84196	2726
401944	0
3339	25
23436	0
10136	0
101928043	14
29092	937
998	25976
54361	10
100616433	0
9923	2979
2046	0
102466615	0
712	14607
714	11067
713	11285
2048	1959
100616391	0
100422914	0
646262	0
729059	2
23028	2312
100422866	0
100616177	0
7798	4297
3352	0
100996511	42
10236	9338
80818	691
148898	31
6920	0
55616	14
1870	89
101928163	0
3399	239
259283	0
6135	19226
6924	4068
100506963	25
57095	4622
11313	2063
2582	2508
3155	2259
2517	162672
1269	28
100616492	0
55629	3896
10772	3466
127294	0
58985	0
163702	401
284632	0
57822	6
90529	126
57185	840
100750325	17
11123	1661
100506985	142
400746	0
10250	3716
25932	9754
864	3976
102465437	1
100616365	0
25949	2502
57035	1974
6007	10
23585	5118
6006	2
55219	1422
26119	690
57134	283
57190	10916
56181	1521
646471	175
79000	44
164091	242
3925	656
100500808	0
5051	1612
2134	0
7780	0
105376910	0
84676	0
149420	969
79927	0
105376887	0
51042	231
10256	0
378807	0
101928303	5
64793	1383
83442	32127
91544	1379
1043	476
55057	0
257101	0
79727	0
79947	2578
101928324	8
3151	4450
6195	12395
100302190	3
101928728	230
8289	5839
55650	663
84243	2560
2810	0
54707	686
63906	1249
10726	2738
8431	2
126695	0
388610	4
115572	8
6548	3669
23038	3552
84065	1352
644961	70
100887744	0
84958	6
9064	1116
8547	2
388611	0
2827	5
10163	14141
27245	577
2268	26407
2537	6102
199870	913
23673	6898
5511	2405
677774	1
9473	9134
6118	2359
27293	2
55113	492
2140	2023
5724	13219
22826	6866
93974	2339
83667	940
54797	685
65979	3070
1104	1278
8420	580
6080	36
26768	26
54952	1109
85028	1481
692212	74
677838	281
677825	245
692073	149
115273	2393
6883	1366
26824	1
10691	558
105376911	2
51441	3884
4985	0
2035	3339
399474	0
6429	3086
51102	510
10076	2
101928460	0
101929406	0
4146	1
100129196	17
7805	160030
100616164	13
400748	0
9672	3027
