Geneid	HISAT2 on data 77: aligned reads (BAM)
100287102	0
653635	394
102466751	52
100302278	0
645520	0
79501	0
729737	330
102725121	1
102723897	244
102465909	1
729759	0
100132287	4
105378947	5
101928626	5
102465432	25
81399	0
100133331	128
100288069	24
400728	7
79854	13
643837	542
284593	0
100130417	2
148398	0
26155	3441
339451	631
84069	54
84808	3
57801	21
9636	1067
375790	19858
105369174	608
105378948	88
401934	4
54991	832
254099	0
406984	0
406983	0
554210	0
254173	0
8784	291
7293	740
51150	13447
126792	1747
388581	8
118424	3350
6339	159
116983	4129
102465434	0
126789	529
54973	4081
102465435	3
80772	1698
83756	35
1855	2360
102466740	0
54587	212
54998	2727
81669	7013
148413	792
55052	2366
441869	0
643965	0
102724312	0
64856	25
219293	6
83858	1412
55210	1211
339453	2
29101	5041
643988	1050
142678	1289
8510	0
984	1975
728661	3804
8511	0
728642	919
9906	486
65220	13784
2782	41644
105378949	18
163688	12
339456	6
85452	0
2563	0
5590	8
100506504	5
199990	1005
105378592	13
6497	1800
105378594	1
79906	126
100129534	63
11079	7044
5192	738
9651	0
55229	3
388585	0
115110	3
8764	38
100996583	0
127281	60
79258	0
100287898	4
140625	0
440556	0
63976	2
100422968	0
27237	1
1953	2593
693135	0
127262	3740
49856	1108
7161	14
57212	1509
148870	0
388588	6
57470	2649
9731	3175
1677	655
339448	1913
100133612	41
728716	0
284661	0
55966	2
100616489	0
100616421	0
261734	827
8514	29492
26038	0
6146	8939
102724450	4
388591	35
23463	5937
148645	12
390992	0
387509	198
11332	1148
54626	0
83715	0
100422975	0
8718	8
57449	0
79707	1040
80835	1
3104	2202
9903	2872
148479	1266
90326	757
55735	2440
100505887	0
23261	1468
9341	11523
8863	3902
10911	1432
3604	5936
11315	8400
54206	373
102724539	0
50651	6
473	3900
102724552	11
2023	103426
102465436	4
100505975	0
765	0
155184	2
6518	1246
80045	539
407040	12
9563	9810
80176	1282
100506022	29
84275	538
199953	487
5293	4987
644997	17
101929074	18
22883	5166
56998	2182
84328	2021
64802	1762
100847055	0
105376719	1
116362	262
10277	4582
23095	11805
100422970	0
5226	44736
100526739	0
378708	16
1325	2
1676	1784
5195	2461
54897	315
148345	291
23435	10030
10747	93
6723	1899
5394	6928
2475	8138
100873935	0
10218	0
29914	1253
57540	6
101929181	0
26232	0
93611	984
26270	2044
10459	1645
374946	30
57085	4882
284498	1
102724659	0
4524	7250
1185	3620
100379251	24
4878	28
4879	0
26829	0
90231	5183
5351	14864
9927	12258
60672	3255
102466982	1
943	188
102465836	0
7133	45562
100616438	0
55187	8859
677885	2
9249	841
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	6
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	1
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	2
10630	1395
7799	4517
23254	53
200197	65
55092	2964
727684	0
114827	70
101927417	13
79180	21391
11330	2
63036	0
51032	3
842	955
23341	1809
79814	8
84301	935
6248	601
23207	31022
284723	404
388595	0
54751	456
440567	314
729614	185
23013	15370
7709	2837
101928566	0
149563	0
27129	2
1187	2
1188	0
348487	0
1969	27
128272	207
101927546	0
79363	106
54455	3425
26099	11476
374955	1
55707	13817
114819	231
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	1161
84809	1366
11209	35
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	6
100500876	0
100189298	1
7193	0
791226	0
9696	746
26870	0
4237	2
23400	7145
6390	7190
11240	1068
29943	0
51702	0
100616188	0
23569	1
353238	2
55920	12715
55160	16468
81569	0
101927876	0
84966	6
127707	1
5081	0
80834	3
8659	2488
100616120	0
100302276	0
126917	872
23352	23628
23065	5304
51154	1648
246181	2
22977	16
100506730	129
8574	2319
54896	3064
832	35243
100532736	0
440574	2156
644068	32
4681	0
3362	2
255104	1514
54546	0
23252	520
30814	0
5320	0
5322	0
26279	12
64600	0
391013	1
127733	0
101928017	0
127731	0
339505	0
55450	0
79594	4175
163933	1
978	773
65018	1964
102464833	0
100861548	301
1650	18589
57576	26
400745	2
50809	8718
8672	7274
100302155	0
1889	658
100506801	0
84224	283
249	2
5909	6
84196	4254
401944	0
3339	46
23436	0
10136	0
101928043	18
29092	890
998	31470
54361	11
100616433	0
9923	4733
2046	2
102466615	0
712	29976
714	46939
713	24831
2048	4528
100616391	0
100422914	0
646262	0
729059	0
23028	2921
100422866	0
100616177	0
7798	4874
3352	0
100996511	62
10236	9282
80818	1032
148898	42
6920	0
55616	76
1870	85
101928163	0
3399	82
259283	0
6135	20471
6924	6910
100506963	27
57095	7653
11313	4487
2582	2919
3155	3057
2517	683263
1269	72
100616492	0
55629	4544
10772	5150
127294	0
58985	0
163702	155
284632	0
57822	7
90529	195
57185	972
100750325	2
11123	1920
100506985	185
400746	2
10250	5513
25932	20647
864	7334
102465437	0
100616365	0
25949	1979
57035	3302
6007	15
23585	5119
6006	8
55219	1702
26119	777
57134	298
57190	10711
56181	2157
646471	256
79000	13
164091	627
3925	2600
100500808	0
5051	1838
2134	4
7780	2
105376910	0
84676	0
149420	1084
79927	0
105376887	0
51042	393
10256	8
378807	0
101928303	4
64793	2101
83442	53841
91544	2609
1043	993
55057	0
257101	0
79727	0
79947	4531
101928324	12
3151	5414
6195	18172
100302190	2
101928728	69
8289	11710
55650	1132
84243	3796
2810	2
54707	1194
63906	1673
10726	3462
8431	0
126695	3
388610	4
115572	2
6548	4625
23038	5955
84065	2219
644961	142
100887744	0
84958	26
9064	2665
8547	0
388611	0
2827	4
10163	21839
27245	1568
2268	32833
2537	8824
199870	938
23673	9180
5511	3004
677774	0
9473	10021
6118	2740
27293	2
55113	678
2140	4614
5724	16091
22826	7878
93974	2610
83667	1025
54797	1078
65979	5937
1104	2024
8420	491
6080	15
26768	19
54952	1425
85028	2027
692212	56
677838	289
677825	219
692073	212
115273	2721
6883	1647
26824	0
10691	1016
105376911	1
51441	5377
4985	0
2035	8136
399474	0
6429	5670
51102	509
10076	10
101928460	0
101929406	0
4146	0
100129196	8
7805	176732
100616164	2
400748	0
9672	5575
9698	7169
692234	0
692235	0
692200	0
79570	0
9410	1841
51538	1592
2170	2210
347735	5159
149086	0
284551	2
64129	2
3061	0
553115	3011
1307	0
576	3
100423028	0
90853	569
8073	15217
10657	8799
55116	790
100847018	0
23633	6117
200081	8531
79140	347
56063	493
55721	120
149069	37
8668	7847
339483	296
84734	0
3932	0
3065	3961
65108	3638
100128071	5
81629	82
55108	4173
728116	0
653121	80
339487	1005
5928	5335
81493	45
57648	2386
8565	6545
64766	1560
252995	56
3208	0
113452	13
127544	4916
204	5246
113451	8
55223	362
149076	1427
127550	1
1912	6859
100500853	2
101929464	1
7579	844
114784	2
127540	0
402779	0
84970	0
693137	0
2709	2
127534	2
2707	0
2701	0
113444	3752
58512	8
653160	108
100506144	2173
9204	2153
79830	802
6421	14693
9202	5575
79932	3887
23154	1121
339488	46
5690	6165
127703	2544
63967	148
192670	5169
26523	3743
192669	1620
27285	6
54936	3012
1296	2128
27095	3680
55700	21176
9967	8714
79729	3351
55194	1076
83931	28565
84967	3403
127700	147
64960	2532
1441	7325
2899	0
100422898	0
728431	237
80149	4224
102465438	5
64769	3028
100847010	18
79753	1137
7802	0
29889	4004
284654	0
54955	806
55143	177
284656	5
149175	605
79693	1040
127687	2217
4520	10624
3633	1302
10946	4060
2275	955
51118	1669
5453	2
100500801	0
339442	0
64121	8175
100527950	4
26292	0
81025	0
54933	45
79647	5062
4725	5011
23499	22066
643314	648
105378950	0
353500	191
728448	217
8761	10814
101929516	10
677834	18
26508	74
84618	0
51440	2
10450	1735
656	207
64064	3
105378951	6
101929536	3
54802	592
4610	985
84879	2630
10487	67611
5538	30268
6018	2104
127391	2
10269	5894
1298	647
64744	14776
65243	99
339559	345
64789	716
127396	258
9783	604
100130557	51
4802	3234
407034	0
407031	0
9132	12
163732	19
1503	1248
100507178	16
200172	4
22955	501
100132074	0
1907	0
59269	2325
2981	0
2980	0
22887	3773
284716	6
84217	68
79717	3135
728621	43
10465	915
4904	67478
149461	1
64175	2800
79078	451
100129924	3
374969	524
114625	1554
51058	493
339539	2
6513	120
440584	0
105378684	1
440585	0
10969	1947
102465439	1
149465	2
128218	0
149466	0
7075	84
4352	7
991	23
64834	11408
102466723	1
112950	2063
23334	5185
102465440	0
81888	8
5792	18
9682	3450
100132774	16
6487	216
101929592	0
102464830	0
9048	0
9670	4844
1802	1103
533	17126
8704	679
149473	187
6536	5
128209	0
105378952	0
55929	1405
79033	1303
100874278	14
55182	4355
100847089	0
79639	777
339541	53
26828	2
26830	0
11004	33
6202	17355
26811	9
94161	5
94162	12
94163	14
266675	8
1263	1991
343521	49
