Geneid	HISAT2 on data 195: aligned reads (BAM)
100287102	0
653635	169
102466751	12
100302278	0
645520	0
79501	1
729737	375
102725121	8
102723897	142
102465909	0
729759	0
100132287	0
105378947	1
101928626	3
102465432	13
81399	0
100133331	69
100288069	7
400728	5
79854	15
643837	511
284593	0
100130417	0
148398	3
26155	2629
339451	352
84069	30
84808	16
57801	3
9636	541
375790	6670
105369174	333
105378948	56
401934	1
54991	387
254099	0
406984	0
406983	0
554210	0
254173	0
8784	652
7293	266
51150	7734
126792	1065
388581	7
118424	2022
6339	73
116983	1386
102465434	0
126789	194
54973	2063
102465435	0
80772	681
83756	12
1855	1528
102466740	0
54587	144
54998	1855
81669	4385
148413	617
55052	2243
441869	0
643965	0
102724312	0
64856	2
219293	1
83858	796
55210	946
339453	4
29101	3357
643988	359
142678	188
8510	0
984	1370
728661	1254
8511	0
728642	652
9906	145
65220	4871
2782	25184
105378949	10
163688	14
339456	0
85452	0
2563	0
5590	0
100506504	0
199990	449
105378592	2
6497	1043
105378594	0
79906	28
100129534	15
11079	4281
5192	512
9651	0
55229	5
388585	0
115110	1
8764	13
100996583	0
127281	5
79258	1
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	0
1953	620
693135	0
127262	1724
49856	584
7161	17
57212	816
148870	0
388588	2
57470	1779
9731	1367
1677	328
339448	1145
100133612	4
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	262
8514	12280
26038	2
6146	5733
102724450	0
388591	3
23463	2985
148645	4
390992	0
387509	159
11332	930
54626	2
83715	0
100422975	0
8718	0
57449	1
79707	533
80835	2
3104	1223
9903	2165
148479	616
90326	458
55735	1588
100505887	0
23261	917
9341	8601
8863	1469
10911	383
3604	731
11315	5394
54206	125
102724539	0
50651	4
473	1435
102724552	6
2023	81154
102465436	4
100505975	0
765	0
155184	0
6518	204
80045	190
407040	11
9563	5200
80176	2145
100506022	10
84275	376
199953	373
5293	1291
644997	1
101929074	6
22883	1101
56998	596
84328	854
64802	675
100847055	0
105376719	0
116362	10
10277	2044
23095	8128
100422970	0
5226	42582
100526739	0
378708	14
1325	0
1676	958
5195	1635
54897	57
148345	4
23435	6558
10747	64
6723	1855
5394	3793
2475	2831
100873935	0
10218	1
29914	1032
57540	0
101929181	0
26232	5
93611	634
26270	1898
10459	2383
374946	35
57085	2597
284498	0
102724659	0
4524	1820
1185	1106
100379251	7
4878	4
4879	0
26829	0
90231	3610
5351	4486
9927	6931
60672	1789
102466982	2
943	23
102465836	0
7133	21658
100616438	1
55187	2481
677885	3
9249	137
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	1
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	2235
7799	1988
23254	6
200197	40
55092	1827
727684	0
114827	11
101927417	0
79180	13861
11330	1
63036	0
51032	1
842	499
23341	774
79814	5
84301	388
6248	380
23207	12714
284723	144
388595	0
54751	36
440567	217
729614	221
23013	3893
7709	1394
101928566	0
149563	0
27129	6
1187	4
1188	0
348487	0
1969	4
128272	29
101927546	0
79363	7
54455	1784
26099	7697
374955	1
55707	5833
114819	57
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	306
84809	789
11209	40
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	6
100500876	0
100189298	0
7193	0
791226	0
9696	221
26870	0
4237	0
23400	902
6390	4638
11240	4
29943	0
51702	0
100616188	0
23569	2
353238	0
55920	8134
55160	4777
81569	0
101927876	0
84966	1
127707	0
5081	0
80834	0
8659	905
100616120	0
100302276	1
126917	308
23352	7917
23065	4207
51154	2883
246181	24
22977	35
100506730	86
8574	1252
54896	2347
832	10382
100532736	0
440574	1680
644068	9
4681	0
3362	1
255104	853
54546	0
23252	372
30814	0
5320	0
5322	0
26279	4
64600	0
391013	0
127733	0
101928017	0
127731	0
339505	0
55450	0
79594	2543
163933	0
978	87
65018	743
102464833	0
100861548	279
1650	9437
57576	18
400745	0
50809	5120
8672	2794
100302155	0
1889	544
100506801	0
84224	135
249	0
5909	11
84196	1828
401944	2
3339	24
23436	0
10136	0
101928043	16
29092	507
998	18630
54361	8
100616433	0
9923	2616
2046	0
102466615	2
712	13759
714	10026
713	12130
2048	976
100616391	0
100422914	0
646262	0
729059	0
23028	1813
100422866	0
100616177	0
7798	1804
3352	0
100996511	21
10236	5844
80818	424
148898	18
6920	0
55616	0
1870	11
101928163	0
3399	81
259283	0
6135	13622
6924	3168
100506963	25
57095	2445
11313	2239
2582	2009
3155	1603
2517	28588
1269	4
100616492	0
55629	4007
10772	3476
127294	1
58985	0
163702	90
284632	0
57822	0
90529	79
57185	418
100750325	13
11123	1167
100506985	173
400746	0
10250	2538
25932	9763
864	1948
102465437	0
100616365	0
25949	1820
57035	1413
6007	3
23585	3309
6006	4
55219	1137
26119	1582
57134	141
57190	7271
56181	1609
646471	197
79000	77
164091	106
3925	100
100500808	0
5051	913
2134	0
7780	0
105376910	0
84676	0
149420	793
79927	0
105376887	0
51042	344
10256	1
378807	0
101928303	4
64793	1397
83442	49990
91544	1073
1043	1700
55057	2
257101	0
79727	0
79947	2327
101928324	9
3151	3786
6195	24729
100302190	1
101928728	119
8289	4179
55650	493
84243	3730
2810	3
54707	648
63906	1098
10726	2282
8431	0
126695	0
388610	2
115572	2
6548	1875
23038	2485
84065	1653
644961	43
100887744	0
84958	8
9064	884
8547	0
388611	0
2827	4
10163	11109
27245	545
2268	45932
2537	9960
199870	710
23673	4435
5511	2367
677774	0
9473	7588
6118	2490
27293	0
55113	411
2140	1907
5724	11832
22826	5743
93974	1839
83667	751
54797	592
65979	1685
1104	1047
8420	685
6080	18
26768	14
54952	874
85028	1070
692212	37
677838	164
677825	127
692073	69
115273	795
6883	1202
26824	2
10691	466
105376911	0
51441	3152
4985	0
2035	1377
399474	0
6429	3003
51102	464
10076	4
101928460	0
101929406	0
4146	5
100129196	19
7805	128210
100616164	20
400748	0
9672	1476
9698	3949
692234	0
692235	0
692200	0
79570	0
9410	1380
51538	1652
2170	2923
347735	2669
149086	0
284551	0
64129	0
3061	31
553115	2735
1307	0
576	2
100423028	0
90853	1238
8073	11740
10657	5114
55116	410
100847018	0
23633	3075
200081	3030
79140	68
56063	316
55721	49
149069	13
8668	5931
339483	101
84734	0
3932	2
3065	2316
65108	1020
100128071	9
81629	92
55108	2653
728116	0
653121	118
339487	868
5928	3797
81493	38
57648	1115
8565	4582
64766	491
252995	0
3208	0
113452	2
127544	2532
204	2490
113451	15
55223	187
149076	854
127550	1
1912	6824
100500853	0
101929464	0
7579	178
114784	0
127540	0
402779	0
84970	0
693137	0
2709	0
127534	0
2707	0
2701	0
113444	2913
58512	9
653160	55
100506144	1358
9204	1737
79830	333
6421	8784
9202	1830
79932	2027
23154	486
339488	33
5690	6570
127703	1177
63967	76
192670	2690
26523	1626
192669	1009
27285	2
54936	1862
1296	4882
27095	2787
55700	13218
9967	5781
79729	2134
55194	565
83931	7060
84967	1974
127700	123
64960	1707
1441	1476
2899	0
100422898	0
728431	440
80149	5697
102465438	10
64769	2204
100847010	2
79753	781
7802	2
29889	2950
284654	0
54955	714
55143	98
284656	2
149175	354
79693	1526
127687	2595
4520	5259
3633	928
10946	3526
2275	1392
51118	1680
5453	2
100500801	0
339442	0
64121	3451
100527950	0
26292	0
81025	0
54933	10
79647	4552
4725	4749
23499	5910
643314	22
105378950	0
353500	69
728448	104
8761	4185
101929516	6
677834	11
26508	0
84618	0
51440	0
10450	1124
656	52
64064	0
105378951	1
101929536	2
54802	340
4610	173
84879	2340
10487	35790
5538	21741
6018	1090
127391	0
10269	5949
1298	175
64744	5738
65243	93
339559	192
64789	444
127396	226
9783	175
100130557	23
4802	1990
407034	0
407031	0
9132	4
163732	13
1503	1187
100507178	2
