Geneid	HISAT2 on data 112: aligned reads (BAM)
100287102	0
653635	95
102466751	25
100302278	0
645520	0
79501	0
729737	306
102725121	2
102723897	166
102465909	0
729759	0
100132287	2
105378947	1
101928626	5
102465432	18
81399	0
100133331	114
100288069	29
400728	14
79854	19
643837	689
284593	0
100130417	0
148398	0
26155	3051
339451	434
84069	44
84808	7
57801	38
9636	3115
375790	8137
105369174	956
105378948	175
401934	2
54991	617
254099	0
406984	0
406983	0
554210	0
254173	0
8784	78
7293	56
51150	9857
126792	784
388581	17
118424	2209
6339	141
116983	2403
102465434	0
126789	270
54973	2719
102465435	2
80772	728
83756	20
1855	1352
102466740	0
54587	230
54998	2031
81669	5353
148413	595
55052	2653
441869	4
643965	0
102724312	0
64856	10
219293	2
83858	1088
55210	1090
339453	0
29101	3589
643988	424
142678	238
8510	0
984	1845
728661	1899
8511	0
728642	1246
9906	1009
65220	7009
2782	33796
105378949	2
163688	5
339456	2
85452	0
2563	0
5590	4
100506504	3
199990	626
105378592	2
6497	1691
105378594	4
79906	61
100129534	22
11079	5347
5192	613
9651	0
55229	1
388585	0
115110	1
8764	9
100996583	1
127281	15
79258	0
100287898	0
140625	0
440556	2
63976	0
100422968	0
27237	2
1953	1787
693135	0
127262	3485
49856	1035
7161	2
57212	1107
148870	0
388588	2
57470	1943
9731	1509
1677	521
339448	1532
100133612	13
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	392
8514	25838
26038	1
6146	9047
102724450	0
388591	6
23463	3419
148645	2
390992	0
387509	20
11332	769
54626	0
83715	2
100422975	0
8718	2
57449	0
79707	837
80835	7
3104	1725
9903	2139
148479	1339
90326	667
55735	1858
100505887	0
23261	972
9341	10347
8863	2562
10911	43
3604	2094
11315	6544
54206	486
102724539	0
50651	0
473	3057
102724552	2
2023	82840
102465436	0
100505975	1
765	0
155184	0
6518	848
80045	454
407040	42
9563	5167
80176	2961
100506022	19
84275	372
199953	254
5293	1948
644997	2
101929074	4
22883	4753
56998	2776
84328	1160
64802	998
100847055	2
105376719	0
116362	135
10277	3350
23095	10836
100422970	0
5226	29165
100526739	0
378708	3
1325	1
1676	1379
5195	1529
54897	143
148345	83
23435	6095
10747	64
6723	1274
5394	5466
2475	4763
100873935	2
10218	1
29914	1323
57540	0
101929181	0
26232	0
93611	460
26270	1237
10459	1566
374946	16
57085	3397
284498	0
102724659	0
4524	3352
1185	2259
100379251	9
4878	13
4879	0
26829	0
90231	4100
5351	7833
9927	8604
60672	1228
102466982	0
943	150
102465836	0
7133	48594
100616438	1
55187	5641
677885	3
9249	1671
102466722	1
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	691
7799	4075
23254	4
200197	63
55092	4640
727684	2
114827	25
101927417	9
79180	14286
11330	5
63036	0
51032	10
842	743
23341	936
79814	11
84301	928
6248	679
23207	26807
284723	360
388595	0
54751	823
440567	314
729614	187
23013	11889
7709	2138
101928566	0
149563	0
27129	8
1187	3
1188	0
348487	0
1969	23
128272	70
101927546	0
79363	27
54455	2450
26099	10308
374955	1
55707	7262
114819	101
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	592
84809	686
11209	14
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	3
100500876	0
100189298	0
7193	0
791226	0
9696	429
26870	0
4237	0
23400	2905
6390	5703
11240	67
29943	0
51702	0
100616188	0
23569	2
353238	0
55920	7330
55160	6121
81569	0
101927876	0
84966	2
127707	0
5081	0
80834	4
8659	1311
100616120	0
100302276	0
126917	694
23352	18500
23065	3812
51154	1385
246181	19
22977	59
100506730	116
8574	1709
54896	1786
832	21954
100532736	0
440574	1719
644068	17
4681	2
3362	0
255104	1142
54546	0
23252	628
30814	0
5320	0
5322	0
26279	70
64600	0
391013	3
127733	1
101928017	0
127731	0
339505	0
55450	1
79594	2870
163933	0
978	744
65018	1849
102464833	0
100861548	280
1650	15423
57576	48
400745	5
50809	7495
8672	4090
100302155	0
1889	2371
100506801	0
84224	12
249	2
5909	7
84196	2468
401944	0
3339	59
23436	0
10136	0
101928043	16
29092	396
998	25123
54361	6
100616433	0
9923	4631
2046	0
102466615	0
712	23129
714	12479
713	10205
2048	6270
100616391	0
100422914	0
646262	0
729059	0
23028	2148
100422866	0
100616177	0
7798	3143
3352	0
100996511	11
10236	8716
80818	654
148898	37
6920	0
55616	16
1870	61
101928163	0
3399	1347
259283	0
6135	25002
6924	4375
100506963	19
57095	6683
11313	3153
2582	2382
3155	1953
2517	420590
1269	133
100616492	0
55629	4400
10772	3906
127294	0
58985	0
163702	72
284632	0
57822	11
90529	143
57185	557
100750325	3
11123	1530
100506985	112
400746	2
10250	4175
25932	11297
864	10319
102465437	4
100616365	0
25949	2987
57035	1620
6007	7
23585	4441
6006	8
55219	1560
26119	798
57134	159
57190	9838
56181	1697
646471	326
79000	39
164091	210
3925	1949
100500808	0
5051	961
2134	0
7780	0
105376910	0
84676	0
149420	660
79927	0
105376887	0
51042	218
10256	2
378807	0
101928303	2
64793	1459
83442	53947
91544	2250
1043	2963
55057	0
257101	0
79727	0
79947	3580
101928324	5
3151	4366
6195	9941
100302190	1
101928728	91
8289	7827
55650	466
84243	2133
2810	2
54707	984
63906	1728
10726	3104
8431	2
126695	2
388610	2
115572	8
6548	2308
23038	4455
84065	2801
644961	792
100887744	0
84958	10
9064	1820
8547	2
388611	0
2827	2
10163	15828
27245	664
2268	25490
2537	11572
199870	940
23673	6415
5511	3085
677774	2
9473	11422
6118	3072
27293	0
55113	455
2140	2003
5724	8835
22826	7077
93974	2962
83667	1090
54797	894
65979	4191
1104	888
8420	407
6080	23
26768	41
54952	1484
85028	2188
692212	46
677838	285
677825	352
692073	158
115273	2395
6883	1413
26824	1
10691	899
105376911	1
51441	3901
4985	0
2035	2468
399474	2
6429	3261
51102	475
10076	6
101928460	0
101929406	0
4146	0
100129196	10
7805	152058
100616164	17
400748	1
9672	2882
9698	5342
692234	0
692235	0
692200	0
79570	2
9410	1593
51538	1943
2170	3909
347735	5402
149086	0
284551	0
64129	4
3061	7
553115	3256
1307	0
576	0
100423028	0
90853	825
8073	12952
10657	6511
55116	732
100847018	0
23633	3931
200081	5126
79140	86
56063	472
55721	147
149069	37
8668	7429
339483	41
84734	0
3932	2
3065	3014
65108	1839
100128071	8
81629	177
55108	4455
728116	0
653121	107
339487	1409
5928	3370
81493	34
57648	1295
8565	6120
64766	865
252995	101
3208	0
113452	0
127544	3995
204	3807
113451	8
55223	457
149076	1179
127550	4
1912	12943
100500853	6
101929464	1
7579	534
114784	1
127540	0
402779	0
84970	0
693137	0
2709	2
127534	0
2707	0
2701	0
113444	3600
58512	6
653160	97
100506144	1583
9204	2341
79830	526
6421	12620
9202	2623
79932	2795
23154	450
339488	23
5690	7441
127703	1947
63967	94
192670	5512
26523	2603
192669	1239
27285	8
54936	2259
1296	473
27095	3144
55700	12060
9967	7900
79729	3595
55194	601
83931	15305
84967	2088
127700	170
64960	1999
1441	7952
2899	0
100422898	0
728431	149
80149	2393
102465438	6
64769	2858
100847010	3
79753	1148
7802	0
29889	4085
284654	0
54955	588
55143	172
284656	0
149175	182
79693	733
127687	1282
4520	4023
3633	1053
10946	4266
2275	951
51118	1674
5453	0
100500801	0
339442	0
64121	5144
100527950	0
26292	1
81025	0
54933	11
79647	4206
4725	5068
23499	14394
643314	405
105378950	0
353500	142
728448	281
8761	8262
101929516	15
677834	30
26508	58
84618	2
51440	1
10450	1775
656	162
64064	3
105378951	8
101929536	1
54802	608
4610	219
84879	1367
10487	59564
5538	31102
6018	2202
127391	0
10269	5286
1298	238
64744	9043
65243	67
339559	284
64789	633
127396	300
9783	287
100130557	30
4802	2431
407034	0
407031	0
9132	16
163732	16
1503	917
100507178	18
200172	7
22955	425
100132074	2
1907	2
59269	1437
2981	0
2980	0
22887	2934
284716	0
84217	41
79717	2630
728621	33
10465	971
4904	50440
149461	0
64175	2053
79078	335
100129924	4
374969	429
114625	1268
51058	352
339539	1
6513	336
440584	5
105378684	2
440585	0
10969	2544
102465439	0
149465	1
128218	0
149466	0
7075	10
4352	8
991	18
64834	8716
102466723	0
112950	2484
23334	5011
102465440	0
81888	10
5792	19
9682	2842
100132774	22
6487	221
101929592	0
102464830	0
9048	7
9670	2474
1802	891
533	17536
8704	219
149473	93
6536	4
128209	2
105378952	0
55929	1227
79033	1359
100874278	17
55182	4133
100847089	0
79639	832
339541	55
26828	0
26830	0
11004	33
6202	15911
26811	2
94161	1
94162	6
94163	16
266675	19
1263	3532
343521	68
149478	437
8643	47
8891	1001
79654	4850
7389	5835
57643	6
400752	19
84842	5
4595	518
114034	487
10420	753
126661	27
25974	36
5052	42286
10327	7512
4678	2202
149483	149
60313	7179
728963	13
51249	1131
3652	185
23139	3266
8503	133
101929626	2
10103	61
55624	1905
541468	15
8438	34
10489	4611
7388	3589
387338	1187
2166	195
729041	1
101929651	0
127343	20
100507423	153
148930	2
8569	11547
148932	4647
64756	1041
374973	3
100130197	3
9813	9143
1580	0
163720	0
1579	0
260293	0
199974	0
284541	0
100874253	3
10158	0
6886	0
6491	290
51727	6592
102724077	4
2301	0
84793	46
2306	24
388630	3
391037	0
200010	3
54558	124
84871	0
79656	0
101929721	0
100874313	0
1996	5
63950	1
11124	1680
1031	91
100616189	0
102466656	0
284546	0
26994	4027
22996	15
102724097	0
2060	3598
114883	3673
4898	8683
100313892	0
5865	1
51060	5631
112970	0
104355143	2
91408	3564
9372	59
200014	5338
4998	132
84950	2281
23318	1222
105378722	1
2882	13
348378	0
65260	1152
79699	2713
440590	2
55268	430
6342	7902
100616156	0
100616458	0
100616145	0
127435	0
6512	0
1376	2711
54987	1265
4116	2227
100507564	11
7804	1326
163742	0
63948	0
148979	0
105369175	0
55706	785
54432	1847
1733	5
51668	1014
115353	1312
388633	0
9528	11405
127428	470
100616315	1
200008	6
606495	203
51253	2607
23648	1153
619518	39
26027	737
338094	41
374977	20
100527960	9
7268	107
25973	339
55001	0
163747	0
1718	3565
100126514	0
199964	0
7809	0
255738	0
23358	5036
100507634	28
100616272	0
8613	3562
5563	0
199920	0
731	0
732	0
1600	0
101926890	0
115209	89
4070	4
114803	2690
3725	14649
100131060	11
101926925	18
729467	0
55277	214
100616409	0
101926944	0
51361	2
1573	0
127795	0
101926964	0
100996570	0
4774	145
645030	0
414927	0
83941	1189
10207	73
100422902	0
100422946	0
54596	8
163782	12
7398	1870
85440	3660
27329	2
84938	735
199899	0
100996301	0
27022	0
102464823	0
29929	490
23421	250
84455	81
79469	4
5236	1294
4919	2
101927034	3
148581	0
57685	11
100616338	0
55225	97
3716	12995
101927084	0
105378775	0
100500854	0
406893	0
205	285
9829	355
54741	11069
3953	206
5142	1268
101927139	0
84251	4
100422871	0
200132	2
10022	0
79819	6
57708	2579
23169	1440
400757	0
149233	2
3595	2
26135	8884
1647	401
55970	239
100289178	3
9077	5
79971	618
100302279	0
6121	0
55635	0
101927220	0
57554	22
5301	0
55631	926
9295	7840
81573	1665
11147	135
1491	66
101927244	0
5733	5
100132618	13
9406	2672
406962	17
100852410	7
257194	2
100852409	0
101927295	0
127255	18
100526835	0
8790	777
51086	0
105378804	0
105378803	0
127254	2
101927320	0
1429	1026
127253	886
431707	0
204962	0
34	1984
1744	40
5876	2683
692085	6
26805	20
26804	25
4438	2
127247	0
101927342	0
256435	7
81849	0
102466995	0
10026	1678
26289	2
26009	1494
23032	2652
374986	954
374987	0
91624	144
8880	3856
11080	536
54810	0
149047	0
5737	0
10964	1066
10561	2587
64123	0
101927412	0
23266	0
101927434	0
101927498	0
101927587	0
101927560	0
79739	22
5567	1954
148418	8
391051	0
58511	8
80135	2037
2787	5444
100505741	20
1486	2575
103695366	3
439927	0
117178	367
23566	25
255231	1149
55283	738
126820	71
100616481	0
84144	51
148423	951
8915	1342
646626	43
23576	10
3491	0
54680	1258
255631	38
57489	366
102465842	1
9635	2
1179	0
22802	0
9629	0
105378828	26
51100	9493
9403	9937
9653	4421
339524	25
101927844	0
105378832	0
8543	1094
100505768	0
101927891	2
5586	2007
2959	2078
56267	1390
494115	884
2635	620
2633	2685
2634	3391
388646	1
115361	104
115362	255
729930	0
163351	0
400759	1
23507	900
84230	1306
400761	8
55144	987
105378846	2
492303	45
284695	1787
343472	0
84146	2663
164045	0
8317	197
7049	16
676	0
253152	5
646817	48
284697	26
23285	123
388649	2
11146	398
79871	560
2672	40
7813	1590
6125	15954
388650	1453
6083	7
26782	7
22823	2043
50999	9703
343099	293
100131564	476
1810	3216
54874	146
100126520	0
8412	1359
100129046	2
100126348	0
100189133	6
30836	4484
2730	917
24	2
9411	0
5825	2016
2152	420
101928079	0
100616321	0
126969	0
1266	0
105378862	0
729970	0
199857	385
101928098	0
148534	0
100527978	4
101928118	0
25950	357
440594	0
100996635	0
102723661	0
101928241	0
58155	446
1806	3915
100873932	0
100873933	2
400765	0
100616452	0
406928	0
729987	0
51375	38
163404	0
100129620	0
9890	0
101928270	0
54873	0
391059	351
178	1331
23443	752
64645	3535
163786	307
54482	238
127495	35
1629	739
100506007	13
8634	2766
693138	5
8556	396
54112	0
100128787	0
7412	0
2135	266
148867	2172
51611	199
102606465	43
101928334	0
101928370	0
1901	98
104355286	0
118427	0
94236	0
1301	0
101928436	0
55599	620
280	397
648740	16
279	1
276	0
277	2
278	0
100129138	0
101928476	0
55170	653
22854	2
10451	3708
102465839	0
100873946	22
29957	7553
148545	0
653149	1
284611	6080
113802	338
55119	3335
163479	2
6814	3784
254268	6
642864	0
29899	135
23155	1376
22911	2034
6884	985
56900	5706
677766	2
127003	0
57535	0
6301	5862
1952	128
84722	29
343263	0
6272	7646
5686	5091
284612	9
127002	299
284613	1465
57463	8
83873	0
2773	10851
406974	0
2780	5
271	1262
2948	860
2946	157
2944	7
2949	8
2947	151
79574	0
1435	3074
10768	8869
85369	2123
257	88
104355139	0
164153	0
388662	4
100873974	9
3749	304
440600	5
64783	729
9122	7
10542	4616
101410535	1
84432	4
643160	0
440602	0
3744	1
3737	6
3738	305
963	23441
55791	1150
128338	4451
10390	1632
79961	2749
1117	33
149620	0
27159	0
128344	0
441897	0
5016	110
79084	1885
515	10090
128346	6957
57413	291
140	844
100129269	13
5906	8239
55924	1348
100506343	1
101928718	0
11218	1485
3752	0
100874295	0
100873995	0
643355	0
55917	3743
100422976	0
7482	128
54879	383
829	13189
4343	1702
389	8953
333926	4
284467	4
100996702	0
6566	1053
246182	6
100506392	32
100996251	18
9860	971
643441	0
260425	109
10745	1180
54665	1207
100287722	14
26191	1587
440603	10
10717	605
64858	1990
101928846	14
204851	6955
56944	400
148281	106
51592	2913
10286	2166
163259	136
270	0
4893	8981
7812	28320
80143	1051
6847	0
7252	0
10100	26
4803	0
81839	746
845	0
4808	1
101928995	0
101928977	2
55356	1306
126868	9
476	24087
84852	60
101929023	2
965	3673
