Geneid	HISAT2 on data 338: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	1306
18777	72
100503730	0
21399	290
58175	0
108664	2900
18387	0
226304	0
12421	33
620393	0
240690	2
319263	58
71096	0
59014	2016
76187	182
72481	64
76982	2
17864	0
70675	126
73331	0
170755	100
620986	16
240697	0
73824	163
266793	4
100038398	2
100039596	0
69312	0
26754	1769
211660	27
211673	135
329093	0
109294	0
320492	0
329096	0
240725	0
240726	0
383491	0
17978	171
72265	1309
212442	289
381246	0
433273	5
14048	0
17681	0
277328	2
98741	1
21749	53
226866	0
665434	0
75799	0
19989	11632
98711	221
29819	89
66799	279
67923	1887
329101	0
70397	653
17087	182
57339	2
14545	0
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	1218
257630	1085
17215	2073
77741	0
74229	21
71877	2
170829	100
75712	17
14859	121
241041	0
368204	0
433278	0
98582	0
226922	2
116837	0
66755	0
387225	0
723964	0
70155	313
100503399	0
280645	6
98366	497
68002	251
68187	18
12839	0
12823	13
68421	2084
210933	0
100504323	0
210940	0
433281	0
665903	50
210962	0
623924	0
791350	0
213109	98
19243	78
70988	0
266744	0
74708	0
226957	0
624262	1
170771	0
408192	0
408191	0
19076	359
67503	0
19335	118
213539	19
98403	30
433287	4
320705	27
13518	206
100628580	0
69668	1890
27993	1987
52318	214
19253	1814
21755	0
12627	0
21756	0
211383	0
241051	0
226970	67
214469	4722
226971	6414
50785	1501
320011	1679
214854	3938
214855	1545
226976	2152
214895	690
94220	578
94218	458
78321	63
109346	149
20353	187
381337	0
12859	7785
226977	1788
71166	2
22637	183
56030	724
70853	6
12790	0
269180	759
76178	7631
67387	1523
269181	355
77633	0
100861893	0
72097	37
100503734	0
211484	15
623661	45
69028	529
107734	1458
332427	0
69541	0
98258	1015
226982	472
56210	55
16764	162
381338	0
98388	145
100503760	0
433292	0
68833	1551
18143	0
114641	17790
54610	255
52846	625
100217461	5
67702	10153
263764	77
619289	0
100042065	0
73426	0
26921	4314
100047133	0
16178	26
16177	4
107527	66
17082	182
16182	18
16174	10
110895	25
226999	2
211798	165
381339	0
74897	0
66297	0
18993	0
73100	0
69527	776
93690	2
73122	1255
98404	181
14200	10
666642	404
17974	185
100861934	2
78896	0
67883	390
100503192	5
22019	123
433294	0
75623	98
72050	171
246229	38
22592	99
100861960	0
403183	0
70676	2
75066	0
12825	72
12832	8
73674	268
433297	54
53945	8
100042453	0
212225	0
227058	0
100101919	0
227059	62
442837	0
56363	0
442821	0
20324	0
109019	332
100045066	7
17912	44
20849	17
100042634	0
20846	17469
14660	334
17936	570
227094	76
98682	237
16329	134
227095	53
67080	0
17700	0
69397	0
227099	4
227102	219
72085	31
70396	609
627872	0
98267	286
329152	1
78016	0
98488	15
241062	27
329154	128
81898	340
67876	171
15510	1990
15528	4923
19070	223
74013	115
212679	134
75388	0
227120	6
626009	1
329159	2
71066	0
212712	70
329160	6
407809	0
75323	1
73467	13
68736	35
68115	368
67198	19
51960	224
68549	8
11761	80
71724	0
71872	0
213043	0
66882	1090
12747	138
70225	738
65102	783
18393	145
100504455	0
213056	24
66495	1888
100504501	63
108812	0
12633	1745
12370	2475
70827	530
227154	413
73463	0
381259	283
227157	0
74018	970
271697	2
14369	640
381260	10
22218	1447
55989	398
100217459	0
100217421	0
12168	48
100504533	11
72750	319
70375	0
57750	494
241066	6
100504573	0
269198	21
77951	619
329165	18
77300	135
100043027	0
100042533	0
12487	8
100504618	0
12477	22
54167	93
77341	0
72823	4
18187	19706
74992	2
227195	87
100380944	1
100504668	0
227197	497
55949	6535
100217464	9
241070	0
73884	0
23792	28
241073	0
76668	0
75619	55
74426	0
433315	0
93691	193
12912	289
67099	460
69941	35
227210	194
14367	216
241075	1157
70861	0
667276	1
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	2444
18711	129
213527	0
12969	0
17756	2
100038569	0
329178	0
66646	224
68691	25
11363	1605
100862127	0
17901	0
14768	595
227231	2
13869	0
100502712	0
22779	12
66722	0
320460	0
12021	23
74591	0
108147	2343
14268	8074
100042814	1
667931	0
71134	2
433319	0
381269	240
111175	64
271711	0
22596	95
381270	0
54380	747
319695	0
19981	18348
16008	35
16011	0
21958	0
69449	0
723792	0
78718	1
109198	0
21961	2864
435626	49
100862357	0
12765	4
227288	0
100316687	0
76709	23211
227289	0
227290	4262
56695	546
69660	3267
241112	2
18173	33554
227292	2959
387219	2
22349	1
319651	60
58184	1557
18802	0
77264	508
66821	287
57751	730
269209	17
67534	104
104086	258
241113	0
22420	951
22409	4
12570	0
260298	0
12958	0
723900	0
241116	1
16147	6
75570	133
22626	4
69171	4341
227298	3725
68818	1029
74104	773
245860	1332
52231	407
74577	337
