Geneid	HISAT2 on data 336: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	0
27395	768
18777	419
100503730	0
21399	743
58175	0
108664	2234
18387	0
226304	0
12421	217
620393	0
240690	39
319263	368
71096	0
59014	835
76187	91
72481	71
76982	9
17864	2
70675	459
73331	4
170755	546
620986	10
240697	0
73824	74
266793	3
100038398	12
100039596	9
69312	3
26754	1229
211660	134
211673	1079
329093	0
109294	0
320492	0
329096	0
240725	2
240726	17
383491	0
17978	554
72265	1962
212442	312
381246	0
433273	5
14048	0
17681	0
277328	0
98741	0
21749	96
226866	0
665434	0
75799	0
19989	6467
98711	89
29819	79
66799	401
67923	1283
329101	0
70397	382
17087	274
57339	2
14545	0
94227	0
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	2
241035	0
75028	0
387202	0
723817	0
16171	11
257630	8
17215	752
77741	0
74229	28
71877	3
170829	62
75712	13
14859	200
241041	0
368204	0
433278	0
98582	0
226922	4
116837	0
66755	0
387225	0
723964	0
70155	273
100503399	0
280645	16
98366	469
68002	192
68187	134
12839	0
12823	23
68421	1762
210933	0
100504323	0
210940	2
433281	0
665903	25
210962	0
623924	0
791350	0
213109	635
19243	276
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	202
67503	4
19335	85
213539	20
98403	126
433287	1
320705	13
13518	1300
100628580	0
69668	839
27993	1001
52318	143
19253	598
21755	0
12627	0
21756	0
211383	0
241051	0
226970	70
214469	2471
226971	3776
50785	1110
320011	1957
214854	2419
214855	401
226976	1137
214895	557
94220	222
94218	318
78321	57
109346	113
20353	149
381337	0
12859	4959
226977	1246
71166	4
22637	23
56030	1083
70853	2
12790	0
269180	738
76178	3639
67387	825
269181	597
77633	4
100861893	0
72097	15
100503734	0
211484	45
623661	50
69028	379
107734	813
332427	0
69541	0
98258	1242
226982	2693
56210	127
16764	12
381338	0
98388	18
100503760	0
433292	0
68833	874
18143	2
114641	8750
54610	261
52846	355
100217461	31
67702	9708
263764	290
619289	0
100042065	0
73426	0
26921	2879
100047133	0
16178	20
16177	11
107527	85
17082	44
16182	20
16174	2
110895	170
226999	4
211798	101
381339	0
74897	0
66297	0
18993	0
73100	0
69527	568
93690	0
73122	746
98404	208
14200	0
666642	176
17974	129
100861934	2
78896	0
67883	342
100503192	3
22019	670
433294	0
75623	80
72050	290
246229	243
22592	107
100861960	0
403183	0
70676	0
75066	0
12825	187
12832	26
73674	407
433297	204
53945	59
100042453	0
212225	0
227058	0
100101919	3
227059	449
442837	0
56363	0
442821	0
20324	2
109019	1203
100045066	25
17912	112
20849	8
100042634	0
20846	10019
14660	1038
17936	1304
227094	43
98682	597
16329	127
227095	89
67080	0
17700	0
69397	0
227099	43
227102	442
72085	42
70396	967
627872	0
98267	516
329152	2
78016	3
98488	199
241062	391
329154	391
81898	2680
67876	400
15510	2386
15528	2519
19070	561
74013	103
212679	59
75388	0
227120	0
626009	7
329159	6
71066	0
212712	72
329160	8
407809	0
75323	0
73467	103
68736	106
68115	240
67198	13
51960	227
68549	3
11761	44
71724	0
71872	0
213043	2
66882	2568
12747	800
70225	366
65102	347
18393	298
100504455	1
213056	77
66495	1168
100504501	58
108812	0
12633	2641
12370	1615
70827	850
227154	311
73463	0
381259	389
227157	0
74018	564
271697	7
14369	461
381260	3
22218	1069
55989	582
100217459	0
100217421	0
12168	91
100504533	65
72750	397
70375	6
57750	328
241066	16
100504573	3
269198	50
77951	432
329165	170
77300	438
100043027	3
100042533	0
12487	9
100504618	0
12477	4
54167	12
77341	0
72823	2
18187	11511
74992	25
227195	398
100380944	10
100504668	7
227197	916
55949	2723
100217464	11
241070	0
73884	0
23792	4
241073	0
76668	0
75619	302
74426	0
433315	0
93691	162
12912	471
67099	334
69941	16
227210	181
14367	137
241075	1458
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	4144
18711	611
213527	0
12969	0
17756	2
100038569	0
329178	0
66646	543
68691	74
11363	1225
100862127	0
17901	0
14768	323
227231	0
13869	0
100502712	0
22779	10
66722	0
320460	0
12021	31
74591	0
108147	1267
14268	2721
100042814	4
667931	0
71134	3
433319	0
381269	154
111175	50
271711	0
22596	28
381270	0
54380	401
319695	0
19981	9714
16008	0
16011	0
21958	0
69449	0
723792	0
78718	0
109198	0
21961	2327
435626	6
100862357	0
12765	0
227288	0
100316687	0
76709	10849
227289	0
227290	2742
56695	532
69660	3139
241112	7
18173	25710
227292	1578
387219	1
22349	0
319651	196
58184	849
18802	4
77264	407
66821	158
57751	491
269209	45
67534	117
104086	250
241113	2
22420	252
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	6
75570	85
22626	0
69171	2495
227298	2591
68818	570
74104	729
245860	831
52231	237
74577	184
20872	667
22145	2869
