Geneid	HISAT2 on data 360: aligned reads (BAM)
100287102	0
653635	22
102466751	12
100302278	0
645520	0
79501	0
729737	16
102725121	1
102723897	67
102465909	0
729759	0
100132287	5
105378947	4
101928626	5
102465432	126
81399	0
100133331	194
100288069	11
400728	26
79854	18
643837	1204
284593	1
100130417	24
148398	51
26155	7400
339451	611
84069	60
84808	15
57801	39
9636	1257
375790	17195
105369174	588
105378948	93
401934	5
54991	1039
254099	0
406984	0
406983	0
554210	0
254173	0
8784	25
7293	7
51150	16850
126792	3456
388581	11
118424	4836
6339	71
116983	1742
102465434	0
126789	565
54973	4222
102465435	8
80772	1366
83756	64
1855	3013
102466740	0
54587	154
54998	2178
81669	5912
148413	949
55052	3505
441869	0
643965	0
102724312	0
64856	9
219293	5
83858	1029
55210	2176
339453	3
29101	5008
643988	1276
142678	1285
8510	0
984	2057
728661	2910
8511	1
728642	1038
9906	405
65220	2127
2782	40349
105378949	15
163688	14
339456	13
85452	2
2563	13
5590	45
100506504	8
199990	996
105378592	10
6497	4836
105378594	0
79906	136
100129534	25
11079	5202
5192	931
9651	1
55229	18
388585	0
115110	0
8764	4
100996583	0
127281	12
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	147
1953	1268
693135	0
127262	3520
49856	1679
7161	568
57212	399
148870	86
388588	11
57470	2633
9731	1996
1677	409
339448	1633
100133612	33
728716	0
284661	0
55966	2
100616489	0
100616421	0
261734	1158
8514	26679
26038	34
6146	5671
102724450	4
388591	29
23463	5063
148645	9
390992	0
387509	265
11332	916
54626	6
83715	19
100422975	0
8718	4
57449	28
79707	1811
80835	0
3104	2413
9903	1901
148479	753
90326	595
55735	3540
100505887	0
23261	1371
9341	4160
8863	204
10911	539
3604	511
11315	7330
54206	282
102724539	0
50651	18
473	2818
102724552	2
2023	67592
102465436	0
100505975	4
765	0
155184	0
6518	1431
80045	67
407040	0
9563	5155
80176	8853
100506022	134
84275	1103
199953	1590
5293	4177
644997	2
101929074	0
22883	14726
56998	651
84328	1078
64802	819
100847055	1
105376719	2
116362	8
10277	5837
23095	7448
100422970	0
5226	40052
100526739	0
378708	60
1325	4
1676	1595
5195	1411
54897	678
148345	34
23435	10077
10747	78
6723	6765
5394	6196
2475	4436
100873935	0
10218	3
29914	1713
57540	0
101929181	0
26232	5
93611	471
26270	377
10459	1659
374946	53
57085	671
284498	0
102724659	0
4524	3579
1185	1693
100379251	11
4878	6
4879	1
26829	0
90231	3473
5351	5591
9927	12020
60672	917
102466982	0
943	14
102465836	0
7133	28746
100616438	0
55187	3873
677885	0
9249	3230
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	12
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	1
441873	0
649324	0
440563	3
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	10
10630	1550
7799	4284
23254	296
200197	40
55092	2043
727684	0
114827	44
101927417	0
79180	26374
11330	21
63036	1
51032	3
842	803
23341	1648
79814	125
84301	615
6248	417
23207	10990
284723	102
388595	0
54751	1040
440567	1313
729614	261
23013	11441
7709	2813
101928566	0
149563	0
27129	17054
1187	74
1188	1
348487	9
1969	47
128272	385
101927546	5
79363	101
54455	2905
26099	18740
374955	4
55707	4668
114819	116
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	312
84809	1050
11209	17
26869	0
729574	0
100126533	1
284729	0
100189045	0
102723383	0
6060	0
11223	20
100500876	0
100189298	0
7193	0
791226	0
9696	560
26870	0
4237	0
23400	1586
6390	4318
11240	1447
29943	1
51702	0
100616188	0
23569	0
353238	0
55920	14190
55160	2366
81569	0
101927876	0
84966	0
127707	1
5081	0
80834	0
8659	198
100616120	0
100302276	0
126917	1389
23352	10464
23065	5357
51154	6723
246181	34
22977	37
100506730	199
8574	1424
54896	2148
832	29108
100532736	0
440574	1658
644068	217
4681	14
3362	0
255104	541
54546	0
23252	627
30814	0
5320	0
5322	1
26279	0
64600	2
391013	2
127733	59
101928017	6
127731	0
339505	2
55450	80
79594	1793
163933	0
978	35
65018	1146
102464833	0
100861548	345
1650	13847
57576	2365
400745	4
50809	7596
8672	10834
100302155	0
1889	1104
100506801	1
84224	279
249	31
5909	186
84196	2588
401944	3
3339	1595
23436	0
10136	0
101928043	6
29092	174
998	19040
54361	11
100616433	0
9923	3453
2046	0
102466615	0
712	24
714	20
713	3
2048	460
100616391	0
100422914	0
646262	0
729059	2
23028	3091
100422866	0
100616177	0
7798	5149
3352	0
100996511	13
10236	10385
80818	933
148898	27
6920	4
55616	5
1870	125
101928163	0
3399	64
259283	0
6135	37087
6924	8273
100506963	19
57095	2674
11313	4072
2582	861
3155	920
2517	863
1269	1
100616492	0
55629	5164
10772	5039
127294	2
58985	2
163702	3
284632	0
57822	6
90529	220
57185	1158
100750325	5
11123	853
100506985	85
400746	1
10250	8795
25932	13485
864	20760
102465437	0
100616365	1
