Geneid	HISAT2 on data 274: aligned reads (BAM)
100287102	0
653635	13
102466751	1
100302278	0
645520	0
79501	0
729737	10
102725121	1
102723897	14
102465909	0
729759	0
100132287	1
105378947	0
101928626	1
102465432	19
81399	0
100133331	46
100288069	3
400728	4
79854	8
643837	294
284593	0
100130417	6
148398	5
26155	1952
339451	201
84069	17
84808	4
57801	43
9636	3307
375790	6084
105369174	150
105378948	23
401934	1
54991	353
254099	0
406984	0
406983	0
554210	0
254173	0
8784	23
7293	11
51150	4738
126792	885
388581	4
118424	1311
6339	16
116983	456
102465434	0
126789	154
54973	938
102465435	1
80772	266
83756	20
1855	737
102466740	0
54587	68
54998	621
81669	1664
148413	208
55052	839
441869	0
643965	0
102724312	0
64856	0
219293	2
83858	425
55210	557
339453	0
29101	1093
643988	216
142678	329
8510	0
984	516
728661	624
8511	0
728642	287
9906	88
65220	1103
2782	9696
105378949	1
163688	6
339456	1
85452	0
2563	0
5590	9
100506504	1
199990	260
105378592	1
6497	878
105378594	0
79906	36
100129534	7
11079	1432
5192	217
9651	0
55229	12
388585	0
115110	0
8764	3
100996583	0
127281	1
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	30
1953	330
693135	0
127262	805
49856	440
7161	99
57212	84
148870	17
388588	2
57470	648
9731	386
1677	104
339448	365
100133612	11
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	307
8514	4913
26038	12
6146	1667
102724450	0
388591	8
23463	996
148645	1
390992	0
387509	55
11332	187
54626	0
83715	5
100422975	0
8718	5
57449	4
79707	406
80835	0
3104	579
9903	700
148479	250
90326	210
55735	817
100505887	0
23261	329
9341	1003
8863	22
10911	110
3604	345
11315	1988
54206	42
102724539	0
50651	2
473	1036
102724552	0
2023	19871
102465436	0
100505975	0
765	0
155184	0
6518	359
80045	24
407040	0
9563	1308
80176	3088
100506022	22
84275	295
199953	380
5293	990
644997	0
101929074	0
22883	2782
56998	88
84328	270
64802	181
100847055	0
105376719	0
116362	1
10277	921
23095	1750
100422970	0
5226	10829
100526739	0
378708	10
1325	1
1676	355
5195	314
54897	169
148345	4
23435	2319
10747	23
6723	1408
5394	1427
2475	1097
100873935	0
10218	0
29914	420
57540	0
101929181	0
26232	2
93611	131
26270	420
10459	448
374946	12
57085	187
284498	0
102724659	0
4524	808
1185	401
100379251	6
4878	1
4879	0
26829	0
90231	740
5351	934
9927	2663
60672	272
102466982	0
943	2
102465836	0
7133	9248
100616438	0
55187	831
677885	0
9249	496
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	2
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	1
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	8
10630	431
7799	1474
23254	34
200197	2
55092	556
727684	0
114827	3
101927417	0
79180	7041
11330	5
63036	0
51032	0
842	173
23341	415
79814	43
84301	205
6248	98
23207	2848
284723	29
388595	0
54751	208
440567	323
729614	70
23013	2410
7709	783
101928566	0
149563	0
27129	2944
1187	16
1188	0
348487	1
1969	7
128272	94
101927546	0
79363	10
54455	780
26099	4873
374955	0
55707	1510
114819	32
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	58
84809	236
11209	4
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	4
100500876	0
100189298	0
7193	0
791226	0
9696	108
26870	0
4237	0
23400	380
6390	1109
11240	206
29943	0
51702	0
100616188	0
23569	0
353238	0
55920	3994
55160	939
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	39
100616120	0
100302276	0
126917	340
23352	3108
23065	1341
51154	1780
246181	5
22977	7
100506730	24
8574	258
54896	433
832	6622
100532736	0
440574	533
644068	58
4681	5
3362	0
255104	104
54546	0
23252	123
30814	0
5320	0
5322	0
26279	0
64600	0
391013	1
127733	4
101928017	0
127731	0
339505	0
55450	11
79594	463
163933	0
978	6
65018	166
102464833	0
100861548	90
1650	3610
57576	473
400745	4
50809	1463
8672	2136
100302155	0
1889	1251
100506801	1
84224	69
249	7
5909	25
84196	505
401944	1
3339	405
23436	0
10136	0
101928043	0
29092	52
998	4768
54361	6
100616433	0
9923	802
2046	0
102466615	0
712	9
714	4
713	2
2048	189
100616391	0
100422914	0
646262	0
729059	0
23028	708
100422866	0
100616177	0
7798	1166
3352	0
100996511	3
10236	2369
80818	173
148898	5
6920	0
55616	1
1870	21
101928163	0
3399	6
259283	0
6135	8422
6924	2393
100506963	7
57095	516
11313	950
2582	201
3155	223
2517	126
1269	0
100616492	0
55629	1617
10772	1174
127294	0
58985	1
163702	1
284632	0
57822	3
90529	47
57185	226
100750325	1
11123	223
100506985	25
400746	0
10250	1812
25932	5104
864	6105
102465437	0
100616365	0
25949	878
57035	465
6007	8
23585	976
6006	4
55219	581
26119	472
57134	144
57190	10015
56181	499
646471	53
79000	28
164091	9
3925	243
100500808	0
5051	245
2134	0
7780	1
105376910	0
84676	0
149420	123
79927	0
105376887	0
51042	294
10256	6
378807	0
101928303	0
64793	784
83442	16389
91544	308
1043	3914
55057	7
257101	2
79727	0
79947	738
101928324	1
3151	427
6195	8388
100302190	0
101928728	29
8289	1617
55650	126
84243	395
2810	1
54707	323
63906	236
10726	1135
8431	0
