Geneid	HISAT2 on data 364: aligned reads (BAM)
100287102	0
653635	6
102466751	7
100302278	0
645520	0
79501	0
729737	8
102725121	2
102723897	15
102465909	0
729759	0
100132287	2
105378947	0
101928626	1
102465432	10
81399	0
100133331	40
100288069	4
400728	8
79854	1
643837	306
284593	0
100130417	9
148398	9
26155	1842
339451	206
84069	16
84808	1
57801	11
9636	382
375790	5580
105369174	150
105378948	24
401934	0
54991	257
254099	0
406984	0
406983	0
554210	0
254173	0
8784	8
7293	1
51150	4233
126792	926
388581	1
118424	1330
6339	17
116983	494
102465434	0
126789	208
54973	919
102465435	0
80772	443
83756	16
1855	914
102466740	0
54587	47
54998	699
81669	1989
148413	211
55052	795
441869	0
643965	0
102724312	0
64856	4
219293	0
83858	284
55210	665
339453	1
29101	1147
643988	296
142678	329
8510	0
984	523
728661	759
8511	0
728642	264
9906	102
65220	588
2782	9698
105378949	4
163688	3
339456	3
85452	1
2563	2
5590	11
100506504	3
199990	293
105378592	1
6497	1354
105378594	1
79906	26
100129534	5
11079	1455
5192	222
9651	0
55229	8
388585	0
115110	0
8764	0
100996583	0
127281	2
79258	0
100287898	0
140625	0
440556	0
63976	0
100422968	0
27237	54
1953	305
693135	0
127262	1008
49856	392
7161	174
57212	95
148870	24
388588	2
57470	720
9731	456
1677	85
339448	459
100133612	10
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	293
8514	6636
26038	6
6146	1599
102724450	1
388591	9
23463	1314
148645	2
390992	0
387509	96
11332	202
54626	0
83715	5
100422975	0
8718	4
57449	8
79707	416
80835	1
3104	596
9903	649
148479	197
90326	173
55735	744
100505887	0
23261	332
9341	1078
8863	49
10911	117
3604	141
11315	1932
54206	74
102724539	0
50651	6
473	651
102724552	0
2023	22240
102465436	0
100505975	1
765	0
155184	0
6518	429
80045	24
407040	0
9563	1277
80176	2571
100506022	23
84275	330
199953	488
5293	1163
644997	0
101929074	1
22883	3952
56998	149
84328	284
64802	192
100847055	0
105376719	0
116362	0
10277	1429
23095	2056
100422970	0
5226	9769
100526739	0
378708	13
1325	1
1676	388
5195	364
54897	190
148345	12
23435	2646
10747	27
6723	1382
5394	1534
2475	998
100873935	0
10218	0
29914	367
57540	0
101929181	0
26232	0
93611	132
26270	108
10459	446
374946	13
57085	203
284498	0
