Geneid	HISAT2 on data 6: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	106
27395	875
18777	853
100503730	3
21399	2180
58175	0
108664	1116
18387	0
226304	0
12421	849
620393	0
240690	8
319263	1027
71096	0
59014	951
76187	70
72481	4
76982	2
17864	221
70675	1272
73331	6
170755	1248
620986	28
240697	4
73824	185
266793	4
100038398	2
100039596	0
69312	1
26754	1460
211660	439
211673	2144
329093	0
109294	230
320492	0
329096	0
240725	308
240726	25
383491	0
17978	991
72265	2738
212442	450
381246	12
433273	0
14048	62
17681	83
277328	0
98741	2
21749	596
226866	5
665434	1
75799	0
19989	22515
98711	618
29819	126
66799	582
67923	1298
329101	0
70397	714
17087	161
57339	14
14545	4
94227	9
83691	129
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	4106
77741	0
74229	51
71877	18
170829	109
75712	23
14859	139
241041	0
368204	0
433278	0
98582	0
226922	47
116837	0
66755	0
387225	0
723964	0
70155	1361
100503399	0
280645	59
98366	1047
68002	384
68187	138
12839	0
12823	0
68421	1449
210933	0
100504323	0
210940	6
433281	0
665903	90
210962	0
623924	0
791350	0
213109	1758
19243	295
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	1129
67503	16
19335	87
213539	280
98403	439
433287	6
320705	47
13518	1169
100628580	0
69668	707
27993	939
52318	209
19253	1361
21755	3
12627	0
21756	0
211383	9
241051	0
226970	95
214469	3401
226971	1992
50785	2863
320011	2245
214854	1299
214855	753
226976	1168
214895	453
94220	223
94218	305
78321	138
109346	146
20353	343
381337	4
12859	3497
226977	966
71166	1
22637	573
56030	2657
70853	10
12790	19
269180	873
76178	3539
67387	959
269181	872
77633	4
100861893	0
72097	8
100503734	0
211484	64
623661	93
69028	463
107734	1381
332427	0
69541	0
98258	1149
226982	2796
56210	389
16764	427
381338	2
98388	211
100503760	0
433292	0
68833	686
18143	24
114641	14615
54610	682
52846	824
100217461	14
67702	1711
263764	26
619289	0
100042065	0
73426	0
26921	1540
100047133	0
16178	71
16177	297
107527	53
17082	466
16182	249
16174	181
110895	0
226999	2
211798	96
381339	0
74897	0
66297	0
18993	0
73100	0
69527	650
93690	12
73122	747
98404	373
14200	49
666642	788
17974	548
100861934	2
78896	6
67883	263
100503192	0
22019	1632
433294	0
75623	432
72050	315
246229	215
22592	302
100861960	0
403183	0
70676	129
75066	0
12825	2211
12832	552
73674	923
433297	24
53945	13621
100042453	0
212225	0
227058	2
100101919	2
227059	499
442837	0
56363	0
442821	0
20324	1859
109019	1442
100045066	20
17912	184
20849	614
100042634	3
20846	22072
14660	1904
17936	1280
227094	637
98682	295
16329	328
227095	330
67080	2
17700	0
69397	2
227099	228
227102	631
72085	373
70396	2225
627872	2
98267	4455
329152	32
78016	22
98488	368
241062	538
329154	1275
81898	7401
67876	364
15510	7357
15528	3299
19070	760
74013	152
212679	239
75388	1
227120	116
626009	4
329159	0
71066	0
212712	29
329160	4
407809	0
75323	27
73467	218
68736	148
68115	295
67198	68
51960	299
68549	547
11761	67
71724	10
71872	4
213043	1
66882	4067
12747	3219
70225	496
65102	411
18393	1536
100504455	14
213056	268
66495	1071
100504501	95
108812	6
12633	1636
12370	1722
70827	5811
227154	1633
73463	0
381259	171
227157	4
74018	568
271697	0
14369	351
381260	4
22218	1922
55989	2117
100217459	1
100217421	0
12168	78
100504533	42
72750	752
70375	21
57750	905
241066	61
100504573	0
269198	155
77951	248
329165	235
77300	238
100043027	3
100042533	0
12487	473
100504618	0
12477	129
54167	412
77341	4
72823	96
18187	538
74992	2
227195	754
100380944	36
100504668	42
227197	1589
55949	11731
100217464	16
241070	0
73884	0
23792	363
241073	0
76668	0
75619	468
74426	0
433315	0
93691	53
12912	1586
67099	261
69941	115
227210	136
14367	176
241075	683
70861	8
667276	0
12968	2
12967	0
12966	0
12965	0
12964	0
98303	0
15926	1284
18711	977
213527	0
12969	0
17756	35
100038569	0
329178	5
66646	958
68691	146
11363	1752
100862127	0
17901	0
14768	550
227231	84
13869	0
100502712	0
22779	215
66722	0
320460	0
12021	475
74591	0
108147	1939
14268	1181
100042814	0
667931	2
71134	0
433319	0
381269	242
111175	175
271711	4
22596	553
381270	4
54380	646
319695	2
19981	10346
16008	27
16011	202
21958	0
69449	0
723792	0
78718	0
109198	4
21961	1426
435626	20
100862357	0
12765	220
227288	7
100316687	0
76709	9464
227289	0
227290	2438
56695	408
69660	658
241112	7
18173	4007
227292	2019
387219	4
22349	2
319651	603
58184	1336
18802	6
77264	512
66821	404
57751	533
269209	2
67534	331
104086	551
241113	4
22420	38
22409	13
12570	0
260298	0
12958	0
723900	0
241116	5
16147	2
75570	79
22626	21
69171	1945
227298	2684
68818	567
74104	1412
