Geneid	HISAT2 on data 16: aligned reads (BAM)
497097	4
100503874	2
100038431	0
19888	2
20671	167
27395	2506
18777	2178
100503730	3
21399	6502
58175	0
108664	3184
18387	0
226304	0
12421	1903
620393	0
240690	12
319263	2113
71096	0
59014	2843
76187	401
72481	34
76982	0
17864	237
70675	2799
73331	10
170755	3812
620986	84
240697	5
73824	598
266793	16
100038398	10
100039596	0
69312	25
26754	4557
211660	841
211673	5384
329093	2
109294	710
320492	0
329096	0
240725	302
240726	51
383491	2
17978	2157
72265	6722
212442	1083
381246	21
433273	2
14048	131
17681	83
277328	2
98741	0
21749	1516
226866	20
665434	14
75799	0
19989	58848
98711	1994
29819	275
66799	1453
67923	3768
329101	0
70397	1767
17087	432
57339	56
14545	2
94227	55
83691	293
78081	0
654454	0
654460	0
77673	0
654464	0
226896	1
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	6
17215	14078
77741	6
74229	111
71877	74
170829	169
75712	74
14859	306
241041	0
368204	0
433278	0
98582	0
226922	97
116837	0
66755	0
387225	0
723964	0
70155	3531
100503399	2
280645	77
98366	2943
68002	843
68187	373
12839	8
12823	2
68421	3069
210933	2
100504323	0
210940	9
433281	0
665903	207
210962	0
623924	0
791350	0
213109	4014
19243	876
70988	0
266744	0
74708	0
226957	0
624262	2
170771	0
408192	0
408191	0
19076	3820
67503	24
19335	260
213539	1059
98403	871
433287	17
320705	96
13518	2705
100628580	2
69668	2275
27993	2841
52318	464
19253	3501
21755	0
12627	1
21756	0
211383	25
241051	0
226970	283
214469	7590
226971	4475
50785	7821
320011	4945
214854	4133
214855	1834
226976	2640
214895	872
94220	541
94218	849
78321	240
109346	326
20353	795
381337	23
12859	11854
226977	2726
71166	2
22637	1003
56030	5270
70853	12
12790	60
269180	1927
76178	9289
67387	3139
269181	1673
77633	19
100861893	0
72097	19
100503734	0
211484	146
623661	155
69028	1393
107734	4007
332427	0
69541	0
98258	3802
226982	7471
56210	1099
16764	565
381338	0
98388	245
100503760	0
433292	0
68833	1937
18143	21
114641	41668
54610	1636
52846	1961
100217461	44
67702	5715
263764	109
619289	0
100042065	0
73426	0
26921	3457
100047133	2
16178	187
16177	763
107527	112
17082	1260
16182	458
16174	505
110895	4
226999	16
211798	425
381339	0
74897	0
66297	0
18993	0
73100	0
69527	2147
93690	4
73122	1702
98404	840
14200	71
666642	2238
17974	1360
100861934	8
78896	25
67883	1048
100503192	4
22019	4245
433294	0
75623	1306
72050	828
246229	466
22592	704
100861960	0
403183	0
70676	413
75066	0
12825	8504
12832	1830
73674	2519
433297	100
53945	38652
100042453	0
212225	0
227058	9
100101919	9
227059	1328
442837	0
56363	0
442821	0
20324	2686
109019	3098
100045066	44
17912	332
20849	779
100042634	3
20846	50212
14660	5196
17936	2612
227094	998
98682	525
16329	513
227095	708
67080	2
17700	0
69397	0
227099	623
227102	1599
72085	991
70396	5831
627872	8
98267	7581
329152	51
78016	49
98488	905
241062	1505
329154	2237
81898	17197
67876	916
15510	16638
15528	8148
19070	1803
74013	276
212679	500
75388	8
227120	273
626009	10
329159	0
71066	0
212712	35
329160	7
407809	0
75323	79
73467	518
68736	363
68115	1078
67198	164
51960	523
68549	1701
11761	76
71724	4
71872	15
213043	0
66882	10398
12747	7854
70225	1383
65102	1018
18393	4638
100504455	12
213056	715
66495	2990
100504501	277
108812	32
12633	3652
12370	3852
70827	16557
227154	4557
73463	0
381259	456
227157	6
74018	1299
271697	6
14369	970
381260	9
22218	4731
55989	6430
100217459	0
100217421	5
12168	217
100504533	132
72750	1965
70375	41
57750	2406
241066	82
100504573	2
269198	268
77951	833
329165	595
77300	519
100043027	18
100042533	0
12487	583
100504618	0
12477	253
54167	593
77341	11
72823	135
18187	1851
74992	1
227195	1496
100380944	85
100504668	91
227197	5304
55949	34419
100217464	57
241070	0
73884	0
23792	442
241073	0
76668	0
75619	1221
74426	2
433315	0
93691	88
12912	3451
67099	705
69941	293
227210	390
14367	392
241075	1416
70861	10
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	2
15926	4655
18711	2180
213527	0
12969	0
17756	70
100038569	0
329178	0
66646	2693
68691	427
11363	5456
100862127	2
17901	0
14768	1642
227231	2
13869	0
100502712	0
22779	396
66722	0
320460	0
12021	1353
74591	0
108147	5394
14268	3612
100042814	0
667931	0
71134	0
433319	0
381269	253
111175	519
271711	6
22596	1385
381270	0
54380	1727
319695	0
19981	32156
16008	42
16011	302
21958	0
69449	0
723792	0
78718	0
109198	0
21961	3052
435626	23
100862357	0
12765	506
227288	11
100316687	0
76709	24639
227289	0
227290	7455
56695	882
69660	1751
241112	23
18173	11305
227292	5466
387219	1
22349	6
319651	1538
58184	4060
18802	5
77264	1139
66821	895
57751	1338
269209	31
67534	761
104086	1455
241113	12
22420	46
22409	28
12570	2
260298	0
12958	0
723900	0
241116	0
16147	8
75570	266
22626	21
69171	5430
227298	8124
68818	2060
74104	4683
245860	2993
52231	974
74577	626
20872	4106
22145	23971
381272	5
56812	5662
19275	63
19711	0
13437	3042
13346	2260
100503248	0
11790	310
69080	1310
100862164	1
241118	0
74241	962
319998	35
98733	149
16322	22
71728	1868
20536	84
100862333	0
620079	0
13838	50
18505	0
100039210	0
433323	148
23874	4341
68393	12
74205	677
195434	74
57814	1158
20254	2
100862182	0
252903	561
69368	1998
100038695	0
69163	1350
100862198	0
20720	276
241128	9
26554	4475
72208	0
210293	5410
241134	0
16367	118
100503073	0
76867	1173
100503095	4
12829	2
12828	12
75734	6052
66261	0
100044526	7
15463	4244
80721	14
71386	0
20297	0
71227	0
77629	0
98496	1079
227325	8
100628595	0
14897	10613
66153	139
71781	0
100503433	78
381287	394
621875	1702
100040135	4
665378	127
620078	344
100040213	12
100039794	81
665338	4
109032	5857
434484	3347
100503502	6
100503045	0
20684	5972
319997	1385
12283	6299
64294	12827
71141	4
227326	215
70060	0
72792	0
70247	9335
15559	2
78795	875
100861644	3
