Geneid	HISAT2 on Control2 (BAM)
497097	2
100503874	0
100038431	0
19888	0
20671	39
27395	1126
18777	2693
100503730	3
21399	977
58175	2
108664	945
18387	2
226304	0
12421	691
620393	0
240690	0
319263	2367
71096	0
59014	463
76187	1673
72481	4
76982	0
17864	7
70675	674
73331	25
170755	478
620986	2
240697	41
73824	137
266793	7
100038398	382
100039596	108
69312	25
26754	1343
211660	333
211673	1755
329093	0
109294	195
320492	0
329096	0
240725	27
240726	1
383491	0
17978	1124
72265	3563
212442	4561
381246	376
433273	0
14048	0
17681	12
277328	0
98741	0
21749	181
226866	2
665434	1
75799	0
19989	5001
98711	514
29819	140
66799	428
67923	659
329101	0
70397	850
17087	66
57339	10
14545	0
94227	18
83691	4
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	166
75028	0
387202	0
723817	0
16171	0
257630	0
17215	174
77741	0
74229	14
71877	17
170829	100
75712	95
14859	25583
241041	0
368204	0
433278	0
98582	0
226922	4
116837	0
66755	0
387225	0
723964	2
70155	337
100503399	0
280645	21
98366	284
68002	337
68187	413
12839	0
12823	0
68421	1199
210933	0
100504323	0
210940	0
433281	445
665903	17
210962	0
623924	0
791350	0
213109	975
19243	772
70988	0
266744	2
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	123
67503	6
19335	242
213539	19
98403	198
433287	5
320705	2
13518	1507
100628580	0
69668	226
27993	495
52318	169
19253	44
21755	0
12627	0
21756	0
211383	0
241051	0
226970	7
214469	1426
226971	582
50785	2974
320011	2055
214854	208
214855	79
226976	1005
214895	342
94220	103
94218	369
78321	87
109346	94
20353	79
381337	2
12859	3041
226977	1165
71166	0
22637	303
56030	549
70853	4
12790	0
269180	494
76178	1784
67387	569
269181	33
77633	2
100861893	0
72097	0
100503734	0
211484	25
623661	166
69028	216
107734	793
332427	0
69541	0
98258	720
226982	1197
56210	134
16764	6
381338	0
98388	6
100503760	0
433292	0
68833	375
18143	127
114641	2598
54610	290
52846	331
100217461	7
67702	2464
263764	0
619289	0
100042065	0
73426	0
26921	526
100047133	0
16178	0
16177	420
107527	6
17082	2
16182	24
16174	4
110895	0
226999	0
211798	128
381339	0
74897	0
66297	0
18993	0
73100	0
69527	421
93690	0
73122	849
98404	296
14200	4
666642	192
17974	61
100861934	0
78896	0
67883	173
100503192	0
22019	729
433294	0
75623	87
72050	137
246229	219
22592	258
100861960	0
403183	0
70676	10
75066	0
12825	1520
12832	128
73674	269
433297	7
53945	5188
100042453	0
212225	0
227058	4
100101919	0
227059	120
442837	0
56363	0
442821	0
20324	377
109019	394
100045066	10
17912	4641
20849	14
100042634	0
20846	1493
14660	194
17936	1428
227094	13
98682	253
