Geneid	HISAT2 on data 14: aligned reads (BAM)
497097	4
100503874	1
100038431	0
19888	0
20671	173
27395	780
18777	923
100503730	6
21399	2260
58175	1
108664	1048
18387	0
226304	0
12421	1160
620393	4
240690	84
319263	1481
71096	0
59014	825
76187	74
72481	19
76982	0
17864	288
70675	1324
73331	0
170755	1424
620986	21
240697	0
73824	222
266793	5
100038398	8
100039596	0
69312	2
26754	1302
211660	529
211673	2287
329093	13
109294	408
320492	0
329096	0
240725	689
240726	146
383491	0
17978	1413
72265	2958
212442	422
381246	0
433273	1
14048	120
17681	418
277328	0
98741	0
21749	601
226866	6
665434	5
75799	0
19989	26755
98711	948
29819	192
66799	840
67923	1276
329101	0
70397	704
17087	183
57339	41
14545	4
94227	93
83691	286
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	0
75028	0
387202	0
723817	0
16171	0
257630	0
17215	3095
77741	6
74229	68
71877	29
170829	72
75712	54
14859	271
241041	2
368204	0
433278	0
98582	2
226922	86
116837	0
66755	0
387225	0
723964	0
70155	1477
100503399	0
280645	57
98366	983
68002	291
68187	233
12839	4
12823	19
68421	1930
210933	2
100504323	0
210940	4
433281	2
665903	59
210962	0
623924	0
791350	0
213109	2073
19243	351
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	913
67503	14
19335	203
213539	270
98403	514
433287	7
320705	59
13518	998
100628580	0
69668	681
27993	879
52318	258
19253	1592
21755	1
12627	0
21756	0
211383	2
241051	0
226970	152
214469	4478
226971	1772
50785	2145
320011	2041
214854	2543
214855	912
226976	1318
214895	633
94220	301
94218	454
78321	220
109346	190
20353	349
381337	32
12859	2648
226977	1254
71166	2
22637	872
56030	2495
70853	9
12790	14
269180	835
76178	2168
67387	992
269181	1224
77633	19
100861893	0
72097	20
100503734	0
211484	60
623661	64
69028	543
107734	1085
332427	0
69541	0
98258	1207
226982	2412
56210	508
16764	905
381338	10
98388	511
100503760	1
433292	0
68833	849
18143	27
114641	15217
54610	817
52846	722
100217461	16
67702	1158
263764	4
619289	7
100042065	0
73426	0
26921	2281
100047133	0
16178	66
16177	834
107527	91
17082	343
16182	456
16174	169
110895	0
226999	0
211798	98
381339	2
74897	0
66297	0
18993	2
73100	0
69527	674
93690	1
73122	829
98404	506
14200	31
666642	688
17974	550
100861934	2
78896	51
67883	255
100503192	3
22019	2030
433294	2
75623	380
72050	277
246229	188
22592	379
100861960	0
403183	0
70676	296
75066	0
12825	4411
12832	830
73674	1057
433297	51
53945	12109
100042453	0
212225	0
227058	17
100101919	1
227059	664
442837	0
56363	0
442821	0
20324	1521
109019	1080
100045066	4
17912	418
20849	823
100042634	2
20846	6816
14660	2442
17936	1418
227094	1074
98682	349
16329	358
227095	302
67080	9
17700	0
69397	0
227099	224
227102	842
72085	309
70396	2376
627872	4
98267	8454
329152	77
78016	18
98488	321
241062	893
329154	2051
81898	10368
67876	305
15510	5698
15528	2762
19070	1068
74013	475
212679	234
75388	10
227120	157
626009	3
329159	0
71066	0
212712	27
329160	10
407809	0
75323	26
73467	223
68736	188
68115	299
67198	98
51960	405
68549	378
11761	100
71724	38
71872	16
213043	2
66882	4218
12747	6617
70225	548
65102	382
18393	1346
100504455	7
213056	359
66495	923
100504501	138
108812	20
12633	2082
12370	1833
70827	5827
227154	1674
73463	0
381259	146
227157	4
74018	520
271697	11
14369	199
381260	0
22218	2074
55989	1832
100217459	1
100217421	1
12168	102
100504533	83
72750	877
70375	10
57750	624
241066	63
100504573	0
269198	254
77951	269
329165	257
77300	333
100043027	6
100042533	0
12487	1034
100504618	0
12477	127
54167	464
77341	2
72823	120
18187	459
74992	4
227195	1301
100380944	23
100504668	43
227197	1382
55949	12917
100217464	26
241070	0
73884	2
23792	972
241073	0
76668	0
75619	414
74426	2
433315	0
93691	63
12912	2323
67099	291
69941	60
227210	167
14367	194
241075	920
70861	19
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	1365
18711	1371
213527	0
12969	0
17756	122
100038569	0
329178	0
66646	923
68691	266
11363	1504
100862127	0
17901	4
14768	846
227231	198
13869	0
100502712	0
22779	310
66722	0
320460	0
12021	306
74591	0
108147	1796
14268	2033
100042814	0
667931	2
71134	0
433319	0
381269	424
111175	129
271711	4
22596	568
381270	18
54380	746
319695	0
19981	12735
16008	90
16011	952
21958	0
69449	0
723792	0
78718	0
109198	0
21961	2100
435626	54
100862357	1
12765	442
227288	7
100316687	0
76709	9236
227289	2
227290	2637
56695	547
69660	686
241112	8
18173	1967
227292	2103
387219	0
22349	2
319651	763
58184	1153
18802	5
77264	497
66821	257
57751	600
269209	28
67534	391
104086	835
241113	1
22420	76
22409	35
12570	0
260298	0
12958	0
723900	0
241116	0
16147	8
75570	83
22626	3
69171	1849
227298	2547
68818	555
74104	881
245860	878
52231	532
74577	219
20872	1461
22145	5320
381272	0
56812	1851
19275	5
19711	0
13437	709
13346	2330
100503248	1
11790	210
69080	586
100862164	0
241118	0
74241	471
319998	23
98733	126
16322	10
71728	830
20536	99
100862333	0
620079	0
13838	22
18505	69
100039210	0
433323	133
23874	1383
68393	2
74205	398
195434	38
57814	194
20254	0
100862182	0
252903	484
69368	941
100038695	0
69163	460
100862198	0
20720	147
241128	2
26554	2185
72208	0
210293	4087
241134	0
16367	128
100503073	0
76867	412
100503095	0
12829	2
12828	10
75734	2163
66261	0
100044526	12
15463	1817
80721	6
71386	0
20297	0
71227	0
77629	4
98496	316
227325	4
100628595	0
14897	4611
66153	36
71781	2
100503433	39
381287	112
621875	709
100040135	8
665378	52
620078	40
100040213	1
100039794	52
665338	7
109032	2218
434484	1252
100503502	4
100503045	1
20684	4095
319997	1127
12283	3214
64294	4308
71141	2
227326	94
70060	0
72792	15
70247	2196
15559	4
78795	335
100861644	0
227327	44
383538	0
17975	10776
100303740	18
80828	0
319336	22
14767	0
71863	0
19231	16424
18582	715
26895	457
18159	2
208718	425
11650	0
76768	0
11648	0
13599	7
69453	0
11447	0
11449	0
26987	1734
98363	417
227331	1363
100040591	11
73234	0
53972	3
319977	0
620454	1
23956	0
16331	3990
77040	991
100217415	4
20215	43
100503175	5
227333	4093
227334	384
394430	0
394434	2
394432	69
394435	3
94284	14
394433	12
22236	0
15504	69
394436	23
100040766	6
381280	285
78605	0
171382	0
75396	14
14659	5
100503197	0
320982	2534
78650	0
73475	0
98402	131
77331	0
347722	634
74403	0
14472	103
208372	0
74918	0
12778	1017
108679	1030
433332	0
12835	433
171531	142
623503	2
19329	2
16978	2924
329207	0
51801	386
67921	1232
665783	22
50880	815
227357	6
100503326	0
70788	13
227358	34
67444	1336
67086	0
55927	728
18627	149
74019	284
65247	1321
13345	19
208727	78
67273	1336
259040	0
258228	0
259041	0
259039	0
258274	0
258483	0
258484	0
257890	0
66915	986
260301	4
14733	474
100504295	0
387167	0
241158	10
67446	170
108657	1567
100037260	4
23830	296
64095	440
208760	0
16560	28
11611	56
71874	0
381284	0
208777	260
69821	788
269224	247
66385	909
404545	14
110611	4840
18000	3319
227377	59
59041	1890
51800	496
67026	403
66615	1600
21915	1534
66262	825
98314	203
381334	36
100041596	8
666009	40
619597	7
241159	0
18566	174
74689	0
67698	784
20452	1603
75381	1
100504401	59
73454	0
75159	0
227394	2
329217	8
67854	0
74441	0
634331	0
634346	3
52392	1474
227399	958
252876	257
18484	1115
78603	3
69030	7
70866	0
100504494	19
241175	0
100504525	0
23836	0
320311	44
100504568	0
27392	597
227446	977
100042023	0
21934	215
635504	9
227449	899
626049	2
98432	385
12043	1381
320761	4
70750	407
20479	2095
20724	0
71869	0
241196	0
20248	0
394252	0
383548	0
381286	0
66957	0
116872	22
18788	40
241197	113
20725	75
241201	0
227485	35
319901	142
636808	0
634762	0
22099	2061
67949	1076
76707	1100
68204	0
81879	4
14633	50
16324	224
100502628	0
64143	519
226351	551
226352	29
19258	126
66343	257
226356	0
319229	0
170706	182
13167	914
73103	54
68428	1478
226359	0
17167	3501
13798	0
98452	0
72999	607
70829	761
15564	2
66942	855
100502702	0
269109	9
74117	13673
74150	294
71111	2
72585	0
210356	28
107895	128
667090	124
72160	80
266645	265
100502745	0
72949	1615
22625	3
226407	1161
226409	310
226412	1395
387147	0
67812	2090
226413	2
17219	3595
226414	1718
12767	2677
210417	30
100042740	6
13137	9
13136	2719
22789	0
12269	28
12270	5
18640	669
226418	351
212439	104
64435	336
100502856	190
18703	138
69169	4695
93672	4
58181	0
329244	0
16153	7
17164	3100
226419	577
16865	953
54354	2749
56489	1306
14270	873
108900	49
26361	0
13034	13148
226421	293
320718	0
212933	21
98396	779
226422	518
98415	2472
212980	1162
13714	459
213006	246
18557	73
723818	0
213409	0
213417	50
74137	817
68875	7590
213452	429
213464	956
74626	179
21367	0
269116	425
100038653	0
16980	13
17248	1928
240752	938
108954	3432
240753	1092
100502933	127
68338	4
280287	2
19701	0
214253	20
20668	218
20643	1421
70579	4118
667118	449
240754	2326
381290	1611
269120	0
116847	867
100502984	0
14264	313
100502999	15
12227	5229
667414	0
71884	0
12654	34
53311	0
11539	5
17928	0
68507	584
57439	1360
240755	0
72017	748
72674	4490
100861791	0
240756	1041
98710	794
100503055	3
71001	0
75605	709
20980	0
329251	107
67196	262
329252	2
13924	113
100038590	0
320139	1369
68724	1015
171469	2
13710	0
215615	964
21854	640
93689	28
77552	65
226432	1748
215690	1324
13007	5323
27280	310
21952	26
16763	83
21956	12
18772	0
226438	0
66241	948
12292	111
329253	1
16565	2365
76422	0
67313	1
100042513	0
383563	55
67886	1423
320054	67
67997	221
381293	453
71084	0
226442	856
100503460	22
100503474	0
667686	0
26424	8
320138	0
735252	0
723890	0
19264	20077
338375	0
59125	1912
545363	0
16876	4
69549	88
75546	0
329260	1011
170788	0
71209	0
226470	431
12316	806
14060	29
50702	11
624286	2
214403	11
545366	33
12628	928
240776	4
75910	0
226472	0
214498	623
26878	2
69367	447
20822	333
56207	1037
19735	2204
100861894	0
246709	292
50778	533
624910	0
64214	598
215378	2
100043240	1
791353	0
100503781	0
18783	659
320019	0
19225	9
100043257	65
100043261	1
20028	0
75584	0
226499	727
108989	3757
96875	43
545370	764
402734	30
73176	4
117198	7103
66875	568
98685	1056
19821	1243
100503012	0
63913	775
66967	1036
69399	398
66637	286
269132	29
19731	1835
100861876	3
71281	0
67771	5394
100503084	0
17970	2681
226517	1952
226518	37
16782	52
226519	817
626058	278
71836	19
13211	4316
74091	279
67792	2
329271	4
19734	56
24014	1332
240816	0
240817	4
433365	1
240819	0
14645	4253
100861882	0
207678	0
78112	0
12290	532
15939	3273
15064	323
58244	834
207792	56
100503411	0
19775	1098
433367	17
72482	650
16872	2
100861926	0
104009	569
74081	1273
208263	1734
240832	2081
329274	0
214575	6
170484	2
77352	26
20652	1459
11352	547
30935	1066
100503836	0
215015	1062
78255	3154
72713	1
73435	0
226525	247
69953	347
226527	94
89867	39
100504090	1
240843	22
11899	12
735253	0
23850	5
72025	4
26374	1046
100217414	0
21960	3
67647	1889
75255	1
329278	316
64659	1206
12301	2580
29809	2806
100316784	0
620246	0
620750	0
381305	1235
11905	172
240869	83
14455	3074
100628588	0
100217446	24
226539	691
70454	659
226541	494
73844	0
100502590	0
11758	2008
22164	29
240873	17
14103	81
226551	1200
75368	4
67292	667
103967	36
72753	0
474332	122
723821	0
387210	0
71449	248
53330	944
17926	0
100038657	0
226562	3602
226564	0
14261	65
55990	38
226565	0
14262	6
78258	0
18933	383
98376	247
240879	0
16579	235
240880	998
381306	191
69962	217
20339	5
20343	4925
20344	47
100503816	0
14067	309
116914	226
74895	179
66352	389
171567	227
11931	566
56429	833
433374	0
16963	79
69476	0
75857	0
83993	0
108735	1966
226591	1009
240888	6
74106	991
70456	968
271639	0
68481	1126
100503268	0
226594	3177
100503283	58
433375	6051
12503	940
18986	681
240892	8
59290	0
98558	0
100039795	105
100503318	19
27878	630
71592	330
226601	0
226604	0
240894	0
100503962	15
226610	26
80914	563
68944	944
100862084	0
56752	1354
66447	2386
240899	2
100503977	0
20183	76
110648	0
18514	488
66977	868
19737	27
100862094	24
19736	49
78465	6
15490	97
67303	12
18214	313
107652	1250
16589	302
545378	0
622708	6
26904	225
665574	154
76925	4
70729	31
320078	70
226641	1164
80915	266
435653	29
98752	2854
14130	1203
246256	458
14131	977
75472	47
66052	1661
17528	5
66425	258
12355	12
641376	581
11807	535
14127	1532
226646	3116
240913	10
57370	779
19044	2171
30941	862
66155	453
100862110	0
100504072	33
21945	821
27045	462
18637	719
68874	61
71740	90
226652	6644
22278	1628
226654	68
16456	576
56009	138
16429	61
18106	483
17085	2012
75345	809
12506	1918
100041098	636
27218	494
12523	2253
100038548	42
100862186	0
30925	1346
93840	26
18071	0
59287	1318
12847	3470
100504176	1
19298	1112
98193	2881
18611	2703
12372	0
27222	0
98660	128
140559	1345
16524	60
16513	1145
67556	1326
100862199	0
98365	80
93842	97
21346	2147
71870	25
71319	38
240916	6
74748	297
677296	5
68440	23
100040320	1
12944	37
20219	41
18313	0
258759	0
258758	0
258880	0
258881	0
14125	20
258645	0
100504232	0
13349	582
94332	192
383619	1346
240921	92
545384	405
623121	4
236312	1580
100033459	219
100504251	24
226691	439
15951	577
100504287	61
666028	0
100040462	2351
381308	136
15950	3286
26388	507
226695	199
258712	39
258711	12
258713	0
258717	0
259162	0
404222	0
258716	0
258715	4
258302	0
20739	5927
258710	11
66289	0
258238	0
258709	4
258756	0
546747	0
54418	0
23893	33
24012	16
14194	1919
98256	1454
13603	43
12663	205
75820	0
26909	301
319455	3
545389	929
723921	0
76816	387
15365	182
23797	960
30928	1641
75589	0
69428	0
11566	1632
631584	0
545391	2
78825	777
791357	22
75164	0
666295	31
320110	12
66359	1086
51810	12747
68226	82
269152	0
69726	246
15278	369
226744	866
109232	212
226747	2053
100503705	0
226751	470
67426	740
19165	1079
277333	22
320404	1291
381310	106
11545	3727
72568	317
27217	0
170760	1174
100504581	0
15078	8486
208768	1090
100504598	3
320202	0
100862334	0
69051	780
13590	134
208795	1235
13849	2227
619326	2
67459	864
98417	604
226757	5297
329307	56
72978	0
403180	0
240960	30
98386	6036
433384	6
13800	134
27058	1546
625823	0
13244	1787
67330	0
67948	831
209456	420
12334	1388
170725	0
433386	0
96935	11
53791	89
68897	176
71678	1244
108909	1380
338366	1731
21339	260
78772	2
73363	27
63953	497
73590	0
74971	0
15284	278
66112	25
67247	1471
100316821	0
226777	164
226778	106
98732	1257
100217449	0
381314	1129
387189	1
387211	2
23827	410
107508	2294
319562	0
100039138	4
226781	158
114668	2
226791	48
21808	36
67223	505
110957	1
74717	0
69308	0
67769	367
100862400	61
26381	64
320272	0
22283	0
226823	495
16526	0
100042424	242
100039307	0
108000	1406
19250	759
226830	494
19130	33
100504619	0
320119	438
52477	1507
226841	24
226844	426
100125339	1
75558	2
68972	132
381318	568
381319	224
619288	2
11910	84
100504360	68
100861628	0
66208	145
66950	621
226849	2904
100504379	4
76843	939
77065	834
226856	1430
18005	663
98736	36
22782	699
74023	17
22033	919
100628582	11
100042625	214
214742	129
100038712	10
16510	72
226861	65
320952	0
73455	0
214791	50
100503471	3
329324	0
215193	559
54139	26
319266	337
215243	2429
15483	1237
14373	0
100503531	0
16780	117
215303	8
387201	0
74942	0
18845	173
100628615	0
12490	495
320400	12
320977	80
723963	0
387224	0
17221	28
12946	1371
12902	10125
215728	0
619314	0
670558	0
76142	10
70337	8
213783	321
270685	1210
83397	1076
381990	639
66084	465
73419	673
100504234	0
13982	36
64009	989
68632	200
22353	2
67141	1603
108853	257
56533	62
100041224	0
18390	0
320495	817
215748	299
77777	100
237253	67
18537	1680
320642	25
69912	301
407824	62
16798	1013
23924	780
215751	604
100503695	2
67418	1493
237256	1123
100628581	0
68652	2831
338362	177
70097	1799
791352	0
320825	4
620417	0
78808	785
215772	87
67844	810
382450	0
14816	0
78056	0
268281	741
71865	1370
13853	30
22288	1211
320273	23
74732	440
66125	1480
22634	22
100862331	0
75122	0
353258	645
215789	381
66848	1056
56535	248
66757	89
66253	126
15273	1200
100504211	1
215798	366
100039571	277
66201	675
69412	0
76743	0
18101	4
100504235	0
17684	1016
378431	14
380629	1269
73112	1480
19707	737
100045792	0
215814	335
215819	76
56016	77
215821	2
237300	0
73968	0
64058	12
21929	1386
100504265	0
94222	0
15979	3432
237310	99
237313	11
76157	124
18634	318
26408	766
17761	95
73811	0
621697	18
72567	3477
71804	173
29863	28
52906	173
100038717	0
100504283	0
17863	919
56422	990
73990	3
237320	19
76924	0
67692	0
432436	0
20393	1712
114671	2
319887	56
379043	8
667281	52
606736	145
56554	6
100038752	2
353169	8
237336	994
100504411	0
100038582	40
21412	1754
14051	7
20042	20781
100529074	28
100529075	24
76306	104
26464	1
22361	8
111174	0
209512	0
493809	0
209513	0
215854	0
215855	0
215856	0
209517	0
435206	0
276742	0
435207	0
215859	0
382348	4
494546	0
503558	0
53331	1993
100862153	0
59012	10
14219	931
18605	597
209558	78
70208	782
11846	85
432442	438
13822	2728
100504474	4
73803	0
215866	1
77220	48
100040851	0
268288	184
237339	634
667572	0
73910	701
16773	246
100040961	13
19272	209
210757	517
100504516	21
114676	2
67719	0
67412	4
212448	2
52665	97
68031	947
72780	35
100504540	0
66311	218
73681	225
100504586	322
66847	219
211329	1338
15214	25
69692	226
21987	5
100041294	18
268291	73
432450	0
76757	0
442820	0
100862254	0
215890	0
215895	0
57430	2
212892	0
72580	592
414093	26
66521	943
692132	0
270711	0
103511	98
215900	401
212898	1075
22110	1873
72480	425
319638	568
12813	0
14302	47
100041585	35
319415	2
15182	1805
17118	5041
215919	0
16775	148
66337	21
