Geneid	HISAT2 on data 12: aligned reads (BAM)
497097	0
100503874	0
100038431	0
19888	0
20671	91
27395	1987
18777	3921
100503730	10
21399	1578
58175	1
108664	1812
18387	0
226304	0
12421	1199
620393	0
240690	1
319263	3832
71096	0
59014	660
76187	3223
72481	26
76982	8
17864	28
70675	1080
73331	69
170755	962
620986	11
240697	35
73824	250
266793	1
100038398	176
100039596	35
69312	20
26754	2473
211660	490
211673	3024
329093	0
109294	334
320492	0
329096	0
240725	81
240726	1
383491	1
17978	1999
72265	4633
212442	4925
381246	583
433273	0
14048	0
17681	69
277328	0
98741	2
21749	489
226866	4
665434	1
75799	0
19989	10295
98711	846
29819	322
66799	736
67923	1129
329101	0
70397	1435
17087	185
57339	9
14545	0
94227	24
83691	0
78081	0
654454	0
654460	0
77673	0
654464	0
226896	0
21419	0
241035	271
75028	0
387202	0
723817	0
16171	0
257630	0
17215	564
77741	0
74229	12
71877	61
170829	123
75712	140
14859	41390
241041	0
368204	0
433278	0
98582	0
226922	23
116837	0
66755	0
387225	0
723964	0
70155	850
100503399	0
280645	16
98366	544
68002	548
68187	511
12839	0
12823	2
68421	2301
210933	0
100504323	0
210940	0
433281	773
665903	35
210962	0
623924	0
791350	0
213109	1635
19243	1540
70988	0
266744	0
74708	0
226957	0
624262	0
170771	0
408192	0
408191	0
19076	274
67503	6
19335	424
213539	19
98403	365
433287	2
320705	14
13518	2567
100628580	0
69668	519
27993	859
52318	169
19253	488
21755	1
12627	0
21756	0
211383	0
241051	0
226970	39
214469	2674
226971	1574
50785	4365
320011	2827
214854	1173
214855	291
226976	2181
214895	538
94220	134
94218	569
78321	102
109346	130
20353	344
381337	0
12859	5120
226977	1967
71166	5
22637	646
56030	1385
70853	3
12790	0
269180	924
76178	3708
67387	1183
269181	306
77633	1
100861893	0
72097	4
100503734	0
211484	33
623661	223
69028	454
107734	1537
332427	0
69541	0
98258	1280
226982	2485
56210	386
16764	30
381338	0
98388	4
100503760	0
433292	0
68833	626
18143	4
114641	6932
54610	559
52846	723
100217461	9
67702	4517
263764	21
619289	2
100042065	0
73426	0
26921	1242
100047133	0
16178	13
16177	1486
107527	31
17082	35
16182	137
16174	105
110895	0
226999	0
211798	200
381339	0
74897	0
66297	0
18993	1
73100	0
69527	826
93690	2
73122	1446
98404	435
14200	29
666642	399
17974	203
100861934	6
78896	2
67883	300
100503192	3
22019	1587
433294	0
75623	142
72050	388
246229	482
22592	447
100861960	0
403183	0
70676	28
75066	0
12825	9882
12832	694
73674	424
433297	6
53945	12644
100042453	0
212225	0
227058	6
100101919	5
227059	255
442837	0
56363	0
442821	0
20324	604
109019	1184
100045066	27
17912	5114
20849	108
100042634	0
20846	27453
14660	991
17936	2943
227094	109
98682	530
16329	510
227095	1744
67080	0
17700	0
69397	0
227099	243
227102	1065
72085	635
70396	1443
627872	0
98267	928
329152	146
78016	1
98488	448
241062	717
329154	505
81898	5149
67876	1052
15510	10761
15528	3438
19070	899
74013	54
212679	60
75388	0
227120	95
626009	1
329159	0
71066	0
212712	24
329160	2
407809	2
75323	2
73467	623
68736	254
68115	633
67198	685
51960	265
68549	82
11761	6148
71724	7301
71872	0
213043	2
66882	4677
12747	2509
70225	408
65102	447
18393	284
100504455	0
213056	773
66495	1554
100504501	118
108812	12
12633	2913
12370	1523
70827	1492
227154	1465
73463	0
381259	263
227157	63
74018	4474
271697	0
14369	838
381260	1
22218	1211
55989	668
100217459	0
100217421	0
12168	218
100504533	131
72750	423
70375	2
57750	375
241066	72
100504573	0
269198	443
77951	468
329165	230
77300	2475
100043027	1
100042533	6
12487	76
100504618	0
12477	23
54167	200
77341	6
72823	73
18187	948
74992	6
227195	791
100380944	33
100504668	43
227197	3290
55949	5523
100217464	7
241070	0
73884	0
23792	662
241073	0
76668	0
75619	571
74426	0
433315	2
93691	39
12912	862
67099	427
69941	42
227210	218
14367	291
241075	307
70861	0
667276	0
12968	0
12967	0
12966	0
12965	0
12964	0
98303	0
15926	13898
18711	985
213527	0
12969	0
17756	40
100038569	0
329178	0
66646	961
68691	495
11363	5297
100862127	0
17901	0
14768	1047
227231	86757
13869	54
100502712	0
22779	79
66722	0
320460	0
12021	66
74591	0
108147	1175
14268	47338
100042814	2
667931	744
71134	0
433319	0
381269	731
111175	6334
271711	54
22596	887
381270	0
54380	736
319695	0
19981	3669
16008	14905
16011	244
21958	0
69449	0
723792	0
78718	0
109198	23
21961	2012
435626	15
100862357	0
12765	39
227288	2
100316687	0
76709	6527
227289	4
227290	5099
56695	1669
69660	2124
241112	7
18173	2103
227292	4832
387219	1
22349	4
319651	339
58184	839
18802	2
77264	215
66821	500
57751	611
269209	31
67534	323
104086	12317
241113	5
22420	4
22409	0
12570	0
260298	0
12958	0
723900	0
241116	0
16147	55
75570	104
22626	10
69171	2285
227298	6144
